Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669854158.692,MouseEvent,,1408.0,405.6666666666667,,,Fixation
1669854158.7076268,,Mouse,1409.0,405.3333333333333,,,Fixation
1669854158.724282,,Eye Tracker,1410.0,405.0,Valid,Valid,Fixation
1669854158.754163,,Eye Tracker,1410.0,403.0,Valid,Valid,Fixation
1669854158.770819,,Eye Tracker,1409.0,404.0,Valid,Valid,Fixation
1669854158.8048599,,Eye Tracker,1407.0,404.0,Valid,Valid,Fixation
1669854158.8067188,,Eye Tracker,1408.0,399.0,Valid,Valid,Fixation
1669854158.8215148,,Eye Tracker,1406.0,402.0,Valid,Valid,Fixation
1669854158.8226938,,Eye Tracker,1409.0,405.0,Valid,Valid,Fixation
1669854158.8381689,,Eye Tracker,1411.0,405.0,Valid,Valid,Fixation
1669854158.8386939,,Mouse,1387.0,408.0,,,Fixation
1669854158.8547618,,Eye Tracker,1363.0,411.0,Valid,Valid,Saccade
1669854158.8548238,,Mouse,1277.5,418.0,,,Saccade
1669854158.870713,,Eye Tracker,1192.0,425.0,Valid,Valid,Saccade
1669854158.8714788,,Mouse,1179.5,425.5,,,Saccade
1669854158.886699,,Eye Tracker,1167.0,426.0,Valid,Valid,Saccade
1669854158.8881328,,Mouse,1158.0,423.5,,,Saccade
1669854158.9027288,,Eye Tracker,1149.0,421.0,Valid,Valid,Fixation
1669854158.904788,,Mouse,1148.0,421.0,,,Fixation
1669854158.91871,,Mouse,1147.0,421.0,,,Fixation
1669854158.921443,,Eye Tracker,1146.0,421.0,Valid,Valid,Fixation
1669854158.934754,,Mouse,1147.5,423.5,,,Fixation
1669854158.938097,,Eye Tracker,1149.0,426.0,Valid,Valid,Fixation
1669854158.950765,,Mouse,1148.0,425.5,,,Fixation
1669854158.954752,,Eye Tracker,1147.0,425.0,Valid,Valid,Fixation
1669854158.9667659,,Mouse,1146.5,426.0,,,Fixation
1669854158.971407,,Eye Tracker,1146.0,427.0,Valid,Valid,Fixation
1669854158.988061,,Mouse,1145.5,426.5,,,Fixation
1669854159.004716,,Eye Tracker,1145.0,426.0,Valid,Valid,Fixation
1669854159.021371,,Mouse,1142.5,427.0,,,Fixation
1669854159.0380268,,Eye Tracker,1140.0,428.0,Valid,Valid,Fixation
1669854159.0546808,,Mouse,1139.0,429.0,,,Fixation
1669854159.071336,,Eye Tracker,1138.0,430.0,Valid,Valid,Fixation
1669854159.087991,,Mouse,1137.0,432.5,,,Fixation
1669854159.104645,,Eye Tracker,1136.0,435.0,Valid,Valid,Fixation
1669854159.1213,,Eye Tracker,1135.0,439.0,Valid,Valid,Fixation
1669854159.137955,,Mouse,1136.0,438.0,,,Fixation
1669854159.154609,,Eye Tracker,1137.0,437.0,Valid,Valid,Fixation
1669854159.171264,,Mouse,1137.0,437.0,,,Fixation
