Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-08 09:56:28.113165,,,,MouseEvent,"Down, Left"
2022-12-08 09:56:28.113165,Mouse,38.0,91.0,,
2022-12-08 09:56:28.322825,Mouse,38.0,91.0,,
2022-12-08 09:56:28.344036,Mouse,37.0,92.0,,
2022-12-08 09:56:28.373729,Mouse,37.0,92.0,,
2022-12-08 09:56:28.394894,Mouse,36.0,93.0,,
2022-12-08 09:56:28.434992,Mouse,36.0,94.0,,
2022-12-08 09:56:28.463744,Mouse,36.0,95.0,,
2022-12-08 09:56:28.906800,Mouse,36.0,95.0,,
2022-12-08 09:56:28.925802,Mouse,36.0,95.0,,
2022-12-08 09:56:28.946901,Mouse,37.0,95.0,,
2022-12-08 09:56:28.986760,Mouse,38.0,94.0,,
2022-12-08 09:56:29.015767,Mouse,39.0,93.0,,
2022-12-08 09:56:29.036952,Mouse,40.0,91.0,,
2022-12-08 09:56:29.067873,Mouse,41.0,90.0,,
2022-12-08 09:56:29.107838,Mouse,42.0,90.0,,
2022-12-08 09:56:29.136816,Mouse,43.0,90.0,,
2022-12-08 09:56:29.207838,Mouse,43.0,89.0,,
2022-12-08 09:56:29.257802,Mouse,44.0,89.0,,
2022-12-08 09:56:29.317904,Mouse,44.0,88.0,,
2022-12-08 09:56:29.356867,Mouse,45.0,87.0,,
2022-12-08 09:56:29.377832,Mouse,45.0,87.0,,
2022-12-08 09:56:29.398084,Mouse,46.0,86.0,,
2022-12-08 09:56:29.408846,Mouse,47.0,85.0,,
2022-12-08 09:56:29.428800,Mouse,49.0,84.0,,
2022-12-08 09:56:29.458818,Mouse,50.0,82.0,,
2022-12-08 09:56:29.477838,Mouse,51.0,82.0,,
2022-12-08 09:56:29.488797,Mouse,51.0,81.0,,
2022-12-08 09:56:29.508767,Mouse,52.0,81.0,,
2022-12-08 09:56:29.538749,Mouse,53.0,80.0,,
2022-12-08 09:56:29.558812,Mouse,53.0,79.0,,
2022-12-08 09:56:29.579800,Mouse,54.0,78.0,,
2022-12-08 09:56:29.599796,Mouse,55.0,78.0,,
2022-12-08 09:56:29.769802,Mouse,56.0,77.0,,
2022-12-08 09:56:29.789747,Mouse,58.0,77.0,,
2022-12-08 09:56:29.799753,Mouse,59.0,77.0,,
2022-12-08 09:56:29.809815,Mouse,60.0,77.0,,
2022-12-08 09:56:29.829792,Mouse,61.0,77.0,,
2022-12-08 09:56:29.858789,Mouse,62.0,77.0,,
2022-12-08 09:56:29.879836,Mouse,62.0,77.0,,
2022-12-08 09:56:29.910802,Mouse,64.0,77.0,,
2022-12-08 09:56:29.930795,Mouse,66.0,77.0,,
2022-12-08 09:56:29.949812,Mouse,68.0,77.0,,
2022-12-08 09:56:29.961151,Mouse,69.0,77.0,,
2022-12-08 09:56:29.980822,Mouse,71.0,77.0,,
2022-12-08 09:56:30.000784,Mouse,74.0,77.0,,
2022-12-08 09:56:30.010801,Mouse,75.0,79.0,,
2022-12-08 09:56:30.020817,Mouse,76.0,79.0,,
2022-12-08 09:56:30.040818,Mouse,78.0,79.0,,
2022-12-08 09:56:30.060787,Mouse,79.0,79.0,,
2022-12-08 09:56:30.251960,Mouse,81.0,79.0,,
2022-12-08 09:56:30.281805,Mouse,82.0,79.0,,
2022-12-08 09:56:30.301807,Mouse,83.0,79.0,,
2022-12-08 09:56:30.311810,Mouse,84.0,79.0,,
2022-12-08 09:56:30.341792,Mouse,85.0,79.0,,
2022-12-08 09:56:30.401768,Mouse,85.0,79.0,,
2022-12-08 09:56:30.422792,Mouse,86.0,79.0,,
2022-12-08 09:56:30.442750,Mouse,86.0,78.0,,
2022-12-08 09:56:30.452824,Mouse,86.0,78.0,,
2022-12-08 09:56:30.482805,Mouse,90.0,77.0,,
2022-12-08 09:56:30.501799,Mouse,92.0,76.0,,
2022-12-08 09:56:30.522788,Mouse,92.0,76.0,,
2022-12-08 09:56:30.532815,Mouse,93.0,75.0,,
2022-12-08 09:56:30.552785,Mouse,96.0,75.0,,
2022-12-08 09:56:30.562787,Mouse,98.0,74.0,,
2022-12-08 09:56:30.582896,Mouse,104.0,73.0,,
2022-12-08 09:56:30.593962,Mouse,107.0,71.0,,
2022-12-08 09:56:30.613815,Mouse,114.0,68.0,,
2022-12-08 09:56:30.633736,Mouse,124.0,65.0,,
2022-12-08 09:56:30.643819,Mouse,128.0,64.0,,
2022-12-08 09:56:30.653867,Mouse,132.0,62.0,,
2022-12-08 09:56:30.672762,Mouse,137.0,62.0,,
2022-12-08 09:56:30.683895,Mouse,140.0,62.0,,
2022-12-08 09:56:30.704056,Mouse,142.0,61.0,,
2022-12-08 09:56:30.733822,Mouse,143.0,61.0,,
2022-12-08 09:56:30.944816,Mouse,143.0,61.0,,
2022-12-08 09:56:30.955109,Mouse,144.0,61.0,,
2022-12-08 09:56:30.975064,Mouse,146.0,61.0,,
2022-12-08 09:56:30.994797,Mouse,148.0,63.0,,
2022-12-08 09:56:31.004801,Mouse,151.0,64.0,,
2022-12-08 09:56:31.024818,Mouse,154.0,64.0,,
2022-12-08 09:56:31.044813,Mouse,157.0,65.0,,
2022-12-08 09:56:31.064779,Mouse,161.0,66.0,,
2022-12-08 09:56:31.074789,Mouse,164.0,67.0,,
2022-12-08 09:56:31.084897,Mouse,166.0,67.0,,
2022-12-08 09:56:31.105749,Mouse,168.0,67.0,,
2022-12-08 09:56:31.115833,Mouse,169.0,67.0,,
2022-12-08 09:56:31.145803,Mouse,170.0,68.0,,
2022-12-08 09:56:31.184781,Mouse,171.0,68.0,,
2022-12-08 09:56:31.255804,Mouse,172.0,68.0,,
2022-12-08 09:56:31.285794,Mouse,175.0,68.0,,
2022-12-08 09:56:31.305786,Mouse,178.0,69.0,,
2022-12-08 09:56:31.325809,Mouse,178.0,69.0,,
2022-12-08 09:56:31.346053,Mouse,180.0,70.0,,
2022-12-08 09:56:31.366166,Mouse,182.0,70.0,,
2022-12-08 09:56:31.385748,Mouse,186.0,71.0,,
2022-12-08 09:56:31.405782,Mouse,188.0,71.0,,
2022-12-08 09:56:31.435922,Mouse,188.0,71.0,,
2022-12-08 09:56:31.446785,Mouse,189.0,71.0,,
2022-12-08 09:56:31.497065,Mouse,190.0,71.0,,
2022-12-08 09:56:31.517064,Mouse,191.0,71.0,,
2022-12-08 09:56:31.536758,Mouse,193.0,70.0,,
2022-12-08 09:56:31.547078,Mouse,195.0,69.0,,
2022-12-08 09:56:31.565799,Mouse,198.0,68.0,,
2022-12-08 09:56:31.577041,Mouse,200.0,67.0,,
2022-12-08 09:56:31.596758,Mouse,205.0,66.0,,
2022-12-08 09:56:31.606872,Mouse,206.0,66.0,,
2022-12-08 09:56:31.617740,Mouse,207.0,66.0,,
2022-12-08 09:56:31.627754,Mouse,208.0,66.0,,
2022-12-08 09:56:31.687827,Mouse,208.0,66.0,,
2022-12-08 09:56:31.707830,Mouse,209.0,66.0,,
2022-12-08 09:56:31.727743,Mouse,210.0,66.0,,
2022-12-08 09:56:31.747799,Mouse,212.0,66.0,,
2022-12-08 09:56:31.767794,Mouse,214.0,66.0,,
2022-12-08 09:56:31.787781,Mouse,218.0,66.0,,
2022-12-08 09:56:31.797813,Mouse,220.0,66.0,,
2022-12-08 09:56:31.817788,Mouse,224.0,66.0,,
2022-12-08 09:56:31.837818,Mouse,229.0,66.0,,
2022-12-08 09:56:31.857780,Mouse,233.0,66.0,,
2022-12-08 09:56:31.877913,Mouse,234.0,66.0,,
2022-12-08 09:56:31.957840,Mouse,235.0,66.0,,
2022-12-08 09:56:32.019078,Mouse,236.0,66.0,,
2022-12-08 09:56:32.037749,Mouse,237.0,67.0,,
2022-12-08 09:56:32.048745,Mouse,237.0,67.0,,
2022-12-08 09:56:32.068780,Mouse,238.0,67.0,,
2022-12-08 09:56:32.140018,Mouse,240.0,67.0,,
2022-12-08 09:56:32.169090,Mouse,241.0,67.0,,
2022-12-08 09:56:32.179807,Mouse,243.0,67.0,,
2022-12-08 09:56:32.189826,Mouse,245.0,69.0,,
2022-12-08 09:56:32.208743,Mouse,250.0,71.0,,
2022-12-08 09:56:32.219753,Mouse,252.0,71.0,,
