Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1670461080.813176,MouseEvent,,33.333333333333336,956.0,,,Fixation,,,MouseEvent,"Down, Left"
1670461080.813176,,Mouse,33.666666666666664,955.0,,,Fixation,31.0,991.0,,
1670461080.8161998,,Eye Tracker,34.0,954.0,Valid,Valid,Fixation,,,,
1670461080.8328538,,Eye Tracker,34.0,958.0,Valid,Valid,Fixation,,,,
1670461080.849509,,Eye Tracker,33.0,958.0,Valid,Valid,Fixation,,,,
1670461080.866164,,Eye Tracker,32.0,956.0,Valid,Valid,Fixation,,,,
1670461080.882818,,Eye Tracker,31.0,957.0,Valid,Valid,Fixation,,,,
1670461080.899473,,Eye Tracker,31.0,954.0,Valid,Valid,Fixation,,,,
1670461080.916128,,Eye Tracker,27.0,953.0,Valid,Valid,Fixation,,,,
1670461080.9327838,,Eye Tracker,28.0,954.0,Valid,Valid,Fixation,,,,
1670461080.9494379,,Eye Tracker,32.0,954.0,Valid,Valid,Fixation,,,,
1670461080.9542818,,Mouse,31.5,954.0,,,Fixation,31.0,990.0,,
1670461080.9660928,,Eye Tracker,31.0,954.0,Valid,Valid,Fixation,,,,
1670461080.9827478,,Eye Tracker,29.0,954.0,Valid,Valid,Fixation,,,,
1670461080.984156,,Mouse,27.5,953.0,,,Fixation,32.0,990.0,,
1670461080.9994018,,Eye Tracker,26.0,952.0,Valid,Valid,Fixation,,,,
1670461081.0140328,,Mouse,26.0,951.5,,,Fixation,33.0,990.0,,
1670461081.016057,,Eye Tracker,26.0,951.0,Valid,Valid,Fixation,,,,
1670461081.032712,,Eye Tracker,27.0,952.0,Valid,Valid,Fixation,,,,
1670461081.033975,,Mouse,27.5,951.5,,,Fixation,34.0,990.0,,
1670461081.049366,,Eye Tracker,28.0,951.0,Valid,Valid,Fixation,,,,
1670461081.0540218,,Mouse,28.666666666666668,950.6666666666666,,,Fixation,34.0,990.0,,
1670461081.065017,,Mouse,29.333333333333332,950.3333333333334,,,Fixation,35.0,990.0,,
1670461081.066021,,Eye Tracker,30.0,950.0,Valid,Valid,Fixation,,,,
1670461081.082677,,Eye Tracker,29.0,950.0,Valid,Valid,Fixation,,,,
1670461081.099331,,Eye Tracker,26.0,950.0,Valid,Valid,Fixation,,,,
1670461081.115057,,Mouse,25.5,947.5,,,Fixation,35.0,990.0,,
1670461081.1159859,,Eye Tracker,25.0,945.0,Valid,Valid,Fixation,,,,
1670461081.1326408,,Eye Tracker,25.0,944.0,Valid,Valid,Fixation,,,,
1670461081.135048,,Mouse,25.666666666666668,946.0,,,Fixation,36.0,990.0,,
1670461081.1450698,,Mouse,26.333333333333332,948.0,,,Fixation,37.0,990.0,,
1670461081.1492949,,Eye Tracker,27.0,950.0,Valid,Valid,Fixation,,,,
1670461081.165278,,Mouse,27.0,950.0,,,Fixation,38.0,990.0,,
