Recording timestamp,Position X,Position Y
1670459201.372704,1882.0,70.0
1670459201.383016,1881.0,70.0
1670459201.392575,1879.0,70.0
1670459201.402947,1878.0,70.0
1670459201.413004,1877.0,70.0
1670459201.442525,1876.0,70.0
1670459201.462494,1874.0,71.0
1670459201.472492,1872.0,71.0
1670459201.482773,1872.0,72.0
1670459201.523435,1871.0,72.0
1670459201.65367,1870.0,73.0
1670459201.694202,1869.0,74.0
1670459201.72349,1868.0,75.0
1670459201.753713,1867.0,75.0
1670459201.784908,1866.0,76.0
1670459201.815258,1865.0,76.0
1670459201.834553,1864.0,76.0
1670459201.84499,1863.0,76.0
1670459201.884405,1862.0,76.0
1670459201.894458,1861.0,77.0
1670459202.014447,1860.0,77.0
1670459202.044851,1859.0,77.0
1670459202.055006,1858.0,77.0
1670459202.074448,1857.0,77.0
1670459202.094628,1856.0,77.0
1670459203.189573,1855.0,77.0
1670459203.229557,1853.0,77.0
1670459203.26978,1852.0,77.0
1670459203.279535,1851.0,77.0
1670459203.289776,1850.0,77.0
1670459203.309348,1849.0,77.0
1670459203.33088,1848.0,77.0
1670459203.350494,1847.0,77.0
1670459203.36099,1846.0,77.0
1670459203.380495,1845.0,77.0
1670459203.39046,1843.0,77.0
1670459203.40077,1842.0,77.0
1670459203.410389,1839.0,77.0
1670459203.420599,1837.0,77.0
1670459203.431156,1836.0,76.0
1670459203.440193,1832.0,76.0
1670459203.450474,1830.0,75.0
1670459203.460571,1828.0,75.0
1670459203.480423,1827.0,75.0
1670459203.551046,1826.0,73.0
1670459203.570298,1825.0,73.0
1670459203.580863,1823.0,73.0
1670459203.591199,1819.0,73.0
1670459203.601198,1817.0,73.0
1670459203.61058,1813.0,73.0
1670459203.620861,1808.0,73.0
1670459203.630562,1801.0,73.0
1670459203.64074,1798.0,73.0
1670459203.651062,1793.0,73.0
1670459203.661063,1789.0,73.0
1670459203.673137,1784.0,73.0
1670459203.682354,1779.0,73.0
1670459203.692354,1774.0,73.0
1670459203.702886,1766.0,73.0
1670459203.712554,1759.0,73.0
1670459203.72163,1750.0,73.0
1670459203.731626,1744.0,73.0
1670459203.742027,1735.0,73.0
1670459203.751466,1729.0,73.0
1670459203.761979,1722.0,73.0
1670459203.771634,1717.0,73.0
1670459203.781838,1713.0,73.0
1670459203.79205,1710.0,73.0
1670459203.801469,1706.0,73.0
1670459203.811783,1704.0,73.0
1670459203.821457,1701.0,73.0
1670459203.83135,1699.0,73.0
1670459203.84246,1698.0,73.0
1670459203.883527,1696.0,73.0
1670459203.942423,1695.0,73.0
1670459203.952443,1693.0,73.0
1670459203.963066,1690.0,73.0
1670459203.972873,1688.0,73.0
1670459203.982907,1684.0,73.0
1670459203.992738,1679.0,73.0
1670459204.002879,1672.0,73.0
1670459204.01425,1666.0,73.0
1670459204.024497,1659.0,73.0
1670459204.032621,1651.0,73.0
1670459204.042835,1642.0,73.0
1670459204.053475,1634.0,74.0
1670459204.062813,1629.0,74.0
1670459204.073017,1625.0,74.0
1670459204.083057,1620.0,74.0
1670459204.092968,1619.0,74.0
1670459204.11228,1616.0,74.0
1670459204.122819,1614.0,74.0
1670459204.132786,1613.0,74.0
1670459204.143031,1612.0,74.0
1670459204.152776,1609.0,74.0
1670459204.16239,1607.0,73.0
1670459204.172595,1605.0,73.0
1670459204.183592,1602.0,73.0
1670459204.194922,1599.0,73.0
1670459204.204927,1596.0,72.0
1670459204.214561,1593.0,72.0
1670459204.225522,1592.0,72.0
1670459204.233541,1590.0,71.0
1670459204.2435,1589.0,71.0
1670459204.253401,1587.0,71.0
1670459204.264084,1586.0,71.0
1670459204.273078,1584.0,70.0
1670459204.283411,1581.0,70.0
1670459204.293179,1580.0,70.0
1670459204.30369,1577.0,69.0
1670459204.313692,1574.0,69.0
1670459204.323424,1571.0,69.0
1670459204.333686,1568.0,69.0
1670459204.343912,1563.0,67.0
1670459204.354826,1560.0,67.0
1670459204.365142,1554.0,67.0
1670459204.375034,1550.0,67.0
1670459204.384568,1546.0,67.0
1670459204.395618,1542.0,67.0
1670459204.404628,1538.0,67.0
1670459204.41523,1533.0,67.0
1670459204.424583,1527.0,67.0
1670459204.43436,1523.0,67.0
1670459204.444851,1517.0,67.0
1670459204.45505,1511.0,67.0
1670459204.465056,1505.0,67.0
1670459204.475113,1497.0,67.0
1670459204.484607,1491.0,67.0
1670459204.494605,1484.0,67.0
1670459204.505143,1480.0,67.0
1670459204.515052,1476.0,67.0
1670459204.524961,1473.0,67.0
1670459204.535012,1472.0,67.0
1670459204.544803,1471.0,67.0
1670459204.565388,1470.0,67.0
1670459204.574891,1469.0,67.0
1670459204.594249,1468.0,67.0
1670459204.604674,1467.0,67.0
1670459204.614718,1466.0,67.0
1670459204.624776,1464.0,67.0
1670459204.6343,1462.0,67.0
1670459204.645003,1459.0,67.0
1670459204.655299,1456.0,67.0
1670459204.664365,1453.0,67.0
1670459204.67519,1445.0,67.0
1670459204.685216,1439.0,67.0
1670459204.695476,1433.0,67.0
1670459204.705474,1427.0,67.0
1670459204.715548,1422.0,67.0
1670459204.725679,1418.0,67.0
1670459204.737039,1414.0,67.0
1670459204.746104,1411.0,67.0
1670459204.755341,1408.0,67.0
1670459204.765469,1405.0,67.0
1670459204.775822,1402.0,67.0
1670459204.785699,1399.0,67.0
1670459204.79576,1396.0,67.0
1670459204.805722,1394.0,67.0
1670459204.816939,1390.0,67.0
1670459204.825858,1387.0,67.0
1670459204.836052,1385.0,67.0
1670459204.846054,1382.0,67.0
1670459204.855451,1380.0,67.0
1670459204.866976,1377.0,67.0
1670459204.877059,1375.0,67.0
1670459204.936678,1374.0,67.0
1670459204.956976,1373.0,67.0
1670459204.966521,1372.0,67.0
1670459204.976731,1371.0,67.0
1670459204.987121,1370.0,67.0
1670459204.996422,1369.0,68.0
1670459205.006993,1368.0,69.0
1670459205.016762,1365.0,70.0
1670459205.027001,1365.0,71.0
1670459205.036797,1363.0,72.0
1670459205.047195,1362.0,74.0
1670459205.056609,1361.0,75.0
1670459205.066915,1360.0,76.0
1670459205.078015,1359.0,78.0
1670459205.096698,1356.0,82.0
1670459205.107013,1355.0,84.0
1670459205.11802,1354.0,86.0
1670459205.128096,1352.0,88.0
1670459205.137199,1351.0,90.0
1670459205.146385,1351.0,92.0
1670459205.156718,1351.0,93.0
1670459205.166686,1350.0,93.0
1670459205.176773,1350.0,94.0
1670459205.186914,1350.0,95.0
1670459205.196207,1349.0,96.0
1670459205.208171,1348.0,99.0
1670459205.217522,1348.0,102.0
1670459205.22781,1347.0,105.0
1670459205.237857,1345.0,107.0
1670459205.24855,1344.0,111.0
1670459205.257803,1342.0,114.0
1670459205.26805,1342.0,115.0
1670459205.277402,1341.0,119.0
1670459205.289059,1340.0,121.0
1670459205.297141,1340.0,125.0
1670459205.30743,1338.0,127.0
1670459205.317556,1337.0,130.0
1670459205.32759,1336.0,134.0
1670459205.338123,1335.0,138.0
1670459205.347638,1334.0,141.0
1670459205.357808,1332.0,146.0
1670459205.367883,1331.0,151.0
1670459205.378453,1330.0,155.0
1670459205.388903,1328.0,161.0
1670459205.398957,1327.0,165.0
1670459205.409974,1325.0,171.0
1670459205.421037,1324.0,176.0
1670459205.428075,1323.0,179.0
1670459205.439119,1323.0,183.0
1670459205.449226,1323.0,187.0
1670459205.460264,1322.0,192.0
1670459205.46883,1322.0,195.0
1670459205.479363,1322.0,197.0
1670459205.488401,1320.0,201.0
1670459205.498607,1320.0,206.0
1670459205.508772,1320.0,209.0
1670459205.518802,1320.0,212.0
1670459205.528847,1320.0,216.0
1670459205.539383,1320.0,219.0
1670459205.548999,1320.0,221.0
1670459205.559046,1320.0,222.0
1670459205.568319,1320.0,225.0
1670459205.579018,1320.0,226.0
1670459205.590026,1320.0,228.0
1670459205.599426,1320.0,230.0
1670459205.609039,1320.0,231.0
1670459205.618602,1320.0,233.0
1670459205.629979,1320.0,235.0
1670459205.638665,1320.0,236.0
1670459205.648677,1320.0,238.0
1670459205.658678,1320.0,241.0
1670459205.668552,1320.0,244.0
1670459205.678694,1320.0,246.0
1670459205.688471,1320.0,249.0
1670459205.698411,1320.0,252.0
1670459205.708819,1320.0,255.0
1670459205.719894,1320.0,259.0
1670459205.72985,1320.0,263.0
1670459205.740085,1320.0,267.0
1670459205.749979,1320.0,271.0
1670459205.760488,1320.0,275.0
1670459205.770042,1320.0,278.0
1670459205.779876,1320.0,283.0
1670459205.789209,1320.0,286.0
1670459205.801174,1320.0,290.0
1670459205.80941,1320.0,296.0
1670459205.819448,1320.0,300.0
1670459205.829875,1320.0,304.0
1670459205.83939,1320.0,309.0
1670459205.849383,1320.0,315.0
1670459205.859218,1320.0,318.0
1670459205.869591,1320.0,323.0
1670459205.879596,1320.0,327.0
1670459205.890775,1320.0,334.0
1670459205.90111,1320.0,338.0
1670459205.912206,1320.0,345.0
1670459205.921389,1320.0,349.0
1670459205.931704,1319.0,353.0
1670459205.940773,1319.0,357.0
1670459205.95046,1318.0,360.0
1670459205.960696,1318.0,362.0
1670459205.971669,1318.0,364.0
1670459205.980466,1318.0,365.0
1670459206.00108,1317.0,368.0
1670459206.010359,1317.0,369.0
1670459206.02101,1317.0,372.0
1670459206.030942,1317.0,374.0
1670459206.040699,1317.0,375.0
1670459206.051047,1317.0,377.0
1670459206.061142,1317.0,379.0
1670459206.070973,1317.0,380.0
1670459206.080335,1317.0,381.0
1670459206.090549,1317.0,383.0
1670459206.101804,1317.0,384.0
1670459206.110582,1317.0,385.0
1670459206.121003,1317.0,386.0
1670459206.131374,1317.0,388.0
1670459206.141379,1317.0,390.0
1670459206.150644,1317.0,391.0
1670459206.161009,1317.0,394.0
1670459206.171011,1317.0,396.0
1670459206.181049,1317.0,398.0
1670459206.190507,1317.0,400.0
1670459206.200507,1317.0,403.0
1670459206.210348,1317.0,405.0
1670459206.2205,1317.0,408.0
1670459206.231499,1317.0,410.0
1670459206.241326,1317.0,412.0
1670459206.251443,1317.0,414.0
1670459206.261221,1317.0,415.0
1670459206.272222,1317.0,418.0
1670459206.281154,1317.0,420.0
1670459206.291327,1317.0,421.0
1670459206.30233,1317.0,423.0
1670459206.312607,1317.0,424.0
1670459206.321999,1317.0,427.0
1670459206.332158,1317.0,430.0
1670459206.341863,1317.0,433.0
1670459206.351154,1318.0,436.0
1670459206.362102,1318.0,438.0
1670459206.371345,1319.0,441.0
1670459206.381499,1319.0,443.0
1670459206.391757,1319.0,444.0
1670459206.402836,1320.0,445.0
1670459206.412639,1320.0,446.0
1670459206.422982,1320.0,447.0
1670459206.432547,1321.0,448.0
1670459206.443546,1321.0,449.0
1670459206.453076,1322.0,451.0
1670459206.463084,1322.0,452.0
1670459206.4728,1323.0,453.0
1670459206.48413,1324.0,455.0
1670459206.503162,1325.0,457.0
1670459206.51316,1325.0,458.0
1670459206.532679,1326.0,459.0
1670459206.542412,1327.0,459.0
1670459206.552521,1327.0,460.0
1670459206.572544,1328.0,461.0
1670459206.592551,1330.0,462.0
1670459206.602643,1331.0,462.0
1670459206.613687,1332.0,463.0
1670459206.622681,1333.0,465.0
