Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1670459359.936,MouseEvent,,553.6666666666666,617.6666666666666,,,Fixation
1670459359.950086,,Mouse,554.3333333333334,618.3333333333334,,,Fixation
1670459359.9519842,,Eye Tracker,555.0,619.0,Invalid,Valid,Fixation
1670459359.9686391,,Eye Tracker,557.0,619.0,Invalid,Valid,Fixation
1670459359.973998,,Eye Tracker,554.0,622.0,Invalid,Valid,Fixation
1670459359.989995,,Eye Tracker,553.0,619.0,Invalid,Valid,Fixation
1670459360.0001972,,Eye Tracker,555.0,618.0,Invalid,Valid,Fixation
1670459360.005963,,Eye Tracker,556.0,618.0,Invalid,Valid,Fixation
1670459360.0168512,,Eye Tracker,556.0,618.0,Invalid,Valid,Fixation
1670459360.021994,,Eye Tracker,559.0,621.0,Invalid,Valid,Fixation
1670459360.0335062,,Eye Tracker,562.0,621.0,Invalid,Valid,Fixation
1670459360.037976,,Eye Tracker,560.0,620.0,Invalid,Valid,Fixation
1670459360.0539582,,Eye Tracker,560.0,619.0,Invalid,Valid,Fixation
1670459360.066884,,Eye Tracker,560.0,620.0,Invalid,Valid,Fixation
1670459360.0699592,,Eye Tracker,560.0,620.0,Invalid,Valid,Fixation
1670459360.083538,,Eye Tracker,562.0,621.0,Invalid,Valid,Fixation
1670459360.085968,,Eye Tracker,559.0,622.0,Invalid,Valid,Fixation
1670459360.100193,,Eye Tracker,557.0,621.0,Invalid,Valid,Fixation
1670459360.101995,,Eye Tracker,560.0,621.0,Invalid,Valid,Fixation
1670459360.1168492,,Eye Tracker,562.0,620.0,Invalid,Valid,Fixation
1670459360.117985,,Eye Tracker,562.0,622.0,Invalid,Valid,Fixation
1670459360.1335032,,Eye Tracker,562.0,622.0,Invalid,Valid,Fixation
1670459360.133991,,Mouse,560.5,622.0,,,Fixation
1670459360.149991,,Eye Tracker,559.0,622.0,Invalid,Valid,Fixation
1670459360.1501582,,Mouse,559.5,623.5,,,Fixation
1670459360.1660042,,Eye Tracker,560.0,625.0,Invalid,Valid,Fixation
1670459360.1668122,,Mouse,561.5,625.0,,,Fixation
1670459360.1819692,,Eye Tracker,563.0,625.0,Invalid,Valid,Fixation
1670459360.1834662,,Mouse,561.5,624.0,,,Fixation
1670459360.2001212,,Eye Tracker,560.0,623.0,Invalid,Valid,Fixation
1670459360.2167761,,Eye Tracker,560.0,623.0,Invalid,Valid,Fixation
