Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1670459576.1996,,Eye Tracker,1768.0,318.0,Valid,Valid,Fixation
1670459576.216255,,Eye Tracker,1765.0,317.0,Valid,Valid,Fixation
1670459576.232909,,Eye Tracker,1764.0,316.0,Valid,Valid,Fixation
1670459576.249564,,Eye Tracker,1765.0,317.0,Valid,Valid,Fixation
1670459576.266219,,Eye Tracker,1761.0,317.0,Valid,Valid,Fixation
1670459576.282874,,Eye Tracker,1759.0,315.0,Valid,Valid,Fixation
1670459576.299529,,Eye Tracker,1758.0,315.0,Valid,Valid,Fixation
1670459576.316184,,Eye Tracker,1760.0,316.0,Valid,Valid,Fixation
1670459576.332839,,Eye Tracker,1759.0,314.0,Valid,Valid,Fixation
1670459576.349493,,Eye Tracker,1764.0,317.0,Valid,Valid,Fixation
1670459576.366148,,Eye Tracker,1767.0,317.0,Valid,Valid,Fixation
1670459576.382803,,Eye Tracker,1761.0,315.0,Valid,Valid,Fixation
1670459576.399457,,Eye Tracker,1764.0,317.0,Valid,Valid,Fixation
1670459576.416112,,Eye Tracker,1767.0,315.0,Valid,Valid,Fixation
1670459576.432768,,Eye Tracker,1766.0,315.0,Valid,Valid,Fixation
1670459576.449422,,Eye Tracker,1765.0,315.0,Valid,Valid,Fixation
1670459576.466077,,Eye Tracker,1762.0,313.0,Valid,Valid,Fixation
1670459576.482732,,Eye Tracker,1698.0,325.0,Valid,Valid,Saccade
1670459576.499386,,Eye Tracker,1641.0,315.0,Valid,Valid,Saccade
1670459576.516041,,Eye Tracker,1281.0,429.0,Valid,Valid,Saccade
1670459576.532696,,Eye Tracker,1267.0,440.0,Valid,Valid,Unclassified
1670459576.54935,,Eye Tracker,1241.0,452.0,Valid,Valid,Saccade
1670459576.566005,,Eye Tracker,1234.0,454.0,Valid,Valid,Fixation
1670459576.582661,,Eye Tracker,1230.0,458.0,Valid,Valid,Fixation
1670459576.599316,,Eye Tracker,1230.0,461.0,Valid,Valid,Fixation
1670459576.61597,,Eye Tracker,1231.0,463.0,Valid,Valid,Fixation
1670459576.632625,,Eye Tracker,1230.0,464.0,Valid,Valid,Fixation
1670459576.64928,,Eye Tracker,1230.0,466.0,Valid,Valid,Fixation
1670459576.665934,,Eye Tracker,1229.0,469.0,Valid,Valid,Fixation
1670459576.682589,,Eye Tracker,1229.0,472.0,Valid,Valid,Fixation
1670459576.699244,,Eye Tracker,1230.0,474.0,Valid,Valid,Fixation
1670459576.715898,,Eye Tracker,1291.0,460.0,Valid,Valid,Saccade
