Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-08 11:02:19.989155,,,,MouseEvent,"Down, Left"
2022-12-08 11:02:19.989155,Mouse,1604.0,697.0,,
2022-12-08 11:02:20.139293,Mouse,1604.0,697.0,,
2022-12-08 11:02:20.159086,Mouse,1603.0,696.0,,
2022-12-08 11:02:20.180006,Mouse,1602.0,694.0,,
2022-12-08 11:02:20.190145,Mouse,1602.0,693.0,,
2022-12-08 11:02:20.200315,Mouse,1601.0,693.0,,
2022-12-08 11:02:20.221050,Mouse,1600.0,690.0,,
2022-12-08 11:02:20.240306,Mouse,1599.0,690.0,,
2022-12-08 11:02:20.261343,Mouse,1598.0,689.0,,
2022-12-08 11:02:20.280086,Mouse,1596.0,687.0,,
2022-12-08 11:02:20.301505,Mouse,1593.0,686.0,,
2022-12-08 11:02:20.320239,Mouse,1591.0,686.0,,
2022-12-08 11:02:20.330280,Mouse,1590.0,685.0,,
2022-12-08 11:02:20.341137,Mouse,1590.0,685.0,,
2022-12-08 11:02:20.361340,Mouse,1587.0,685.0,,
2022-12-08 11:02:20.371354,Mouse,1586.0,685.0,,
2022-12-08 11:02:20.392305,Mouse,1582.0,684.0,,
2022-12-08 11:02:20.411013,Mouse,1578.0,682.0,,
2022-12-08 11:02:20.421111,Mouse,1573.0,680.0,,
2022-12-08 11:02:20.432109,Mouse,1566.0,677.0,,
2022-12-08 11:02:20.451055,Mouse,1560.0,674.0,,
2022-12-08 11:02:20.461131,Mouse,1553.0,671.0,,
2022-12-08 11:02:20.472092,Mouse,1548.0,667.0,,
2022-12-08 11:02:20.491101,Mouse,1537.0,661.0,,
2022-12-08 11:02:20.501124,Mouse,1531.0,657.0,,
2022-12-08 11:02:20.512037,Mouse,1525.0,655.0,,
2022-12-08 11:02:20.531150,Mouse,1519.0,652.0,,
2022-12-08 11:02:20.551018,Mouse,1515.0,650.0,,
2022-12-08 11:02:20.562291,Mouse,1514.0,650.0,,
2022-12-08 11:02:20.581060,Mouse,1510.0,650.0,,
2022-12-08 11:02:20.591112,Mouse,1508.0,649.0,,
2022-12-08 11:02:20.602185,Mouse,1507.0,649.0,,
2022-12-08 11:02:20.621062,Mouse,1505.0,648.0,,
2022-12-08 11:02:20.631227,Mouse,1502.0,647.0,,
2022-12-08 11:02:20.642069,Mouse,1500.0,646.0,,
2022-12-08 11:02:20.661307,Mouse,1495.0,643.0,,
2022-12-08 11:02:20.682066,Mouse,1484.0,636.0,,
2022-12-08 11:02:20.702088,Mouse,1463.0,621.0,,
2022-12-08 11:02:20.722341,Mouse,1434.0,600.0,,
2022-12-08 11:02:20.733254,Mouse,1415.0,590.0,,
2022-12-08 11:02:20.752068,Mouse,1386.0,574.0,,
