Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1670465421.2810102,MouseEvent,,1353.0,449.0,,,Saccade,,,MouseEvent,"Down, Left"
1670465421.2810102,,Mouse,1332.0,451.0,,,Saccade,1401.0,409.0,,
1670465421.2828481,,Eye Tracker,1311.0,453.0,Invalid,Valid,Saccade,,,,
1670465421.299503,,Eye Tracker,1255.0,463.0,Invalid,Valid,Saccade,,,,
1670465421.316158,,Eye Tracker,1257.0,458.0,Invalid,Valid,Fixation,,,,
1670465421.332813,,Eye Tracker,1261.0,458.0,Invalid,Valid,Fixation,,,,
1670465421.349468,,Eye Tracker,1258.0,461.0,Invalid,Valid,Fixation,,,,
1670465421.366122,,Eye Tracker,1257.0,459.0,Invalid,Valid,Fixation,,,,
1670465421.382777,,Eye Tracker,1259.0,458.0,Invalid,Valid,Fixation,,,,
1670465421.391895,,Mouse,1258.0,459.5,,,Fixation,1401.0,408.0,,
1670465421.3994322,,Eye Tracker,1257.0,461.0,Invalid,Valid,Fixation,,,,
1670465421.411859,,Mouse,1255.5,460.5,,,Fixation,1400.0,407.0,,
1670465421.4160872,,Eye Tracker,1254.0,460.0,Invalid,Valid,Fixation,,,,
1670465421.4220202,,Mouse,1255.5,457.5,,,Fixation,1399.0,407.0,,
1670465421.432742,,Eye Tracker,1257.0,455.0,Invalid,Valid,Fixation,,,,
1670465421.4418452,,Mouse,1258.0,456.0,,,Fixation,1394.0,400.0,,
1670465421.449397,,Eye Tracker,1259.0,457.0,Invalid,Valid,Fixation,,,,
1670465421.451916,,Mouse,1257.5,458.5,,,Fixation,1390.0,396.0,,
1670465421.466051,,Eye Tracker,1256.0,460.0,Invalid,Valid,Fixation,,,,
1670465421.471858,,Mouse,1256.0,460.3333333333333,,,Fixation,1378.0,384.0,,
1670465421.482121,,Mouse,1256.0,460.6666666666667,,,Fixation,1371.0,377.0,,
1670465421.482706,,Eye Tracker,1256.0,461.0,Invalid,Valid,Fixation,,,,
1670465421.49287,,Mouse,1257.0,458.5,,,Fixation,1365.0,371.0,,
1670465421.499361,,Eye Tracker,1258.0,456.0,Invalid,Valid,Fixation,,,,
1670465421.513071,,Mouse,1257.5,455.5,,,Fixation,1351.0,357.0,,
1670465421.516015,,Eye Tracker,1257.0,455.0,Invalid,Valid,Fixation,,,,
