Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-29 15:16:38.875831,,Eye Tracker,1941.0,1021.0,Valid,Valid,Fixation
2022-11-29 15:16:38.892487,,Eye Tracker,1941.0,1019.0,Valid,Valid,Fixation
2022-11-29 15:16:38.909142,,Eye Tracker,1939.0,1018.0,Valid,Valid,Fixation
2022-11-29 15:16:38.925796,,Eye Tracker,1933.0,1019.0,Valid,Valid,Fixation
2022-11-29 15:16:38.942451,,Eye Tracker,1932.0,1023.0,Valid,Valid,Fixation
2022-11-29 15:16:38.959106,,Eye Tracker,1930.0,1022.0,Valid,Valid,Fixation
2022-11-29 15:16:38.975760,,Eye Tracker,1927.0,1019.0,Valid,Valid,Fixation
2022-11-29 15:16:38.992415,,Eye Tracker,1926.0,1022.0,Valid,Valid,Fixation
2022-11-29 15:16:39.009070,,Eye Tracker,1929.0,1021.0,Valid,Valid,Fixation
2022-11-29 15:16:39.025725,,Eye Tracker,1930.0,1018.0,Valid,Valid,Fixation
2022-11-29 15:16:39.042380,,Eye Tracker,1930.0,1023.0,Valid,Valid,Fixation
2022-11-29 15:16:39.059035,,Eye Tracker,1926.0,1026.0,Valid,Valid,Fixation
2022-11-29 15:16:39.075690,,Eye Tracker,1922.0,1024.0,Valid,Valid,Fixation
2022-11-29 15:16:39.092344,,Eye Tracker,1921.0,1024.0,Valid,Valid,Fixation
2022-11-29 15:16:39.108999,,Eye Tracker,1920.0,1023.0,Valid,Valid,Fixation
2022-11-29 15:16:39.125654,,Eye Tracker,1919.0,1021.0,Valid,Valid,Fixation
2022-11-29 15:16:39.142308,,Eye Tracker,1914.0,1020.0,Valid,Valid,Fixation
2022-11-29 15:16:39.158963,,Eye Tracker,1918.0,1023.0,Valid,Valid,Fixation
2022-11-29 15:16:39.175618,,Eye Tracker,1920.0,1024.0,Valid,Valid,Fixation
2022-11-29 15:16:39.192273,,Eye Tracker,1913.0,1023.0,Valid,Valid,Fixation
2022-11-29 15:16:39.208928,,Eye Tracker,1912.0,1023.0,Valid,Valid,Fixation
2022-11-29 15:16:39.225583,,Eye Tracker,1912.0,1022.0,Valid,Valid,Fixation
2022-11-29 15:16:39.242237,,Eye Tracker,1915.0,1025.0,Valid,Valid,Fixation
2022-11-29 15:16:39.258892,,Eye Tracker,1916.0,1030.0,Valid,Valid,Fixation
2022-11-29 15:16:39.275547,,Eye Tracker,1913.0,1030.0,Valid,Valid,Fixation
2022-11-29 15:16:39.292202,,Eye Tracker,1911.0,1030.0,Valid,Valid,Fixation
2022-11-29 15:16:39.308856,,Eye Tracker,1910.0,1031.0,Valid,Valid,Fixation
2022-11-29 15:16:39.325511,,Eye Tracker,1908.0,1032.0,Valid,Valid,Fixation
2022-11-29 15:16:39.342167,,Eye Tracker,1889.0,1036.0,Valid,Valid,Fixation
2022-11-29 15:16:39.358821,,Eye Tracker,1867.0,1040.0,Valid,Valid,Fixation
2022-11-29 15:16:39.375476,,Eye Tracker,1867.0,1044.0,Valid,Valid,Fixation
2022-11-29 15:16:39.392131,,Eye Tracker,1867.0,1048.0,Valid,Valid,Fixation
2022-11-29 15:16:39.408785,,Eye Tracker,1870.0,1049.0,Valid,Valid,Fixation
2022-11-29 15:16:39.425440,,Eye Tracker,1868.0,1051.0,Valid,Valid,Fixation
2022-11-29 15:16:39.442095,,Eye Tracker,1866.0,1049.0,Valid,Valid,Fixation
2022-11-29 15:16:39.458749,,Eye Tracker,1865.0,1049.0,Valid,Valid,Fixation
2022-11-29 15:16:39.475404,,Eye Tracker,1862.0,1051.0,Valid,Valid,Fixation
2022-11-29 15:16:39.492059,,Eye Tracker,1865.0,1051.0,Valid,Valid,Fixation
2022-11-29 15:16:39.508714,,Eye Tracker,1869.0,1048.0,Valid,Valid,Fixation
2022-11-29 15:16:39.525369,,Eye Tracker,1865.0,1046.0,Valid,Valid,Fixation
