Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669703795.141,MouseEvent,,521.0909090909091,604.2727272727273,,,EyesNotFound
1669703795.1570191,,Mouse,517.8181818181818,601.9545454545455,,,EyesNotFound
1669703795.173674,,Eye Tracker,514.5454545454545,599.6363636363636,Invalid,Invalid,EyesNotFound
1669703795.204595,,Eye Tracker,511.27272727272725,597.3181818181818,Invalid,Invalid,EyesNotFound
1669703795.22125,,Eye Tracker,508.0,595.0,Valid,Valid,Saccade
1669703795.237904,,Eye Tracker,548.0,580.0,Valid,Valid,Saccade
1669703795.271285,,Eye Tracker,566.0,563.0,Valid,Valid,Saccade
1669703795.287939,,Eye Tracker,563.0,534.0,Valid,Valid,Saccade
1669703795.304594,,Eye Tracker,559.0,536.0,Valid,Valid,Fixation
1669703795.32125,,Eye Tracker,559.0,537.0,Valid,Valid,Fixation
1669703795.337904,,Eye Tracker,566.0,535.0,Valid,Valid,Fixation
1669703795.354559,,Eye Tracker,563.0,539.0,Valid,Valid,Fixation
1669703795.364073,,Eye Tracker,561.0,537.0,Valid,Valid,Fixation
1669703795.3712142,,Eye Tracker,565.0,534.0,Valid,Valid,Fixation
1669703795.380074,,Eye Tracker,564.0,535.0,Valid,Valid,Fixation
1669703795.387868,,Eye Tracker,564.0,531.0,Valid,Valid,Fixation
1669703795.396068,,Eye Tracker,565.0,528.0,Valid,Valid,Fixation
1669703795.4045231,,Mouse,565.3333333333334,528.6666666666666,,,Fixation
1669703795.412074,,Mouse,565.6666666666666,529.3333333333334,,,Fixation
1669703795.421178,,Eye Tracker,566.0,530.0,Valid,Valid,Fixation
1669703795.423603,,Eye Tracker,564.0,542.0,Valid,Valid,Fixation
1669703795.436131,,Mouse,564.5,545.0,,,Fixation
1669703795.437833,,Eye Tracker,565.0,548.0,Valid,Valid,Fixation
1669703795.452124,,Mouse,567.0,550.5,,,Fixation
1669703795.454488,,Eye Tracker,569.0,553.0,Valid,Valid,Fixation
1669703795.468123,,Eye Tracker,569.0,553.0,Valid,Valid,Fixation
1669703795.471143,,Mouse,564.5,549.0,,,Fixation
1669703795.484075,,Eye Tracker,560.0,545.0,Valid,Valid,Fixation
