Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669697589.048163,,Eye Tracker,1424.0,434.0,Valid,Valid,Saccade
1669697589.064817,,Eye Tracker,1252.0,446.0,Valid,Valid,Saccade
1669697589.081473,,Eye Tracker,1243.0,451.0,Valid,Valid,Fixation
1669697589.098128,,Eye Tracker,1246.0,448.0,Valid,Valid,Fixation
1669697589.114782,,Eye Tracker,1251.0,451.0,Valid,Valid,Fixation
1669697589.131437,,Eye Tracker,1255.0,450.0,Valid,Valid,Fixation
1669697589.148092,,Eye Tracker,1249.0,449.0,Valid,Valid,Fixation
1669697589.164746,,Eye Tracker,1253.0,449.0,Valid,Valid,Fixation
1669697589.181401,,Eye Tracker,1256.0,445.0,Valid,Valid,Fixation
1669697589.198056,,Eye Tracker,1258.0,446.0,Valid,Valid,Fixation
1669697589.21471,,Eye Tracker,1264.0,449.0,Valid,Valid,Fixation
1669697589.231366,,Eye Tracker,1341.0,444.0,Valid,Valid,Saccade
1669697589.248021,,Eye Tracker,1496.0,440.0,Valid,Valid,Saccade
1669697589.264676,,Eye Tracker,1543.0,435.0,Valid,Valid,Saccade
1669697589.28133,,Eye Tracker,1556.0,414.0,Valid,Valid,Saccade
1669697589.297985,,Eye Tracker,1554.0,415.0,Valid,Valid,Fixation
1669697589.31464,,Eye Tracker,1557.0,414.0,Valid,Valid,Fixation
1669697589.331294,,Eye Tracker,1560.0,413.0,Valid,Valid,Fixation
1669697589.347949,,Eye Tracker,1547.0,419.0,Valid,Valid,Fixation
1669697589.364604,,Eye Tracker,1542.0,421.0,Valid,Valid,Fixation
1669697589.381259,,Eye Tracker,1541.0,431.0,Valid,Valid,Fixation
1669697589.397914,,Eye Tracker,1543.0,433.0,Valid,Valid,Fixation
1669697589.414569,,Eye Tracker,1540.0,428.0,Valid,Valid,Fixation
1669697589.431223,,Eye Tracker,1538.0,425.0,Valid,Valid,Fixation
1669697589.447878,,Eye Tracker,1541.0,428.0,Valid,Valid,Fixation
1669697589.464533,,Eye Tracker,1542.0,431.0,Valid,Valid,Fixation
