Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-11-29 13:56:15.619500,,,,MouseEvent,"Down, Left"
2022-11-29 13:56:15.619500,Mouse,1702.0,297.0,,
2022-11-29 13:56:15.649436,Mouse,1701.0,297.0,,
2022-11-29 13:56:15.761603,Mouse,1701.0,297.0,,
2022-11-29 13:56:15.811340,Mouse,1699.0,296.0,,
2022-11-29 13:56:15.831608,Mouse,1696.0,296.0,,
2022-11-29 13:56:15.851328,Mouse,1691.0,294.0,,
2022-11-29 13:56:15.861413,Mouse,1689.0,292.0,,
2022-11-29 13:56:15.872473,Mouse,1686.0,291.0,,
2022-11-29 13:56:15.892436,Mouse,1677.0,287.0,,
2022-11-29 13:56:15.902437,Mouse,1671.0,286.0,,
2022-11-29 13:56:15.922320,Mouse,1662.0,282.0,,
2022-11-29 13:56:15.932603,Mouse,1656.0,280.0,,
2022-11-29 13:56:15.952332,Mouse,1649.0,279.0,,
2022-11-29 13:56:15.972556,Mouse,1644.0,277.0,,
2022-11-29 13:56:15.982557,Mouse,1641.0,277.0,,
2022-11-29 13:56:16.002653,Mouse,1639.0,277.0,,
2022-11-29 13:56:16.042366,Mouse,1637.0,277.0,,
2022-11-29 13:56:16.062445,Mouse,1635.0,276.0,,
2022-11-29 13:56:16.082308,Mouse,1634.0,276.0,,
2022-11-29 13:56:16.092359,Mouse,1633.0,275.0,,
2022-11-29 13:56:16.102581,Mouse,1632.0,275.0,,
2022-11-29 13:56:16.122360,Mouse,1630.0,273.0,,
2022-11-29 13:56:16.132618,Mouse,1629.0,272.0,,
2022-11-29 13:56:16.152359,Mouse,1627.0,271.0,,
2022-11-29 13:56:16.172271,Mouse,1626.0,270.0,,
2022-11-29 13:56:16.192359,Mouse,1626.0,270.0,,
2022-11-29 13:56:16.213316,Mouse,1624.0,270.0,,
2022-11-29 13:56:16.223405,Mouse,1621.0,269.0,,
2022-11-29 13:56:16.243278,Mouse,1617.0,269.0,,
2022-11-29 13:56:16.253324,Mouse,1615.0,269.0,,
2022-11-29 13:56:16.263544,Mouse,1612.0,269.0,,
2022-11-29 13:56:16.283354,Mouse,1607.0,269.0,,
2022-11-29 13:56:16.293483,Mouse,1601.0,269.0,,
2022-11-29 13:56:16.313356,Mouse,1595.0,269.0,,
2022-11-29 13:56:16.323361,Mouse,1591.0,269.0,,
2022-11-29 13:56:16.343386,Mouse,1586.0,269.0,,
2022-11-29 13:56:16.353591,Mouse,1585.0,269.0,,
2022-11-29 13:56:16.373367,Mouse,1580.0,269.0,,
2022-11-29 13:56:16.384332,Mouse,1580.0,269.0,,
2022-11-29 13:56:16.404316,Mouse,1576.0,269.0,,
2022-11-29 13:56:16.424619,Mouse,1575.0,269.0,,
2022-11-29 13:56:16.444325,Mouse,1571.0,269.0,,
2022-11-29 13:56:16.464366,Mouse,1570.0,269.0,,
2022-11-29 13:56:16.474372,Mouse,1569.0,269.0,,
2022-11-29 13:56:16.484576,Mouse,1568.0,269.0,,
2022-11-29 13:56:16.503306,Mouse,1565.0,269.0,,
2022-11-29 13:56:16.514333,Mouse,1563.0,269.0,,
2022-11-29 13:56:16.524524,Mouse,1562.0,269.0,,
2022-11-29 13:56:16.543305,Mouse,1558.0,269.0,,
2022-11-29 13:56:16.554612,Mouse,1554.0,269.0,,
2022-11-29 13:56:16.574374,Mouse,1549.0,269.0,,
2022-11-29 13:56:16.594347,Mouse,1541.0,268.0,,
2022-11-29 13:56:16.604388,Mouse,1535.0,267.0,,
2022-11-29 13:56:16.624436,Mouse,1524.0,265.0,,
2022-11-29 13:56:16.644304,Mouse,1517.0,264.0,,
2022-11-29 13:56:16.654332,Mouse,1513.0,264.0,,
2022-11-29 13:56:16.664375,Mouse,1511.0,264.0,,
2022-11-29 13:56:16.684358,Mouse,1502.0,264.0,,
2022-11-29 13:56:16.694449,Mouse,1497.0,263.0,,
2022-11-29 13:56:16.714270,Mouse,1492.0,262.0,,
2022-11-29 13:56:16.725483,Mouse,1489.0,261.0,,
2022-11-29 13:56:16.745320,Mouse,1480.0,261.0,,
2022-11-29 13:56:16.755593,Mouse,1477.0,261.0,,
2022-11-29 13:56:16.775295,Mouse,1472.0,261.0,,
2022-11-29 13:56:16.785381,Mouse,1468.0,260.0,,
2022-11-29 13:56:16.795506,Mouse,1464.0,260.0,,
2022-11-29 13:56:16.815339,Mouse,1453.0,258.0,,
2022-11-29 13:56:16.835359,Mouse,1443.0,257.0,,
2022-11-29 13:56:16.855593,Mouse,1433.0,257.0,,
2022-11-29 13:56:16.875311,Mouse,1425.0,256.0,,
2022-11-29 13:56:16.885618,Mouse,1422.0,256.0,,
2022-11-29 13:56:16.896345,Mouse,1420.0,256.0,,
2022-11-29 13:56:16.916336,Mouse,1416.0,256.0,,
2022-11-29 13:56:16.926497,Mouse,1415.0,256.0,,
2022-11-29 13:56:17.066374,Mouse,1414.0,256.0,,
2022-11-29 13:56:17.076391,Mouse,1413.0,257.0,,
2022-11-29 13:56:17.096376,Mouse,1412.0,259.0,,
2022-11-29 13:56:17.116583,Mouse,1411.0,262.0,,
2022-11-29 13:56:17.136353,Mouse,1408.0,264.0,,
2022-11-29 13:56:17.156353,Mouse,1407.0,265.0,,
2022-11-29 13:56:17.176311,Mouse,1405.0,267.0,,
2022-11-29 13:56:17.196374,Mouse,1403.0,269.0,,
2022-11-29 13:56:17.216651,Mouse,1401.0,272.0,,
2022-11-29 13:56:17.237361,Mouse,1398.0,274.0,,
2022-11-29 13:56:17.257464,Mouse,1392.0,278.0,,
2022-11-29 13:56:17.277317,Mouse,1384.0,282.0,,
2022-11-29 13:56:17.287451,Mouse,1381.0,284.0,,
2022-11-29 13:56:17.307308,Mouse,1369.0,290.0,,
2022-11-29 13:56:17.317627,Mouse,1361.0,293.0,,
2022-11-29 13:56:17.337345,Mouse,1348.0,298.0,,
2022-11-29 13:56:17.347410,Mouse,1343.0,301.0,,
2022-11-29 13:56:17.367338,Mouse,1331.0,304.0,,
2022-11-29 13:56:17.387455,Mouse,1320.0,309.0,,
2022-11-29 13:56:17.408605,Mouse,1310.0,313.0,,
2022-11-29 13:56:17.428375,Mouse,1303.0,317.0,,
2022-11-29 13:56:17.448426,Mouse,1295.0,320.0,,
2022-11-29 13:56:17.468306,Mouse,1289.0,321.0,,
2022-11-29 13:56:17.478355,Mouse,1287.0,322.0,,
2022-11-29 13:56:17.488629,Mouse,1284.0,323.0,,
2022-11-29 13:56:17.508332,Mouse,1279.0,323.0,,
2022-11-29 13:56:17.518410,Mouse,1277.0,324.0,,
2022-11-29 13:56:17.538592,Mouse,1275.0,324.0,,
2022-11-29 13:56:17.558372,Mouse,1271.0,324.0,,
2022-11-29 13:56:17.578382,Mouse,1268.0,324.0,,
2022-11-29 13:56:17.588420,Mouse,1265.0,324.0,,
2022-11-29 13:56:17.608628,Mouse,1259.0,326.0,,
