Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669698222.671881,,Eye Tracker,997.0,441.0,Valid,Valid,Fixation
1669698222.688536,,Eye Tracker,995.0,439.0,Valid,Valid,Fixation
1669698222.70519,,Eye Tracker,998.0,440.0,Valid,Valid,Fixation
1669698222.721845,,Eye Tracker,993.0,446.0,Valid,Valid,Fixation
1669698222.7385,,Eye Tracker,989.0,452.0,Valid,Valid,Fixation
1669698222.755154,,Eye Tracker,991.0,455.0,Valid,Valid,Fixation
1669698222.771809,,Eye Tracker,990.0,458.0,Valid,Valid,Fixation
1669698222.788464,,Eye Tracker,987.0,465.0,Valid,Valid,Fixation
1669698222.805118,,Eye Tracker,987.0,465.0,Valid,Valid,Fixation
1669698222.821773,,Eye Tracker,989.0,461.0,Valid,Valid,Fixation
1669698222.838428,,Eye Tracker,1100.0,538.0,Valid,Valid,Saccade
1669698222.855082,,Eye Tracker,1228.0,631.0,Valid,Valid,Saccade
1669698222.871737,,Eye Tracker,1525.0,779.0,Valid,Valid,Saccade
1669698222.888392,,Eye Tracker,1558.0,766.0,Valid,Valid,Saccade
1669698222.905046,,Eye Tracker,1568.0,763.0,Valid,Valid,Fixation
1669698222.921702,,Eye Tracker,1563.0,773.0,Valid,Valid,Fixation
1669698222.938357,,Eye Tracker,1559.0,776.0,Valid,Valid,Fixation
1669698222.955011,,Eye Tracker,1551.0,775.0,Valid,Valid,Fixation
1669698222.971665,,Eye Tracker,1546.0,773.0,Valid,Valid,Fixation
1669698222.98832,,Eye Tracker,1544.0,777.0,Valid,Valid,Fixation
1669698223.004975,,Eye Tracker,1547.0,775.0,Valid,Valid,Fixation
1669698223.021629,,Eye Tracker,1547.0,784.0,Valid,Valid,Fixation
1669698223.038284,,Eye Tracker,1551.0,787.0,Valid,Valid,Fixation
1669698223.05494,,Eye Tracker,1550.0,777.0,Valid,Valid,Fixation
1669698223.071594,,Eye Tracker,1554.0,778.0,Valid,Valid,Fixation
1669698223.088249,,Eye Tracker,1557.0,781.0,Valid,Valid,Fixation
1669698223.104904,,Eye Tracker,1551.0,787.0,Valid,Valid,Fixation
1669698223.121558,,Eye Tracker,1543.0,786.0,Valid,Valid,Fixation
1669698223.138213,,Eye Tracker,1541.0,785.0,Valid,Valid,Fixation
1669698223.154867,,Eye Tracker,1549.0,792.0,Valid,Valid,Fixation
1669698223.171521,,Eye Tracker,1548.0,794.0,Valid,Valid,Fixation
1669698223.188177,,Eye Tracker,1551.0,791.0,Valid,Valid,Fixation
1669698223.204832,,Eye Tracker,1551.0,793.0,Valid,Valid,Fixation
1669698223.221487,,Eye Tracker,1543.0,794.0,Valid,Valid,Fixation
1669698223.238141,,Eye Tracker,1545.0,792.0,Valid,Valid,Fixation
1669698223.254796,,Eye Tracker,1547.0,789.0,Valid,Valid,Fixation
1669698223.271451,,Eye Tracker,1521.0,788.0,Valid,Valid,Saccade
1669698223.288105,,Eye Tracker,1426.0,762.0,Valid,Valid,Saccade
1669698223.30476,,Eye Tracker,1270.0,657.0,Valid,Valid,Saccade
1669698223.321415,,Eye Tracker,1250.0,633.0,Valid,Valid,Saccade
1669698223.33807,,Eye Tracker,1248.0,630.0,Valid,Valid,Fixation
1669698223.354725,,Eye Tracker,1254.0,636.0,Valid,Valid,Fixation
1669698223.37138,,Eye Tracker,1251.0,635.0,Valid,Valid,Fixation
1669698223.388034,,Eye Tracker,1247.0,634.0,Valid,Valid,Fixation
1669698223.404689,,Eye Tracker,1246.0,633.0,Valid,Valid,Fixation
1669698223.421344,,Eye Tracker,1240.0,629.0,Valid,Valid,Fixation
1669698223.437998,,Eye Tracker,1241.0,629.0,Valid,Valid,Fixation
1669698223.454653,,Eye Tracker,1244.0,623.0,Valid,Valid,Fixation
1669698223.471309,,Eye Tracker,1244.0,626.0,Valid,Valid,Fixation
1669698223.487964,,Eye Tracker,1246.0,635.0,Valid,Valid,Fixation
1669698223.504618,,Eye Tracker,1246.0,633.0,Valid,Valid,Fixation
1669698223.521273,,Eye Tracker,1242.0,627.0,Valid,Valid,Fixation
1669698223.537928,,Eye Tracker,1244.0,624.0,Valid,Valid,Fixation
1669698223.554582,,Eye Tracker,1242.0,624.0,Valid,Valid,Fixation
1669698223.571237,,Eye Tracker,1241.0,624.0,Valid,Valid,Fixation
1669698223.587892,,Eye Tracker,1240.0,624.0,Valid,Valid,Fixation
1669698223.604547,,Eye Tracker,1240.0,625.0,Valid,Valid,Fixation
1669698223.621202,,Eye Tracker,1244.0,627.0,Valid,Valid,Fixation
1669698223.637857,,Eye Tracker,1244.0,625.0,Valid,Valid,Fixation
1669698223.654511,,Eye Tracker,1246.0,618.0,Valid,Valid,Fixation
1669698223.671166,,Eye Tracker,1244.0,620.0,Valid,Valid,Fixation
1669698223.687821,,Eye Tracker,1230.0,622.0,Valid,Valid,Fixation
1669698223.704475,,Eye Tracker,1202.0,604.0,Valid,Valid,Saccade
1669698223.72113,,Eye Tracker,1178.0,579.0,Valid,Valid,Saccade
1669698223.737786,,Eye Tracker,1177.0,576.0,Valid,Valid,Fixation
1669698223.754441,,Eye Tracker,1174.0,576.0,Valid,Valid,Fixation
1669698223.771095,,Eye Tracker,1170.0,581.0,Valid,Valid,Fixation
1669698223.78775,,Eye Tracker,1171.0,584.0,Valid,Valid,Fixation
1669698223.804405,,Eye Tracker,1175.0,579.0,Valid,Valid,Fixation
1669698223.821059,,Eye Tracker,1177.0,576.0,Valid,Valid,Fixation
1669698223.837714,,Eye Tracker,1173.0,572.0,Valid,Valid,Fixation
1669698223.854369,,Eye Tracker,1173.0,571.0,Valid,Valid,Fixation
1669698223.871023,,Eye Tracker,1179.0,568.0,Valid,Valid,Fixation
1669698223.887679,,Eye Tracker,1169.0,573.0,Valid,Valid,Fixation
1669698223.904334,,Eye Tracker,1162.0,576.0,Valid,Valid,Fixation
1669698223.920988,,Eye Tracker,1174.0,576.0,Valid,Valid,Fixation
1669698223.937643,,Eye Tracker,1170.0,572.0,Valid,Valid,Fixation
1669698223.954298,,Eye Tracker,1155.0,571.0,Valid,Valid,Fixation
1669698223.970952,,Eye Tracker,1160.0,575.0,Valid,Valid,Fixation
1669698223.987607,,Eye Tracker,1170.0,575.0,Valid,Valid,Fixation
1669698224.004262,,Eye Tracker,1161.0,570.0,Valid,Valid,Fixation
1669698224.020918,,Eye Tracker,1154.0,569.0,Valid,Valid,Fixation
1669698224.037572,,Eye Tracker,1157.0,576.0,Valid,Valid,Fixation
1669698224.054227,,Eye Tracker,1158.0,580.0,Valid,Valid,Fixation
1669698224.070882,,Eye Tracker,1159.0,574.0,Valid,Valid,Fixation
1669698224.087536,,Eye Tracker,1160.0,570.0,Valid,Valid,Fixation
1669698224.104191,,Eye Tracker,1158.0,568.0,Valid,Valid,Fixation
1669698224.120846,,Eye Tracker,1160.0,566.0,Valid,Valid,Fixation
1669698224.1375,,Eye Tracker,1118.0,567.0,Valid,Valid,Saccade
1669698224.154156,,Eye Tracker,1025.0,567.0,Valid,Valid,Saccade
1669698224.170811,,Eye Tracker,998.0,556.0,Valid,Valid,Saccade
1669698224.187465,,Eye Tracker,1001.0,552.0,Valid,Valid,Fixation
1669698224.20412,,Eye Tracker,1001.0,556.0,Valid,Valid,Fixation
1669698224.220775,,Eye Tracker,1000.0,553.0,Valid,Valid,Fixation
1669698224.237429,,Eye Tracker,1000.0,545.0,Valid,Valid,Fixation
1669698224.254084,,Eye Tracker,1000.0,548.0,Valid,Valid,Fixation
1669698224.270739,,Eye Tracker,999.0,560.0,Valid,Valid,Fixation
1669698224.287395,,Eye Tracker,1001.0,566.0,Valid,Valid,Fixation
1669698224.304049,,Eye Tracker,1002.0,562.0,Valid,Valid,Fixation
1669698224.320704,,Eye Tracker,999.0,558.0,Valid,Valid,Fixation
1669698224.337359,,Eye Tracker,999.0,558.0,Valid,Valid,Fixation
1669698224.354013,,Eye Tracker,996.0,564.0,Valid,Valid,Fixation
1669698224.370668,,Eye Tracker,998.0,569.0,Valid,Valid,Fixation
1669698224.387323,,Eye Tracker,997.0,569.0,Valid,Valid,Fixation
1669698224.403977,,Eye Tracker,997.0,567.0,Valid,Valid,Fixation
1669698224.420633,,Eye Tracker,997.0,565.0,Valid,Valid,Fixation
1669698224.437288,,Eye Tracker,994.0,566.0,Valid,Valid,Fixation
1669698224.453942,,Eye Tracker,994.0,567.0,Valid,Valid,Fixation
1669698224.470597,,Eye Tracker,998.0,565.0,Valid,Valid,Fixation
1669698224.487252,,Eye Tracker,1001.0,560.0,Valid,Valid,Fixation
