Recording timestamp,Position X,Position Y
1669958094.181378,38.0,997.5
1669958094.223053,39.0,997.5
1669958094.233014,40.0,996.5
1669958094.242064,41.0,996.5
1669958094.252909,42.0,996.5
1669958094.263296,43.0,996.5
1669958094.272363,44.0,996.5
1669958094.281918,45.0,996.5
1669958094.292761,46.0,996.5
1669958094.302759,47.0,996.5
1669958094.312325,48.0,996.5
1669958094.332694,49.0,996.5
1669958094.342586,50.0,996.5
1669958094.3531,51.0,995.5
1669958094.362989,54.0,995.5
1669958094.373245,56.0,995.5
1669958094.383243,57.0,995.5
1669958094.403518,58.0,995.5
1669958094.443684,59.0,995.5
1669958094.503679,60.0,995.5
1669958094.513935,61.0,995.5
1669958094.523619,62.0,995.5
1669958094.532868,64.0,995.5
1669958094.543378,66.0,995.5
1669958094.553627,68.0,995.5
1669958094.563636,71.0,995.5
1669958094.573637,72.0,995.5
1669958094.582724,77.0,995.5
1669958094.593205,78.0,995.5
1669958094.603616,81.0,995.5
1669958094.613839,82.0,995.5
1669958094.623145,85.0,995.5
1669958094.633521,86.0,995.5
1669958094.643772,88.0,995.5
1669958094.653999,90.0,995.5
1669958094.663051,94.0,995.5
1669958094.674015,95.0,995.5
1669958094.684045,98.0,995.5
1669958094.693565,101.0,995.5
1669958094.703939,103.0,995.5
1669958094.714621,106.0,995.5
1669958094.725163,109.0,995.5
1669958094.734384,111.0,995.5
1669958094.744451,113.0,995.5
1669958094.754319,114.0,995.5
1669958094.764311,115.0,995.5
1669958094.774418,116.0,995.5
1669958094.784315,117.0,995.5
1669958094.793403,119.0,995.5
1669958094.804725,121.0,995.5
1669958094.814946,124.0,995.5
1669958094.825235,125.0,993.5
1669958094.833535,127.0,993.5
1669958094.844684,128.0,993.5
1669958094.854911,131.0,993.5
1669958094.864893,133.0,992.5
1669958094.874938,137.0,992.5
1669958094.885721,141.0,992.5
1669958094.895458,143.0,991.5
1669958094.905489,147.0,991.5
1669958094.916246,152.0,991.5
1669958094.925856,154.0,991.5
1669958094.935223,157.0,991.5
1669958094.946232,159.0,991.5
1669958094.964658,161.0,991.5
1669958094.975629,163.0,990.5
1669958095.055634,164.0,990.5
1669958095.065624,165.0,990.5
1669958095.075918,166.0,990.5
1669958095.08593,167.0,990.5
1669958095.096048,168.0,990.5
1669958095.10509,169.0,990.5
1669958095.115603,170.0,990.5
1669958095.125963,171.0,990.5
1669958095.135008,174.0,990.5
1669958095.14559,179.0,988.5
1669958095.156014,185.0,987.5
1669958095.165854,193.0,986.5
1669958095.174437,201.0,983.5
1669958095.185843,205.0,982.5
1669958095.195832,211.0,979.5
1669958095.206117,215.0,978.5
1669958095.215789,219.0,976.5
1669958095.226549,223.0,976.5
1669958095.236549,228.0,975.5
1669958095.246765,230.0,975.5
1669958095.256613,234.0,975.5
1669958095.266644,236.0,973.5
1669958095.277198,239.0,973.5
1669958095.286927,240.0,973.5
1669958095.296435,244.0,973.5
1669958095.305674,246.0,971.5
1669958095.316981,249.0,970.5
1669958095.326958,251.0,970.5
1669958095.337367,253.0,969.5
1669958095.345994,257.0,968.5
1669958095.356772,258.0,967.5
1669958095.36655,260.0,966.5
1669958095.376875,263.0,966.5
1669958095.387357,265.0,964.5
1669958095.397325,269.0,964.5
1669958095.40731,270.0,963.5
1669958095.417499,272.0,962.5
1669958095.427528,274.0,962.5
1669958095.437809,276.0,961.5
1669958095.44742,278.0,960.5
1669958095.467698,281.0,960.5
1669958095.477265,283.0,959.5
1669958095.497535,284.0,959.5
1669958095.507744,285.0,959.5
1669958095.5163,287.0,959.5
1669958095.527324,288.0,959.5
1669958095.556769,289.0,959.5
1669958095.567952,290.0,959.5
1669958095.577864,291.0,959.5
1669958095.587579,291.0,960.5
1669958095.597697,292.0,961.5
1669958095.607634,294.0,962.5
1669958095.617398,295.0,962.5
1669958095.627503,296.0,964.5
1669958095.637871,299.0,965.5
1669958095.646997,301.0,966.5
1669958095.657965,302.0,966.5
1669958095.667599,304.0,968.5
1669958095.678014,306.0,970.5
1669958095.68692,308.0,971.5
1669958095.697691,310.0,973.5
1669958095.708017,312.0,974.5
1669958095.717356,313.0,974.5
1669958095.727629,315.0,976.5
1669958095.738973,317.0,977.5
1669958095.748986,318.0,979.5
1669958095.759177,319.0,980.5
1669958096.068854,320.0,980.5
1669958096.089948,322.0,981.5
1669958096.099988,324.0,981.5
1669958096.109612,326.0,981.5
1669958096.120056,328.0,981.5
1669958096.130325,331.0,981.5
1669958096.139524,336.0,982.5
1669958096.149564,337.0,983.5
1669958096.170159,339.0,983.5
1669958096.189392,340.0,983.5
1669958096.220034,341.0,983.5
1669958096.229053,342.0,983.5
