Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669958384.3620222,MouseEvent,,1957.0,37.333333333333336,,,Fixation,,,MouseEvent,"Down, Left"
1669958384.3620222,,Mouse,1957.0,39.666666666666664,,,Fixation,1881.0,69.0,,
1669958384.3639941,,Eye Tracker,1957.0,42.0,Valid,Valid,Fixation,,,,
1669958384.380649,,Eye Tracker,1959.0,43.0,Valid,Valid,Fixation,,,,
1669958384.397303,,Eye Tracker,1957.0,49.0,Valid,Valid,Fixation,,,,
1669958384.413958,,Eye Tracker,1955.0,47.0,Valid,Valid,Fixation,,,,
1669958384.430613,,Eye Tracker,1956.0,43.0,Valid,Valid,Fixation,,,,
1669958384.447268,,Eye Tracker,1953.0,46.0,Valid,Valid,Fixation,,,,
1669958384.463922,,Eye Tracker,1952.0,44.0,Valid,Valid,Fixation,,,,
1669958384.480577,,Eye Tracker,1951.0,44.0,Valid,Valid,Fixation,,,,
1669958384.4972322,,Eye Tracker,1949.0,48.0,Valid,Valid,Fixation,,,,
1669958384.5138862,,Eye Tracker,1947.0,48.0,Valid,Valid,Fixation,,,,
1669958384.5305412,,Eye Tracker,1946.0,54.0,Valid,Valid,Fixation,,,,
1669958384.5471961,,Eye Tracker,1944.0,55.0,Valid,Valid,Fixation,,,,
1669958384.563851,,Eye Tracker,1947.0,56.0,Valid,Valid,Fixation,,,,
1669958384.580506,,Eye Tracker,1942.0,61.0,Valid,Valid,Fixation,,,,
1669958384.597161,,Eye Tracker,1942.0,59.0,Valid,Valid,Fixation,,,,
1669958384.613815,,Eye Tracker,1934.0,63.0,Valid,Valid,Fixation,,,,
1669958384.63047,,Eye Tracker,1936.0,61.0,Valid,Valid,Fixation,,,,
1669958384.647125,,Eye Tracker,1938.0,61.0,Valid,Valid,Fixation,,,,
1669958384.663779,,Eye Tracker,1935.0,59.0,Valid,Valid,Fixation,,,,
1669958384.680434,,Eye Tracker,1938.0,61.0,Valid,Valid,Fixation,,,,
1669958384.683973,,Mouse,1942.0,61.5,,,Fixation,1881.0,69.0,,
1669958384.6970892,,Eye Tracker,1946.0,62.0,Valid,Valid,Fixation,,,,
1669958384.703011,,Mouse,1948.5,55.5,,,Fixation,1879.0,70.0,,
1669958384.7137442,,Eye Tracker,1951.0,49.0,Valid,Valid,Fixation,,,,
1669958384.713917,,Mouse,1953.3333333333333,47.333333333333336,,,Fixation,1879.0,70.0,,
1669958384.724014,,Mouse,1955.6666666666667,45.666666666666664,,,Fixation,1877.0,71.0,,
1669958384.7303982,,Eye Tracker,1958.0,44.0,Valid,Valid,Fixation,,,,
1669958384.7470531,,Eye Tracker,1959.0,48.0,Valid,Valid,Fixation,,,,
1669958384.763708,,Eye Tracker,1960.0,43.0,Valid,Valid,Fixation,,,,
1669958384.7803621,,Eye Tracker,1963.0,35.0,Valid,Valid,Fixation,,,,
1669958384.797017,,Eye Tracker,1961.0,30.0,Valid,Valid,Fixation,,,,
1669958384.813673,,Eye Tracker,1965.0,30.0,Valid,Valid,Fixation,,,,
1669958384.830327,,Eye Tracker,1969.0,28.0,Valid,Valid,Fixation,,,,
1669958384.846982,,Eye Tracker,1974.0,27.0,Valid,Valid,Fixation,,,,
