Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669956142.424,MouseEvent,,7.0,255.33333333333334,,,Saccade
1669956142.438557,,Mouse,18.0,243.66666666666666,,,Saccade
1669956142.440604,,Eye Tracker,29.0,232.0,Valid,Valid,Saccade
1669956142.454509,,Eye Tracker,79.0,177.0,Valid,Valid,Saccade
1669956142.457263,,Eye Tracker,54.0,64.0,Valid,Valid,Saccade
1669956142.470517,,Eye Tracker,39.0,64.0,Valid,Valid,Fixation
1669956142.486861,,Eye Tracker,34.0,65.0,Valid,Valid,Fixation
1669956142.487215,,Eye Tracker,32.0,58.0,Valid,Valid,Fixation
1669956142.502512,,Eye Tracker,32.0,55.0,Valid,Valid,Fixation
1669956142.50387,,Eye Tracker,32.0,55.0,Valid,Valid,Fixation
1669956142.518556,,Eye Tracker,13.0,59.0,Valid,Valid,Fixation
1669956142.534508,,Eye Tracker,-13.0,74.0,Valid,Valid,Saccade
1669956142.537927,,Eye Tracker,-15.0,82.0,Valid,Valid,Fixation
1669956142.550565,,Eye Tracker,-18.0,80.0,Valid,Valid,Fixation
1669956142.554582,,Eye Tracker,-25.0,77.0,Valid,Valid,Fixation
1669956142.571237,,Mouse,-26.5,78.0,,,Fixation
1669956142.587892,,Eye Tracker,-28.0,79.0,Valid,Valid,Fixation
1669956142.604548,,Mouse,-27.5,77.5,,,Fixation
1669956142.621201,,Eye Tracker,-27.0,76.0,Valid,Valid,Fixation
1669956142.637853,,Eye Tracker,-32.0,71.0,Valid,Valid,Fixation
1669956142.654505,,Mouse,-35.0,71.0,,,Fixation
1669956142.6711571,,Eye Tracker,-38.0,71.0,Valid,Valid,Fixation
1669956142.687812,,Mouse,-41.0,68.33333333333333,,,Fixation
1669956142.704467,,Mouse,-44.0,65.66666666666667,,,Fixation
1669956142.72112,,Eye Tracker,-47.0,63.0,Valid,Valid,Fixation
1669956142.737773,,Eye Tracker,-45.0,64.0,Valid,Valid,Fixation
1669956142.754425,,Mouse,-42.5,63.5,,,Fixation
1669956142.771077,,Eye Tracker,-40.0,63.0,Valid,Valid,Fixation
1669956142.7877321,,Mouse,-39.0,62.333333333333336,,,Fixation
1669956142.804387,,Mouse,-38.0,61.666666666666664,,,Fixation
1669956142.821041,,Eye Tracker,-37.0,61.0,Valid,Valid,Fixation
1669956142.8376951,,Eye Tracker,-46.0,62.0,Valid,Valid,Fixation
1669956142.8543491,,Mouse,-47.0,61.5,,,Fixation
1669956142.871004,,Eye Tracker,-48.0,61.0,Valid,Valid,Fixation
1669956142.887658,,Mouse,-45.0,62.0,,,Fixation
1669956142.9043121,,Mouse,-42.0,63.0,,,Fixation
1669956142.920966,,Eye Tracker,-39.0,64.0,Valid,Valid,Fixation
1669956142.937619,,Mouse,-37.0,65.5,,,Fixation
1669956142.954273,,Eye Tracker,-35.0,67.0,Valid,Valid,Fixation
1669956142.970926,,Mouse,-37.0,67.0,,,Fixation
1669956142.987579,,Eye Tracker,-39.0,67.0,Valid,Valid,Fixation
1669956143.004232,,Mouse,-37.5,66.5,,,Fixation
1669956143.020886,,Eye Tracker,-36.0,66.0,Valid,Valid,Fixation
1669956143.03754,,Mouse,-29.5,58.5,,,Fixation
1669956143.054195,,Eye Tracker,-23.0,51.0,Valid,Valid,Fixation
1669956143.070849,,Mouse,118.0,54.666666666666664,,,Fixation
1669956143.087504,,Mouse,259.0,58.333333333333336,,,Saccade
1669956143.104157,,Eye Tracker,400.0,62.0,Valid,Valid,Saccade
1669956143.120811,,Mouse,395.0,58.0,,,Fixation
1669956143.137466,,Eye Tracker,390.0,54.0,Valid,Valid,Fixation
1669956143.154119,,Eye Tracker,391.0,57.0,Valid,Valid,Fixation
1669956143.170773,,Mouse,389.0,59.5,,,Fixation
1669956143.187428,,Eye Tracker,387.0,62.0,Valid,Valid,Fixation
1669956143.204081,,Mouse,385.5,63.0,,,Fixation
1669956143.220735,,Eye Tracker,384.0,64.0,Valid,Valid,Fixation
1669956143.23739,,Mouse,387.0,65.0,,,Fixation
1669956143.254043,,Eye Tracker,390.0,66.0,Valid,Valid,Fixation
1669956143.254563,,Mouse,390.5,66.5,,,Fixation
1669956143.270697,,Eye Tracker,391.0,67.0,Valid,Valid,Fixation
1669956143.2873511,,Mouse,389.3333333333333,69.0,,,Fixation
1669956143.294525,,Mouse,387.6666666666667,71.0,,,Fixation
1669956143.304004,,Eye Tracker,386.0,73.0,Valid,Valid,Fixation
1669956143.318578,,Mouse,384.5,72.5,,,Fixation
1669956143.320659,,Eye Tracker,383.0,72.0,Valid,Valid,Fixation
1669956143.337313,,Mouse,382.0,72.5,,,Fixation
1669956143.3539681,,Eye Tracker,381.0,73.0,Valid,Valid,Fixation
1669956143.370621,,Mouse,382.0,73.5,,,Fixation
1669956143.382562,,Eye Tracker,383.0,74.0,Valid,Valid,Fixation
1669956143.387276,,Mouse,389.0,72.5,,,Fixation
1669956143.40393,,Eye Tracker,395.0,71.0,Valid,Valid,Fixation
1669956143.420584,,Mouse,396.0,71.5,,,Fixation
1669956143.437203,,Eye Tracker,397.0,72.0,Valid,Valid,Fixation
1669956143.437238,,Mouse,397.6666666666667,71.0,,,Fixation
1669956143.453893,,Mouse,398.3333333333333,70.0,,,Fixation
1669956143.470546,,Eye Tracker,399.0,69.0,Valid,Valid,Fixation
1669956143.487201,,Mouse,399.0,68.5,,,Fixation
1669956143.503855,,Eye Tracker,399.0,68.0,Valid,Valid,Fixation
1669956143.520509,,Mouse,398.0,68.0,,,Fixation
1669956143.537164,,Eye Tracker,397.0,68.0,Valid,Valid,Fixation
1669956143.553819,,Mouse,404.5,73.0,,,Fixation
1669956143.570474,,Eye Tracker,412.0,78.0,Valid,Valid,Fixation
1669956143.58713,,Mouse,412.5,81.0,,,Fixation
1669956143.603786,,Eye Tracker,413.0,84.0,Valid,Valid,Fixation
1669956143.620442,,Mouse,409.0,84.66666666666667,,,Fixation
1669956143.6370971,,Mouse,405.0,85.33333333333333,,,Fixation
1669956143.653753,,Eye Tracker,401.0,86.0,Valid,Valid,Fixation
1669956143.670409,,Mouse,401.5,89.5,,,Fixation
1669956143.687064,,Eye Tracker,402.0,93.0,Valid,Valid,Fixation
1669956143.70372,,Mouse,402.5,92.5,,,Fixation
1669956143.720376,,Eye Tracker,403.0,92.0,Valid,Valid,Fixation
1669956143.737032,,Mouse,396.0,74.5,,,Fixation
1669956143.753689,,Eye Tracker,389.0,57.0,Invalid,Valid,Fixation
1669956143.770345,,Mouse,404.0,74.5,,,Fixation
1669956143.787,,Eye Tracker,419.0,92.0,Valid,Valid,Fixation
1669956143.7987201,,Mouse,438.5,98.0,,,Saccade
1669956143.803657,,Eye Tracker,458.0,104.0,Valid,Valid,Saccade
1669956143.814718,,Mouse,478.5,106.0,,,Saccade
1669956143.820313,,Eye Tracker,499.0,108.0,Valid,Valid,Saccade
1669956143.830557,,Mouse,501.0,106.0,,,Saccade
1669956143.8369691,,Eye Tracker,503.0,104.0,Valid,Valid,Fixation
1669956143.846667,,Mouse,502.5,104.0,,,Fixation
1669956143.853626,,Eye Tracker,502.0,104.0,Valid,Valid,Fixation
1669956143.862714,,Mouse,502.0,106.5,,,Fixation
1669956143.870282,,Eye Tracker,502.0,109.0,Valid,Valid,Fixation
1669956143.878715,,Mouse,501.0,111.5,,,Fixation
1669956143.886939,,Eye Tracker,500.0,114.0,Valid,Valid,Fixation
1669956143.894721,,Mouse,499.0,112.5,,,Fixation
1669956143.903595,,Eye Tracker,498.0,111.0,Valid,Valid,Fixation
1669956143.910714,,Mouse,498.5,112.0,,,Fixation
1669956143.9202511,,Eye Tracker,499.0,113.0,Valid,Valid,Fixation
1669956143.936907,,Eye Tracker,505.0,121.0,Valid,Valid,Fixation
