Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-02 13:43:23.032409,,,,MouseEvent,"Down, Left"
2022-12-02 13:43:23.032409,Mouse,40.0,93.0,,
2022-12-02 13:43:23.254491,Mouse,40.0,93.0,,
2022-12-02 13:43:23.273455,Mouse,40.0,93.0,,
2022-12-02 13:43:23.294328,Mouse,41.0,92.0,,
2022-12-02 13:43:23.314328,Mouse,46.0,91.0,,
2022-12-02 13:43:23.325463,Mouse,50.0,91.0,,
2022-12-02 13:43:23.345468,Mouse,56.0,91.0,,
2022-12-02 13:43:23.364333,Mouse,57.0,91.0,,
2022-12-02 13:43:23.375375,Mouse,58.0,91.0,,
2022-12-02 13:43:23.395466,Mouse,62.0,91.0,,
2022-12-02 13:43:23.415263,Mouse,68.0,91.0,,
2022-12-02 13:43:23.425304,Mouse,69.0,91.0,,
2022-12-02 13:43:23.435573,Mouse,71.0,91.0,,
2022-12-02 13:43:23.455349,Mouse,72.0,91.0,,
2022-12-02 13:43:23.465572,Mouse,74.0,91.0,,
2022-12-02 13:43:23.484327,Mouse,82.0,91.0,,
2022-12-02 13:43:23.495349,Mouse,90.0,91.0,,
2022-12-02 13:43:23.505453,Mouse,96.0,91.0,,
2022-12-02 13:43:23.525563,Mouse,104.0,93.0,,
2022-12-02 13:43:23.545344,Mouse,113.0,95.0,,
2022-12-02 13:43:23.565383,Mouse,134.0,100.0,,
2022-12-02 13:43:23.585299,Mouse,156.0,102.0,,
2022-12-02 13:43:23.595412,Mouse,167.0,105.0,,
2022-12-02 13:43:23.614265,Mouse,186.0,107.0,,
2022-12-02 13:43:23.625350,Mouse,196.0,107.0,,
2022-12-02 13:43:23.635592,Mouse,204.0,109.0,,
2022-12-02 13:43:23.655303,Mouse,217.0,111.0,,
2022-12-02 13:43:23.666566,Mouse,220.0,112.0,,
2022-12-02 13:43:23.686361,Mouse,224.0,112.0,,
2022-12-02 13:43:23.696362,Mouse,227.0,112.0,,
2022-12-02 13:43:23.716336,Mouse,240.0,112.0,,
2022-12-02 13:43:23.726356,Mouse,248.0,112.0,,
2022-12-02 13:43:23.736433,Mouse,257.0,112.0,,
2022-12-02 13:43:23.756341,Mouse,267.0,112.0,,
2022-12-02 13:43:23.766346,Mouse,275.0,112.0,,
2022-12-02 13:43:23.785332,Mouse,288.0,112.0,,
2022-12-02 13:43:23.796441,Mouse,295.0,112.0,,
2022-12-02 13:43:23.806561,Mouse,301.0,112.0,,
2022-12-02 13:43:23.826359,Mouse,306.0,112.0,,
2022-12-02 13:43:23.837330,Mouse,307.0,112.0,,
2022-12-02 13:43:23.857390,Mouse,314.0,110.0,,
2022-12-02 13:43:23.867461,Mouse,317.0,110.0,,
2022-12-02 13:43:23.887342,Mouse,323.0,109.0,,
2022-12-02 13:43:23.897573,Mouse,325.0,108.0,,
2022-12-02 13:43:23.916307,Mouse,332.0,106.0,,
2022-12-02 13:43:23.927572,Mouse,335.0,106.0,,
2022-12-02 13:43:23.947317,Mouse,344.0,105.0,,
2022-12-02 13:43:23.967614,Mouse,355.0,105.0,,
2022-12-02 13:43:23.987385,Mouse,374.0,105.0,,
2022-12-02 13:43:24.007496,Mouse,394.0,105.0,,
2022-12-02 13:43:24.027341,Mouse,406.0,103.0,,
2022-12-02 13:43:24.037353,Mouse,410.0,103.0,,
2022-12-02 13:43:24.057296,Mouse,422.0,103.0,,
2022-12-02 13:43:24.067362,Mouse,430.0,103.0,,
2022-12-02 13:43:24.077369,Mouse,437.0,103.0,,
2022-12-02 13:43:24.097586,Mouse,441.0,103.0,,
2022-12-02 13:43:24.117307,Mouse,443.0,103.0,,
2022-12-02 13:43:24.137342,Mouse,445.0,103.0,,
2022-12-02 13:43:24.157288,Mouse,450.0,103.0,,
2022-12-02 13:43:24.167422,Mouse,455.0,103.0,,
2022-12-02 13:43:24.178303,Mouse,457.0,103.0,,
2022-12-02 13:43:24.198586,Mouse,462.0,106.0,,
2022-12-02 13:43:24.217303,Mouse,467.0,107.0,,
2022-12-02 13:43:24.228405,Mouse,473.0,109.0,,
2022-12-02 13:43:24.248329,Mouse,485.0,112.0,,
2022-12-02 13:43:24.268246,Mouse,498.0,117.0,,
2022-12-02 13:43:24.278273,Mouse,500.0,118.0,,
2022-12-02 13:43:24.288312,Mouse,501.0,118.0,,
2022-12-02 13:43:24.308321,Mouse,502.0,118.0,,
2022-12-02 13:43:24.349346,Mouse,503.0,119.0,,
2022-12-02 13:43:24.369372,Mouse,507.0,120.0,,
2022-12-02 13:43:24.388335,Mouse,510.0,121.0,,
2022-12-02 13:43:24.399439,Mouse,512.0,122.0,,
2022-12-02 13:43:24.419302,Mouse,513.0,122.0,,
2022-12-02 13:43:24.439351,Mouse,515.0,123.0,,
2022-12-02 13:43:24.459333,Mouse,526.0,128.0,,
2022-12-02 13:43:24.479330,Mouse,541.0,135.0,,
2022-12-02 13:43:24.499299,Mouse,547.0,138.0,,
2022-12-02 13:43:24.519575,Mouse,548.0,139.0,,
2022-12-02 13:43:24.539294,Mouse,551.0,141.0,,
2022-12-02 13:43:24.549344,Mouse,552.0,142.0,,
2022-12-02 13:43:24.569355,Mouse,557.0,148.0,,
2022-12-02 13:43:24.589532,Mouse,560.0,155.0,,
2022-12-02 13:43:24.609343,Mouse,562.0,159.0,,
2022-12-02 13:43:24.629346,Mouse,565.0,166.0,,
2022-12-02 13:43:24.649551,Mouse,573.0,178.0,,
2022-12-02 13:43:24.669362,Mouse,579.0,189.0,,
2022-12-02 13:43:24.690321,Mouse,581.0,195.0,,
2022-12-02 13:43:24.700365,Mouse,583.0,199.0,,
2022-12-02 13:43:24.720331,Mouse,584.0,202.0,,
2022-12-02 13:43:24.740325,Mouse,587.0,210.0,,
2022-12-02 13:43:24.750325,Mouse,589.0,216.0,,
2022-12-02 13:43:24.760336,Mouse,591.0,223.0,,
2022-12-02 13:43:24.780479,Mouse,594.0,235.0,,
2022-12-02 13:43:24.800358,Mouse,596.0,244.0,,
2022-12-02 13:43:24.820372,Mouse,599.0,251.0,,
2022-12-02 13:43:24.830409,Mouse,599.0,255.0,,
2022-12-02 13:43:24.850392,Mouse,602.0,265.0,,
2022-12-02 13:43:24.861389,Mouse,602.0,269.0,,
2022-12-02 13:43:24.881330,Mouse,603.0,277.0,,
2022-12-02 13:43:24.891357,Mouse,603.0,280.0,,
2022-12-02 13:43:24.911324,Mouse,603.0,287.0,,
2022-12-02 13:43:24.921331,Mouse,605.0,293.0,,
2022-12-02 13:43:24.940342,Mouse,605.0,302.0,,
2022-12-02 13:43:24.951351,Mouse,605.0,306.0,,
2022-12-02 13:43:24.961457,Mouse,605.0,309.0,,
2022-12-02 13:43:24.980310,Mouse,605.0,315.0,,
2022-12-02 13:43:24.991381,Mouse,605.0,317.0,,
2022-12-02 13:43:25.011296,Mouse,606.0,325.0,,
2022-12-02 13:43:25.031351,Mouse,606.0,333.0,,
2022-12-02 13:43:25.051257,Mouse,606.0,342.0,,
2022-12-02 13:43:25.061283,Mouse,606.0,346.0,,
2022-12-02 13:43:25.081348,Mouse,607.0,356.0,,
2022-12-02 13:43:25.101321,Mouse,609.0,369.0,,
2022-12-02 13:43:25.121359,Mouse,609.0,381.0,,
2022-12-02 13:43:25.141300,Mouse,609.0,387.0,,
2022-12-02 13:43:25.161302,Mouse,609.0,390.0,,
2022-12-02 13:43:25.171314,Mouse,609.0,391.0,,
2022-12-02 13:43:25.181364,Mouse,609.0,394.0,,
2022-12-02 13:43:25.191447,Mouse,608.0,397.0,,
2022-12-02 13:43:25.202342,Mouse,608.0,400.0,,
2022-12-02 13:43:25.222527,Mouse,606.0,407.0,,
2022-12-02 13:43:25.242386,Mouse,603.0,414.0,,
2022-12-02 13:43:25.252595,Mouse,602.0,415.0,,
2022-12-02 13:43:25.272270,Mouse,599.0,420.0,,
2022-12-02 13:43:25.292391,Mouse,598.0,422.0,,
2022-12-02 13:43:25.312279,Mouse,596.0,426.0,,
2022-12-02 13:43:25.332416,Mouse,595.0,427.0,,
2022-12-02 13:43:25.352604,Mouse,593.0,431.0,,
2022-12-02 13:43:25.373337,Mouse,590.0,436.0,,
2022-12-02 13:43:25.383588,Mouse,589.0,437.0,,
2022-12-02 13:43:25.403269,Mouse,585.0,441.0,,
2022-12-02 13:43:25.413351,Mouse,583.0,444.0,,
2022-12-02 13:43:25.423454,Mouse,581.0,446.0,,
2022-12-02 13:43:25.443343,Mouse,574.0,453.0,,
2022-12-02 13:43:25.463355,Mouse,566.0,462.0,,
2022-12-02 13:43:25.483417,Mouse,556.0,476.0,,
2022-12-02 13:43:25.503270,Mouse,546.0,486.0,,
2022-12-02 13:43:25.513487,Mouse,541.0,490.0,,
2022-12-02 13:43:25.523543,Mouse,536.0,492.0,,
2022-12-02 13:43:25.543518,Mouse,530.0,496.0,,
2022-12-02 13:43:25.563373,Mouse,526.0,500.0,,
2022-12-02 13:43:25.573380,Mouse,524.0,501.0,,
2022-12-02 13:43:25.583421,Mouse,523.0,502.0,,
2022-12-02 13:43:25.603243,Mouse,521.0,504.0,,
2022-12-02 13:43:25.643431,Mouse,521.0,505.0,,
2022-12-02 13:43:25.693336,Mouse,520.0,505.0,,
2022-12-02 13:43:25.703461,Mouse,519.0,505.0,,
2022-12-02 13:43:25.764333,Mouse,518.0,505.0,,
2022-12-02 13:43:25.784470,Mouse,512.0,503.0,,
