Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669956267.566227,MouseEvent,,310.6666666666667,985.0,,,Fixation,,,MouseEvent,"Down, Left"
1669956267.566227,,Mouse,311.3333333333333,985.0,,,Fixation,35.0,995.0,,
1669956267.57603,,Eye Tracker,312.0,985.0,Valid,Valid,Fixation,,,,
1669956267.592686,,Eye Tracker,314.0,984.0,Valid,Valid,Fixation,,,,
1669956267.60934,,Eye Tracker,314.0,983.0,Valid,Valid,Fixation,,,,
1669956267.625995,,Eye Tracker,309.0,984.0,Valid,Valid,Fixation,,,,
1669956267.64265,,Eye Tracker,306.0,984.0,Valid,Valid,Fixation,,,,
1669956267.659304,,Eye Tracker,310.0,988.0,Valid,Valid,Fixation,,,,
1669956267.6759589,,Eye Tracker,311.0,990.0,Valid,Valid,Fixation,,,,
1669956267.692614,,Eye Tracker,307.0,991.0,Valid,Valid,Fixation,,,,
1669956267.709269,,Eye Tracker,308.0,991.0,Valid,Valid,Fixation,,,,
1669956267.725923,,Eye Tracker,308.0,986.0,Valid,Valid,Fixation,,,,
1669956267.742578,,Eye Tracker,305.0,985.0,Valid,Valid,Fixation,,,,
1669956267.759233,,Eye Tracker,309.0,985.0,Valid,Valid,Fixation,,,,
1669956267.775887,,Eye Tracker,306.0,986.0,Valid,Valid,Fixation,,,,
1669956267.787158,,Mouse,303.5,986.5,,,Fixation,36.0,995.0,,
1669956267.792543,,Eye Tracker,301.0,987.0,Valid,Valid,Fixation,,,,
1669956267.809198,,Eye Tracker,301.0,984.0,Valid,Valid,Fixation,,,,
1669956267.825852,,Eye Tracker,301.0,982.0,Valid,Valid,Fixation,,,,
1669956267.828151,,Mouse,300.3333333333333,981.6666666666666,,,Fixation,36.0,995.0,,
1669956267.839139,,Mouse,299.6666666666667,981.3333333333334,,,Fixation,37.0,995.0,,
1669956267.842507,,Eye Tracker,299.0,981.0,Valid,Valid,Fixation,,,,
1669956267.849152,,Mouse,298.5,980.5,,,Fixation,37.0,995.0,,
1669956267.859162,,Eye Tracker,298.0,980.0,Valid,Valid,Fixation,,,,
1669956267.868259,,Mouse,298.0,982.0,,,Fixation,38.0,995.0,,
1669956267.8758159,,Eye Tracker,298.0,984.0,Valid,Valid,Fixation,,,,
1669956267.892471,,Eye Tracker,301.0,985.0,Valid,Valid,Fixation,,,,
1669956267.899137,,Mouse,301.5,984.0,,,Fixation,39.0,994.0,,
