Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669956629.406844,,,,MouseEvent,"Down, Left"
1669956629.406844,Mouse,1695.0,299.0,,
1669956629.626652,Mouse,1695.0,299.0,,
1669956629.657681,Mouse,1695.0,299.0,,
1669956629.667961,Mouse,1694.0,299.0,,
1669956629.678665,Mouse,1693.0,299.0,,
1669956629.697665,Mouse,1692.0,299.0,,
1669956629.717937,Mouse,1692.0,299.0,,
1669956629.728636,Mouse,1690.0,299.0,,
1669956629.747845,Mouse,1683.0,299.0,,
1669956629.757923,Mouse,1676.0,299.0,,
1669956629.768706,Mouse,1669.0,299.0,,
1669956629.787934,Mouse,1655.0,299.0,,
1669956629.808661,Mouse,1643.0,299.0,,
1669956629.818938,Mouse,1638.0,299.0,,
1669956629.838647,Mouse,1628.0,299.0,,
1669956629.849763,Mouse,1625.0,299.0,,
1669956629.868643,Mouse,1619.0,299.0,,
1669956629.87868,Mouse,1618.0,299.0,,
1669956629.888745,Mouse,1616.0,299.0,,
1669956629.899664,Mouse,1615.0,299.0,,
1669956629.91864,Mouse,1610.0,301.0,,
1669956629.939632,Mouse,1603.0,302.0,,
1669956629.958929,Mouse,1597.0,304.0,,
1669956629.979772,Mouse,1588.0,306.0,,
1669956629.998676,Mouse,1576.0,309.0,,
1669956630.0197,Mouse,1560.0,314.0,,
1669956630.039034,Mouse,1546.0,314.0,,
1669956630.058878,Mouse,1528.0,318.0,,
1669956630.069793,Mouse,1517.0,319.0,,
1669956630.088751,Mouse,1499.0,321.0,,
1669956630.109709,Mouse,1480.0,322.0,,
1669956630.128653,Mouse,1459.0,322.0,,
1669956630.138686,Mouse,1450.0,322.0,,
1669956630.149735,Mouse,1441.0,322.0,,
1669956630.169621,Mouse,1426.0,322.0,,
1669956630.179645,Mouse,1420.0,322.0,,
1669956630.190642,Mouse,1413.0,322.0,,
1669956630.200661,Mouse,1406.0,323.0,,
1669956630.219934,Mouse,1393.0,326.0,,
1669956630.240956,Mouse,1377.0,327.0,,
1669956630.259659,Mouse,1360.0,330.0,,
1669956630.280673,Mouse,1340.0,335.0,,
1669956630.299646,Mouse,1323.0,340.0,,
1669956630.30974,Mouse,1315.0,343.0,,
1669956630.320668,Mouse,1306.0,347.0,,
1669956630.340708,Mouse,1292.0,353.0,,
1669956630.350953,Mouse,1285.0,356.0,,
1669956630.361691,Mouse,1278.0,360.0,,
1669956630.371752,Mouse,1270.0,364.0,,
1669956630.390646,Mouse,1253.0,373.0,,
1669956630.401686,Mouse,1244.0,379.0,,
1669956630.411787,Mouse,1236.0,383.0,,
1669956630.430642,Mouse,1222.0,393.0,,
1669956630.440792,Mouse,1215.0,395.0,,
1669956630.451769,Mouse,1206.0,400.0,,
1669956630.47064,Mouse,1195.0,403.0,,
1669956630.480945,Mouse,1188.0,406.0,,
1669956630.491641,Mouse,1179.0,410.0,,
1669956630.510678,Mouse,1161.0,418.0,,
1669956630.531669,Mouse,1140.0,426.0,,
1669956630.550685,Mouse,1121.0,432.0,,
1669956630.570792,Mouse,1099.0,437.0,,
1669956630.581943,Mouse,1088.0,441.0,,
1669956630.600659,Mouse,1071.0,446.0,,
1669956630.61098,Mouse,1063.0,448.0,,
1669956630.621679,Mouse,1056.0,449.0,,
1669956630.640967,Mouse,1041.0,455.0,,
1669956630.661671,Mouse,1025.0,459.0,,
1669956630.671682,Mouse,1016.0,462.0,,
1669956630.681699,Mouse,1007.0,467.0,,
1669956630.691734,Mouse,997.0,469.0,,
1669956630.70264,Mouse,992.0,470.0,,
1669956630.712716,Mouse,984.0,471.0,,
1669956630.731694,Mouse,974.0,472.0,,
1669956630.742686,Mouse,968.0,472.0,,
1669956630.752714,Mouse,961.0,472.0,,
1669956630.771662,Mouse,946.0,472.0,,
1669956630.781754,Mouse,938.0,472.0,,
1669956630.792636,Mouse,929.0,469.0,,
1669956630.811789,Mouse,910.0,466.0,,
1669956630.832647,Mouse,888.0,459.0,,
1669956630.842771,Mouse,881.0,455.0,,
1669956630.862681,Mouse,864.0,445.0,,
1669956630.873694,Mouse,857.0,439.0,,
1669956630.892646,Mouse,835.0,428.0,,
1669956630.902763,Mouse,826.0,424.0,,
1669956630.913699,Mouse,813.0,418.0,,
1669956630.932641,Mouse,787.0,408.0,,
1669956630.942703,Mouse,770.0,398.0,,
1669956630.963763,Mouse,743.0,382.0,,
1669956630.982647,Mouse,723.0,366.0,,
1669956631.003655,Mouse,701.0,351.0,,
1669956631.022645,Mouse,677.0,337.0,,
1669956631.03269,Mouse,660.0,328.0,,
1669956631.043598,Mouse,639.0,319.0,,
1669956631.05365,Mouse,623.0,312.0,,
1669956631.072732,Mouse,589.0,298.0,,
1669956631.093643,Mouse,546.0,279.0,,
