Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669956822.682,MouseEvent,,1036.3333333333333,606.0,,,Fixation
1669956822.699339,,Mouse,1037.6666666666667,605.0,,,Fixation
1669956822.715994,,Eye Tracker,1039.0,604.0,Valid,Valid,Fixation
1669956822.746358,,Eye Tracker,1041.0,607.0,Valid,Valid,Fixation
1669956822.763013,,Eye Tracker,1035.0,610.0,Valid,Valid,Fixation
1669956822.779667,,Eye Tracker,1067.0,596.0,Valid,Valid,Saccade
1669956822.7963219,,Eye Tracker,1344.0,523.0,Valid,Valid,Saccade
1669956822.8129768,,Eye Tracker,1420.0,502.0,Valid,Valid,Saccade
1669956822.8296318,,Eye Tracker,1422.0,479.0,Valid,Valid,Fixation
1669956822.8462858,,Eye Tracker,1423.0,478.0,Valid,Valid,Fixation
1669956822.868438,,Eye Tracker,1426.0,482.0,Valid,Valid,Fixation
1669956822.881052,,Eye Tracker,1430.0,475.0,Valid,Valid,Fixation
1669956822.8843849,,Eye Tracker,1429.0,472.0,Valid,Valid,Fixation
1669956822.897708,,Eye Tracker,1426.0,469.0,Valid,Valid,Fixation
1669956822.900436,,Eye Tracker,1424.0,467.0,Valid,Valid,Fixation
1669956822.914363,,Eye Tracker,1427.0,474.0,Valid,Valid,Fixation
1669956822.916414,,Mouse,1428.0,476.0,,,Fixation
1669956822.9310179,,Eye Tracker,1429.0,478.0,Valid,Valid,Fixation
1669956822.932488,,Mouse,1428.0,481.5,,,Fixation
1669956822.947672,,Eye Tracker,1427.0,485.0,Valid,Valid,Fixation
1669956822.948421,,Mouse,1425.0,484.0,,,Fixation
1669956822.9643269,,Eye Tracker,1423.0,483.0,Valid,Valid,Fixation
1669956822.964453,,Eye Tracker,1417.0,475.0,Valid,Valid,Fixation
1669956822.9803948,,Mouse,1388.5,478.0,,,Fixation
1669956822.9809818,,Eye Tracker,1360.0,481.0,Valid,Valid,Saccade
1669956822.996394,,Mouse,1279.3333333333333,549.3333333333334,,,Saccade
1669956822.9976358,,Mouse,1198.6666666666667,617.6666666666666,,,Saccade
1669956823.0124,,Eye Tracker,1118.0,686.0,Valid,Valid,Saccade
1669956823.0142908,,Eye Tracker,1111.0,731.0,Valid,Valid,Saccade
1669956823.0283818,,Mouse,1108.6666666666667,736.0,,,Saccade
1669956823.030947,,Mouse,1106.3333333333333,741.0,,,Fixation
1669956823.0443778,,Eye Tracker,1104.0,746.0,Valid,Valid,Fixation
1669956823.047601,,Mouse,1103.0,749.3333333333334,,,Fixation
1669956823.060426,,Mouse,1102.0,752.6666666666666,,,Fixation
1669956823.064256,,Eye Tracker,1101.0,756.0,Valid,Valid,Fixation
1669956823.0764458,,Eye Tracker,1100.0,751.0,Valid,Valid,Fixation
