Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669961390.3699389,MouseEvent,,484.3333333333333,452.0,,,Fixation,,,MouseEvent,"Down, Left"
1669961390.3699389,,Mouse,482.6666666666667,450.0,,,Fixation,1501.0,138.0,,
1669961390.3723068,,Eye Tracker,481.0,448.0,Valid,Valid,Fixation,,,,
1669961390.3889608,,Eye Tracker,484.0,451.0,Valid,Valid,Fixation,,,,
1669961390.4056158,,Eye Tracker,492.0,450.0,Valid,Valid,Fixation,,,,
1669961390.4222708,,Eye Tracker,495.0,454.0,Valid,Valid,Fixation,,,,
1669961390.4389248,,Eye Tracker,489.0,459.0,Valid,Valid,Fixation,,,,
1669961390.440024,,Mouse,489.0,456.0,,,Fixation,1500.0,138.0,,
1669961390.45558,,Eye Tracker,489.0,453.0,Valid,Valid,Fixation,,,,
1669961390.459694,,Mouse,489.6666666666667,453.0,,,Fixation,1498.0,138.0,,
1669961390.4697518,,Mouse,490.3333333333333,453.0,,,Fixation,1494.0,138.0,,
1669961390.472235,,Eye Tracker,491.0,453.0,Valid,Valid,Fixation,,,,
1669961390.479827,,Mouse,492.0,456.5,,,Fixation,1489.0,138.0,,
1669961390.488889,,Eye Tracker,493.0,460.0,Valid,Valid,Fixation,,,,
1669961390.49977,,Mouse,532.0,460.0,,,Saccade,1480.0,139.0,,
1669961390.505544,,Eye Tracker,571.0,460.0,Valid,Valid,Saccade,,,,
1669961390.520891,,Mouse,717.5,441.5,,,Saccade,1472.0,139.0,,
1669961390.522199,,Eye Tracker,864.0,423.0,Invalid,Valid,Saccade,,,,
1669961390.5310109,,Mouse,1004.5,377.0,,,Saccade,1466.0,139.0,,
1669961390.538853,,Eye Tracker,1145.0,331.0,Invalid,Valid,Saccade,,,,
1669961390.550849,,Mouse,1141.0,334.5,,,Saccade,1456.0,141.0,,
1669961390.555508,,Eye Tracker,1137.0,338.0,Valid,Valid,Saccade,,,,
1669961390.5707178,,Mouse,1123.5,327.5,,,Fixation,1446.0,142.0,,
1669961390.5721638,,Eye Tracker,1110.0,317.0,Valid,Valid,Fixation,,,,
1669961390.580735,,Mouse,1110.0,316.5,,,Fixation,1442.0,142.0,,
1669961390.5888188,,Eye Tracker,1110.0,316.0,Valid,Valid,Fixation,,,,
1669961390.5910108,,Mouse,1115.5,319.0,,,Fixation,1439.0,142.0,,
1669961390.6054728,,Eye Tracker,1121.0,322.0,Valid,Valid,Fixation,,,,
1669961390.610812,,Mouse,1121.0,322.0,,,Fixation,1429.0,142.0,,
1669961390.6221278,,Eye Tracker,1121.0,322.0,Valid,Valid,Fixation,,,,
1669961390.631018,,Mouse,1119.0,318.0,,,Fixation,1419.0,142.0,,
1669961390.638783,,Eye Tracker,1117.0,314.0,Valid,Valid,Fixation,,,,
1669961390.650766,,Mouse,1118.5,314.5,,,Fixation,1409.0,145.0,,
1669961390.655437,,Eye Tracker,1120.0,315.0,Valid,Valid,Fixation,,,,
1669961390.670739,,Mouse,1118.0,314.0,,,Fixation,1398.0,147.0,,
1669961390.672092,,Eye Tracker,1116.0,313.0,Valid,Valid,Fixation,,,,
1669961390.688747,,Eye Tracker,1111.0,319.0,Valid,Valid,Fixation,,,,
1669961390.690708,,Mouse,1113.0,319.6666666666667,,,Fixation,1393.0,148.0,,
1669961390.700708,,Mouse,1115.0,320.3333333333333,,,Fixation,1391.0,148.0,,
1669961390.705401,,Eye Tracker,1117.0,321.0,Valid,Valid,Fixation,,,,
1669961390.7107189,,Mouse,1118.3333333333333,318.6666666666667,,,Fixation,1386.0,150.0,,
1669961390.7209358,,Mouse,1119.6666666666667,316.3333333333333,,,Fixation,1382.0,150.0,,
1669961390.722056,,Eye Tracker,1121.0,314.0,Valid,Valid,Fixation,,,,
1669961390.7387109,,Eye Tracker,1140.0,333.0,Valid,Valid,Saccade,,,,
1669961390.7407098,,Mouse,1141.6666666666667,333.3333333333333,,,Saccade,1374.0,152.0,,
1669961390.7508478,,Mouse,1143.3333333333333,333.6666666666667,,,Unclassified,1371.0,153.0,,
1669961390.755365,,Eye Tracker,1145.0,334.0,Valid,Valid,Unclassified,,,,
1669961390.770711,,Mouse,1132.5,319.0,,,Saccade,1365.0,154.0,,
1669961390.7720199,,Eye Tracker,1120.0,304.0,Valid,Valid,Saccade,,,,
1669961390.7807188,,Mouse,1120.0,304.0,,,Fixation,1361.0,156.0,,
1669961390.7886748,,Eye Tracker,1120.0,304.0,Valid,Valid,Fixation,,,,
1669961390.790731,,Mouse,1126.0,313.0,,,Fixation,1358.0,156.0,,
1669961390.800771,,Mouse,1132.0,322.0,,,Fixation,1354.0,157.0,,
1669961390.8053298,,Eye Tracker,1138.0,331.0,Valid,Valid,Fixation,,,,
1669961390.810797,,Mouse,1139.6666666666667,331.0,,,Fixation,1351.0,158.0,,
1669961390.8210788,,Mouse,1141.3333333333333,331.0,,,Fixation,1347.0,159.0,,
1669961390.821985,,Eye Tracker,1143.0,331.0,Valid,Valid,Fixation,,,,
1669961390.83864,,Eye Tracker,1126.0,321.0,Valid,Valid,Fixation,,,,
1669961390.840729,,Mouse,1124.0,321.6666666666667,,,Fixation,1338.0,162.0,,
1669961390.8510008,,Mouse,1122.0,322.3333333333333,,,Fixation,1332.0,164.0,,
1669961390.855295,,Eye Tracker,1120.0,323.0,Valid,Valid,Fixation,,,,
1669961390.8620129,,Mouse,1114.0,315.5,,,Fixation,1328.0,166.0,,
1669961390.871949,,Eye Tracker,1108.0,308.0,Valid,Valid,Fixation,,,,
1669961390.8818579,,Mouse,1111.5,309.0,,,Fixation,1318.0,170.0,,
1669961390.888604,,Eye Tracker,1115.0,310.0,Valid,Valid,Fixation,,,,
1669961390.901723,,Mouse,1129.5,323.0,,,Saccade,1309.0,175.0,,
1669961390.905259,,Eye Tracker,1144.0,336.0,Valid,Valid,Saccade,,,,
1669961390.911758,,Mouse,1144.6666666666667,335.3333333333333,,,Saccade,1306.0,177.0,,
1669961390.921759,,Mouse,1145.3333333333333,334.6666666666667,,,Unclassified,1303.0,179.0,,
1669961390.921913,,Eye Tracker,1146.0,334.0,Valid,Valid,Unclassified,,,,
1669961390.9317799,,Mouse,1135.0,325.0,,,Saccade,1298.0,182.0,,
1669961390.9385679,,Eye Tracker,1124.0,316.0,Valid,Valid,Saccade,,,,
1669961390.9419048,,Mouse,1123.3333333333333,316.3333333333333,,,Saccade,1295.0,184.0,,
1669961390.9520319,,Mouse,1122.6666666666667,316.6666666666667,,,Unclassified,1289.0,186.0,,
1669961390.9552228,,Eye Tracker,1122.0,317.0,Valid,Valid,Unclassified,,,,
1669961390.971782,,Mouse,1131.0,324.0,,,Unclassified,1278.0,192.0,,
1669961390.9718769,,Eye Tracker,1140.0,331.0,Valid,Valid,Unclassified,,,,
1669961390.9818678,,Mouse,1107.0,349.0,,,Saccade,1273.0,194.0,,
1669961390.9885318,,Eye Tracker,1074.0,367.0,Valid,Valid,Saccade,,,,
1669961390.99203,,Mouse,1015.0,404.5,,,Saccade,1269.0,197.0,,
1669961391.0051868,,Eye Tracker,956.0,442.0,Valid,Valid,Saccade,,,,
1669961391.0117488,,Mouse,864.5,481.0,,,Saccade,1260.0,201.0,,
1669961391.0218408,,Eye Tracker,773.0,520.0,Valid,Valid,Saccade,,,,
1669961391.0220408,,Mouse,766.3333333333334,518.0,,,Saccade,1259.0,202.0,,
1669961391.0327659,,Mouse,759.6666666666666,516.0,,,Fixation,1254.0,202.0,,
1669961391.0384958,,Eye Tracker,753.0,514.0,Valid,Valid,Fixation,,,,
1669961391.0527349,,Mouse,753.5,513.5,,,Fixation,1244.0,206.0,,
1669961391.055152,,Eye Tracker,754.0,513.0,Valid,Valid,Fixation,,,,
1669961391.0627959,,Mouse,756.0,518.5,,,Fixation,1240.0,206.0,,
1669961391.071806,,Eye Tracker,758.0,524.0,Valid,Valid,Fixation,,,,
1669961391.0830238,,Mouse,756.5,523.5,,,Fixation,1229.0,209.0,,
1669961391.088461,,Eye Tracker,755.0,523.0,Valid,Valid,Fixation,,,,
1669961391.102738,,Mouse,752.5,522.0,,,Fixation,1218.0,210.0,,
1669961391.105116,,Eye Tracker,750.0,521.0,Valid,Valid,Fixation,,,,
1669961391.1127708,,Mouse,750.0,522.0,,,Fixation,1211.0,211.0,,
1669961391.1217709,,Eye Tracker,750.0,523.0,Valid,Valid,Fixation,,,,
1669961391.132777,,Mouse,747.5,521.5,,,Fixation,1197.0,212.0,,
