Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669787649.470474,,Eye Tracker,2068.0,-120.0,Valid,Valid,Fixation
1669787649.487129,,Eye Tracker,2054.0,-119.0,Valid,Valid,Fixation
1669787649.503784,,Eye Tracker,2054.0,-127.0,Valid,Valid,Fixation
1669787649.520438,,Eye Tracker,2074.0,-119.0,Valid,Valid,Fixation
1669787649.537093,,Eye Tracker,2079.0,-112.0,Valid,Valid,Fixation
1669787649.553748,,Eye Tracker,2063.0,-108.0,Valid,Valid,Fixation
1669787649.570402,,Eye Tracker,2056.0,-109.0,Valid,Valid,Fixation
1669787649.587057,,Eye Tracker,2077.0,-113.0,Valid,Valid,Fixation
1669787649.603712,,Eye Tracker,2074.0,-112.0,Valid,Valid,Fixation
1669787649.620366,,Eye Tracker,2066.0,-111.0,Valid,Valid,Fixation
1669787649.637021,,Eye Tracker,2064.0,-106.0,Valid,Valid,Fixation
1669787649.653676,,Eye Tracker,2060.0,-104.0,Valid,Valid,Fixation
1669787649.67033,,Eye Tracker,2048.0,-102.0,Valid,Valid,Fixation
1669787649.686985,,Eye Tracker,2042.0,-97.0,Valid,Valid,Fixation
1669787649.703641,,Eye Tracker,2050.0,-91.0,Valid,Valid,Fixation
1669787649.720295,,Eye Tracker,2048.0,-88.0,Valid,Valid,Fixation
1669787649.73695,,Eye Tracker,2051.0,-82.0,Valid,Valid,Fixation
1669787649.753605,,Eye Tracker,2044.0,-83.0,Valid,Valid,Fixation
1669787649.77026,,Eye Tracker,2045.0,-93.0,Valid,Valid,Fixation
1669787649.786914,,Eye Tracker,2043.0,-93.0,Valid,Valid,Fixation
1669787649.803569,,Eye Tracker,2036.0,-94.0,Valid,Valid,Fixation
1669787649.820224,,Eye Tracker,2036.0,-94.0,Valid,Valid,Fixation
1669787649.836878,,Eye Tracker,2025.0,-84.0,Valid,Valid,Fixation
1669787649.853533,,Eye Tracker,2019.0,-82.0,Valid,Valid,Fixation
1669787649.870188,,Eye Tracker,2012.0,-80.0,Valid,Valid,Fixation
1669787649.886842,,Eye Tracker,2014.0,-75.0,Valid,Valid,Fixation
1669787649.903497,,Eye Tracker,2008.0,-66.0,Valid,Valid,Fixation
1669787649.920152,,Eye Tracker,2000.0,-57.0,Valid,Valid,Fixation
1669787649.936806,,Eye Tracker,1995.0,-54.0,Valid,Valid,Fixation
1669787649.953461,,Eye Tracker,1982.0,-53.0,Valid,Valid,Fixation
1669787649.970117,,Eye Tracker,1972.0,-45.0,Valid,Valid,Fixation
1669787649.986771,,Eye Tracker,1974.0,-42.0,Valid,Valid,Fixation
1669787650.003426,,Eye Tracker,1965.0,-36.0,Valid,Valid,Fixation
1669787650.020081,,Eye Tracker,1958.0,-34.0,Valid,Valid,Fixation
1669787650.036736,,Eye Tracker,1958.0,-27.0,Valid,Valid,Fixation
1669787650.05339,,Eye Tracker,1951.0,-26.0,Valid,Valid,Fixation
1669787650.070045,,Eye Tracker,1946.0,-29.0,Valid,Valid,Fixation
1669787650.0867,,Eye Tracker,1940.0,-24.0,Valid,Valid,Fixation
1669787650.103354,,Eye Tracker,1935.0,-17.0,Valid,Valid,Fixation
1669787650.120009,,Eye Tracker,1927.0,-14.0,Valid,Valid,Fixation
1669787650.136664,,Eye Tracker,1922.0,-11.0,Valid,Valid,Fixation
1669787650.153318,,Eye Tracker,1915.0,-8.0,Valid,Valid,Fixation
1669787650.169973,,Eye Tracker,1915.0,-11.0,Valid,Valid,Fixation
1669787650.186628,,Eye Tracker,1918.0,-7.0,Valid,Valid,Fixation
1669787650.203282,,Eye Tracker,1913.0,0.0,Valid,Valid,Fixation
1669787650.219938,,Eye Tracker,1906.0,-7.0,Valid,Valid,Fixation
1669787650.236593,,Eye Tracker,1882.0,-14.0,Valid,Valid,Fixation
1669787650.253247,,Eye Tracker,1891.0,3.0,Valid,Valid,Fixation
1669787650.269902,,Eye Tracker,1893.0,14.0,Valid,Valid,Fixation
1669787650.286557,,Eye Tracker,1882.0,14.0,Valid,Valid,Fixation
1669787650.303212,,Eye Tracker,1880.0,23.0,Valid,Valid,Fixation
1669787650.319866,,Eye Tracker,1873.0,22.0,Valid,Valid,Fixation
1669787650.336521,,Eye Tracker,1863.0,26.0,Valid,Valid,Fixation
1669787650.353176,,Eye Tracker,1862.0,32.0,Valid,Valid,Fixation
1669787650.36983,,Eye Tracker,1855.0,30.0,Valid,Valid,Fixation
1669787650.386485,,Eye Tracker,1846.0,29.0,Valid,Valid,Fixation
1669787650.40314,,Eye Tracker,1835.0,49.0,Valid,Valid,Fixation
1669787650.419794,,Eye Tracker,1838.0,49.0,Valid,Valid,Fixation
1669787650.436449,,Eye Tracker,1836.0,40.0,Valid,Valid,Fixation
1669787650.453104,,Eye Tracker,1829.0,46.0,Valid,Valid,Fixation
1669787650.469758,,Eye Tracker,1827.0,46.0,Valid,Valid,Fixation
1669787650.486414,,Eye Tracker,1824.0,45.0,Valid,Valid,Fixation
1669787650.503069,,Eye Tracker,1827.0,58.0,Valid,Valid,Fixation
1669787650.519723,,Eye Tracker,1824.0,59.0,Valid,Valid,Fixation
1669787650.536378,,Eye Tracker,1805.0,55.0,Valid,Valid,Fixation
1669787650.553033,,Eye Tracker,1799.0,54.0,Valid,Valid,Fixation
1669787650.569688,,Eye Tracker,1809.0,54.0,Valid,Valid,Fixation
1669787650.586342,,Eye Tracker,1811.0,57.0,Valid,Valid,Fixation
1669787650.602997,,Eye Tracker,1808.0,57.0,Valid,Valid,Fixation
1669787650.619652,,Eye Tracker,1802.0,62.0,Valid,Valid,Fixation
1669787650.636306,,Eye Tracker,1794.0,63.0,Valid,Valid,Fixation
1669787650.652961,,Eye Tracker,1792.0,63.0,Valid,Valid,Fixation
1669787650.669616,,Eye Tracker,1776.0,86.0,Valid,Valid,Fixation
1669787650.68627,,Eye Tracker,1765.0,87.0,Valid,Valid,Fixation
1669787650.702925,,Eye Tracker,1759.0,85.0,Valid,Valid,Fixation
1669787650.71958,,Eye Tracker,1758.0,87.0,Valid,Valid,Fixation
1669787650.736235,,Eye Tracker,1759.0,86.0,Valid,Valid,Fixation
1669787650.75289,,Eye Tracker,1753.0,91.0,Valid,Valid,Fixation
1669787650.769545,,Eye Tracker,1750.0,84.0,Valid,Valid,Fixation
1669787650.786199,,Eye Tracker,1749.0,80.0,Valid,Valid,Fixation
1669787650.802854,,Eye Tracker,1739.0,92.0,Valid,Valid,Fixation
1669787650.819509,,Eye Tracker,1729.0,94.0,Valid,Valid,Fixation
1669787650.836164,,Eye Tracker,1733.0,92.0,Valid,Valid,Fixation
1669787650.852818,,Eye Tracker,1731.0,90.0,Valid,Valid,Fixation
1669787650.869473,,Eye Tracker,1730.0,91.0,Valid,Valid,Fixation
1669787650.886128,,Eye Tracker,1719.0,95.0,Valid,Valid,Fixation
1669787650.902782,,Eye Tracker,1710.0,81.0,Valid,Valid,Fixation
1669787650.919437,,Eye Tracker,1703.0,83.0,Valid,Valid,Fixation
1669787650.936092,,Eye Tracker,1703.0,89.0,Valid,Valid,Fixation
1669787650.952746,,Eye Tracker,1700.0,86.0,Valid,Valid,Fixation
1669787650.969401,,Eye Tracker,1693.0,86.0,Valid,Valid,Fixation
1669787650.986056,,Eye Tracker,1690.0,88.0,Valid,Valid,Fixation
1669787651.002711,,Eye Tracker,1688.0,90.0,Valid,Valid,Fixation
1669787651.019366,,Eye Tracker,1685.0,89.0,Valid,Valid,Fixation
1669787651.036021,,Eye Tracker,1690.0,90.0,Valid,Valid,Fixation
1669787651.052675,,Eye Tracker,1690.0,90.0,Valid,Valid,Fixation
1669787651.06933,,Eye Tracker,1677.0,87.0,Valid,Valid,Fixation
1669787651.085985,,Eye Tracker,1676.0,88.0,Valid,Valid,Fixation
1669787651.10264,,Eye Tracker,1677.0,85.0,Valid,Valid,Fixation
1669787651.119294,,Eye Tracker,1671.0,92.0,Valid,Valid,Fixation
1669787651.135949,,Eye Tracker,1673.0,95.0,Valid,Valid,Fixation
1669787651.152604,,Eye Tracker,1673.0,89.0,Valid,Valid,Fixation
1669787651.169258,,Eye Tracker,1659.0,91.0,Valid,Valid,Fixation
