Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669782042.535,MouseEvent,,194.0,978.3333333333334,,,Saccade
1669782042.5439272,,Mouse,177.0,986.6666666666666,,,Saccade
1669782042.5506382,,Eye Tracker,160.0,995.0,Valid,Valid,Saccade
1669782042.5599082,,Eye Tracker,79.0,1023.0,Valid,Valid,Saccade
1669782042.5672932,,Eye Tracker,29.0,1045.0,Valid,Valid,Saccade
1669782042.597922,,Eye Tracker,28.0,1050.0,Valid,Valid,Fixation
1669782042.614576,,Eye Tracker,20.0,1049.0,Valid,Valid,Fixation
1669782042.648617,,Eye Tracker,16.0,1047.0,Valid,Valid,Fixation
1669782042.665272,,Eye Tracker,29.0,1047.0,Valid,Valid,Fixation
1669782042.6819272,,Eye Tracker,30.0,1051.0,Valid,Valid,Fixation
1669782042.698581,,Eye Tracker,39.0,1040.0,Valid,Valid,Fixation
1669782042.7152362,,Eye Tracker,69.0,1011.0,Valid,Valid,Saccade
1669782042.7318912,,Eye Tracker,83.0,1000.0,Valid,Valid,Fixation
1669782042.7485461,,Eye Tracker,85.0,1004.0,Valid,Valid,Fixation
1669782042.765201,,Eye Tracker,86.0,1009.0,Valid,Valid,Fixation
1669782042.781856,,Mouse,81.5,1008.0,,,Fixation
1669782042.79851,,Eye Tracker,77.0,1007.0,Valid,Valid,Fixation
1669782042.815165,,Mouse,72.0,1003.5,,,Fixation
1669782042.83182,,Eye Tracker,67.0,1000.0,Valid,Valid,Fixation
1669782042.848474,,Mouse,69.5,1000.0,,,Fixation
1669782042.865129,,Eye Tracker,72.0,1000.0,Valid,Valid,Fixation
1669782042.8817842,,Mouse,74.0,997.5,,,Fixation
1669782042.8984392,,Eye Tracker,76.0,995.0,Valid,Valid,Fixation
1669782042.9150932,,Mouse,74.5,994.5,,,Fixation
1669782042.9317482,,Eye Tracker,73.0,994.0,Valid,Valid,Fixation
1669782042.9484031,,Mouse,73.5,995.5,,,Fixation
1669782042.9650571,,Eye Tracker,74.0,997.0,Valid,Valid,Fixation
1669782042.981712,,Eye Tracker,77.0,991.0,Valid,Valid,Fixation
1669782042.991939,,Mouse,77.33333333333333,993.0,,,Fixation
1669782042.998367,,Mouse,77.66666666666667,995.0,,,Fixation
1669782043.0079641,,Eye Tracker,78.0,997.0,Valid,Valid,Fixation
1669782043.015021,,Eye Tracker,75.0,997.0,Valid,Valid,Fixation
1669782043.0239,,Mouse,83.0,997.5,,,Fixation
1669782043.031676,,Eye Tracker,91.0,998.0,Valid,Valid,Fixation
1669782043.039906,,Mouse,93.5,1002.0,,,Fixation
1669782043.048331,,Eye Tracker,96.0,1006.0,Valid,Valid,Fixation
1669782043.055895,,Mouse,93.0,1004.5,,,Fixation
1669782043.064985,,Eye Tracker,90.0,1003.0,Valid,Valid,Fixation
1669782043.0718942,,Mouse,87.5,1005.0,,,Fixation
1669782043.08164,,Eye Tracker,85.0,1007.0,Valid,Valid,Fixation
1669782043.0878952,,Mouse,86.0,1008.6666666666666,,,Fixation
1669782043.0982962,,Mouse,87.0,1010.3333333333334,,,Fixation
1669782043.1038911,,Eye Tracker,88.0,1012.0,Valid,Valid,Fixation
1669782043.1149502,,Eye Tracker,93.0,1010.0,Valid,Valid,Fixation
1669782043.119889,,Mouse,114.0,1005.5,,,Fixation
1669782043.1316051,,Eye Tracker,135.0,1001.0,Valid,Valid,Saccade
1669782043.1359272,,Mouse,172.5,994.5,,,Saccade
1669782043.14826,,Eye Tracker,210.0,988.0,Valid,Valid,Saccade
1669782043.151993,,Mouse,246.0,983.0,,,Saccade
1669782043.164915,,Eye Tracker,282.0,978.0,Valid,Valid,Saccade
1669782043.167902,,Mouse,280.5,977.5,,,Saccade
1669782043.181569,,Eye Tracker,279.0,977.0,Valid,Valid,Fixation
1669782043.183891,,Mouse,278.0,977.5,,,Fixation
1669782043.198224,,Eye Tracker,277.0,978.0,Valid,Valid,Fixation
1669782043.199888,,Mouse,280.0,977.0,,,Fixation
1669782043.214879,,Eye Tracker,283.0,976.0,Valid,Valid,Fixation
1669782043.2159462,,Mouse,288.0,972.5,,,Fixation
1669782043.231533,,Eye Tracker,293.0,969.0,Valid,Valid,Fixation
1669782043.248188,,Mouse,295.0,969.5,,,Fixation
1669782043.264843,,Eye Tracker,297.0,970.0,Valid,Valid,Fixation
1669782043.281497,,Mouse,297.0,973.5,,,Fixation
1669782043.298152,,Eye Tracker,297.0,977.0,Valid,Valid,Fixation
1669782043.3148072,,Mouse,301.5,976.5,,,Fixation
1669782043.3314612,,Eye Tracker,306.0,976.0,Valid,Valid,Fixation
1669782043.3481162,,Mouse,305.5,974.5,,,Fixation
1669782043.3647711,,Eye Tracker,305.0,973.0,Valid,Valid,Fixation
1669782043.3814251,,Mouse,304.5,973.0,,,Fixation
1669782043.39808,,Eye Tracker,304.0,973.0,Valid,Valid,Fixation
1669782043.414735,,Mouse,309.0,972.0,,,Fixation
1669782043.4238992,,Eye Tracker,314.0,971.0,Valid,Valid,Fixation
1669782043.431391,,Mouse,316.0,972.5,,,Fixation
1669782043.439929,,Eye Tracker,318.0,974.0,Valid,Valid,Fixation
1669782043.448045,,Mouse,319.5,975.5,,,Fixation
1669782043.455956,,Eye Tracker,321.0,977.0,Valid,Valid,Fixation
1669782043.4647,,Mouse,322.5,978.5,,,Fixation
1669782043.4719112,,Eye Tracker,324.0,980.0,Valid,Valid,Fixation
1669782043.4813552,,Mouse,324.5,980.0,,,Fixation
1669782043.487921,,Eye Tracker,325.0,980.0,Valid,Valid,Fixation
1669782043.4980092,,Mouse,330.0,976.0,,,Fixation
1669782043.503957,,Eye Tracker,335.0,972.0,Valid,Valid,Fixation
1669782043.5146642,,Mouse,336.0,974.0,,,Fixation
1669782043.5164082,,Eye Tracker,337.0,976.0,Valid,Valid,Fixation
1669782043.520143,,Mouse,338.0,975.0,,,Fixation
1669782043.5313191,,Eye Tracker,339.0,974.0,Valid,Valid,Fixation
1669782043.53599,,Mouse,355.0,970.0,,,Saccade
1669782043.5479732,,Eye Tracker,371.0,966.0,Valid,Valid,Saccade
1669782043.5521102,,Mouse,422.5,954.5,,,Saccade
1669782043.5646281,,Eye Tracker,474.0,943.0,Valid,Valid,Saccade
1669782043.568015,,Mouse,500.6666666666667,937.0,,,Saccade
1669782043.581283,,Mouse,527.3333333333334,931.0,,,Saccade
1669782043.5839882,,Eye Tracker,554.0,925.0,Valid,Valid,Saccade
1669782043.597937,,Mouse,561.0,923.0,,,Fixation
1669782043.5999942,,Eye Tracker,568.0,921.0,Valid,Valid,Fixation
1669782043.614592,,Mouse,568.5,919.0,,,Fixation
1669782043.616266,,Eye Tracker,569.0,917.0,Valid,Valid,Fixation
1669782043.631247,,Mouse,571.0,916.0,,,Fixation
1669782043.632244,,Eye Tracker,573.0,915.0,Valid,Valid,Fixation
1669782043.647901,,Eye Tracker,575.0,919.0,Valid,Valid,Fixation
1669782043.6479912,,Mouse,573.0,918.5,,,Fixation
1669782043.664025,,Eye Tracker,571.0,918.0,Valid,Valid,Fixation
1669782043.664556,,Mouse,570.5,915.5,,,Fixation
1669782043.680052,,Eye Tracker,570.0,913.0,Valid,Valid,Fixation
1669782043.681211,,Mouse,571.5,915.0,,,Fixation
1669782043.6962922,,Eye Tracker,573.0,917.0,Valid,Valid,Fixation
1669782043.6978662,,Mouse,575.0,919.5,,,Fixation
1669782043.71224,,Eye Tracker,577.0,922.0,Valid,Valid,Fixation
1669782043.71452,,Eye Tracker,580.0,919.0,Valid,Valid,Fixation
1669782043.7279441,,Mouse,575.0,920.5,,,Fixation
1669782043.7311752,,Eye Tracker,570.0,922.0,Valid,Valid,Fixation
1669782043.743932,,Mouse,562.6666666666666,923.0,,,Fixation
1669782043.7478302,,Mouse,555.3333333333334,924.0,,,Fixation
1669782043.759972,,Eye Tracker,548.0,925.0,Valid,Valid,Fixation
1669782043.7644851,,Mouse,540.0,922.0,,,Fixation
1669782043.775939,,Eye Tracker,532.0,919.0,Valid,Valid,Fixation
1669782043.78114,,Mouse,530.0,915.5,,,Fixation
1669782043.7919002,,Eye Tracker,528.0,912.0,Valid,Valid,Fixation
1669782043.797795,,Mouse,529.0,912.3333333333334,,,Fixation
1669782043.807934,,Mouse,530.0,912.6666666666666,,,Fixation
1669782043.814449,,Eye Tracker,531.0,913.0,Valid,Valid,Fixation
1669782043.823993,,Eye Tracker,532.0,911.0,Valid,Valid,Fixation
1669782043.831104,,Eye Tracker,532.0,912.0,Valid,Valid,Fixation
1669782043.839921,,Mouse,532.0,912.3333333333334,,,Fixation
1669782043.847759,,Mouse,532.0,912.6666666666666,,,Fixation
1669782043.8560102,,Eye Tracker,532.0,913.0,Valid,Valid,Fixation
1669782043.864413,,Eye Tracker,529.0,912.0,Valid,Valid,Fixation
1669782043.871979,,Mouse,529.6666666666666,910.3333333333334,,,Fixation
1669782043.881068,,Mouse,530.3333333333334,908.6666666666666,,,Fixation
1669782043.8977232,,Eye Tracker,531.0,907.0,Valid,Valid,Fixation
1669782043.914377,,Mouse,533.5,907.0,,,Fixation
1669782043.9310322,,Eye Tracker,536.0,907.0,Valid,Valid,Fixation
1669782043.9476871,,Mouse,536.5,908.5,,,Fixation
1669782043.964342,,Eye Tracker,537.0,910.0,Valid,Valid,Fixation
