Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669782122.493463,,,,MouseEvent,"Down, Left"
1669782122.493463,Mouse,1882.0,68.0,,
1669782122.643392,Mouse,1882.0,68.0,,
1669782122.654629,Mouse,1879.0,68.0,,
1669782122.674708,Mouse,1876.0,68.0,,
1669782122.693431,Mouse,1873.0,68.0,,
1669782122.704649,Mouse,1871.0,68.0,,
1669782122.724386,Mouse,1868.0,68.0,,
1669782122.734698,Mouse,1866.0,68.0,,
1669782122.74543,Mouse,1862.0,68.0,,
1669782122.765472,Mouse,1850.0,68.0,,
1669782122.78545,Mouse,1835.0,68.0,,
1669782122.805708,Mouse,1819.0,69.0,,
1669782122.82553,Mouse,1806.0,71.0,,
1669782122.83566,Mouse,1800.0,73.0,,
1669782122.854432,Mouse,1793.0,74.0,,
1669782122.864454,Mouse,1788.0,74.0,,
1669782122.875429,Mouse,1781.0,76.0,,
1669782122.885455,Mouse,1774.0,77.0,,
1669782122.895589,Mouse,1767.0,78.0,,
1669782122.905662,Mouse,1759.0,79.0,,
1669782122.916415,Mouse,1748.0,81.0,,
1669782122.936472,Mouse,1730.0,85.0,,
1669782122.955386,Mouse,1714.0,86.0,,
1669782122.966483,Mouse,1707.0,87.0,,
1669782122.985382,Mouse,1694.0,87.0,,
1669782122.996444,Mouse,1688.0,89.0,,
1669782123.006487,Mouse,1680.0,90.0,,
1669782123.025387,Mouse,1668.0,91.0,,
1669782123.035486,Mouse,1659.0,93.0,,
1669782123.056372,Mouse,1643.0,93.0,,
1669782123.075362,Mouse,1630.0,93.0,,
1669782123.085386,Mouse,1625.0,93.0,,
1669782123.09648,Mouse,1620.0,93.0,,
1669782123.115392,Mouse,1611.0,93.0,,
1669782123.125399,Mouse,1607.0,93.0,,
1669782123.136484,Mouse,1605.0,93.0,,
1669782123.155383,Mouse,1599.0,92.0,,
1669782123.165468,Mouse,1598.0,91.0,,
1669782123.176349,Mouse,1595.0,91.0,,
1669782123.186386,Mouse,1591.0,89.0,,
1669782123.205696,Mouse,1584.0,87.0,,
1669782123.226332,Mouse,1577.0,85.0,,
1669782123.236466,Mouse,1571.0,83.0,,
1669782123.256397,Mouse,1562.0,79.0,,
1669782123.267506,Mouse,1560.0,78.0,,
1669782123.286423,Mouse,1555.0,76.0,,
1669782123.296652,Mouse,1552.0,75.0,,
1669782123.307382,Mouse,1548.0,73.0,,
1669782123.317402,Mouse,1547.0,72.0,,
1669782123.336473,Mouse,1543.0,71.0,,
1669782123.347395,Mouse,1541.0,70.0,,
1669782123.357406,Mouse,1540.0,69.0,,
1669782123.376363,Mouse,1536.0,68.0,,
1669782123.38641,Mouse,1532.0,67.0,,
1669782123.397522,Mouse,1529.0,65.0,,
1669782123.407619,Mouse,1527.0,65.0,,
1669782123.427585,Mouse,1521.0,63.0,,
1669782123.438394,Mouse,1520.0,63.0,,
1669782123.448416,Mouse,1517.0,62.0,,
1669782123.467655,Mouse,1510.0,62.0,,
1669782123.478448,Mouse,1507.0,60.0,,
1669782123.488694,Mouse,1502.0,60.0,,
1669782123.50743,Mouse,1491.0,60.0,,
1669782123.51839,Mouse,1484.0,60.0,,
1669782123.528474,Mouse,1477.0,60.0,,
1669782123.547365,Mouse,1463.0,60.0,,
1669782123.557672,Mouse,1454.0,60.0,,
1669782123.568423,Mouse,1447.0,60.0,,
1669782123.587398,Mouse,1434.0,60.0,,
1669782123.597673,Mouse,1428.0,60.0,,
1669782123.608485,Mouse,1423.0,60.0,,
1669782123.627549,Mouse,1418.0,60.0,,
1669782123.648383,Mouse,1414.0,60.0,,
1669782123.658487,Mouse,1411.0,60.0,,
1669782123.67738,Mouse,1407.0,60.0,,
1669782123.688445,Mouse,1401.0,61.0,,
1669782123.707383,Mouse,1396.0,63.0,,
1669782123.71741,Mouse,1394.0,64.0,,
1669782123.728787,Mouse,1390.0,66.0,,
1669782123.748554,Mouse,1384.0,67.0,,
1669782123.768383,Mouse,1380.0,69.0,,
1669782123.779414,Mouse,1378.0,70.0,,
1669782123.789468,Mouse,1378.0,70.0,,
1669782123.808491,Mouse,1375.0,72.0,,
1669782123.819649,Mouse,1375.0,72.0,,
1669782123.829671,Mouse,1373.0,73.0,,
1669782123.848373,Mouse,1372.0,74.0,,
1669782123.859365,Mouse,1371.0,74.0,,
1669782123.878378,Mouse,1368.0,76.0,,
1669782123.899704,Mouse,1365.0,78.0,,
1669782123.919407,Mouse,1362.0,81.0,,
1669782123.929704,Mouse,1361.0,82.0,,
1669782123.950456,Mouse,1358.0,85.0,,
1669782123.960678,Mouse,1356.0,87.0,,
1669782123.979383,Mouse,1355.0,89.0,,
1669782123.990378,Mouse,1353.0,90.0,,
1669782124.009529,Mouse,1350.0,94.0,,
1669782124.030704,Mouse,1346.0,99.0,,
1669782124.049355,Mouse,1342.0,103.0,,
1669782124.070382,Mouse,1339.0,109.0,,
1669782124.089346,Mouse,1337.0,113.0,,
1669782124.099377,Mouse,1336.0,115.0,,
1669782124.10939,Mouse,1335.0,116.0,,
1669782124.120676,Mouse,1335.0,118.0,,
1669782124.139382,Mouse,1332.0,124.0,,
1669782124.149427,Mouse,1331.0,126.0,,
1669782124.160343,Mouse,1330.0,129.0,,
1669782124.170378,Mouse,1329.0,131.0,,
1669782124.189433,Mouse,1328.0,136.0,,
1669782124.200387,Mouse,1328.0,138.0,,
1669782124.210535,Mouse,1327.0,141.0,,
1669782124.229668,Mouse,1326.0,147.0,,
1669782124.24043,Mouse,1326.0,152.0,,
1669782124.260394,Mouse,1325.0,157.0,,
1669782124.280478,Mouse,1324.0,163.0,,
1669782124.291388,Mouse,1324.0,167.0,,
1669782124.301423,Mouse,1324.0,170.0,,
1669782124.320444,Mouse,1324.0,176.0,,
1669782124.331349,Mouse,1324.0,180.0,,
1669782124.341383,Mouse,1324.0,184.0,,
1669782124.36056,Mouse,1324.0,192.0,,
1669782124.371359,Mouse,1324.0,197.0,,
1669782124.381369,Mouse,1324.0,201.0,,
1669782124.400367,Mouse,1324.0,210.0,,
1669782124.411513,Mouse,1324.0,216.0,,
1669782124.431343,Mouse,1324.0,228.0,,
1669782124.441376,Mouse,1324.0,235.0,,
1669782124.462376,Mouse,1324.0,247.0,,
1669782124.481425,Mouse,1324.0,260.0,,
1669782124.502378,Mouse,1322.0,273.0,,
1669782124.512402,Mouse,1321.0,281.0,,
1669782124.531376,Mouse,1321.0,293.0,,
1669782124.542523,Mouse,1321.0,298.0,,
1669782124.561342,Mouse,1319.0,310.0,,
1669782124.571375,Mouse,1319.0,316.0,,
1669782124.582426,Mouse,1319.0,321.0,,
1669782124.592461,Mouse,1319.0,325.0,,
1669782124.611809,Mouse,1319.0,335.0,,
