Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669781658.378,MouseEvent,,1077.0,254.33333333333334,,,Fixation
1669781658.38613,,Mouse,1077.0,245.66666666666666,,,Fixation
1669781658.393161,,Eye Tracker,1077.0,237.0,Valid,Invalid,Fixation
1669781658.402087,,Eye Tracker,1063.0,242.0,Valid,Invalid,Fixation
1669781658.409816,,Eye Tracker,1064.0,253.0,Valid,Invalid,Fixation
1669781658.439971,,Eye Tracker,1062.0,257.0,Valid,Invalid,Fixation
1669781658.456625,,Eye Tracker,1062.0,253.0,Valid,Invalid,Fixation
1669781658.47328,,Eye Tracker,1067.0,248.0,Valid,Invalid,Fixation
1669781658.5066571,,Eye Tracker,1068.0,243.0,Valid,Invalid,Fixation
1669781658.523312,,Eye Tracker,1086.0,251.0,Valid,Invalid,Fixation
1669781658.539966,,Eye Tracker,1085.0,263.0,Valid,Invalid,Fixation
1669781658.556621,,Eye Tracker,1065.0,267.0,Valid,Invalid,Fixation
1669781658.573276,,Mouse,1082.5,253.0,,,Saccade
1669781658.58993,,Eye Tracker,1100.0,239.0,Valid,Invalid,Saccade
1669781658.606585,,Eye Tracker,1170.0,188.0,Valid,Invalid,Saccade
1669781658.62324,,Mouse,1178.6666666666667,188.33333333333334,,,Saccade
1669781658.639894,,Mouse,1187.3333333333333,188.66666666666666,,,Fixation
1669781658.656549,,Eye Tracker,1196.0,189.0,Valid,Invalid,Fixation
1669781658.6581721,,Mouse,1202.5,186.0,,,Fixation
1669781658.673204,,Eye Tracker,1209.0,183.0,Valid,Invalid,Fixation
1669781658.674073,,Mouse,1209.5,182.5,,,Fixation
1669781658.689857,,Eye Tracker,1210.0,182.0,Valid,Invalid,Fixation
1669781658.690106,,Mouse,1209.0,191.5,,,Fixation
1669781658.706073,,Eye Tracker,1208.0,201.0,Valid,Invalid,Fixation
1669781658.706512,,Mouse,1201.5,209.5,,,Fixation
1669781658.722063,,Eye Tracker,1195.0,218.0,Valid,Valid,Fixation
1669781658.723167,,Mouse,1190.5,207.0,,,Fixation
1669781658.738059,,Eye Tracker,1186.0,196.0,Valid,Valid,Fixation
1669781658.739821,,Mouse,1185.6666666666667,196.33333333333334,,,Fixation
1669781658.754061,,Mouse,1185.3333333333333,196.66666666666666,,,Fixation
1669781658.756476,,Eye Tracker,1185.0,197.0,Valid,Valid,Fixation
1669781658.7701051,,Mouse,1185.5,200.0,,,Fixation
1669781658.7731311,,Eye Tracker,1186.0,203.0,Valid,Valid,Fixation
1669781658.786058,,Mouse,1186.0,203.0,,,Fixation
1669781658.789785,,Eye Tracker,1186.0,203.0,Valid,Valid,Fixation
1669781658.802059,,Mouse,1188.5,204.0,,,Fixation
1669781658.806439,,Eye Tracker,1191.0,205.0,Valid,Valid,Fixation
1669781658.81806,,Mouse,1191.0,207.5,,,Fixation
1669781658.823095,,Eye Tracker,1191.0,210.0,Valid,Valid,Fixation
1669781658.834157,,Mouse,1187.0,212.0,,,Fixation
1669781658.83975,,Eye Tracker,1183.0,214.0,Valid,Valid,Fixation
1669781658.850095,,Mouse,1182.5,215.0,,,Fixation
1669781658.856404,,Eye Tracker,1182.0,216.0,Valid,Valid,Fixation
1669781658.866061,,Mouse,1185.5,217.0,,,Fixation
1669781658.873058,,Eye Tracker,1189.0,218.0,Valid,Valid,Fixation
1669781658.882134,,Mouse,1188.3333333333333,218.66666666666666,,,Fixation
1669781658.889713,,Mouse,1187.6666666666667,219.33333333333334,,,Fixation
