Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-30 13:51:36.589256,,Eye Tracker,1519.0,120.0,Valid,Valid,Fixation
2022-11-30 13:51:36.605911,,Eye Tracker,1535.0,116.0,Valid,Valid,Fixation
2022-11-30 13:51:36.622565,,Eye Tracker,1552.0,103.0,Valid,Valid,Fixation
2022-11-30 13:51:36.639220,,Eye Tracker,1536.0,107.0,Valid,Valid,Fixation
2022-11-30 13:51:36.655876,,Eye Tracker,1528.0,117.0,Valid,Valid,Fixation
2022-11-30 13:51:36.672531,,Eye Tracker,1531.0,115.0,Valid,Valid,Fixation
2022-11-30 13:51:36.689185,,Eye Tracker,1530.0,108.0,Valid,Valid,Fixation
2022-11-30 13:51:36.705840,,Eye Tracker,1527.0,110.0,Valid,Valid,Fixation
2022-11-30 13:51:36.722495,,Eye Tracker,1527.0,117.0,Valid,Valid,Fixation
2022-11-30 13:51:36.739149,,Eye Tracker,1523.0,114.0,Valid,Valid,Fixation
2022-11-30 13:51:36.755804,,Eye Tracker,1518.0,115.0,Valid,Valid,Fixation
2022-11-30 13:51:36.772459,,Eye Tracker,1522.0,122.0,Valid,Valid,Fixation
2022-11-30 13:51:36.789113,,Eye Tracker,1528.0,125.0,Valid,Valid,Fixation
2022-11-30 13:51:36.805768,,Eye Tracker,1523.0,121.0,Valid,Valid,Fixation
2022-11-30 13:51:36.822423,,Eye Tracker,1523.0,121.0,Valid,Valid,Fixation
2022-11-30 13:51:36.839077,,Eye Tracker,1536.0,125.0,Valid,Valid,Fixation
2022-11-30 13:51:36.855732,,Eye Tracker,1546.0,117.0,Valid,Valid,Fixation
2022-11-30 13:51:36.872387,,Eye Tracker,1538.0,108.0,Valid,Valid,Fixation
2022-11-30 13:51:36.889041,,Eye Tracker,1531.0,114.0,Valid,Valid,Fixation
2022-11-30 13:51:36.905696,,Eye Tracker,1525.0,121.0,Valid,Valid,Fixation
2022-11-30 13:51:36.922352,,Eye Tracker,1522.0,121.0,Valid,Valid,Fixation
2022-11-30 13:51:36.939007,,Eye Tracker,1522.0,127.0,Valid,Valid,Fixation
2022-11-30 13:51:36.955661,,Eye Tracker,1523.0,126.0,Valid,Valid,Fixation
2022-11-30 13:51:36.972316,,Eye Tracker,1526.0,115.0,Valid,Valid,Fixation
2022-11-30 13:51:36.988971,,Eye Tracker,1524.0,120.0,Valid,Valid,Fixation
2022-11-30 13:51:37.005625,,Eye Tracker,1523.0,123.0,Valid,Valid,Fixation
2022-11-30 13:51:37.022280,,Eye Tracker,1518.0,131.0,Valid,Valid,Fixation
2022-11-30 13:51:37.038935,,Eye Tracker,1514.0,144.0,Valid,Valid,Fixation
2022-11-30 13:51:37.055589,,Eye Tracker,1518.0,137.0,Valid,Valid,Fixation
2022-11-30 13:51:37.072244,,Eye Tracker,1538.0,130.0,Valid,Valid,Fixation
2022-11-30 13:51:37.088899,,Eye Tracker,1554.0,126.0,Valid,Valid,Fixation
2022-11-30 13:51:37.105553,,Eye Tracker,1563.0,115.0,Valid,Valid,Fixation
2022-11-30 13:51:37.122208,,Eye Tracker,1562.0,112.0,Valid,Valid,Fixation
2022-11-30 13:51:37.138863,,Eye Tracker,1594.0,112.0,Invalid,Valid,Fixation
2022-11-30 13:51:37.155517,,Eye Tracker,1582.0,123.0,Valid,Valid,Fixation
2022-11-30 13:51:37.172172,,Eye Tracker,1568.0,121.0,Valid,Valid,Fixation
2022-11-30 13:51:37.188827,,Eye Tracker,1572.0,117.0,Valid,Valid,Fixation
2022-11-30 13:51:37.205482,,Eye Tracker,1575.0,113.0,Valid,Valid,Fixation
2022-11-30 13:51:37.222136,,Eye Tracker,1572.0,115.0,Valid,Valid,Fixation
2022-11-30 13:51:37.238791,,Eye Tracker,1565.0,123.0,Valid,Valid,Fixation
2022-11-30 13:51:37.255446,,Eye Tracker,1571.0,123.0,Valid,Valid,Fixation
2022-11-30 13:51:37.272100,,Eye Tracker,1564.0,120.0,Valid,Valid,Fixation
2022-11-30 13:51:37.288755,,Eye Tracker,1558.0,129.0,Valid,Valid,Fixation
2022-11-30 13:51:37.305410,,Eye Tracker,1560.0,138.0,Valid,Valid,Fixation
2022-11-30 13:51:37.322064,,Eye Tracker,1558.0,134.0,Valid,Valid,Fixation
2022-11-30 13:51:37.338719,,Eye Tracker,1558.0,121.0,Valid,Valid,Fixation
2022-11-30 13:51:37.355374,,Eye Tracker,1556.0,122.0,Valid,Valid,Fixation
2022-11-30 13:51:37.372028,,Eye Tracker,1552.0,140.0,Valid,Valid,Fixation
2022-11-30 13:51:37.388683,,Eye Tracker,1554.0,139.0,Valid,Valid,Fixation
2022-11-30 13:51:37.405339,,Eye Tracker,1560.0,128.0,Valid,Valid,Fixation
2022-11-30 13:51:37.421993,,Eye Tracker,1558.0,131.0,Valid,Valid,Fixation
2022-11-30 13:51:37.438648,,Eye Tracker,1552.0,128.0,Valid,Valid,Fixation
