Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669785205.410192,,,,MouseEvent,"Down, Left"
1669785205.410192,Mouse,1814.0,906.0,,
1669785205.490408,Mouse,1814.0,905.0,,
1669785205.511089,Mouse,1813.0,904.0,,
1669785205.530017,Mouse,1808.0,900.0,,
1669785205.541052,Mouse,1805.0,898.0,,
1669785205.551075,Mouse,1802.0,896.0,,
1669785205.570006,Mouse,1795.0,892.0,,
1669785205.581086,Mouse,1791.0,889.0,,
1669785205.591108,Mouse,1785.0,887.0,,
1669785205.611104,Mouse,1778.0,882.0,,
1669785205.622047,Mouse,1776.0,881.0,,
1669785205.632082,Mouse,1773.0,880.0,,
1669785205.65235,Mouse,1771.0,879.0,,
1669785205.692325,Mouse,1769.0,878.0,,
1669785205.712085,Mouse,1767.0,877.0,,
1669785205.73209,Mouse,1763.0,875.0,,
1669785205.752208,Mouse,1761.0,874.0,,
1669785205.772049,Mouse,1759.0,874.0,,
1669785205.833089,Mouse,1759.0,874.0,,
1669785205.853093,Mouse,1757.0,874.0,,
1669785205.863244,Mouse,1755.0,874.0,,
1669785205.883083,Mouse,1747.0,874.0,,
1669785205.903088,Mouse,1737.0,874.0,,
1669785205.923056,Mouse,1724.0,873.0,,
1669785205.933071,Mouse,1718.0,873.0,,
1669785205.943241,Mouse,1711.0,873.0,,
1669785205.963036,Mouse,1701.0,873.0,,
1669785205.973071,Mouse,1696.0,873.0,,
1669785205.983349,Mouse,1689.0,874.0,,
1669785206.002066,Mouse,1681.0,875.0,,
1669785206.01319,Mouse,1675.0,876.0,,
1669785206.033092,Mouse,1667.0,878.0,,
1669785206.053107,Mouse,1661.0,880.0,,
1669785206.073287,Mouse,1655.0,882.0,,
1669785206.0931,Mouse,1651.0,883.0,,
1669785206.1031,Mouse,1650.0,884.0,,
1669785206.113217,Mouse,1648.0,884.0,,
1669785206.134224,Mouse,1646.0,884.0,,
1669785206.154038,Mouse,1643.0,884.0,,
1669785206.164094,Mouse,1643.0,884.0,,
1669785206.184097,Mouse,1641.0,885.0,,
1669785206.204184,Mouse,1639.0,885.0,,
1669785206.305034,Mouse,1638.0,885.0,,
1669785206.315124,Mouse,1638.0,885.0,,
1669785206.325218,Mouse,1637.0,881.0,,
1669785206.335357,Mouse,1636.0,870.0,,
1669785206.355015,Mouse,1629.0,834.0,,
1669785206.36507,Mouse,1621.0,808.0,,
1669785206.375162,Mouse,1615.0,783.0,,
1669785206.3952,Mouse,1607.0,750.0,,
1669785206.415058,Mouse,1602.0,734.0,,
1669785206.435042,Mouse,1599.0,728.0,,
1669785206.448588,,,,MouseEvent,"Up, Left"
1669785206.448588,Mouse,1599.0,728.0,,
1669785206.505065,Mouse,1599.0,727.0,,
1669785206.554048,Mouse,1598.0,726.0,,
1669785206.564991,Mouse,1595.0,724.0,,
1669785206.575333,Mouse,1592.0,721.0,,
1669785206.594118,Mouse,1581.0,710.0,,
1669785206.605065,Mouse,1575.0,704.0,,
1669785206.625106,Mouse,1565.0,694.0,,
1669785206.635335,Mouse,1562.0,691.0,,
1669785206.646102,Mouse,1560.0,688.0,,
1669785206.656205,Mouse,1557.0,685.0,,
1669785206.736124,Mouse,1555.0,684.0,,
1669785206.75602,Mouse,1550.0,682.0,,
1669785206.776053,Mouse,1535.0,677.0,,
1669785206.786098,Mouse,1523.0,673.0,,
1669785206.796181,Mouse,1510.0,667.0,,
1669785206.81708,Mouse,1487.0,654.0,,
1669785206.827318,Mouse,1476.0,647.0,,
1669785206.847058,Mouse,1463.0,640.0,,
1669785206.857125,Mouse,1461.0,639.0,,
1669785206.867234,Mouse,1459.0,638.0,,
1669785207.047292,,,,MouseEvent,"Up, Left"
1669785207.047292,Mouse,1459.0,638.0,,
1669785207.057075,Mouse,1459.0,638.0,,
1669785207.077041,Mouse,1459.0,630.0,,
1669785207.087058,Mouse,1459.0,624.0,,
1669785207.097091,Mouse,1459.0,617.0,,
1669785207.117262,Mouse,1459.0,607.0,,
1669785207.248086,Mouse,1459.0,607.0,,
1669785207.258346,Mouse,1465.0,613.0,,
1669785207.277119,Mouse,1478.0,638.0,,
1669785207.288058,Mouse,1488.0,654.0,,
1669785207.298334,Mouse,1503.0,673.0,,
1669785207.318182,Mouse,1521.0,696.0,,
1669785207.329236,Mouse,1524.0,698.0,,
1669785207.349101,Mouse,1528.0,702.0,,
1669785207.369011,Mouse,1531.0,702.0,,
1669785207.379011,Mouse,1536.0,702.0,,
1669785207.389143,Mouse,1539.0,703.0,,
1669785207.39919,Mouse,1544.0,703.0,,
1669785207.419029,Mouse,1554.0,704.0,,
1669785207.439025,Mouse,1560.0,705.0,,
1669785207.459085,Mouse,1560.0,705.0,,
1669785207.569117,Mouse,1561.0,706.0,,
1669785207.589313,Mouse,1564.0,708.0,,
1669785207.60901,Mouse,1570.0,711.0,,
1669785207.629386,Mouse,1576.0,714.0,,
1669785207.64916,Mouse,1581.0,716.0,,
1669785207.670057,Mouse,1586.0,718.0,,
1669785207.680107,Mouse,1587.0,718.0,,
1669785207.690172,Mouse,1590.0,719.0,,
1669785207.700092,Mouse,1591.0,719.0,,
1669785207.960446,,,,MouseEvent,"Down, Left"
1669785207.960446,Mouse,1591.0,719.0,,
1669785208.090054,Mouse,1591.0,720.0,,
1669785208.101072,Mouse,1590.0,721.0,,
1669785208.111163,Mouse,1589.0,722.0,,
1669785208.130037,Mouse,1587.0,725.0,,
