Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669945204.09058,,Eye Tracker,2031.0,-99.0,Valid,Valid,Fixation
1669945204.107234,,Eye Tracker,2021.0,-94.0,Valid,Valid,Fixation
1669945204.123889,,Eye Tracker,2024.0,-82.0,Valid,Valid,Fixation
1669945204.140544,,Eye Tracker,2014.0,-68.0,Valid,Valid,Fixation
1669945204.157198,,Eye Tracker,2006.0,-53.0,Valid,Valid,Fixation
1669945204.173853,,Eye Tracker,2003.0,-48.0,Valid,Valid,Fixation
1669945204.190509,,Eye Tracker,1998.0,-48.0,Valid,Valid,Fixation
1669945204.207164,,Eye Tracker,1992.0,-44.0,Valid,Valid,Fixation
1669945204.223818,,Eye Tracker,1996.0,-34.0,Valid,Valid,Fixation
1669945204.240473,,Eye Tracker,1991.0,-32.0,Valid,Valid,Fixation
1669945204.257128,,Eye Tracker,1982.0,-44.0,Valid,Valid,Fixation
1669945204.273782,,Eye Tracker,1983.0,-46.0,Valid,Valid,Fixation
1669945204.290437,,Eye Tracker,1981.0,-37.0,Valid,Valid,Fixation
1669945204.307092,,Eye Tracker,1972.0,-33.0,Valid,Valid,Fixation
1669945204.323746,,Eye Tracker,1979.0,-24.0,Valid,Valid,Fixation
1669945204.340401,,Eye Tracker,1974.0,-26.0,Valid,Valid,Fixation
1669945204.357056,,Eye Tracker,1959.0,-19.0,Valid,Valid,Fixation
1669945204.37371,,Eye Tracker,1960.0,-18.0,Valid,Valid,Fixation
1669945204.390365,,Eye Tracker,1962.0,-16.0,Valid,Valid,Fixation
1669945204.40702,,Eye Tracker,1957.0,-9.0,Valid,Valid,Fixation
1669945204.423674,,Eye Tracker,1950.0,-7.0,Valid,Valid,Fixation
1669945204.440329,,Eye Tracker,1944.0,-7.0,Valid,Valid,Fixation
1669945204.456984,,Eye Tracker,1942.0,-3.0,Valid,Valid,Fixation
1669945204.473639,,Eye Tracker,1938.0,1.0,Valid,Valid,Fixation
1669945204.490293,,Eye Tracker,1938.0,-6.0,Valid,Valid,Fixation
1669945204.506949,,Eye Tracker,1940.0,-4.0,Valid,Valid,Fixation
1669945204.523604,,Eye Tracker,1937.0,3.0,Valid,Valid,Fixation
1669945204.540258,,Eye Tracker,1929.0,12.0,Valid,Valid,Fixation
1669945204.556913,,Eye Tracker,1919.0,15.0,Valid,Valid,Fixation
1669945204.573568,,Eye Tracker,1918.0,17.0,Valid,Valid,Fixation
1669945204.590222,,Eye Tracker,1913.0,36.0,Valid,Valid,Fixation
1669945204.606877,,Eye Tracker,1909.0,40.0,Valid,Valid,Fixation
1669945204.623532,,Eye Tracker,1906.0,49.0,Valid,Valid,Fixation
1669945204.640186,,Eye Tracker,1902.0,49.0,Valid,Valid,Fixation
1669945204.656841,,Eye Tracker,1891.0,53.0,Valid,Valid,Fixation
1669945204.673496,,Eye Tracker,1888.0,55.0,Valid,Valid,Fixation
1669945204.69015,,Eye Tracker,1884.0,55.0,Valid,Valid,Fixation
1669945204.706805,,Eye Tracker,1881.0,53.0,Valid,Valid,Fixation
1669945204.72346,,Eye Tracker,1881.0,58.0,Valid,Valid,Fixation
1669945204.740115,,Eye Tracker,1875.0,63.0,Valid,Valid,Fixation
1669945204.756769,,Eye Tracker,1869.0,64.0,Valid,Valid,Fixation
1669945204.773424,,Eye Tracker,1865.0,67.0,Valid,Valid,Fixation
1669945204.790079,,Eye Tracker,1859.0,68.0,Valid,Valid,Fixation
1669945204.806733,,Eye Tracker,1855.0,74.0,Valid,Valid,Fixation
1669945204.823389,,Eye Tracker,1856.0,79.0,Valid,Valid,Fixation
1669945204.840044,,Eye Tracker,1850.0,83.0,Valid,Valid,Fixation
1669945204.856698,,Eye Tracker,1852.0,83.0,Valid,Valid,Fixation
1669945204.873353,,Eye Tracker,1851.0,81.0,Valid,Valid,Fixation
1669945204.890008,,Eye Tracker,1839.0,80.0,Valid,Valid,Fixation
1669945204.906662,,Eye Tracker,1837.0,80.0,Valid,Valid,Fixation
1669945204.923317,,Eye Tracker,1836.0,86.0,Valid,Valid,Fixation
1669945204.939972,,Eye Tracker,1830.0,86.0,Valid,Valid,Fixation
1669945204.956626,,Eye Tracker,1829.0,91.0,Valid,Valid,Fixation
1669945204.973281,,Eye Tracker,1827.0,93.0,Valid,Valid,Fixation
1669945204.989936,,Eye Tracker,1820.0,103.0,Valid,Valid,Fixation
1669945205.006591,,Eye Tracker,1816.0,101.0,Valid,Valid,Fixation
1669945205.023245,,Eye Tracker,1812.0,86.0,Valid,Valid,Fixation
1669945205.0399,,Eye Tracker,1808.0,86.0,Valid,Valid,Fixation
1669945205.056555,,Eye Tracker,1804.0,82.0,Valid,Valid,Fixation
1669945205.073209,,Eye Tracker,1801.0,87.0,Valid,Valid,Fixation
1669945205.089864,,Eye Tracker,1793.0,85.0,Valid,Valid,Fixation
1669945205.106519,,Eye Tracker,1791.0,85.0,Valid,Valid,Fixation
1669945205.123173,,Eye Tracker,1778.0,91.0,Valid,Valid,Fixation
1669945205.139828,,Eye Tracker,1773.0,93.0,Valid,Valid,Fixation
1669945205.156484,,Eye Tracker,1773.0,92.0,Valid,Valid,Fixation
1669945205.173138,,Eye Tracker,1769.0,92.0,Valid,Valid,Fixation
1669945205.189793,,Eye Tracker,1775.0,100.0,Valid,Valid,Fixation
1669945205.206448,,Eye Tracker,1767.0,98.0,Valid,Valid,Fixation
1669945205.223102,,Eye Tracker,1762.0,92.0,Valid,Valid,Fixation
1669945205.239757,,Eye Tracker,1764.0,91.0,Valid,Valid,Fixation
1669945205.256412,,Eye Tracker,1765.0,84.0,Valid,Valid,Fixation
1669945205.273067,,Eye Tracker,1763.0,91.0,Valid,Valid,Fixation
1669945205.289721,,Eye Tracker,1768.0,94.0,Valid,Valid,Fixation
1669945205.306376,,Eye Tracker,1768.0,89.0,Valid,Valid,Fixation
1669945205.323031,,Eye Tracker,1755.0,95.0,Valid,Valid,Fixation
1669945205.339685,,Eye Tracker,1755.0,87.0,Valid,Valid,Fixation
1669945205.35634,,Eye Tracker,1754.0,74.0,Valid,Valid,Fixation
1669945205.372995,,Eye Tracker,1750.0,77.0,Valid,Valid,Fixation
1669945205.389649,,Eye Tracker,1748.0,88.0,Valid,Valid,Fixation
1669945205.406304,,Eye Tracker,1747.0,94.0,Valid,Valid,Fixation
1669945205.422959,,Eye Tracker,1747.0,97.0,Valid,Valid,Fixation
1669945205.439613,,Eye Tracker,1746.0,91.0,Valid,Valid,Fixation
1669945205.456268,,Eye Tracker,1737.0,92.0,Valid,Valid,Fixation
1669945205.472924,,Eye Tracker,1734.0,92.0,Valid,Valid,Fixation
1669945205.489578,,Eye Tracker,1730.0,97.0,Valid,Valid,Fixation
1669945205.506233,,Eye Tracker,1729.0,100.0,Valid,Valid,Fixation
1669945205.522888,,Eye Tracker,1735.0,100.0,Valid,Valid,Fixation
1669945205.539543,,Eye Tracker,1729.0,97.0,Valid,Valid,Fixation
1669945205.556197,,Eye Tracker,1730.0,96.0,Valid,Valid,Fixation
1669945205.572852,,Eye Tracker,1731.0,96.0,Valid,Valid,Fixation
1669945205.589507,,Eye Tracker,1718.0,97.0,Valid,Valid,Fixation
1669945205.606161,,Eye Tracker,1717.0,100.0,Valid,Valid,Fixation
1669945205.622816,,Eye Tracker,1710.0,91.0,Valid,Valid,Fixation
1669945205.639471,,Eye Tracker,1708.0,93.0,Valid,Valid,Fixation
1669945205.656125,,Eye Tracker,1704.0,95.0,Valid,Valid,Fixation
1669945205.67278,,Eye Tracker,1701.0,98.0,Valid,Valid,Fixation
1669945205.689435,,Eye Tracker,1699.0,98.0,Valid,Valid,Fixation
1669945205.706089,,Eye Tracker,1689.0,100.0,Valid,Valid,Fixation
1669945205.722744,,Eye Tracker,1690.0,100.0,Valid,Valid,Fixation
1669945205.739399,,Eye Tracker,1691.0,96.0,Valid,Valid,Fixation
1669945205.756053,,Eye Tracker,1679.0,100.0,Valid,Valid,Fixation
1669945205.772708,,Eye Tracker,1668.0,112.0,Valid,Valid,Fixation
1669945205.789364,,Eye Tracker,1668.0,110.0,Valid,Valid,Fixation
1669945205.806019,,Eye Tracker,1662.0,110.0,Valid,Valid,Fixation
1669945205.822673,,Eye Tracker,1668.0,109.0,Valid,Valid,Fixation
1669945205.839328,,Eye Tracker,1666.0,104.0,Valid,Valid,Fixation
1669945205.855983,,Eye Tracker,1666.0,99.0,Valid,Valid,Fixation
1669945205.872637,,Eye Tracker,1668.0,104.0,Valid,Valid,Fixation
1669945205.889292,,Eye Tracker,1667.0,101.0,Valid,Valid,Fixation
1669945205.905947,,Eye Tracker,1670.0,98.0,Valid,Valid,Fixation
1669945205.922601,,Eye Tracker,1660.0,98.0,Valid,Valid,Fixation
1669945205.939256,,Eye Tracker,1659.0,96.0,Valid,Valid,Fixation
1669945205.955911,,Eye Tracker,1650.0,99.0,Valid,Valid,Fixation
1669945205.972565,,Eye Tracker,1644.0,102.0,Valid,Valid,Fixation
1669945205.98922,,Eye Tracker,1640.0,99.0,Valid,Valid,Fixation
1669945206.005875,,Eye Tracker,1637.0,97.0,Valid,Valid,Fixation
1669945206.022529,,Eye Tracker,1635.0,99.0,Valid,Valid,Fixation
1669945206.039184,,Eye Tracker,1631.0,98.0,Valid,Valid,Fixation
1669945206.055839,,Eye Tracker,1618.0,97.0,Valid,Valid,Fixation
1669945206.072494,,Eye Tracker,1610.0,98.0,Valid,Valid,Fixation
1669945206.089148,,Eye Tracker,1614.0,102.0,Valid,Valid,Fixation
1669945206.105804,,Eye Tracker,1606.0,110.0,Valid,Valid,Fixation
1669945206.122459,,Eye Tracker,1604.0,112.0,Valid,Valid,Fixation
1669945206.139113,,Eye Tracker,1600.0,113.0,Valid,Valid,Fixation
1669945206.155768,,Eye Tracker,1596.0,122.0,Valid,Valid,Fixation
1669945206.172423,,Eye Tracker,1595.0,114.0,Valid,Valid,Fixation
1669945206.189077,,Eye Tracker,1596.0,112.0,Valid,Valid,Fixation
1669945206.205732,,Eye Tracker,1596.0,111.0,Valid,Valid,Fixation
1669945206.222387,,Eye Tracker,1592.0,94.0,Valid,Valid,Fixation
1669945206.239041,,Eye Tracker,1590.0,94.0,Valid,Valid,Fixation
1669945206.255696,,Eye Tracker,1580.0,96.0,Valid,Valid,Fixation
1669945206.272351,,Eye Tracker,1579.0,98.0,Valid,Valid,Fixation
1669945206.289005,,Eye Tracker,1581.0,100.0,Valid,Valid,Fixation
1669945206.30566,,Eye Tracker,1584.0,101.0,Valid,Valid,Fixation
1669945206.322315,,Eye Tracker,1585.0,101.0,Valid,Valid,Fixation
1669945206.33897,,Eye Tracker,1562.0,102.0,Valid,Valid,Fixation
1669945206.355624,,Eye Tracker,1482.0,96.0,Valid,Valid,Saccade
1669945206.372279,,Eye Tracker,1446.0,91.0,Valid,Valid,Saccade
1669945206.388934,,Eye Tracker,1446.0,90.0,Valid,Valid,Fixation
1669945206.405588,,Eye Tracker,1440.0,90.0,Valid,Valid,Fixation
1669945206.422243,,Eye Tracker,1439.0,93.0,Valid,Valid,Fixation
1669945206.438899,,Eye Tracker,1435.0,93.0,Valid,Valid,Fixation
1669945206.455553,,Eye Tracker,1429.0,92.0,Valid,Valid,Fixation
1669945206.472208,,Eye Tracker,1430.0,95.0,Valid,Valid,Fixation
1669945206.488863,,Eye Tracker,1426.0,101.0,Valid,Valid,Fixation
1669945206.505517,,Eye Tracker,1425.0,103.0,Valid,Valid,Fixation
1669945206.522172,,Eye Tracker,1431.0,106.0,Valid,Valid,Fixation
1669945206.538827,,Eye Tracker,1428.0,106.0,Valid,Valid,Fixation
1669945206.555481,,Eye Tracker,1424.0,100.0,Valid,Valid,Fixation
1669945206.572136,,Eye Tracker,1421.0,106.0,Valid,Valid,Fixation
1669945206.588791,,Eye Tracker,1452.0,123.0,Valid,Valid,Saccade
1669945206.605446,,Eye Tracker,1487.0,127.0,Valid,Valid,Saccade
1669945206.6221,,Eye Tracker,1509.0,118.0,Valid,Valid,Fixation
1669945206.638755,,Eye Tracker,1509.0,118.0,Valid,Valid,Fixation
1669945206.65541,,Eye Tracker,1507.0,122.0,Valid,Valid,Fixation
1669945206.672064,,Eye Tracker,1502.0,123.0,Valid,Valid,Fixation
1669945206.688719,,Eye Tracker,1498.0,128.0,Valid,Valid,Fixation
1669945206.705374,,Eye Tracker,1494.0,131.0,Valid,Valid,Fixation
1669945206.722028,,Eye Tracker,1489.0,127.0,Valid,Valid,Fixation
1669945206.738683,,Eye Tracker,1489.0,123.0,Valid,Valid,Fixation
1669945206.755339,,Eye Tracker,1480.0,129.0,Valid,Valid,Fixation
1669945206.771993,,Eye Tracker,1481.0,125.0,Valid,Valid,Fixation
1669945206.788648,,Eye Tracker,1483.0,126.0,Valid,Valid,Fixation
1669945206.805303,,Eye Tracker,1478.0,127.0,Valid,Valid,Fixation
1669945206.821957,,Eye Tracker,1480.0,126.0,Valid,Valid,Fixation
1669945206.838612,,Eye Tracker,1450.0,128.0,Valid,Valid,Saccade
1669945206.855267,,Eye Tracker,1385.0,114.0,Valid,Valid,Saccade
1669945206.871922,,Eye Tracker,1370.0,112.0,Valid,Valid,Fixation
1669945206.888576,,Eye Tracker,1370.0,115.0,Valid,Valid,Fixation
1669945206.905231,,Eye Tracker,1371.0,114.0,Valid,Valid,Fixation
1669945206.921886,,Eye Tracker,1378.0,119.0,Valid,Valid,Fixation
1669945206.93854,,Eye Tracker,1373.0,119.0,Valid,Valid,Fixation
1669945206.955195,,Eye Tracker,1379.0,121.0,Valid,Valid,Fixation
1669945206.97185,,Eye Tracker,1379.0,124.0,Valid,Valid,Fixation
1669945206.988504,,Eye Tracker,1370.0,121.0,Valid,Valid,Fixation
1669945207.005159,,Eye Tracker,1371.0,119.0,Valid,Valid,Fixation
1669945207.021814,,Eye Tracker,1371.0,113.0,Valid,Valid,Fixation
1669945207.038468,,Eye Tracker,1370.0,115.0,Valid,Valid,Fixation
1669945207.055123,,Eye Tracker,1376.0,118.0,Valid,Valid,Fixation
1669945207.071779,,Eye Tracker,1376.0,120.0,Valid,Valid,Fixation
1669945207.088433,,Eye Tracker,1372.0,115.0,Valid,Valid,Fixation
1669945207.105088,,Eye Tracker,1375.0,117.0,Valid,Valid,Fixation
1669945207.121743,,Eye Tracker,1372.0,122.0,Valid,Valid,Fixation
1669945207.138398,,Eye Tracker,1370.0,115.0,Valid,Valid,Fixation
1669945207.155052,,Eye Tracker,1376.0,118.0,Valid,Valid,Fixation
1669945207.171707,,Eye Tracker,1374.0,117.0,Valid,Valid,Fixation
1669945207.188362,,Eye Tracker,1369.0,115.0,Valid,Valid,Fixation
1669945207.205016,,Eye Tracker,1367.0,115.0,Valid,Valid,Fixation
1669945207.221671,,Eye Tracker,1366.0,108.0,Valid,Valid,Fixation
1669945207.238326,,Eye Tracker,1371.0,110.0,Valid,Valid,Fixation
1669945207.25498,,Eye Tracker,1368.0,108.0,Valid,Valid,Fixation
1669945207.271635,,Eye Tracker,1369.0,108.0,Valid,Valid,Fixation
1669945207.28829,,Eye Tracker,1366.0,114.0,Valid,Valid,Fixation
1669945207.304944,,Eye Tracker,1366.0,117.0,Valid,Valid,Fixation
1669945207.321599,,Eye Tracker,1372.0,117.0,Valid,Valid,Fixation
1669945207.338254,,Eye Tracker,1369.0,116.0,Valid,Valid,Fixation
1669945207.354908,,Eye Tracker,1372.0,113.0,Valid,Valid,Fixation
1669945207.371563,,Eye Tracker,1372.0,109.0,Valid,Valid,Fixation
1669945207.388219,,Eye Tracker,1364.0,119.0,Valid,Valid,Fixation
1669945207.404874,,Eye Tracker,1365.0,116.0,Valid,Valid,Fixation
1669945207.421528,,Eye Tracker,1374.0,113.0,Valid,Valid,Fixation
1669945207.438183,,Eye Tracker,1372.0,115.0,Valid,Valid,Fixation
1669945207.454838,,Eye Tracker,1369.0,115.0,Valid,Valid,Fixation
1669945207.471492,,Eye Tracker,1368.0,117.0,Valid,Valid,Fixation
1669945207.488147,,Eye Tracker,1361.0,113.0,Valid,Valid,Fixation
1669945207.504802,,Eye Tracker,1361.0,111.0,Valid,Valid,Fixation
1669945207.521456,,Eye Tracker,1370.0,112.0,Valid,Valid,Fixation
1669945207.538111,,Eye Tracker,1370.0,111.0,Valid,Valid,Fixation
1669945207.554766,,Eye Tracker,1364.0,107.0,Valid,Valid,Fixation
1669945207.57142,,Eye Tracker,1364.0,110.0,Valid,Valid,Fixation
1669945207.588075,,Eye Tracker,1360.0,104.0,Valid,Valid,Fixation
1669945207.60473,,Eye Tracker,1354.0,107.0,Valid,Valid,Fixation
1669945207.621384,,Eye Tracker,1353.0,109.0,Valid,Valid,Fixation
1669945207.638039,,Eye Tracker,1356.0,108.0,Valid,Valid,Fixation
1669945207.654694,,Eye Tracker,1365.0,112.0,Valid,Valid,Fixation
1669945207.671349,,Eye Tracker,1364.0,113.0,Valid,Valid,Fixation
1669945207.688003,,Eye Tracker,1355.0,107.0,Valid,Valid,Fixation
1669945207.704658,,Eye Tracker,1354.0,106.0,Valid,Valid,Fixation
1669945207.721314,,Eye Tracker,1352.0,115.0,Valid,Valid,Fixation
1669945207.737968,,Eye Tracker,1350.0,121.0,Valid,Valid,Fixation
1669945207.754623,,Eye Tracker,1348.0,121.0,Valid,Valid,Fixation
1669945207.771278,,Eye Tracker,1348.0,122.0,Valid,Valid,Fixation
1669945207.787932,,Eye Tracker,1353.0,126.0,Valid,Valid,Fixation
1669945207.804587,,Eye Tracker,1353.0,126.0,Valid,Valid,Fixation
1669945207.821242,,Eye Tracker,1342.0,132.0,Valid,Valid,Fixation
1669945207.837896,,Eye Tracker,1338.0,132.0,Valid,Valid,Fixation
1669945207.854551,,Eye Tracker,1344.0,132.0,Valid,Valid,Fixation
1669945207.871206,,Eye Tracker,1346.0,128.0,Valid,Valid,Fixation
1669945207.88786,,Eye Tracker,1344.0,134.0,Valid,Valid,Fixation
1669945207.904515,,Eye Tracker,1344.0,152.0,Valid,Valid,Fixation
1669945207.92117,,Eye Tracker,1352.0,164.0,Valid,Valid,Fixation
1669945207.937825,,Eye Tracker,1351.0,172.0,Valid,Valid,Fixation
1669945207.954479,,Eye Tracker,1349.0,170.0,Valid,Valid,Fixation
1669945207.971134,,Eye Tracker,1345.0,168.0,Valid,Valid,Fixation
1669945207.987789,,Eye Tracker,1345.0,173.0,Valid,Valid,Fixation
1669945208.004443,,Eye Tracker,1345.0,172.0,Valid,Valid,Fixation
1669945208.021098,,Eye Tracker,1347.0,168.0,Valid,Valid,Fixation
1669945208.037754,,Eye Tracker,1350.0,165.0,Valid,Valid,Fixation
1669945208.054408,,Eye Tracker,1357.0,160.0,Valid,Valid,Fixation
1669945208.071063,,Eye Tracker,1357.0,164.0,Valid,Valid,Fixation
1669945208.087718,,Eye Tracker,1349.0,161.0,Valid,Valid,Fixation
1669945208.104372,,Eye Tracker,1367.0,150.0,Valid,Valid,Fixation
1669945208.121027,,Eye Tracker,1366.0,146.0,Valid,Valid,Fixation
1669945208.137682,,Eye Tracker,1367.0,143.0,Valid,Valid,Fixation
1669945208.154336,,Eye Tracker,1363.0,146.0,Valid,Valid,Fixation
1669945208.170991,,Eye Tracker,1362.0,149.0,Valid,Valid,Fixation
1669945208.187646,,Eye Tracker,1364.0,156.0,Valid,Valid,Fixation
1669945208.204301,,Eye Tracker,1360.0,158.0,Valid,Valid,Fixation
1669945208.220955,,Eye Tracker,1379.0,159.0,Valid,Valid,Fixation
1669945208.23761,,Eye Tracker,1379.0,160.0,Valid,Valid,Fixation
1669945208.254265,,Eye Tracker,1363.0,156.0,Valid,Valid,Fixation
1669945208.270919,,Eye Tracker,1362.0,157.0,Valid,Valid,Fixation
1669945208.287574,,Eye Tracker,1363.0,163.0,Valid,Valid,Fixation
1669945208.304229,,Eye Tracker,1367.0,163.0,Valid,Valid,Fixation
1669945208.320883,,Eye Tracker,1380.0,159.0,Valid,Valid,Fixation
1669945208.337538,,Eye Tracker,1381.0,161.0,Valid,Valid,Fixation
1669945208.354194,,Eye Tracker,1377.0,166.0,Valid,Valid,Fixation
1669945208.370848,,Eye Tracker,1375.0,168.0,Valid,Valid,Fixation
