Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669945204.074405,,,,MouseEvent,"Down, Left"
1669945204.074405,Mouse,1881.0,61.0,,
1669945204.367255,Mouse,1881.0,61.0,,
1669945204.38725,Mouse,1881.0,61.0,,
1669945204.416404,Mouse,1880.0,63.0,,
1669945204.427528,Mouse,1879.0,63.0,,
1669945204.447243,Mouse,1876.0,66.0,,
1669945204.477246,Mouse,1876.0,66.0,,
1669945204.537535,Mouse,1875.0,66.0,,
1669945204.557378,Mouse,1873.0,68.0,,
1669945204.586308,Mouse,1872.0,70.0,,
1669945204.627321,Mouse,1871.0,70.0,,
1669945204.648518,Mouse,1866.0,72.0,,
1669945204.668244,Mouse,1865.0,73.0,,
1669945204.76733,Mouse,1865.0,73.0,,
1669945204.778432,Mouse,1864.0,73.0,,
1669945204.798286,Mouse,1859.0,73.0,,
1669945204.808536,Mouse,1857.0,73.0,,
1669945204.819546,Mouse,1854.0,72.0,,
1669945204.839286,Mouse,1850.0,72.0,,
1669945204.859295,Mouse,1843.0,72.0,,
1669945204.879228,Mouse,1841.0,72.0,,
1669945204.899205,Mouse,1840.0,72.0,,
1669945204.909352,Mouse,1839.0,72.0,,
1669945204.91936,Mouse,1838.0,72.0,,
1669945204.939279,Mouse,1837.0,72.0,,
1669945204.9493,Mouse,1835.0,72.0,,
1669945204.968272,Mouse,1832.0,73.0,,
1669945204.978527,Mouse,1830.0,74.0,,
1669945204.989236,Mouse,1829.0,74.0,,
1669945204.999236,Mouse,1828.0,74.0,,
1669945205.018299,Mouse,1827.0,74.0,,
1669945205.029223,Mouse,1827.0,74.0,,
1669945205.039333,Mouse,1826.0,74.0,,
1669945205.049361,Mouse,1824.0,74.0,,
1669945205.069243,Mouse,1821.0,75.0,,
1669945205.079263,Mouse,1818.0,75.0,,
1669945205.089311,Mouse,1816.0,75.0,,
1669945205.109264,Mouse,1812.0,75.0,,
1669945205.119385,Mouse,1810.0,75.0,,
1669945205.139293,Mouse,1807.0,75.0,,
1669945205.160294,Mouse,1804.0,77.0,,
1669945205.170528,Mouse,1799.0,78.0,,
1669945205.189255,Mouse,1794.0,79.0,,
1669945205.200238,Mouse,1790.0,80.0,,
1669945205.210263,Mouse,1788.0,81.0,,
1669945205.229246,Mouse,1783.0,83.0,,
1669945205.240276,Mouse,1782.0,83.0,,
1669945205.250303,Mouse,1780.0,84.0,,
1669945205.269246,Mouse,1777.0,85.0,,
1669945205.279272,Mouse,1777.0,85.0,,
1669945205.290234,Mouse,1776.0,86.0,,
1669945205.310302,Mouse,1775.0,86.0,,
1669945205.33127,Mouse,1770.0,86.0,,
1669945205.341345,Mouse,1768.0,87.0,,
1669945205.35154,Mouse,1767.0,88.0,,
1669945205.371521,Mouse,1762.0,88.0,,
1669945205.391479,Mouse,1757.0,89.0,,
1669945205.411298,Mouse,1754.0,89.0,,
1669945205.43124,Mouse,1748.0,89.0,,
1669945205.451514,Mouse,1745.0,89.0,,
1669945205.471268,Mouse,1742.0,89.0,,
1669945205.490329,Mouse,1740.0,89.0,,
1669945205.50129,Mouse,1738.0,89.0,,
1669945205.511562,Mouse,1737.0,89.0,,
1669945205.530276,Mouse,1734.0,89.0,,
1669945205.551367,Mouse,1733.0,89.0,,
1669945205.570299,Mouse,1731.0,89.0,,
1669945205.581357,Mouse,1729.0,88.0,,
1669945205.601281,Mouse,1726.0,86.0,,
1669945205.621198,Mouse,1724.0,85.0,,
