Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-02 10:06:44.319546,,Eye Tracker,1913.0,57.0,Valid,Valid,Fixation
2022-12-02 10:06:44.336201,,Eye Tracker,1923.0,60.0,Valid,Valid,Fixation
2022-12-02 10:06:44.352856,,Eye Tracker,1921.0,58.0,Valid,Valid,Fixation
2022-12-02 10:06:44.369511,,Eye Tracker,1918.0,61.0,Valid,Valid,Fixation
2022-12-02 10:06:44.386165,,Eye Tracker,1911.0,64.0,Valid,Valid,Fixation
2022-12-02 10:06:44.402820,,Eye Tracker,1904.0,65.0,Valid,Valid,Fixation
2022-12-02 10:06:44.419475,,Eye Tracker,1904.0,72.0,Valid,Valid,Fixation
2022-12-02 10:06:44.436129,,Eye Tracker,1892.0,76.0,Valid,Valid,Fixation
2022-12-02 10:06:44.452784,,Eye Tracker,1890.0,74.0,Valid,Valid,Fixation
2022-12-02 10:06:44.469439,,Eye Tracker,1900.0,80.0,Valid,Valid,Fixation
2022-12-02 10:06:44.486093,,Eye Tracker,1889.0,83.0,Valid,Valid,Fixation
2022-12-02 10:06:44.502748,,Eye Tracker,1888.0,88.0,Valid,Valid,Fixation
2022-12-02 10:06:44.519403,,Eye Tracker,1892.0,87.0,Valid,Valid,Fixation
2022-12-02 10:06:44.536057,,Eye Tracker,1889.0,81.0,Valid,Valid,Fixation
2022-12-02 10:06:44.552713,,Eye Tracker,1886.0,85.0,Valid,Valid,Fixation
2022-12-02 10:06:44.569368,,Eye Tracker,1877.0,87.0,Valid,Valid,Fixation
2022-12-02 10:06:44.586022,,Eye Tracker,1862.0,92.0,Valid,Valid,Fixation
2022-12-02 10:06:44.602677,,Eye Tracker,1859.0,103.0,Valid,Valid,Fixation
2022-12-02 10:06:44.619332,,Eye Tracker,1864.0,97.0,Valid,Valid,Fixation
2022-12-02 10:06:44.635987,,Eye Tracker,1861.0,97.0,Valid,Valid,Fixation
2022-12-02 10:06:44.652641,,Eye Tracker,1850.0,105.0,Valid,Valid,Fixation
2022-12-02 10:06:44.669296,,Eye Tracker,1832.0,108.0,Valid,Valid,Fixation
2022-12-02 10:06:44.685951,,Eye Tracker,1841.0,104.0,Valid,Valid,Fixation
2022-12-02 10:06:44.702605,,Eye Tracker,1835.0,105.0,Valid,Valid,Fixation
2022-12-02 10:06:44.719260,,Eye Tracker,1830.0,107.0,Valid,Valid,Fixation
2022-12-02 10:06:44.735915,,Eye Tracker,1830.0,110.0,Valid,Valid,Fixation
2022-12-02 10:06:44.752569,,Eye Tracker,1826.0,108.0,Valid,Valid,Fixation
2022-12-02 10:06:44.769224,,Eye Tracker,1794.0,110.0,Valid,Valid,Saccade
2022-12-02 10:06:44.785879,,Eye Tracker,1731.0,110.0,Valid,Valid,Saccade
2022-12-02 10:06:44.802533,,Eye Tracker,1703.0,105.0,Valid,Valid,Saccade
2022-12-02 10:06:44.819189,,Eye Tracker,1695.0,107.0,Valid,Valid,Fixation
2022-12-02 10:06:44.835844,,Eye Tracker,1689.0,110.0,Valid,Valid,Fixation
2022-12-02 10:06:44.852498,,Eye Tracker,1686.0,108.0,Valid,Valid,Fixation
2022-12-02 10:06:44.869153,,Eye Tracker,1683.0,104.0,Valid,Valid,Fixation
