Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669943275.786902,MouseEvent,,1861.0,1005.6666666666666,,,Fixation,,,MouseEvent,"Down, Left"
1669943275.786902,,Mouse,1851.0,999.3333333333334,,,Fixation,1876.0,1017.0,,
1669943275.792857,,Eye Tracker,1841.0,993.0,Valid,Valid,Fixation,,,,
1669943275.809511,,Eye Tracker,1842.0,1007.0,Valid,Valid,Fixation,,,,
1669943275.826166,,Eye Tracker,1843.0,1006.0,Valid,Valid,Fixation,,,,
1669943275.842821,,Eye Tracker,1858.0,1008.0,Valid,Valid,Fixation,,,,
1669943275.859475,,Eye Tracker,1876.0,1029.0,Valid,Valid,Fixation,,,,
1669943275.8761299,,Eye Tracker,1874.0,1013.0,Valid,Valid,Fixation,,,,
1669943275.8927848,,Eye Tracker,1876.0,1013.0,Valid,Valid,Fixation,,,,
1669943275.9094398,,Eye Tracker,1879.0,1014.0,Valid,Valid,Fixation,,,,
1669943275.926095,,Eye Tracker,1861.0,984.0,Valid,Valid,Fixation,,,,
1669943275.94275,,Eye Tracker,1853.0,995.0,Valid,Valid,Fixation,,,,
1669943275.959404,,Eye Tracker,1875.0,1020.0,Valid,Valid,Saccade,,,,
1669943275.976059,,Eye Tracker,1871.0,1026.0,Valid,Valid,Fixation,,,,
1669943275.988024,,Mouse,1871.0,1026.5,,,Fixation,1876.0,1017.0,,
1669943275.992714,,Eye Tracker,1871.0,1027.0,Valid,Valid,Fixation,,,,
1669943276.0087278,,Mouse,1871.0,1022.0,,,Fixation,1868.0,1017.0,,
1669943276.009369,,Eye Tracker,1871.0,1017.0,Valid,Valid,Fixation,,,,
1669943276.026023,,Eye Tracker,1871.0,1018.0,Valid,Valid,Fixation,,,,
1669943276.0279028,,Mouse,1873.0,1018.0,,,Fixation,1866.0,1017.0,,
1669943276.0426779,,Eye Tracker,1875.0,1018.0,Valid,Valid,Fixation,,,,
1669943276.048964,,Mouse,1867.0,1010.0,,,Fixation,1864.0,1017.0,,
1669943276.058977,,Mouse,1859.0,1002.0,,,Fixation,1862.0,1017.0,,
1669943276.0593328,,Eye Tracker,1851.0,994.0,Valid,Valid,Fixation,,,,
1669943276.0759869,,Eye Tracker,1849.0,1006.0,Valid,Valid,Fixation,,,,
1669943276.0787158,,Mouse,1855.3333333333333,1012.3333333333334,,,Fixation,1860.0,1017.0,,
1669943276.0887508,,Mouse,1861.6666666666667,1018.6666666666666,,,Fixation,1858.0,1017.0,,
1669943276.0926418,,Eye Tracker,1868.0,1025.0,Valid,Valid,Fixation,,,,
1669943276.099748,,Mouse,1860.5,1024.0,,,Fixation,1857.0,1017.0,,
1669943276.1092968,,Eye Tracker,1853.0,1023.0,Valid,Valid,Fixation,,,,
1669943276.1186838,,Mouse,1851.0,1022.0,,,Fixation,1854.0,1017.0,,
1669943276.1259508,,Eye Tracker,1849.0,1021.0,Valid,Valid,Fixation,,,,
1669943276.129016,,Mouse,1853.3333333333333,1025.6666666666667,,,Fixation,1853.0,1017.0,,
1669943276.139729,,Mouse,1857.6666666666667,1030.3333333333333,,,Fixation,1852.0,1017.0,,
1669943276.142606,,Eye Tracker,1862.0,1035.0,Valid,Valid,Fixation,,,,
1669943276.158784,,Mouse,1863.0,1034.5,,,Fixation,1850.0,1017.0,,
1669943276.159262,,Eye Tracker,1864.0,1034.0,Valid,Valid,Fixation,,,,
1669943276.175916,,Eye Tracker,1846.0,1020.0,Valid,Valid,Fixation,,,,
1669943276.179992,,Mouse,1827.0,1007.5,,,Fixation,1849.0,1017.0,,
1669943276.192571,,Eye Tracker,1808.0,995.0,Valid,Valid,Saccade,,,,
1669943276.198686,,Mouse,1817.0,1001.0,,,Saccade,1848.0,1017.0,,
1669943276.209226,,Eye Tracker,1826.0,1007.0,Valid,Valid,Fixation,,,,
1669943276.2197049,,Mouse,1835.0,1018.0,,,Fixation,1846.0,1017.0,,
1669943276.22588,,Eye Tracker,1844.0,1029.0,Valid,Valid,Fixation,,,,
1669943276.238684,,Mouse,1841.5,1025.5,,,Fixation,1842.0,1017.0,,
1669943276.2425349,,Eye Tracker,1839.0,1022.0,Valid,Valid,Fixation,,,,
1669943276.248803,,Mouse,1838.0,1021.6666666666666,,,Fixation,1840.0,1017.0,,
1669943276.2588239,,Mouse,1837.0,1021.3333333333334,,,Fixation,1836.0,1018.0,,
1669943276.2591898,,Eye Tracker,1836.0,1021.0,Valid,Valid,Fixation,,,,
1669943276.2697458,,Mouse,1837.5,1026.5,,,Fixation,1834.0,1019.0,,
1669943276.2758448,,Eye Tracker,1839.0,1032.0,Valid,Valid,Fixation,,,,
1669943276.2888868,,Mouse,1836.0,1032.5,,,Fixation,1826.0,1021.0,,
1669943276.2924988,,Eye Tracker,1833.0,1033.0,Valid,Valid,Fixation,,,,
1669943276.3091538,,Eye Tracker,1822.0,1029.0,Valid,Valid,Fixation,,,,
1669943276.309696,,Mouse,1820.0,1030.5,,,Fixation,1815.0,1024.0,,
1669943276.325809,,Eye Tracker,1818.0,1032.0,Valid,Valid,Fixation,,,,
1669943276.32875,,Mouse,1818.5,1035.5,,,Fixation,1804.0,1027.0,,
1669943276.342463,,Eye Tracker,1819.0,1039.0,Valid,Valid,Fixation,,,,
1669943276.349738,,Mouse,1817.0,1040.5,,,Fixation,1794.0,1029.0,,
1669943276.359118,,Eye Tracker,1815.0,1042.0,Valid,Valid,Fixation,,,,
1669943276.3687358,,Mouse,1813.5,1036.5,,,Fixation,1785.0,1033.0,,
1669943276.375773,,Eye Tracker,1812.0,1031.0,Valid,Valid,Fixation,,,,
1669943276.378744,,Mouse,1811.0,1030.6666666666667,,,Fixation,1782.0,1033.0,,
1669943276.3899648,,Mouse,1810.0,1030.3333333333333,,,Fixation,1781.0,1033.0,,
1669943276.392428,,Eye Tracker,1809.0,1030.0,Valid,Valid,Fixation,,,,
1669943276.409083,,Eye Tracker,1816.0,1029.0,Valid,Valid,Fixation,,,,
1669943276.419972,,Mouse,1816.0,1026.5,,,Fixation,1777.0,1034.0,,
