Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669943755.489359,,,,MouseEvent,"Down, Left"
1669943755.489359,Mouse,1394.0,396.0,,
1669943755.509204,Mouse,1394.0,395.0,,
1669943755.529349,Mouse,1395.0,395.0,,
1669943755.579245,Mouse,1395.0,395.0,,
1669943755.610223,Mouse,1398.0,396.0,,
1669943755.620251,Mouse,1399.0,402.0,,
1669943755.630474,Mouse,1402.0,407.0,,
1669943755.650249,Mouse,1407.0,420.0,,
1669943755.670268,Mouse,1411.0,439.0,,
1669943755.690245,Mouse,1416.0,455.0,,
1669943755.71012,Mouse,1420.0,471.0,,
1669943755.72012,Mouse,1420.0,477.0,,
1669943755.730136,Mouse,1421.0,484.0,,
1669943755.740185,Mouse,1422.0,492.0,,
1669943755.760224,Mouse,1424.0,505.0,,
1669943755.771214,Mouse,1425.0,513.0,,
1669943755.791188,Mouse,1425.0,524.0,,
1669943755.801405,Mouse,1425.0,530.0,,
1669943755.821149,Mouse,1425.0,542.0,,
1669943755.831188,Mouse,1425.0,549.0,,
1669943755.841459,Mouse,1425.0,557.0,,
1669943755.861241,Mouse,1423.0,570.0,,
1669943755.871241,Mouse,1420.0,578.0,,
1669943755.881274,Mouse,1418.0,583.0,,
1669943755.891437,Mouse,1416.0,591.0,,
1669943755.901439,Mouse,1413.0,596.0,,
1669943755.92122,Mouse,1406.0,607.0,,
1669943755.941303,Mouse,1398.0,615.0,,
1669943755.961488,Mouse,1391.0,620.0,,
1669943755.981238,Mouse,1380.0,628.0,,
1669943756.001289,Mouse,1370.0,635.0,,
1669943756.021173,Mouse,1357.0,643.0,,
1669943756.031616,Mouse,1352.0,645.0,,
1669943756.051173,Mouse,1338.0,651.0,,
1669943756.061238,Mouse,1334.0,653.0,,
1669943756.071259,Mouse,1331.0,656.0,,
1669943756.09147,Mouse,1322.0,661.0,,
1669943756.10224,Mouse,1317.0,664.0,,
1669943756.122233,Mouse,1309.0,671.0,,
1669943756.132462,Mouse,1303.0,674.0,,
1669943756.152265,Mouse,1295.0,680.0,,
1669943756.162311,Mouse,1290.0,684.0,,
1669943756.182189,Mouse,1276.0,694.0,,
1669943756.192478,Mouse,1271.0,697.0,,
1669943756.212231,Mouse,1257.0,706.0,,
1669943756.222463,Mouse,1248.0,714.0,,
1669943756.232495,Mouse,1243.0,718.0,,
1669943756.252185,Mouse,1227.0,728.0,,
1669943756.262267,Mouse,1219.0,735.0,,
1669943756.273176,Mouse,1211.0,740.0,,
1669943756.283209,Mouse,1203.0,746.0,,
1669943756.293296,Mouse,1193.0,753.0,,
1669943756.303406,Mouse,1186.0,758.0,,
1669943756.31343,Mouse,1179.0,763.0,,
1669943756.333473,Mouse,1166.0,772.0,,
1669943756.353273,Mouse,1156.0,777.0,,
1669943756.363451,Mouse,1152.0,779.0,,
1669943756.383203,Mouse,1142.0,782.0,,
1669943756.393261,Mouse,1137.0,784.0,,
1669943756.403477,Mouse,1134.0,784.0,,
1669943756.423251,Mouse,1123.0,786.0,,
1669943756.433467,Mouse,1117.0,786.0,,
1669943756.453211,Mouse,1104.0,786.0,,
1669943756.463468,Mouse,1097.0,786.0,,
1669943756.483218,Mouse,1085.0,786.0,,
1669943756.493274,Mouse,1079.0,786.0,,
1669943756.513224,Mouse,1066.0,787.0,,
1669943756.523308,Mouse,1057.0,787.0,,
1669943756.543222,Mouse,1040.0,787.0,,
1669943756.553443,Mouse,1033.0,787.0,,
1669943756.573197,Mouse,1019.0,787.0,,
1669943756.593284,Mouse,1007.0,787.0,,
1669943756.614371,Mouse,997.0,787.0,,
1669943756.624446,Mouse,994.0,787.0,,
1669943756.644142,Mouse,987.0,790.0,,
1669943756.654156,Mouse,985.0,790.0,,
1669943756.664169,Mouse,983.0,790.0,,
1669943756.674282,Mouse,980.0,790.0,,
1669943756.6944,Mouse,973.0,791.0,,
1669943756.71421,Mouse,966.0,792.0,,
1669943756.72437,Mouse,960.0,793.0,,
1669943756.744173,Mouse,950.0,795.0,,
1669943756.754184,Mouse,944.0,795.0,,
1669943756.76426,Mouse,938.0,796.0,,
1669943756.785226,Mouse,928.0,797.0,,
1669943756.805226,Mouse,918.0,799.0,,
1669943756.815461,Mouse,912.0,800.0,,
1669943756.835405,Mouse,901.0,801.0,,
1669943756.845451,Mouse,894.0,802.0,,
1669943756.865242,Mouse,876.0,802.0,,
1669943756.885243,Mouse,857.0,802.0,,
1669943756.895415,Mouse,850.0,802.0,,
1669943756.915166,Mouse,836.0,801.0,,
1669943756.925192,Mouse,831.0,800.0,,
1669943756.945462,Mouse,821.0,796.0,,
1669943756.965246,Mouse,808.0,791.0,,
1669943756.985249,Mouse,796.0,784.0,,
1669943756.995385,Mouse,792.0,781.0,,
1669943757.015242,Mouse,781.0,775.0,,
1669943757.035185,Mouse,770.0,770.0,,
1669943757.04521,Mouse,766.0,768.0,,
1669943757.055496,Mouse,760.0,766.0,,
1669943757.075196,Mouse,748.0,757.0,,
1669943757.085201,Mouse,744.0,755.0,,
1669943757.105139,Mouse,735.0,747.0,,
1669943757.115192,Mouse,734.0,744.0,,
1669943757.126293,Mouse,733.0,743.0,,
1669943757.146285,Mouse,731.0,738.0,,
1669943757.166172,Mouse,730.0,732.0,,
1669943757.176181,Mouse,728.0,728.0,,
1669943757.186495,Mouse,727.0,722.0,,
1669943757.206486,Mouse,723.0,708.0,,
1669943757.226327,Mouse,720.0,693.0,,
1669943757.246218,Mouse,718.0,675.0,,
1669943757.256314,Mouse,717.0,667.0,,
1669943757.266391,Mouse,716.0,657.0,,
1669943757.286359,Mouse,716.0,638.0,,
1669943757.297201,Mouse,716.0,627.0,,
1669943757.317471,Mouse,714.0,607.0,,
1669943757.337232,Mouse,710.0,586.0,,
1669943757.347423,Mouse,709.0,579.0,,
1669943757.357436,Mouse,708.0,569.0,,
1669943757.377151,Mouse,706.0,552.0,,
1669943757.387244,Mouse,705.0,546.0,,
1669943757.40721,Mouse,703.0,531.0,,
1669943757.417457,Mouse,702.0,524.0,,
1669943757.437202,Mouse,700.0,511.0,,
1669943757.447454,Mouse,699.0,506.0,,
1669943757.467175,Mouse,698.0,495.0,,
1669943757.477399,Mouse,697.0,490.0,,
1669943757.489208,Mouse,696.0,486.0,,
1669943757.507214,Mouse,696.0,476.0,,
1669943757.527242,Mouse,696.0,469.0,,
1669943757.547461,Mouse,696.0,461.0,,
1669943757.567223,Mouse,696.0,452.0,,
1669943757.58716,Mouse,696.0,444.0,,
1669943757.597198,Mouse,696.0,439.0,,
1669943757.607488,Mouse,696.0,433.0,,
1669943757.627217,Mouse,696.0,419.0,,
1669943757.638234,Mouse,696.0,410.0,,
1669943757.648456,Mouse,696.0,402.0,,
1669943757.668165,Mouse,696.0,386.0,,
1669943757.688239,Mouse,696.0,373.0,,
1669943757.708216,Mouse,696.0,361.0,,
1669943757.718463,Mouse,696.0,356.0,,
1669943757.738164,Mouse,696.0,345.0,,
1669943757.75823,Mouse,696.0,335.0,,
1669943757.778298,Mouse,696.0,325.0,,
1669943757.788428,Mouse,696.0,316.0,,
1669943757.80922,Mouse,694.0,301.0,,
1669943757.829172,Mouse,694.0,283.0,,
1669943757.839227,Mouse,694.0,273.0,,
1669943757.85923,Mouse,694.0,256.0,,
1669943757.869456,Mouse,694.0,247.0,,
1669943757.879457,Mouse,694.0,240.0,,
1669943757.899217,Mouse,694.0,227.0,,
1669943757.909453,Mouse,694.0,220.0,,
1669943757.929167,Mouse,694.0,208.0,,
1669943757.939206,Mouse,694.0,205.0,,
1669943757.949168,Mouse,694.0,202.0,,
1669943757.953214,,,,MouseEvent,"Up, Left"
1669943757.953214,Mouse,694.0,202.0,,
1669943757.969214,Mouse,694.0,198.0,,
1669943757.979459,Mouse,694.0,198.0,,
1669943757.989225,Mouse,694.0,198.0,,
1669943758.160335,,,,MouseEvent,"Up, Left"
1669943758.160335,Mouse,694.0,198.0,,
1669943758.290187,Mouse,694.0,198.0,,
1669943758.310495,Mouse,700.0,212.0,,
1669943758.321224,Mouse,703.0,220.0,,
1669943758.331453,Mouse,707.0,233.0,,
1669943758.351135,Mouse,720.0,271.0,,
1669943758.362182,Mouse,729.0,291.0,,
1669943758.381288,Mouse,758.0,331.0,,
1669943758.401232,Mouse,790.0,364.0,,
1669943758.421216,Mouse,818.0,386.0,,
1669943758.441212,Mouse,844.0,402.0,,
1669943758.45124,Mouse,851.0,407.0,,
1669943758.461242,Mouse,860.0,411.0,,
1669943758.481162,Mouse,872.0,416.0,,
1669943758.491215,Mouse,876.0,418.0,,
1669943758.501491,Mouse,877.0,419.0,,
1669943758.521219,Mouse,878.0,420.0,,
1669943758.532227,Mouse,878.0,421.0,,
1669943758.551238,Mouse,874.0,426.0,,
1669943758.571346,Mouse,861.0,433.0,,
1669943758.581464,Mouse,849.0,438.0,,
1669943758.601255,Mouse,790.0,463.0,,
1669943758.611459,Mouse,747.0,474.0,,
1669943758.631219,Mouse,659.0,500.0,,
1669943758.641458,Mouse,607.0,515.0,,
1669943758.662332,Mouse,510.0,541.0,,
1669943758.672452,Mouse,460.0,554.0,,
1669943758.692177,Mouse,369.0,579.0,,
1669943758.703495,Mouse,331.0,585.0,,
1669943758.722226,Mouse,277.0,593.0,,
1669943758.732426,Mouse,250.0,596.0,,
1669943758.752245,Mouse,220.0,599.0,,
1669943758.772303,Mouse,202.0,599.0,,
1669943758.792289,Mouse,195.0,599.0,,
1669943758.802482,Mouse,195.0,598.0,,
1669943758.822157,Mouse,194.0,597.0,,
1669943758.833448,Mouse,194.0,595.0,,
1669943758.843448,Mouse,195.0,591.0,,
1669943758.86347,Mouse,201.0,585.0,,
1669943758.874457,Mouse,208.0,581.0,,
1669943758.893216,Mouse,223.0,573.0,,
1669943758.903254,Mouse,234.0,569.0,,
1669943758.923211,Mouse,250.0,563.0,,
1669943758.933233,Mouse,260.0,560.0,,
1669943758.943459,Mouse,270.0,556.0,,
