Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669949181.290934,MouseEvent,,1665.0,665.0,,,Fixation,,,MouseEvent,"Down, Left"
1669949181.290934,,Mouse,1667.0,661.0,,,Fixation,1603.0,699.0,,
1669949181.298486,,Eye Tracker,1669.0,657.0,Valid,Valid,Fixation,,,,
1669949181.315142,,Eye Tracker,1669.0,656.0,Valid,Valid,Fixation,,,,
1669949181.331797,,Eye Tracker,1668.0,664.0,Valid,Valid,Fixation,,,,
1669949181.348451,,Eye Tracker,1663.0,655.0,Valid,Valid,Fixation,,,,
1669949181.365106,,Eye Tracker,1668.0,665.0,Valid,Valid,Fixation,,,,
1669949181.381761,,Eye Tracker,1669.0,674.0,Valid,Valid,Fixation,,,,
1669949181.398415,,Eye Tracker,1674.0,666.0,Valid,Valid,Fixation,,,,
1669949181.41507,,Eye Tracker,1676.0,667.0,Valid,Valid,Fixation,,,,
1669949181.431725,,Eye Tracker,1675.0,666.0,Valid,Valid,Fixation,,,,
1669949181.448379,,Eye Tracker,1673.0,660.0,Valid,Valid,Fixation,,,,
1669949181.465034,,Eye Tracker,1668.0,664.0,Valid,Valid,Fixation,,,,
1669949181.481689,,Eye Tracker,1669.0,668.0,Valid,Valid,Fixation,,,,
1669949181.498343,,Eye Tracker,1669.0,673.0,Valid,Valid,Fixation,,,,
1669949181.510869,,Mouse,1667.0,671.0,,,Fixation,1603.0,699.0,,
1669949181.514998,,Eye Tracker,1665.0,669.0,Valid,Valid,Fixation,,,,
1669949181.522108,,Mouse,1660.0,671.0,,,Fixation,1602.0,698.0,,
1669949181.531653,,Eye Tracker,1655.0,673.0,Valid,Valid,Fixation,,,,
1669949181.5419009,,Mouse,1657.0,675.5,,,Fixation,1596.0,694.0,,
1669949181.548308,,Eye Tracker,1659.0,678.0,Valid,Valid,Fixation,,,,
1669949181.562803,,Mouse,1660.0,672.5,,,Fixation,1594.0,692.0,,
