Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669949822.087,MouseEvent,,1377.0,419.0,,,Fixation
1669949822.093818,,Mouse,1378.0,421.0,,,Fixation
1669949822.102763,,Eye Tracker,1379.0,423.0,Valid,Valid,Fixation
1669949822.109768,,Eye Tracker,1381.0,426.0,Valid,Valid,Fixation
1669949822.119418,,Eye Tracker,1380.0,424.0,Valid,Valid,Fixation
1669949822.125836,,Eye Tracker,1377.0,425.0,Valid,Valid,Fixation
1669949822.1417868,,Mouse,1376.5,425.5,,,Fixation
1669949822.1501198,,Eye Tracker,1376.0,426.0,Valid,Valid,Fixation
1669949822.157755,,Eye Tracker,1375.0,427.0,Valid,Valid,Fixation
1669949822.166775,,Eye Tracker,1371.0,431.0,Valid,Valid,Fixation
1669949822.1737578,,Eye Tracker,1377.0,433.0,Valid,Valid,Fixation
1669949822.183429,,Mouse,1378.0,432.0,,,Fixation
1669949822.1897838,,Eye Tracker,1379.0,431.0,Valid,Valid,Fixation
1669949822.205747,,Mouse,1379.5,431.0,,,Fixation
1669949822.2168078,,Eye Tracker,1380.0,431.0,Valid,Valid,Fixation
1669949822.2334619,,Mouse,1373.0,427.3333333333333,,,Fixation
1669949822.2501168,,Mouse,1366.0,423.6666666666667,,,Saccade
1669949822.2667718,,Eye Tracker,1359.0,420.0,Valid,Valid,Saccade
1669949822.2834258,,Mouse,1338.0,407.5,,,Saccade
1669949822.3000808,,Eye Tracker,1317.0,395.0,Valid,Valid,Saccade
1669949822.316737,,Mouse,1312.0,390.5,,,Fixation
1669949822.333392,,Eye Tracker,1307.0,386.0,Valid,Valid,Fixation
1669949822.3500469,,Mouse,1304.5,387.5,,,Fixation
1669949822.3667018,,Eye Tracker,1302.0,389.0,Valid,Valid,Fixation
1669949822.3833559,,Mouse,1301.5,390.0,,,Fixation
1669949822.4000108,,Eye Tracker,1301.0,391.0,Valid,Valid,Fixation
1669949822.4166658,,Mouse,1303.6666666666667,392.3333333333333,,,Fixation
1669949822.4333198,,Mouse,1306.3333333333333,393.6666666666667,,,Fixation
1669949822.4499748,,Eye Tracker,1309.0,395.0,Valid,Valid,Fixation
1669949822.46663,,Mouse,1309.5,394.5,,,Fixation
1669949822.483285,,Eye Tracker,1310.0,394.0,Valid,Valid,Fixation
1669949822.499939,,Eye Tracker,1301.0,386.0,Valid,Valid,Fixation
1669949822.516595,,Mouse,1299.0,386.5,,,Fixation
1669949822.5332499,,Eye Tracker,1297.0,387.0,Valid,Valid,Fixation
1669949822.5499048,,Mouse,1295.0,392.5,,,Fixation
1669949822.5665598,,Eye Tracker,1293.0,398.0,Valid,Valid,Fixation
1669949822.583215,,Mouse,1290.0,398.0,,,Fixation
1669949822.5998688,,Eye Tracker,1287.0,398.0,Valid,Valid,Fixation
1669949822.616524,,Mouse,1289.5,396.0,,,Fixation
1669949822.633179,,Eye Tracker,1292.0,394.0,Valid,Valid,Fixation
1669949822.649833,,Eye Tracker,1288.0,395.0,Valid,Valid,Fixation
1669949822.666488,,Eye Tracker,1281.0,395.0,Valid,Valid,Fixation
1669949822.683143,,Eye Tracker,1256.0,396.0,Valid,Valid,Saccade
1669949822.6997979,,Eye Tracker,1200.0,395.0,Valid,Valid,Saccade
1669949822.7164528,,Eye Tracker,1184.0,399.0,Valid,Valid,Fixation
1669949822.7331078,,Eye Tracker,1184.0,405.0,Valid,Valid,Fixation
1669949822.749763,,Eye Tracker,1185.0,405.0,Valid,Valid,Fixation
1669949822.7664168,,Eye Tracker,1185.0,409.0,Valid,Valid,Fixation
1669949822.783073,,Eye Tracker,1185.0,408.0,Valid,Valid,Fixation
