Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1668497713.417296,,,,MouseEvent,"Down, Left"
1668497713.417296,Mouse,1878.0,1012.0,,
1668497713.507956,Mouse,1878.0,1013.0,,
1668497713.627928,Mouse,1878.0,1013.0,,
1668497713.639095,Mouse,1878.0,1014.0,,
1668497713.657944,Mouse,1878.0,1015.0,,
1668497713.667987,Mouse,1878.0,1016.0,,
1668497713.678963,Mouse,1878.0,1016.0,,
1668497713.698875,Mouse,1878.0,1018.0,,
1668497713.717908,Mouse,1878.0,1019.0,,
1668497713.738962,Mouse,1878.0,1020.0,,
1668497713.768987,Mouse,1878.0,1021.0,,
1668497713.779241,Mouse,1878.0,1021.0,,
1668497713.809193,Mouse,1878.0,1022.0,,
1668497713.849172,Mouse,1878.0,1023.0,,
1668497713.990006,Mouse,1877.0,1023.0,,
1668497714.070997,Mouse,1876.0,1023.0,,
1668497714.111044,Mouse,1875.0,1023.0,,
1668497714.139993,Mouse,1873.0,1023.0,,
1668497714.150994,Mouse,1872.0,1023.0,,
1668497714.170227,Mouse,1870.0,1024.0,,
1668497714.189902,Mouse,1867.0,1025.0,,
1668497714.201044,Mouse,1864.0,1025.0,,
1668497714.220003,Mouse,1861.0,1026.0,,
1668497714.240977,Mouse,1857.0,1027.0,,
1668497714.25991,Mouse,1854.0,1028.0,,
1668497714.269986,Mouse,1853.0,1029.0,,
1668497714.280895,Mouse,1851.0,1029.0,,
1668497714.290908,Mouse,1850.0,1029.0,,
1668497714.3099,Mouse,1849.0,1030.0,,
1668497714.341236,Mouse,1849.0,1030.0,,
1668497714.362214,Mouse,1848.0,1031.0,,
1668497714.391002,Mouse,1847.0,1031.0,,
1668497714.411967,Mouse,1846.0,1032.0,,
1668497714.430991,Mouse,1844.0,1032.0,,
1668497714.441129,Mouse,1843.0,1033.0,,
1668497714.451906,Mouse,1840.0,1034.0,,
1668497714.461968,Mouse,1840.0,1035.0,,
1668497714.480893,Mouse,1838.0,1035.0,,
1668497714.485485,,,,MouseEvent,"Up, Left"
1668497714.485485,Mouse,1838.0,1035.0,,
1668497714.49188,Mouse,1837.0,1035.0,,
1668497714.511903,Mouse,1836.0,1036.0,,
1668497714.521941,Mouse,1835.0,1037.0,,
1668497714.533064,Mouse,1834.0,1037.0,,
1668497714.552968,Mouse,1832.0,1038.0,,
1668497714.572191,Mouse,1829.0,1039.0,,
1668497714.582957,Mouse,1828.0,1039.0,,
1668497714.602172,Mouse,1826.0,1039.0,,
1668497714.622986,Mouse,1825.0,1039.0,,
1668497714.641956,Mouse,1824.0,1039.0,,
1668497714.651967,Mouse,1824.0,1039.0,,
1668497714.662963,Mouse,1823.0,1040.0,,
1668497714.673217,Mouse,1823.0,1040.0,,
1668497714.732232,Mouse,1822.0,1040.0,,
1668497714.894151,Mouse,1822.0,1041.0,,
1668497714.912914,Mouse,1822.0,1042.0,,
1668497714.924112,Mouse,1822.0,1043.0,,
1668497714.934224,Mouse,1822.0,1043.0,,
