Recording timestamp,Position X,Position Y
1668489947.897164,38.0,997.5
1668489947.928115,39.0,997.5
1668489947.957684,40.0,997.5
1668489947.987305,41.0,997.5
1668489948.018406,42.0,997.5
1668489948.058311,43.0,997.5
1668489948.078401,45.0,997.5
1668489948.088596,46.0,997.5
1668489948.097962,48.0,997.5
1668489948.108246,50.0,997.5
1668489948.118161,52.0,997.5
1668489948.128167,55.0,997.5
1668489948.138762,61.0,997.5
1668489948.148531,69.0,997.5
1668489948.15834,75.0,997.5
1668489948.169074,84.0,997.5
1668489948.179462,91.0,997.5
1668489948.189534,99.0,997.5
1668489948.19975,104.0,997.5
1668489948.209035,111.0,997.5
1668489948.219028,115.0,997.5
1668489948.229119,119.0,997.5
1668489948.239162,125.0,997.5
1668489948.249531,129.0,997.5
1668489948.259354,133.0,997.5
1668489948.269914,137.0,997.5
1668489948.279054,139.0,997.5
1668489948.2897,142.0,997.5
1668489948.299056,143.0,997.5
1668489948.30953,146.0,997.5
1668489948.319552,152.0,997.5
1668489948.328894,156.0,997.5
1668489948.33923,159.0,997.5
1668489948.348952,164.0,997.5
1668489948.359315,168.0,997.5
1668489948.369536,173.0,997.5
1668489948.379115,178.0,997.5
1668489948.389296,182.0,997.5
1668489948.399775,188.0,997.5
1668489948.409144,193.0,997.5
1668489948.419144,198.0,997.5
1668489948.429262,203.0,997.5
1668489948.439554,207.0,997.5
1668489948.449246,210.0,997.5
1668489948.458977,214.0,997.5
1668489948.469239,215.0,997.5
1668489948.479233,218.0,997.5
1668489948.488903,221.0,997.5
1668489948.500907,223.0,997.5
1668489948.510906,227.0,997.5
1668489948.520975,232.0,997.5
1668489948.530513,235.0,997.5
1668489948.540837,239.0,997.5
1668489948.549885,242.0,997.5
1668489948.560035,245.0,997.5
1668489948.570448,247.0,997.5
1668489948.580763,250.0,997.5
1668489948.590102,256.0,997.5
1668489948.600369,260.0,997.5
1668489948.611159,265.0,997.5
1668489948.62031,269.0,997.5
1668489948.630679,273.0,997.5
1668489948.641527,277.0,997.5
1668489948.649928,281.0,997.5
1668489948.660146,285.0,997.5
1668489948.672442,288.0,997.5
1668489948.681716,293.0,997.5
1668489948.690955,297.0,997.5
1668489948.701957,304.0,997.5
1668489948.711992,309.0,997.5
1668489948.721894,313.0,997.5
1668489948.73172,317.0,997.5
1668489948.741319,320.0,997.5
1668489948.751586,325.0,997.5
1668489948.761833,329.0,997.5
1668489948.771834,333.0,997.5
1668489948.780996,337.0,997.5
1668489948.791199,342.0,997.5
1668489948.801672,345.0,997.5
1668489948.811152,348.0,997.5
1668489948.821331,352.0,997.5
1668489948.831642,355.0,997.5
1668489948.841199,358.0,997.5
1668489948.851365,364.0,998.5
