Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668489419.425819,,Eye Tracker,1567.0,53.0,Valid,Valid,Fixation
1668489419.442474,,Eye Tracker,1568.0,57.0,Valid,Valid,Fixation
1668489419.459129,,Eye Tracker,1570.0,57.0,Valid,Valid,Fixation
1668489419.475783,,Eye Tracker,1567.0,53.0,Valid,Valid,Fixation
1668489419.492438,,Eye Tracker,1572.0,50.0,Valid,Valid,Fixation
1668489419.509093,,Eye Tracker,1580.0,48.0,Valid,Valid,Fixation
1668489419.525747,,Eye Tracker,1581.0,35.0,Valid,Valid,Fixation
1668489419.542403,,Eye Tracker,1583.0,31.0,Valid,Valid,Fixation
1668489419.559058,,Eye Tracker,1583.0,29.0,Valid,Valid,Fixation
1668489419.575712,,Eye Tracker,1584.0,23.0,Valid,Valid,Fixation
1668489419.592367,,Eye Tracker,1586.0,22.0,Valid,Valid,Fixation
1668489419.609022,,Eye Tracker,1590.0,21.0,Valid,Valid,Fixation
1668489419.625676,,Eye Tracker,1592.0,14.0,Valid,Valid,Fixation
1668489419.642331,,Eye Tracker,1591.0,11.0,Valid,Valid,Fixation
1668489419.658986,,Eye Tracker,1589.0,8.0,Valid,Valid,Fixation
1668489419.675641,,Eye Tracker,1592.0,7.0,Valid,Valid,Fixation
1668489419.692296,,Eye Tracker,1592.0,8.0,Valid,Valid,Fixation
1668489419.708951,,Eye Tracker,1595.0,6.0,Valid,Valid,Fixation
1668489419.725606,,Eye Tracker,1599.0,1.0,Valid,Valid,Fixation
1668489419.74226,,Eye Tracker,1594.0,-2.0,Valid,Valid,Fixation
1668489419.758915,,Eye Tracker,1529.0,34.0,Valid,Valid,Saccade
1668489419.77557,,Eye Tracker,1483.0,42.0,Valid,Valid,Saccade
1668489419.792224,,Eye Tracker,1068.0,185.0,Valid,Valid,Saccade
1668489419.80888,,Eye Tracker,1076.0,199.0,Valid,Valid,Fixation
1668489419.825535,,Eye Tracker,1075.0,211.0,Valid,Valid,Fixation
1668489419.842189,,Eye Tracker,1072.0,212.0,Valid,Valid,Fixation
1668489419.858844,,Eye Tracker,1066.0,218.0,Valid,Valid,Fixation
1668489419.875499,,Eye Tracker,1068.0,219.0,Valid,Valid,Fixation
1668489419.892153,,Eye Tracker,1068.0,224.0,Valid,Valid,Fixation
1668489419.908808,,Eye Tracker,1066.0,232.0,Valid,Valid,Fixation
1668489419.925463,,Eye Tracker,1064.0,239.0,Valid,Valid,Fixation
1668489419.942118,,Eye Tracker,1057.0,232.0,Valid,Valid,Fixation
1668489419.958773,,Eye Tracker,1054.0,239.0,Valid,Valid,Fixation
1668489419.975428,,Eye Tracker,1062.0,245.0,Valid,Valid,Fixation
1668489419.992083,,Eye Tracker,1064.0,252.0,Valid,Valid,Fixation
1668489420.008737,,Eye Tracker,1056.0,254.0,Valid,Valid,Fixation
1668489420.025392,,Eye Tracker,1049.0,253.0,Valid,Valid,Fixation
1668489420.042047,,Eye Tracker,1052.0,260.0,Valid,Valid,Fixation
1668489420.058702,,Eye Tracker,1054.0,267.0,Valid,Valid,Fixation
1668489420.075357,,Eye Tracker,1046.0,265.0,Valid,Valid,Fixation
1668489420.092012,,Eye Tracker,1005.0,280.0,Valid,Valid,Saccade
1668489420.108666,,Eye Tracker,844.0,334.0,Valid,Valid,Saccade
1668489420.125321,,Eye Tracker,699.0,389.0,Valid,Valid,Saccade
1668489420.141976,,Eye Tracker,504.0,439.0,Valid,Valid,Saccade
1668489420.15863,,Eye Tracker,488.0,435.0,Valid,Valid,Fixation
1668489420.175285,,Eye Tracker,491.0,408.0,Invalid,Valid,Fixation
1668489420.191941,,Eye Tracker,470.0,417.0,Valid,Valid,Fixation
1668489420.208595,,Eye Tracker,479.0,424.0,Valid,Valid,Fixation
1668489420.22525,,Eye Tracker,479.0,429.0,Valid,Valid,Fixation
1668489420.241905,,Eye Tracker,476.0,428.0,Valid,Valid,Fixation
1668489420.25856,,Eye Tracker,474.0,434.0,Valid,Valid,Fixation
1668489420.275214,,Eye Tracker,475.0,440.0,Valid,Valid,Fixation
1668489420.291869,,Eye Tracker,480.0,440.0,Valid,Valid,Fixation
1668489420.308524,,Eye Tracker,478.0,447.0,Valid,Valid,Fixation
1668489420.325179,,Eye Tracker,481.0,448.0,Valid,Valid,Fixation
1668489420.341834,,Eye Tracker,487.0,446.0,Valid,Valid,Fixation
1668489420.358489,,Eye Tracker,491.0,444.0,Valid,Valid,Fixation
1668489420.375143,,Eye Tracker,485.0,447.0,Valid,Valid,Fixation
1668489420.391798,,Eye Tracker,486.0,451.0,Valid,Valid,Fixation
1668489420.408453,,Eye Tracker,487.0,452.0,Valid,Valid,Fixation
1668489420.425107,,Eye Tracker,491.0,454.0,Valid,Valid,Fixation
1668489420.441762,,Eye Tracker,486.0,455.0,Valid,Valid,Fixation
1668489420.458418,,Eye Tracker,487.0,449.0,Valid,Valid,Fixation
1668489420.475072,,Eye Tracker,489.0,449.0,Valid,Valid,Fixation
