Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1668489419.416642,,,,MouseEvent,"Down, Left"
1668489419.416642,Mouse,1501.0,150.0,,
1668489419.546276,Mouse,1501.0,151.0,,
1668489419.557268,Mouse,1501.0,152.0,,
1668489419.567324,Mouse,1501.0,155.0,,
1668489419.577367,Mouse,1501.0,159.0,,
1668489419.597372,Mouse,1496.0,171.0,,
1668489419.607376,Mouse,1492.0,179.0,,
1668489419.617525,Mouse,1488.0,188.0,,
1668489419.637338,Mouse,1479.0,208.0,,
1668489419.64761,Mouse,1475.0,216.0,,
1668489419.657629,Mouse,1471.0,225.0,,
1668489419.676576,Mouse,1461.0,239.0,,
1668489419.687554,Mouse,1455.0,245.0,,
1668489419.707347,Mouse,1445.0,256.0,,
1668489419.727299,Mouse,1436.0,265.0,,
1668489419.73758,Mouse,1430.0,270.0,,
1668489419.757407,Mouse,1418.0,280.0,,
1668489419.777391,Mouse,1398.0,294.0,,
1668489419.797275,Mouse,1365.0,320.0,,
1668489419.817294,Mouse,1332.0,344.0,,
1668489419.827329,Mouse,1311.0,356.0,,
1668489419.837423,Mouse,1290.0,366.0,,
1668489419.856352,Mouse,1248.0,380.0,,
1668489419.867367,Mouse,1222.0,385.0,,
1668489419.87747,Mouse,1196.0,391.0,,
1668489419.897359,Mouse,1145.0,404.0,,
1668489419.908451,Mouse,1125.0,410.0,,
1668489419.928277,Mouse,1087.0,423.0,,
1668489419.948435,Mouse,1060.0,429.0,,
1668489419.968383,Mouse,1032.0,432.0,,
1668489419.988373,Mouse,1001.0,436.0,,
1668489420.008656,Mouse,955.0,436.0,,
1668489420.027333,Mouse,916.0,436.0,,
1668489420.038358,Mouse,893.0,434.0,,
1668489420.058322,Mouse,849.0,428.0,,
1668489420.068479,Mouse,829.0,427.0,,
1668489420.079461,Mouse,812.0,427.0,,
1668489420.099353,Mouse,787.0,423.0,,
1668489420.119376,Mouse,764.0,420.0,,
1668489420.129496,Mouse,756.0,419.0,,
1668489420.139578,Mouse,748.0,419.0,,
1668489420.159326,Mouse,733.0,419.0,,
1668489420.169394,Mouse,727.0,419.0,,
1668489420.179631,Mouse,719.0,419.0,,
1668489420.19944,Mouse,704.0,419.0,,
1668489420.209492,Mouse,697.0,419.0,,
1668489420.228363,Mouse,682.0,422.0,,
1668489420.249355,Mouse,662.0,428.0,,
1668489420.259357,Mouse,652.0,431.0,,
1668489420.269631,Mouse,641.0,434.0,,
1668489420.289327,Mouse,618.0,439.0,,
1668489420.299359,Mouse,609.0,443.0,,
1668489420.309362,Mouse,603.0,443.0,,
1668489420.329454,Mouse,592.0,447.0,,
1668489420.349512,Mouse,583.0,450.0,,
1668489420.368365,Mouse,578.0,452.0,,
1668489420.379354,Mouse,575.0,454.0,,
1668489420.389396,Mouse,572.0,455.0,,
1668489420.409583,Mouse,566.0,458.0,,
1668489420.420348,Mouse,565.0,460.0,,
1668489420.440348,Mouse,557.0,464.0,,
1668489420.460371,Mouse,549.0,469.0,,
1668489420.480364,Mouse,544.0,473.0,,
1668489420.500357,Mouse,542.0,474.0,,
1668489420.55056,Mouse,542.0,475.0,,
1668489420.591493,Mouse,542.0,476.0,,
1668489420.651342,Mouse,542.0,477.0,,
1668489420.671271,Mouse,541.0,480.0,,
1668489420.681364,Mouse,540.0,483.0,,
1668489420.691523,Mouse,540.0,487.0,,
1668489420.711351,Mouse,538.0,491.0,,
1668489420.73139,Mouse,536.0,497.0,,
1668489420.750326,Mouse,533.0,503.0,,
1668489420.761388,Mouse,531.0,508.0,,
1668489420.781297,Mouse,524.0,520.0,,
1668489420.801349,Mouse,512.0,536.0,,
1668489420.821332,Mouse,499.0,552.0,,
1668489420.841362,Mouse,485.0,569.0,,
1668489420.851383,Mouse,480.0,576.0,,
1668489420.870344,Mouse,471.0,586.0,,
1668489420.881329,Mouse,466.0,591.0,,
1668489420.891342,Mouse,460.0,598.0,,
1668489420.901366,Mouse,455.0,604.0,,
1668489420.921425,Mouse,441.0,620.0,,
1668489420.932404,Mouse,434.0,627.0,,
1668489420.95252,Mouse,419.0,640.0,,
1668489420.972309,Mouse,404.0,653.0,,
1668489420.982333,Mouse,393.0,663.0,,
1668489420.99259,Mouse,379.0,675.0,,
1668489421.012328,Mouse,346.0,699.0,,
1668489421.022347,Mouse,328.0,712.0,,
1668489421.032362,Mouse,316.0,719.0,,
1668489421.052512,Mouse,292.0,735.0,,
1668489421.072353,Mouse,276.0,746.0,,
1668489421.082361,Mouse,267.0,750.0,,
1668489421.092384,Mouse,258.0,755.0,,
1668489421.103445,Mouse,250.0,760.0,,
1668489421.123529,Mouse,238.0,767.0,,
1668489421.143342,Mouse,231.0,771.0,,
1668489421.153508,Mouse,228.0,773.0,,
1668489421.163604,Mouse,225.0,775.0,,
1668489421.183339,Mouse,220.0,779.0,,
1668489421.193371,Mouse,218.0,780.0,,
1668489421.212328,Mouse,217.0,781.0,,
1668489421.233326,Mouse,216.0,782.0,,
1668489421.243335,Mouse,215.0,784.0,,
