Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-15 14:21:17.779212,,Eye Tracker,1750.0,781.0,Valid,Valid,Fixation
2022-11-15 14:21:17.795868,,Eye Tracker,1719.0,777.0,Valid,Valid,Fixation
2022-11-15 14:21:17.812523,,Eye Tracker,1704.0,774.0,Valid,Valid,Fixation
2022-11-15 14:21:17.829177,,Eye Tracker,1702.0,777.0,Valid,Valid,Fixation
2022-11-15 14:21:17.845832,,Eye Tracker,1690.0,784.0,Valid,Valid,Fixation
2022-11-15 14:21:17.862487,,Eye Tracker,1689.0,786.0,Valid,Valid,Fixation
2022-11-15 14:21:17.879141,,Eye Tracker,1689.0,789.0,Valid,Valid,Fixation
2022-11-15 14:21:17.895796,,Eye Tracker,1684.0,787.0,Valid,Valid,Fixation
2022-11-15 14:21:17.912452,,Eye Tracker,1627.0,769.0,Invalid,Valid,Saccade
2022-11-15 14:21:17.929106,,Eye Tracker,1382.0,682.0,Valid,Valid,Saccade
2022-11-15 14:21:17.945761,,Eye Tracker,1198.0,602.0,Valid,Valid,Saccade
2022-11-15 14:21:17.962416,,Eye Tracker,1176.0,591.0,Valid,Valid,Saccade
2022-11-15 14:21:17.979070,,Eye Tracker,1167.0,585.0,Valid,Valid,Fixation
2022-11-15 14:21:17.995725,,Eye Tracker,1169.0,584.0,Valid,Valid,Fixation
2022-11-15 14:21:18.012380,,Eye Tracker,1170.0,594.0,Valid,Valid,Fixation
2022-11-15 14:21:18.029035,,Eye Tracker,1169.0,595.0,Valid,Valid,Fixation
2022-11-15 14:21:18.045690,,Eye Tracker,1168.0,597.0,Valid,Valid,Fixation
2022-11-15 14:21:18.062345,,Eye Tracker,1167.0,598.0,Valid,Valid,Fixation
2022-11-15 14:21:18.079000,,Eye Tracker,1164.0,602.0,Valid,Valid,Fixation
2022-11-15 14:21:18.095654,,Eye Tracker,1163.0,599.0,Valid,Valid,Fixation
2022-11-15 14:21:18.112309,,Eye Tracker,1167.0,609.0,Valid,Valid,Fixation
2022-11-15 14:21:18.128964,,Eye Tracker,1169.0,608.0,Valid,Valid,Fixation
2022-11-15 14:21:18.145618,,Eye Tracker,1169.0,607.0,Valid,Valid,Fixation
2022-11-15 14:21:18.162274,,Eye Tracker,1168.0,616.0,Valid,Valid,Fixation
2022-11-15 14:21:18.178929,,Eye Tracker,1166.0,615.0,Valid,Valid,Fixation
2022-11-15 14:21:18.195583,,Eye Tracker,1170.0,618.0,Valid,Valid,Fixation
2022-11-15 14:21:18.212238,,Eye Tracker,1162.0,619.0,Valid,Valid,Fixation
2022-11-15 14:21:18.228893,,Eye Tracker,1162.0,616.0,Valid,Valid,Fixation
2022-11-15 14:21:18.245547,,Eye Tracker,1163.0,614.0,Valid,Valid,Fixation
2022-11-15 14:21:18.262202,,Eye Tracker,1162.0,613.0,Valid,Valid,Fixation
2022-11-15 14:21:18.278858,,Eye Tracker,1158.0,614.0,Valid,Valid,Fixation
2022-11-15 14:21:18.295513,,Eye Tracker,1153.0,619.0,Valid,Valid,Fixation
2022-11-15 14:21:18.312167,,Eye Tracker,1148.0,620.0,Valid,Valid,Fixation
2022-11-15 14:21:18.328822,,Eye Tracker,1149.0,622.0,Valid,Valid,Fixation
2022-11-15 14:21:18.345477,,Eye Tracker,1150.0,625.0,Valid,Valid,Fixation
2022-11-15 14:21:18.362131,,Eye Tracker,1148.0,621.0,Valid,Valid,Fixation
2022-11-15 14:21:18.378786,,Eye Tracker,1151.0,624.0,Valid,Valid,Fixation
2022-11-15 14:21:18.395441,,Eye Tracker,1151.0,628.0,Valid,Valid,Fixation
2022-11-15 14:21:18.412096,,Eye Tracker,1151.0,633.0,Valid,Valid,Fixation
2022-11-15 14:21:18.428751,,Eye Tracker,1151.0,634.0,Valid,Valid,Fixation
2022-11-15 14:21:18.445406,,Eye Tracker,1155.0,628.0,Valid,Valid,Fixation
2022-11-15 14:21:18.462060,,Eye Tracker,1150.0,632.0,Valid,Valid,Fixation
2022-11-15 14:21:18.478715,,Eye Tracker,1154.0,636.0,Valid,Valid,Fixation
2022-11-15 14:21:18.495370,,Eye Tracker,1130.0,634.0,Valid,Valid,Saccade
2022-11-15 14:21:18.512024,,Eye Tracker,1063.0,626.0,Valid,Valid,Saccade
2022-11-15 14:21:18.528680,,Eye Tracker,1016.0,619.0,Valid,Valid,Saccade
2022-11-15 14:21:18.545335,,Eye Tracker,1012.0,606.0,Valid,Valid,Fixation
2022-11-15 14:21:18.561990,,Eye Tracker,1011.0,603.0,Valid,Valid,Fixation
2022-11-15 14:21:18.578644,,Eye Tracker,1008.0,604.0,Valid,Valid,Fixation
2022-11-15 14:21:18.595299,,Eye Tracker,1004.0,600.0,Valid,Valid,Fixation
2022-11-15 14:21:18.611954,,Eye Tracker,1004.0,598.0,Valid,Valid,Fixation
2022-11-15 14:21:18.628608,,Eye Tracker,1009.0,600.0,Valid,Valid,Fixation
2022-11-15 14:21:18.645263,,Eye Tracker,1009.0,599.0,Valid,Valid,Fixation
2022-11-15 14:21:18.661919,,Eye Tracker,1008.0,598.0,Valid,Valid,Fixation
2022-11-15 14:21:18.678573,,Eye Tracker,1011.0,604.0,Valid,Valid,Fixation
2022-11-15 14:21:18.695228,,Eye Tracker,1013.0,601.0,Valid,Valid,Fixation
2022-11-15 14:21:18.711883,,Eye Tracker,1012.0,599.0,Valid,Valid,Fixation
2022-11-15 14:21:18.728537,,Eye Tracker,1013.0,591.0,Valid,Valid,Fixation
2022-11-15 14:21:18.745192,,Eye Tracker,1011.0,593.0,Valid,Valid,Fixation
2022-11-15 14:21:18.761847,,Eye Tracker,1015.0,605.0,Valid,Valid,Fixation
2022-11-15 14:21:18.778502,,Eye Tracker,1011.0,601.0,Valid,Valid,Fixation
2022-11-15 14:21:18.795157,,Eye Tracker,1010.0,596.0,Valid,Valid,Fixation
2022-11-15 14:21:18.811812,,Eye Tracker,1015.0,597.0,Valid,Valid,Fixation
2022-11-15 14:21:18.828467,,Eye Tracker,1014.0,596.0,Valid,Valid,Fixation
2022-11-15 14:21:18.845121,,Eye Tracker,1013.0,598.0,Valid,Valid,Fixation
2022-11-15 14:21:18.861776,,Eye Tracker,989.0,592.0,Valid,Valid,Saccade
2022-11-15 14:21:18.878431,,Eye Tracker,969.0,571.0,Valid,Valid,Saccade
2022-11-15 14:21:18.895085,,Eye Tracker,973.0,572.0,Valid,Valid,Fixation
2022-11-15 14:21:18.911741,,Eye Tracker,977.0,578.0,Valid,Valid,Fixation
2022-11-15 14:21:18.928396,,Eye Tracker,975.0,579.0,Valid,Valid,Fixation
2022-11-15 14:21:18.945050,,Eye Tracker,971.0,580.0,Valid,Valid,Fixation
2022-11-15 14:21:18.961705,,Eye Tracker,969.0,577.0,Valid,Valid,Fixation
2022-11-15 14:21:18.978360,,Eye Tracker,970.0,576.0,Valid,Valid,Fixation
2022-11-15 14:21:18.995014,,Eye Tracker,972.0,575.0,Valid,Valid,Fixation
2022-11-15 14:21:19.011669,,Eye Tracker,974.0,575.0,Valid,Valid,Fixation
2022-11-15 14:21:19.028325,,Eye Tracker,969.0,569.0,Valid,Valid,Fixation
