Recording timestamp,Position X,Position Y
1669095378.071744,18.0,75.0
1669095378.082746,17.0,75.0
1669095378.091949,16.0,75.0
1669095378.100994,15.0,76.0
1669095381.6152,15.0,76.0
1669095381.645953,15.0,75.0
1669095381.685247,15.0,74.0
1669095381.716003,15.0,73.0
1669095381.734991,15.0,72.0
1669095381.75599,15.0,71.0
1669095381.856422,15.0,70.0
1669095381.866393,15.0,69.0
1669095381.877363,15.0,68.0
1669095381.887343,15.0,67.0
1669095381.906023,15.0,66.0
1669095382.368099,15.0,64.0
1669095382.850646,15.0,63.0
1669095382.86114,16.0,63.0
1669095385.732442,19.0,61.0
1669095385.751236,20.0,61.0
1669095385.762626,21.0,61.0
1669095386.092741,22.0,61.0
1669095386.103316,25.0,60.0
1669095386.113607,26.0,60.0
1669095386.12279,28.0,59.0
1669095386.132746,31.0,58.0
1669095386.142751,34.0,57.0
1669095386.153514,35.0,56.0
1669095386.1619,36.0,56.0
1669095387.770886,37.0,56.0
1669095388.70329,37.0,57.0
1669095388.964973,38.0,57.0
1669095388.974955,38.0,56.0
1669095389.004973,38.0,55.0
1669095389.014966,39.0,55.0
1669095389.06498,39.0,54.0
1669095389.145378,40.0,54.0
1669095389.154692,40.0,53.0
1669095389.175576,41.0,53.0
1669095389.837882,41.0,52.0
1669095389.91703,42.0,52.0
1669095389.938093,43.0,52.0
1669095389.948595,44.0,53.0
1669095389.958583,45.0,53.0
1669095389.968521,46.0,54.0
1669095389.988949,47.0,54.0
1669095390.06934,47.0,55.0
1669095390.109125,48.0,55.0
1669095390.118368,49.0,55.0
1669095390.189106,50.0,56.0
1669095390.2281,51.0,56.0
1669095390.258923,52.0,57.0
1669095390.268576,53.0,58.0
1669095390.360691,54.0,58.0
1669095390.410439,55.0,58.0
1669095390.429319,56.0,58.0
1669095390.480273,57.0,59.0
1669095390.501268,58.0,59.0
1669095390.519935,59.0,59.0
1669095390.531227,60.0,59.0
1669095390.541311,61.0,59.0
1669095390.5509,63.0,59.0
1669095390.561061,64.0,59.0
1669095390.571091,65.0,60.0
1669095390.581333,66.0,60.0
1669095390.600563,67.0,60.0
1669095390.610318,68.0,60.0
1669095390.631842,69.0,60.0
1669095390.650656,71.0,60.0
1669095390.66102,71.0,61.0
1669095390.701401,72.0,61.0
1669095390.721411,73.0,61.0
1669095390.74063,74.0,62.0
1669095390.760961,75.0,63.0
1669095390.801551,77.0,63.0
1669095390.832059,78.0,63.0
1669095390.860901,79.0,63.0
1669095390.882727,80.0,64.0
1669095390.912593,81.0,64.0
1669095390.951171,82.0,64.0
1669095390.972241,83.0,65.0
1669095391.072689,84.0,65.0
1669095391.103895,85.0,65.0
1669095391.143797,86.0,65.0
1669095391.162717,87.0,65.0
1669095391.183642,89.0,66.0
1669095391.193674,90.0,66.0
1669095391.213876,92.0,67.0
1669095391.243724,93.0,67.0
1669095391.262821,94.0,68.0
1669095391.273675,95.0,68.0
1669095391.282252,96.0,68.0
1669095391.444839,97.0,68.0
1669095391.945959,98.0,68.0
1669095391.956251,99.0,68.0
1669095391.96528,100.0,69.0
1669095391.975758,100.0,70.0
1669095391.986789,101.0,71.0
1669095391.996585,102.0,71.0
1669095392.005965,104.0,72.0
1669095392.629016,105.0,73.0
1669095392.65936,106.0,73.0
1669095392.869957,107.0,73.0
1669095392.890344,107.0,72.0
1669095392.940336,108.0,72.0
1669095393.181796,108.0,71.0
1669095393.231768,108.0,70.0
1669095393.242115,109.0,69.0
1669095393.250903,111.0,68.0
1669095393.261748,111.0,67.0
1669095393.270957,112.0,66.0
1669095393.280986,113.0,65.0
1669095393.290522,114.0,65.0
1669095393.300845,115.0,64.0
1669095393.322653,115.0,63.0
1669095393.593582,116.0,63.0
1669095393.60318,117.0,63.0
1669095393.613588,118.0,63.0
1669095393.632521,119.0,63.0
1669095393.663589,120.0,63.0
1669095393.672761,121.0,63.0
1669095393.703198,122.0,63.0
1669095393.723635,123.0,63.0
1669095393.733636,124.0,63.0
1669095393.742909,125.0,64.0
1669095393.783875,126.0,64.0
1669095393.833018,127.0,64.0
1669095393.842569,128.0,65.0
1669095393.863684,129.0,65.0
1669095393.883212,130.0,65.0
1669095393.894202,131.0,66.0
1669095393.914046,132.0,66.0
1669095393.955018,133.0,66.0
1669095394.038358,134.0,66.0
1669095394.066352,135.0,66.0
1669095394.085284,137.0,66.0
1669095394.094954,138.0,66.0
1669095394.105219,140.0,66.0
1669095394.11579,141.0,66.0
1669095394.125793,144.0,66.0
1669095394.144802,145.0,66.0
1669095394.155427,146.0,66.0
1669095394.17553,147.0,66.0
1669095394.195473,148.0,66.0
1669095394.456595,149.0,66.0
1669095394.465985,149.0,65.0
1669095394.475952,149.0,64.0
1669095394.486196,149.0,63.0
1669095394.496192,149.0,61.0
1669095394.517624,149.0,60.0
1669095394.526702,149.0,58.0
