Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669097277.58,MouseEvent,,598.0,633.3333333333334,,,Fixation
1669097277.595134,,Mouse,599.0,632.6666666666666,,,Fixation
1669097277.611789,,Eye Tracker,600.0,632.0,Valid,Valid,Fixation
1669097277.642979,,Eye Tracker,596.0,634.0,Valid,Valid,Fixation
1669097277.659633,,Eye Tracker,597.0,639.0,Valid,Valid,Fixation
1669097277.693676,,Eye Tracker,596.0,646.0,Valid,Valid,Fixation
1669097277.710331,,Eye Tracker,595.0,645.0,Valid,Valid,Fixation
1669097277.726985,,Eye Tracker,595.0,642.0,Valid,Valid,Fixation
1669097277.74364,,Eye Tracker,593.0,643.0,Valid,Valid,Fixation
1669097277.7602959,,Eye Tracker,603.0,643.0,Valid,Valid,Fixation
1669097277.77695,,Eye Tracker,604.0,645.0,Valid,Valid,Fixation
1669097277.7936049,,Eye Tracker,598.0,649.0,Valid,Valid,Fixation
1669097277.8102598,,Eye Tracker,600.0,649.0,Valid,Valid,Fixation
1669097277.8269138,,Eye Tracker,602.0,645.0,Valid,Valid,Fixation
1669097277.843569,,Eye Tracker,600.0,644.0,Valid,Valid,Fixation
1669097277.860224,,Eye Tracker,598.0,647.0,Valid,Valid,Fixation
1669097277.876878,,Eye Tracker,596.0,646.0,Valid,Valid,Fixation
1669097277.893534,,Mouse,597.0,646.0,,,Fixation
1669097277.910189,,Eye Tracker,598.0,646.0,Valid,Valid,Fixation
1669097277.926844,,Mouse,598.0,647.0,,,Fixation
1669097277.943498,,Eye Tracker,598.0,648.0,Valid,Valid,Fixation
1669097277.9601529,,Mouse,597.0,645.5,,,Fixation
1669097277.9768078,,Eye Tracker,596.0,643.0,Valid,Valid,Fixation
1669097277.9934618,,Eye Tracker,601.0,643.0,Valid,Valid,Fixation
1669097278.0101168,,Eye Tracker,603.0,646.0,Valid,Valid,Fixation
1669097278.026773,,Eye Tracker,597.0,644.0,Valid,Valid,Fixation
1669097278.0356488,,Eye Tracker,602.0,640.0,Valid,Valid,Fixation
1669097278.043427,,Eye Tracker,607.0,640.0,Valid,Valid,Fixation
1669097278.0596528,,Eye Tracker,604.0,640.0,Valid,Valid,Fixation
1669097278.060082,,Mouse,603.0,642.0,,,Fixation
1669097278.0756369,,Eye Tracker,602.0,644.0,Valid,Valid,Fixation
1669097278.076737,,Eye Tracker,602.0,652.0,Valid,Valid,Fixation
1669097278.0916278,,Mouse,606.0,654.0,,,Fixation
1669097278.093391,,Eye Tracker,610.0,656.0,Valid,Valid,Fixation
1669097278.1077309,,Eye Tracker,614.0,650.0,Valid,Valid,Fixation
1669097278.110046,,Eye Tracker,610.0,645.0,Valid,Valid,Fixation
1669097278.1237268,,Eye Tracker,610.0,648.0,Valid,Valid,Fixation
1669097278.1267009,,Eye Tracker,608.0,648.0,Valid,Valid,Fixation
1669097278.139782,,Eye Tracker,600.0,644.0,Valid,Valid,Fixation
1669097278.143355,,Eye Tracker,605.0,645.0,Valid,Valid,Fixation
1669097278.15569,,Mouse,608.0,647.0,,,Fixation
1669097278.1600108,,Eye Tracker,611.0,649.0,Valid,Valid,Fixation
1669097278.17167,,Eye Tracker,609.0,649.0,Valid,Valid,Fixation
1669097278.176666,,Eye Tracker,604.0,646.0,Valid,Valid,Fixation
1669097278.187634,,Eye Tracker,602.0,646.0,Valid,Valid,Fixation
1669097278.193321,,Eye Tracker,602.0,651.0,Valid,Valid,Fixation
1669097278.203739,,Eye Tracker,603.0,655.0,Valid,Valid,Fixation
1669097278.209975,,Eye Tracker,609.0,656.0,Valid,Valid,Fixation
1669097278.22663,,Eye Tracker,609.0,657.0,Valid,Valid,Fixation
1669097278.243285,,Eye Tracker,607.0,657.0,Valid,Valid,Fixation
1669097278.259939,,Eye Tracker,602.0,650.0,Valid,Valid,Fixation
1669097278.2765949,,Eye Tracker,605.0,660.0,Valid,Valid,Fixation
1669097278.2932498,,Eye Tracker,607.0,661.0,Valid,Valid,Fixation
1669097278.3099039,,Eye Tracker,609.0,655.0,Valid,Valid,Fixation
1669097278.3265588,,Eye Tracker,609.0,656.0,Valid,Valid,Fixation
1669097278.343214,,Eye Tracker,601.0,656.0,Valid,Valid,Fixation
1669097278.3598678,,Eye Tracker,599.0,648.0,Valid,Valid,Fixation
1669097278.376523,,Mouse,604.0,649.0,,,Fixation
1669097278.393178,,Eye Tracker,609.0,650.0,Valid,Valid,Fixation
1669097278.409833,,Eye Tracker,610.0,656.0,Valid,Valid,Fixation
1669097278.426488,,Eye Tracker,607.0,656.0,Valid,Valid,Fixation
1669097278.443143,,Eye Tracker,607.0,653.0,Valid,Valid,Fixation
1669097278.4597979,,Eye Tracker,607.0,655.0,Valid,Valid,Fixation
