Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-11-22 14:08:05.725366,,,,MouseEvent,"Down, Left"
2022-11-22 14:08:05.725366,Mouse,37.0,994.0,,
2022-11-22 14:08:05.756030,Mouse,37.0,994.0,,
2022-11-22 14:08:05.856203,Mouse,38.0,993.0,,
2022-11-22 14:08:05.986228,Mouse,38.0,993.0,,
2022-11-22 14:08:05.997301,Mouse,39.0,993.0,,
2022-11-22 14:08:06.016269,Mouse,40.0,993.0,,
2022-11-22 14:08:06.046126,Mouse,41.0,994.0,,
2022-11-22 14:08:06.117031,Mouse,42.0,994.0,,
2022-11-22 14:08:06.136977,Mouse,42.0,994.0,,
2022-11-22 14:08:06.157070,Mouse,43.0,995.0,,
2022-11-22 14:08:06.168005,Mouse,44.0,995.0,,
2022-11-22 14:08:06.187098,Mouse,47.0,995.0,,
2022-11-22 14:08:06.207968,Mouse,53.0,996.0,,
2022-11-22 14:08:06.227070,Mouse,62.0,996.0,,
2022-11-22 14:08:06.248027,Mouse,74.0,996.0,,
2022-11-22 14:08:06.268028,Mouse,86.0,996.0,,
2022-11-22 14:08:06.287984,Mouse,97.0,996.0,,
2022-11-22 14:08:06.299003,Mouse,104.0,996.0,,
2022-11-22 14:08:06.318180,Mouse,109.0,996.0,,
2022-11-22 14:08:06.338997,Mouse,113.0,996.0,,
2022-11-22 14:08:06.358021,Mouse,114.0,996.0,,
2022-11-22 14:08:06.379045,Mouse,115.0,996.0,,
2022-11-22 14:08:06.398028,Mouse,116.0,996.0,,
2022-11-22 14:08:06.408051,Mouse,116.0,996.0,,
2022-11-22 14:08:06.419072,Mouse,117.0,996.0,,
2022-11-22 14:08:06.437969,Mouse,121.0,996.0,,
2022-11-22 14:08:06.448199,Mouse,125.0,996.0,,
2022-11-22 14:08:06.467997,Mouse,137.0,996.0,,
2022-11-22 14:08:06.488026,Mouse,154.0,996.0,,
2022-11-22 14:08:06.508239,Mouse,178.0,996.0,,
2022-11-22 14:08:06.528000,Mouse,199.0,996.0,,
2022-11-22 14:08:06.548008,Mouse,221.0,996.0,,
2022-11-22 14:08:06.558040,Mouse,229.0,996.0,,
2022-11-22 14:08:06.578025,Mouse,243.0,996.0,,
2022-11-22 14:08:06.598997,Mouse,250.0,994.0,,
2022-11-22 14:08:06.619111,Mouse,253.0,994.0,,
2022-11-22 14:08:06.659024,Mouse,255.0,993.0,,
2022-11-22 14:08:06.669024,Mouse,255.0,993.0,,
2022-11-22 14:08:06.688996,Mouse,257.0,993.0,,
2022-11-22 14:08:06.709269,Mouse,260.0,993.0,,
2022-11-22 14:08:06.728999,Mouse,267.0,993.0,,
2022-11-22 14:08:06.749250,Mouse,283.0,993.0,,
2022-11-22 14:08:06.770001,Mouse,305.0,993.0,,
2022-11-22 14:08:06.780257,Mouse,316.0,993.0,,
2022-11-22 14:08:06.800017,Mouse,336.0,995.0,,
2022-11-22 14:08:06.811007,Mouse,344.0,995.0,,
2022-11-22 14:08:06.830027,Mouse,357.0,995.0,,
2022-11-22 14:08:06.840214,Mouse,360.0,995.0,,
2022-11-22 14:08:06.850242,Mouse,363.0,995.0,,
