Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669093912.6075132,MouseEvent,,586.3333333333334,606.6666666666666,,,Fixation,,,MouseEvent,"Down, Left"
1669093912.6075132,,Mouse,586.6666666666666,606.3333333333334,,,Fixation,576.0,551.0,,
1669093912.6237361,,Eye Tracker,587.0,606.0,Valid,Valid,Fixation,,,,
1669093912.640391,,Eye Tracker,585.0,604.0,Valid,Valid,Fixation,,,,
1669093912.6570451,,Eye Tracker,583.0,602.0,Valid,Valid,Fixation,,,,
1669093912.6737,,Eye Tracker,587.0,602.0,Valid,Valid,Fixation,,,,
1669093912.690355,,Eye Tracker,586.0,600.0,Valid,Valid,Fixation,,,,
1669093912.70701,,Eye Tracker,586.0,599.0,Valid,Valid,Fixation,,,,
1669093912.723665,,Eye Tracker,587.0,599.0,Valid,Valid,Fixation,,,,
1669093912.7403202,,Eye Tracker,584.0,601.0,Valid,Valid,Fixation,,,,
1669093912.7569742,,Eye Tracker,587.0,604.0,Valid,Valid,Fixation,,,,
1669093912.7736292,,Eye Tracker,592.0,603.0,Valid,Valid,Fixation,,,,
1669093912.7902842,,Eye Tracker,590.0,604.0,Valid,Valid,Fixation,,,,
1669093912.8069382,,Eye Tracker,584.0,609.0,Valid,Valid,Fixation,,,,
1669093912.807728,,Mouse,585.5,608.5,,,Fixation,576.0,552.0,,
1669093912.8235931,,Eye Tracker,587.0,608.0,Valid,Valid,Fixation,,,,
1669093912.8274522,,Mouse,588.0,607.3333333333334,,,Fixation,576.0,555.0,,
1669093912.8383641,,Mouse,589.0,606.6666666666666,,,Fixation,576.0,557.0,,
1669093912.840249,,Eye Tracker,590.0,606.0,Valid,Valid,Fixation,,,,
1669093912.856903,,Eye Tracker,588.0,610.0,Valid,Valid,Fixation,,,,
1669093912.8575501,,Mouse,585.5,610.5,,,Fixation,576.0,562.0,,
1669093912.873558,,Eye Tracker,583.0,611.0,Valid,Valid,Fixation,,,,
1669093912.877314,,Mouse,584.0,610.6666666666666,,,Fixation,576.0,567.0,,
1669093912.887438,,Mouse,585.0,610.3333333333334,,,Fixation,576.0,570.0,,
1669093912.890213,,Eye Tracker,586.0,610.0,Valid,Valid,Fixation,,,,
1669093912.9068682,,Eye Tracker,584.0,607.0,Valid,Valid,Fixation,,,,
1669093912.9073892,,Mouse,583.6666666666666,607.3333333333334,,,Fixation,576.0,574.0,,
1669093912.9175172,,Mouse,583.3333333333334,607.6666666666666,,,Fixation,576.0,576.0,,
1669093912.923522,,Eye Tracker,583.0,608.0,Valid,Valid,Fixation,,,,
1669093912.9284122,,Mouse,582.5,610.0,,,Fixation,576.0,579.0,,
1669093912.9401772,,Eye Tracker,582.0,612.0,Valid,Valid,Fixation,,,,
1669093912.94842,,Mouse,582.0,613.5,,,Fixation,576.0,582.0,,
1669093912.9568322,,Eye Tracker,582.0,615.0,Valid,Valid,Fixation,,,,
1669093912.958667,,Mouse,583.0,614.6666666666666,,,Fixation,576.0,583.0,,
1669093912.969402,,Mouse,584.0,614.3333333333334,,,Fixation,576.0,585.0,,
1669093912.9734862,,Eye Tracker,585.0,614.0,Valid,Valid,Fixation,,,,
1669093912.9885392,,Mouse,585.5,613.5,,,Fixation,576.0,588.0,,
1669093912.990142,,Eye Tracker,586.0,613.0,Valid,Valid,Fixation,,,,
1669093913.006797,,Eye Tracker,582.0,613.0,Valid,Valid,Fixation,,,,
1669093913.0094242,,Mouse,580.5,612.0,,,Fixation,576.0,593.0,,
1669093913.023451,,Eye Tracker,579.0,611.0,Valid,Valid,Fixation,,,,
1669093913.028511,,Mouse,581.5,627.5,,,Fixation,576.0,598.0,,
1669093913.040106,,Eye Tracker,584.0,644.0,Valid,Valid,Saccade,,,,
1669093913.0495162,,Mouse,582.0,660.5,,,Saccade,577.0,607.0,,
1669093913.056761,,Eye Tracker,580.0,677.0,Valid,Valid,Saccade,,,,
1669093913.068412,,Mouse,580.5,680.0,,,Fixation,577.0,615.0,,
1669093913.073415,,Eye Tracker,581.0,683.0,Valid,Valid,Fixation,,,,
1669093913.088433,,Mouse,582.0,684.5,,,Fixation,578.0,624.0,,
1669093913.09007,,Eye Tracker,583.0,686.0,Valid,Valid,Fixation,,,,
1669093913.099404,,Mouse,584.0,688.5,,,Fixation,578.0,629.0,,
1669093913.1067252,,Eye Tracker,585.0,691.0,Valid,Valid,Fixation,,,,
1669093913.1195052,,Mouse,585.5,692.0,,,Fixation,578.0,635.0,,
1669093913.1233802,,Eye Tracker,586.0,693.0,Valid,Valid,Fixation,,,,
1669093913.1400352,,Eye Tracker,584.0,693.0,Valid,Valid,Fixation,,,,
1669093913.1404252,,Mouse,584.0,695.0,,,Fixation,578.0,644.0,,
1669093913.1566901,,Eye Tracker,584.0,697.0,Valid,Valid,Fixation,,,,
1669093913.159567,,Mouse,582.0,696.5,,,Fixation,580.0,652.0,,
1669093913.173345,,Eye Tracker,580.0,696.0,Valid,Valid,Fixation,,,,
1669093913.180335,,Mouse,579.5,694.5,,,Fixation,581.0,660.0,,
1669093913.189999,,Eye Tracker,579.0,693.0,Valid,Valid,Fixation,,,,
1669093913.1993952,,Mouse,579.0,694.0,,,Fixation,582.0,667.0,,
1669093913.206654,,Eye Tracker,579.0,695.0,Valid,Valid,Fixation,,,,
1669093913.220684,,Mouse,580.0,697.0,,,Fixation,583.0,672.0,,
1669093913.223309,,Eye Tracker,581.0,699.0,Valid,Valid,Fixation,,,,
1669093913.239401,,Mouse,580.5,700.0,,,Fixation,583.0,676.0,,
1669093913.239963,,Eye Tracker,580.0,701.0,Valid,Valid,Fixation,,,,
1669093913.24951,,Mouse,579.0,701.0,,,Fixation,583.0,678.0,,
1669093913.256618,,Eye Tracker,578.0,701.0,Valid,Valid,Fixation,,,,
1669093913.26935,,Mouse,578.0,701.5,,,Fixation,583.0,683.0,,
1669093913.2732742,,Eye Tracker,578.0,702.0,Valid,Valid,Fixation,,,,
1669093913.279365,,Mouse,577.6666666666666,701.6666666666666,,,Fixation,583.0,686.0,,
1669093913.289477,,Mouse,577.3333333333334,701.3333333333334,,,Fixation,583.0,688.0,,
1669093913.2899282,,Eye Tracker,577.0,701.0,Valid,Valid,Fixation,,,,
1669093913.3065832,,Eye Tracker,577.0,702.0,Valid,Valid,Fixation,,,,
1669093913.3104432,,Mouse,578.0,702.6666666666666,,,Fixation,583.0,696.0,,
1669093913.32097,,Mouse,579.0,703.3333333333334,,,Fixation,583.0,700.0,,
1669093913.3232381,,Eye Tracker,580.0,704.0,Valid,Valid,Fixation,,,,
1669093913.3393772,,Mouse,592.0,727.0,,,Saccade,583.0,708.0,,
1669093913.3398921,,Eye Tracker,604.0,750.0,Valid,Valid,Saccade,,,,
1669093913.350476,,Mouse,609.5,767.5,,,Saccade,583.0,711.0,,
1669093913.356547,,Eye Tracker,615.0,785.0,Valid,Valid,Saccade,,,,
1669093913.369424,,Mouse,611.5,782.5,,,Fixation,583.0,716.0,,
1669093913.373202,,Eye Tracker,608.0,780.0,Valid,Valid,Fixation,,,,
1669093913.3796532,,Mouse,608.0,781.5,,,Fixation,583.0,719.0,,
1669093913.389856,,Eye Tracker,608.0,783.0,Valid,Valid,Fixation,,,,
1669093913.3994381,,Mouse,607.0,784.5,,,Fixation,583.0,728.0,,
