Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669099075.201,MouseEvent,,1213.6666666666667,257.0,,,Fixation
1669099075.216245,,Mouse,1213.3333333333333,257.0,,,Fixation
1669099075.2329,,Eye Tracker,1213.0,257.0,Valid,Valid,Fixation
1669099075.263179,,Eye Tracker,1205.0,267.0,Valid,Valid,Fixation
1669099075.279834,,Eye Tracker,1205.0,275.0,Valid,Valid,Fixation
1669099075.313876,,Eye Tracker,1213.0,277.0,Valid,Valid,Fixation
1669099075.330531,,Eye Tracker,1215.0,275.0,Valid,Valid,Fixation
1669099075.347186,,Eye Tracker,1214.0,272.0,Valid,Valid,Fixation
1669099075.3638399,,Eye Tracker,1217.0,273.0,Valid,Valid,Fixation
1669099075.380495,,Eye Tracker,1210.0,278.0,Valid,Valid,Fixation
1669099075.39715,,Eye Tracker,1200.0,283.0,Valid,Valid,Fixation
1669099075.413804,,Mouse,1200.5,281.5,,,Fixation
1669099075.430459,,Eye Tracker,1201.0,280.0,Valid,Valid,Fixation
1669099075.447115,,Eye Tracker,1213.0,279.0,Valid,Valid,Fixation
1669099075.463769,,Eye Tracker,1265.0,279.0,Valid,Valid,Saccade
1669099075.480424,,Eye Tracker,1358.0,286.0,Valid,Valid,Saccade
1669099075.497079,,Eye Tracker,1387.0,297.0,Valid,Valid,Saccade
1669099075.513733,,Eye Tracker,1398.0,291.0,Valid,Valid,Fixation
1669099075.5303879,,Mouse,1396.0,288.5,,,Fixation
1669099075.547043,,Eye Tracker,1394.0,286.0,Valid,Valid,Fixation
1669099075.563698,,Eye Tracker,1383.0,273.0,Valid,Valid,Fixation
1669099075.580353,,Eye Tracker,1388.0,274.0,Valid,Valid,Fixation
1669099075.597008,,Mouse,1388.5,277.0,,,Fixation
1669099075.613663,,Eye Tracker,1389.0,280.0,Valid,Valid,Fixation
1669099075.630317,,Eye Tracker,1389.0,277.0,Valid,Valid,Fixation
1669099075.646972,,Eye Tracker,1386.0,281.0,Valid,Valid,Fixation
1669099075.663627,,Eye Tracker,1388.0,286.0,Valid,Valid,Fixation
1669099075.680281,,Mouse,1390.5,283.5,,,Fixation
1669099075.696937,,Eye Tracker,1393.0,281.0,Valid,Valid,Fixation
1669099075.713592,,Mouse,1393.5,279.0,,,Fixation
1669099075.730246,,Eye Tracker,1394.0,277.0,Valid,Valid,Fixation
1669099075.746901,,Mouse,1393.5,279.5,,,Fixation
1669099075.763556,,Eye Tracker,1393.0,282.0,Valid,Valid,Fixation
1669099075.766547,,Mouse,1391.0,282.0,,,Fixation
1669099075.78021,,Eye Tracker,1389.0,282.0,Valid,Valid,Fixation
1669099075.782549,,Mouse,1386.0,280.5,,,Fixation
1669099075.796865,,Eye Tracker,1383.0,279.0,Valid,Valid,Fixation
1669099075.798611,,Mouse,1383.5,277.0,,,Fixation
1669099075.81352,,Eye Tracker,1384.0,275.0,Valid,Valid,Fixation
1669099075.814566,,Mouse,1387.0,277.5,,,Fixation
1669099075.830175,,Eye Tracker,1390.0,280.0,Valid,Valid,Fixation
1669099075.830567,,Mouse,1389.5,280.0,,,Fixation
1669099075.846624,,Eye Tracker,1389.0,280.0,Valid,Valid,Fixation
1669099075.84683,,Mouse,1390.0,282.0,,,Fixation
1669099075.862537,,Eye Tracker,1391.0,284.0,Valid,Valid,Fixation
1669099075.8634849,,Eye Tracker,1392.0,285.0,Valid,Valid,Fixation
1669099075.878529,,Eye Tracker,1393.0,281.0,Valid,Valid,Fixation
1669099075.88014,,Eye Tracker,1392.0,274.0,Valid,Valid,Fixation
1669099075.894597,,Eye Tracker,1379.0,276.0,Valid,Valid,Fixation
1669099075.896794,,Eye Tracker,1373.0,282.0,Valid,Valid,Fixation
1669099075.913449,,Eye Tracker,1367.0,279.0,Valid,Valid,Fixation
1669099075.930104,,Eye Tracker,1354.0,238.0,Valid,Valid,Saccade
1669099075.946758,,Eye Tracker,1333.0,192.0,Valid,Valid,Saccade
1669099075.963414,,Eye Tracker,1332.0,186.0,Valid,Valid,Fixation
1669099075.980069,,Mouse,1329.0,182.0,,,Fixation
1669099075.996723,,Eye Tracker,1326.0,178.0,Valid,Valid,Fixation
1669099076.013378,,Mouse,1325.5,179.5,,,Fixation
1669099076.0300329,,Eye Tracker,1325.0,181.0,Valid,Valid,Fixation
1669099076.046687,,Mouse,1323.0,182.5,,,Fixation
1669099076.0633419,,Eye Tracker,1321.0,184.0,Valid,Valid,Fixation
1669099076.079997,,Mouse,1322.0,180.5,,,Fixation
1669099076.096652,,Eye Tracker,1323.0,177.0,Valid,Valid,Fixation
1669099076.113307,,Mouse,1321.3333333333333,178.33333333333334,,,Fixation
1669099076.129962,,Mouse,1319.6666666666667,179.66666666666666,,,Fixation
1669099076.146617,,Eye Tracker,1318.0,181.0,Valid,Valid,Fixation
1669099076.163271,,Eye Tracker,1314.0,178.0,Valid,Valid,Fixation
1669099076.179926,,Mouse,1310.5,182.5,,,Fixation
1669099076.196581,,Eye Tracker,1307.0,187.0,Valid,Valid,Fixation
1669099076.206561,,Mouse,1305.0,188.66666666666666,,,Fixation
1669099076.213235,,Mouse,1303.0,190.33333333333334,,,Fixation
1669099076.222598,,Eye Tracker,1301.0,192.0,Valid,Valid,Fixation
1669099076.225902,,Eye Tracker,1299.0,195.0,Valid,Valid,Fixation
1669099076.229891,,Mouse,1296.6666666666667,200.33333333333334,,,Fixation
1669099076.23859,,Mouse,1294.3333333333333,205.66666666666666,,,Fixation
1669099076.246546,,Eye Tracker,1292.0,211.0,Valid,Valid,Fixation
1669099076.254648,,Mouse,1296.5,213.0,,,Fixation
1669099076.2632,,Eye Tracker,1301.0,215.0,Valid,Valid,Fixation
1669099076.270591,,Eye Tracker,1300.0,218.0,Valid,Valid,Fixation
1669099076.279855,,Mouse,1297.5,220.0,,,Fixation
1669099076.28683,,Eye Tracker,1295.0,222.0,Valid,Valid,Fixation
1669099076.29651,,Mouse,1295.6666666666667,220.33333333333334,,,Fixation
1669099076.302618,,Mouse,1296.3333333333333,218.66666666666666,,,Fixation
1669099076.313164,,Eye Tracker,1297.0,217.0,Valid,Valid,Fixation
1669099076.318664,,Mouse,1298.0,212.5,,,Fixation
1669099076.329819,,Eye Tracker,1299.0,208.0,Valid,Valid,Fixation
1669099076.334577,,Mouse,1294.6666666666667,209.0,,,Fixation
1669099076.346474,,Mouse,1290.3333333333333,210.0,,,Fixation
1669099076.350642,,Eye Tracker,1286.0,211.0,Valid,Valid,Fixation
1669099076.363129,,Mouse,1279.0,213.5,,,Fixation
1669099076.3797839,,Eye Tracker,1272.0,216.0,Valid,Valid,Fixation
1669099076.382629,,Mouse,1272.5,211.0,,,Fixation
1669099076.396439,,Eye Tracker,1273.0,206.0,Valid,Valid,Fixation
1669099076.398695,,Mouse,1272.5,204.0,,,Fixation
1669099076.413094,,Eye Tracker,1272.0,202.0,Valid,Valid,Fixation
1669099076.414747,,Mouse,1274.0,197.5,,,Fixation
1669099076.429748,,Eye Tracker,1276.0,193.0,Valid,Valid,Fixation
1669099076.430564,,Mouse,1276.0,196.5,,,Fixation
1669099076.446403,,Eye Tracker,1276.0,200.0,Valid,Valid,Fixation
1669099076.446653,,Mouse,1272.0,213.5,,,Fixation
1669099076.462647,,Eye Tracker,1268.0,227.0,Valid,Valid,Fixation
1669099076.463058,,Mouse,1271.0,226.33333333333334,,,Fixation
1669099076.478755,,Mouse,1274.0,225.66666666666666,,,Fixation
1669099076.479713,,Eye Tracker,1277.0,225.0,Valid,Valid,Fixation
1669099076.4947689,,Mouse,1271.5,223.0,,,Fixation
1669099076.496368,,Eye Tracker,1266.0,221.0,Valid,Valid,Fixation
1669099076.510614,,Mouse,1260.5,222.0,,,Fixation
1669099076.513023,,Eye Tracker,1255.0,223.0,Valid,Valid,Fixation
1669099076.526803,,Mouse,1252.5,224.5,,,Fixation
1669099076.529677,,Eye Tracker,1250.0,226.0,Valid,Valid,Fixation
1669099076.542761,,Mouse,1230.0,217.0,,,Fixation
1669099076.546332,,Eye Tracker,1210.0,208.0,Valid,Valid,Saccade
1669099076.562987,,Mouse,1197.0,202.0,,,Saccade
1669099076.566627,,Mouse,1184.0,196.0,,,Saccade
1669099076.5796409,,Eye Tracker,1171.0,190.0,Valid,Valid,Saccade
1669099076.596296,,Mouse,1171.5,187.0,,,Saccade
1669099076.612952,,Eye Tracker,1172.0,184.0,Valid,Valid,Fixation
1669099076.629606,,Mouse,1174.0,180.5,,,Fixation
1669099076.646261,,Eye Tracker,1176.0,177.0,Valid,Valid,Fixation
1669099076.662916,,Mouse,1171.6666666666667,174.0,,,Fixation
1669099076.679571,,Mouse,1167.3333333333333,171.0,,,Fixation
1669099076.696225,,Eye Tracker,1163.0,168.0,Valid,Valid,Fixation
1669099076.702652,,Mouse,1162.5,170.5,,,Fixation
1669099076.71288,,Eye Tracker,1162.0,173.0,Valid,Valid,Fixation
1669099076.7186189,,Mouse,1163.0,177.5,,,Fixation
1669099076.7295349,,Eye Tracker,1164.0,182.0,Valid,Valid,Fixation
1669099076.734633,,Mouse,1161.5,180.5,,,Fixation
1669099076.74619,,Eye Tracker,1159.0,179.0,Valid,Valid,Fixation
1669099076.75062,,Mouse,1159.5,177.5,,,Fixation
1669099076.762845,,Eye Tracker,1160.0,176.0,Valid,Valid,Fixation
1669099076.766655,,Mouse,1158.5,174.0,,,Fixation
1669099076.7795,,Eye Tracker,1157.0,172.0,Valid,Valid,Fixation
1669099076.782672,,Mouse,1154.0,169.5,,,Fixation
1669099076.796154,,Eye Tracker,1151.0,167.0,Valid,Valid,Fixation
1669099076.798585,,Mouse,1146.6666666666667,168.66666666666666,,,Fixation
1669099076.812809,,Mouse,1142.3333333333333,170.33333333333334,,,Fixation
1669099076.8147209,,Eye Tracker,1138.0,172.0,Valid,Valid,Fixation
1669099076.829464,,Mouse,1127.5,173.5,,,Fixation
1669099076.830631,,Eye Tracker,1117.0,175.0,Valid,Valid,Fixation
1669099076.846118,,Mouse,1062.0,187.5,,,Saccade
1669099076.846755,,Eye Tracker,1007.0,200.0,Valid,Valid,Saccade
1669099076.862674,,Mouse,959.5,216.0,,,Saccade
1669099076.862773,,Eye Tracker,912.0,232.0,Valid,Valid,Saccade
1669099076.8794289,,Mouse,908.0,232.5,,,Saccade
1669099076.894918,,Eye Tracker,904.0,233.0,Valid,Valid,Fixation
1669099076.8960829,,Mouse,899.5,232.0,,,Fixation
1669099076.910621,,Eye Tracker,895.0,231.0,Valid,Valid,Fixation
1669099076.912738,,Mouse,892.5,232.5,,,Fixation
1669099076.926633,,Eye Tracker,890.0,234.0,Valid,Valid,Fixation
1669099076.929393,,Mouse,889.6666666666666,234.0,,,Fixation
1669099076.942926,,Mouse,889.3333333333334,234.0,,,Fixation
1669099076.946048,,Eye Tracker,889.0,234.0,Valid,Valid,Fixation
1669099076.962702,,Mouse,891.0,236.5,,,Fixation
1669099076.970948,,Eye Tracker,893.0,239.0,Valid,Valid,Fixation
1669099076.979357,,Eye Tracker,890.0,238.0,Valid,Valid,Fixation
1669099076.98262,,Mouse,888.6666666666666,238.33333333333334,,,Fixation
1669099076.996012,,Mouse,887.3333333333334,238.66666666666666,,,Fixation
1669099076.998939,,Eye Tracker,886.0,239.0,Valid,Valid,Fixation
1669099077.012667,,Mouse,886.0,237.5,,,Fixation
1669099077.029322,,Eye Tracker,886.0,236.0,Valid,Valid,Fixation
1669099077.0459769,,Mouse,887.5,230.5,,,Fixation
1669099077.062631,,Eye Tracker,889.0,225.0,Valid,Valid,Fixation
1669099077.0792859,,Mouse,889.5,224.5,,,Fixation
1669099077.095941,,Eye Tracker,890.0,224.0,Valid,Valid,Fixation
1669099077.112595,,Mouse,892.0,224.0,,,Fixation
1669099077.12925,,Eye Tracker,894.0,224.0,Valid,Valid,Fixation
1669099077.145906,,Mouse,889.5,224.5,,,Fixation
1669099077.16256,,Eye Tracker,885.0,225.0,Valid,Valid,Fixation
1669099077.179215,,Mouse,882.0,226.0,,,Fixation
1669099077.19587,,Eye Tracker,879.0,227.0,Valid,Valid,Fixation
1669099077.212525,,Mouse,879.5,226.0,,,Fixation
