Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669099509.1107779,MouseEvent,,1567.3333333333333,775.0,,,Fixation,,,MouseEvent,"Down, Left"
1669099509.1107779,,Mouse,1565.6666666666667,774.0,,,Fixation,1602.0,694.0,,
1669099509.115388,,Eye Tracker,1564.0,773.0,Valid,Valid,Fixation,,,,
1669099509.132044,,Eye Tracker,1560.0,772.0,Valid,Valid,Fixation,,,,
1669099509.148699,,Eye Tracker,1554.0,773.0,Valid,Valid,Fixation,,,,
1669099509.165353,,Eye Tracker,1553.0,773.0,Valid,Valid,Fixation,,,,
1669099509.182008,,Eye Tracker,1553.0,772.0,Valid,Valid,Fixation,,,,
1669099509.198663,,Eye Tracker,1559.0,774.0,Valid,Valid,Fixation,,,,
1669099509.215317,,Eye Tracker,1560.0,773.0,Valid,Valid,Fixation,,,,
1669099509.231972,,Eye Tracker,1562.0,769.0,Valid,Valid,Fixation,,,,
1669099509.248628,,Eye Tracker,1563.0,768.0,Valid,Valid,Fixation,,,,
1669099509.265282,,Eye Tracker,1567.0,773.0,Valid,Valid,Fixation,,,,
1669099509.281602,,Mouse,1566.5,775.5,,,Fixation,1601.0,694.0,,
1669099509.281937,,Eye Tracker,1566.0,778.0,Valid,Valid,Fixation,,,,
1669099509.2985919,,Eye Tracker,1568.0,772.0,Valid,Valid,Fixation,,,,
1669099509.302511,,Mouse,1570.0,769.3333333333334,,,Fixation,1598.0,693.0,,
1669099509.312634,,Mouse,1572.0,766.6666666666666,,,Fixation,1597.0,693.0,,
1669099509.3152459,,Eye Tracker,1574.0,764.0,Valid,Valid,Fixation,,,,
1669099509.331901,,Eye Tracker,1571.0,767.0,Valid,Valid,Fixation,,,,
1669099509.342695,,Mouse,1569.5,768.5,,,Fixation,1595.0,692.0,,
1669099509.348556,,Eye Tracker,1568.0,770.0,Valid,Valid,Fixation,,,,
1669099509.3528569,,Mouse,1566.0,770.0,,,Fixation,1593.0,691.0,,
1669099509.365211,,Eye Tracker,1564.0,770.0,Valid,Valid,Fixation,,,,
1669099509.3716578,,Mouse,1564.5,767.5,,,Fixation,1592.0,690.0,,
1669099509.381866,,Eye Tracker,1565.0,765.0,Valid,Valid,Fixation,,,,
1669099509.381886,,Mouse,1563.6666666666667,765.0,,,Fixation,1591.0,689.0,,
1669099509.392607,,Mouse,1562.3333333333333,765.0,,,Fixation,1590.0,689.0,,
1669099509.398521,,Eye Tracker,1561.0,765.0,Valid,Valid,Fixation,,,,
1669099509.412556,,Mouse,1556.0,767.5,,,Fixation,1589.0,689.0,,
1669099509.415176,,Eye Tracker,1551.0,770.0,Valid,Valid,Fixation,,,,
1669099509.43183,,Eye Tracker,1550.0,768.0,Valid,Valid,Fixation,,,,
1669099509.443673,,Mouse,1548.5,768.5,,,Fixation,1589.0,688.0,,
1669099509.448485,,Eye Tracker,1547.0,769.0,Valid,Valid,Fixation,,,,
1669099509.462532,,Mouse,1546.5,766.5,,,Fixation,1588.0,688.0,,
1669099509.4651399,,Eye Tracker,1546.0,764.0,Valid,Valid,Fixation,,,,
1669099509.4735959,,Mouse,1544.5,764.5,,,Fixation,1586.0,687.0,,
1669099509.4817939,,Eye Tracker,1543.0,765.0,Valid,Valid,Fixation,,,,
1669099509.483679,,Mouse,1543.0,767.0,,,Fixation,1586.0,687.0,,
1669099509.49845,,Eye Tracker,1543.0,769.0,Valid,Valid,Fixation,,,,
1669099509.5026588,,Mouse,1541.0,767.5,,,Fixation,1584.0,687.0,,
1669099509.515105,,Eye Tracker,1539.0,766.0,Valid,Valid,Fixation,,,,
1669099509.523594,,Mouse,1499.5,758.0,,,Saccade,1582.0,687.0,,
1669099509.531759,,Eye Tracker,1460.0,750.0,Valid,Valid,Saccade,,,,
1669099509.542616,,Mouse,1414.0,724.0,,,Saccade,1580.0,686.0,,
1669099509.548414,,Eye Tracker,1368.0,698.0,Valid,Valid,Saccade,,,,
1669099509.552737,,Mouse,1343.0,683.0,,,Saccade,1576.0,685.0,,
1669099509.563606,,Mouse,1318.0,668.0,,,Saccade,1574.0,685.0,,
1669099509.565069,,Eye Tracker,1293.0,653.0,Valid,Valid,Saccade,,,,
1669099509.581723,,Eye Tracker,1270.0,652.0,Valid,Valid,Fixation,,,,
1669099509.582779,,Mouse,1272.0,647.5,,,Fixation,1567.0,685.0,,
1669099509.598378,,Eye Tracker,1274.0,643.0,Valid,Valid,Fixation,,,,
1669099509.603581,,Mouse,1276.3333333333333,644.0,,,Fixation,1562.0,686.0,,
1669099509.613669,,Mouse,1278.6666666666667,645.0,,,Fixation,1559.0,686.0,,
1669099509.615033,,Eye Tracker,1281.0,646.0,Valid,Valid,Fixation,,,,
1669099509.631689,,Eye Tracker,1298.0,657.0,Valid,Invalid,Fixation,,,,
1669099509.632535,,Mouse,1296.3333333333333,650.3333333333334,,,Fixation,1550.0,689.0,,
1669099509.643871,,Mouse,1294.6666666666667,643.6666666666666,,,Fixation,1545.0,690.0,,
1669099509.6483428,,Eye Tracker,1293.0,637.0,Valid,Valid,Fixation,,,,
1669099509.662631,,Mouse,1288.5,640.5,,,Fixation,1536.0,692.0,,
1669099509.664998,,Eye Tracker,1284.0,644.0,Valid,Valid,Fixation,,,,
1669099509.681653,,Eye Tracker,1281.0,650.0,Valid,Valid,Fixation,,,,
1669099509.683868,,Mouse,1256.5,642.0,,,Fixation,1524.0,696.0,,
1669099509.698307,,Eye Tracker,1232.0,634.0,Valid,Valid,Saccade,,,,
1669099509.702534,,Mouse,1208.0,623.5,,,Saccade,1516.0,698.0,,
1669099509.714962,,Eye Tracker,1184.0,613.0,Valid,Valid,Saccade,,,,
1669099509.722539,,Mouse,1182.5,612.0,,,Saccade,1504.0,700.0,,
1669099509.731617,,Eye Tracker,1181.0,611.0,Valid,Valid,Fixation,,,,
1669099509.733586,,Mouse,1180.3333333333333,611.3333333333334,,,Fixation,1498.0,703.0,,
1669099509.7436209,,Mouse,1179.6666666666667,611.6666666666666,,,Fixation,1492.0,703.0,,
1669099509.748271,,Eye Tracker,1179.0,612.0,Valid,Valid,Fixation,,,,
1669099509.763534,,Mouse,1177.0,613.5,,,Fixation,1478.0,707.0,,
1669099509.764927,,Eye Tracker,1175.0,615.0,Valid,Valid,Fixation,,,,
1669099509.77453,,Mouse,1174.5,616.0,,,Fixation,1471.0,708.0,,
1669099509.7815819,,Eye Tracker,1174.0,617.0,Valid,Valid,Fixation,,,,
1669099509.784561,,Mouse,1175.5,616.0,,,Fixation,1464.0,710.0,,
1669099509.798236,,Eye Tracker,1177.0,615.0,Valid,Valid,Fixation,,,,
1669099509.80358,,Mouse,1176.0,616.3333333333334,,,Fixation,1454.0,712.0,,
1669099509.81478,,Mouse,1175.0,617.6666666666666,,,Fixation,1449.0,712.0,,
1669099509.8148909,,Eye Tracker,1174.0,619.0,Valid,Valid,Fixation,,,,
1669099509.831546,,Eye Tracker,1175.0,614.0,Valid,Valid,Fixation,,,,
1669099509.833584,,Mouse,1174.0,615.0,,,Fixation,1440.0,715.0,,
1669099509.843695,,Mouse,1173.0,616.0,,,Fixation,1435.0,715.0,,
1669099509.8481998,,Eye Tracker,1172.0,617.0,Valid,Valid,Fixation,,,,
1669099509.854778,,Mouse,1171.6666666666667,619.3333333333334,,,Fixation,1432.0,717.0,,
1669099509.864778,,Mouse,1171.3333333333333,621.6666666666666,,,Fixation,1426.0,718.0,,
1669099509.864855,,Eye Tracker,1171.0,624.0,Valid,Valid,Fixation,,,,
1669099509.881511,,Eye Tracker,1175.0,620.0,Valid,Valid,Fixation,,,,
1669099509.883687,,Mouse,1174.6666666666667,618.0,,,Fixation,1421.0,718.0,,
1669099509.894646,,Mouse,1174.3333333333333,616.0,,,Fixation,1418.0,718.0,,
1669099509.898166,,Eye Tracker,1174.0,614.0,Valid,Valid,Fixation,,,,
1669099509.904888,,Mouse,1175.0,614.0,,,Fixation,1416.0,718.0,,
1669099509.91482,,Eye Tracker,1176.0,614.0,Valid,Valid,Fixation,,,,
1669099509.924522,,Mouse,1176.5,617.0,,,Fixation,1412.0,718.0,,
1669099509.931475,,Eye Tracker,1177.0,620.0,Valid,Valid,Fixation,,,,
1669099509.93455,,Mouse,1175.6666666666667,622.6666666666666,,,Fixation,1410.0,720.0,,
1669099509.945527,,Mouse,1174.3333333333333,625.3333333333334,,,Fixation,1407.0,720.0,,
1669099509.94813,,Eye Tracker,1173.0,628.0,Valid,Valid,Fixation,,,,
1669099509.955572,,Mouse,1171.0,629.0,,,Fixation,1405.0,720.0,,
1669099509.964784,,Eye Tracker,1169.0,630.0,Valid,Valid,Fixation,,,,
1669099509.97458,,Mouse,1171.0,626.0,,,Fixation,1399.0,720.0,,
1669099509.9814389,,Eye Tracker,1173.0,622.0,Valid,Valid,Fixation,,,,
1669099509.985573,,Mouse,1173.3333333333333,620.0,,,Fixation,1396.0,720.0,,
1669099509.9955769,,Mouse,1173.6666666666667,618.0,,,Fixation,1394.0,720.0,,
1669099509.9980938,,Eye Tracker,1174.0,616.0,Valid,Valid,Fixation,,,,
1669099510.014749,,Eye Tracker,1167.0,617.0,Valid,Valid,Fixation,,,,
1669099510.014857,,Mouse,1166.0,618.6666666666666,,,Fixation,1385.0,721.0,,
1669099510.025617,,Mouse,1165.0,620.3333333333334,,,Fixation,1379.0,722.0,,
1669099510.031404,,Eye Tracker,1164.0,622.0,Valid,Valid,Fixation,,,,
1669099510.035851,,Mouse,1165.5,620.0,,,Fixation,1373.0,723.0,,
1669099510.048059,,Eye Tracker,1167.0,618.0,Valid,Valid,Fixation,,,,
1669099510.0545459,,Mouse,1170.0,617.5,,,Fixation,1360.0,724.0,,
1669099510.064713,,Eye Tracker,1173.0,617.0,Valid,Valid,Fixation,,,,
1669099510.065552,,Mouse,1172.0,616.3333333333334,,,Fixation,1353.0,726.0,,
1669099510.07585,,Mouse,1171.0,615.6666666666666,,,Fixation,1347.0,726.0,,
1669099510.081368,,Eye Tracker,1170.0,615.0,Valid,Valid,Fixation,,,,
1669099510.094613,,Mouse,1171.5,615.0,,,Fixation,1330.0,727.0,,
1669099510.098023,,Eye Tracker,1173.0,615.0,Valid,Valid,Fixation,,,,
1669099510.10466,,Mouse,1173.5,618.5,,,Fixation,1323.0,727.0,,
1669099510.114677,,Eye Tracker,1174.0,622.0,Valid,Valid,Fixation,,,,
1669099510.116039,,Mouse,1172.5,623.5,,,Fixation,1316.0,727.0,,
