Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669099895.446044,,,,MouseEvent,"Down, Left"
1669099895.446044,Mouse,1803.0,894.0,,
1669099895.576591,Mouse,1802.0,894.0,,
1669099895.59675,Mouse,1802.0,894.0,,
1669099895.606756,Mouse,1799.0,893.0,,
1669099895.625634,Mouse,1794.0,893.0,,
1669099895.636616,Mouse,1788.0,893.0,,
1669099895.646621,Mouse,1784.0,893.0,,
1669099895.656625,Mouse,1780.0,893.0,,
1669099895.675635,Mouse,1772.0,893.0,,
1669099895.686623,Mouse,1767.0,893.0,,
1669099895.696678,Mouse,1761.0,893.0,,
1669099895.715604,Mouse,1748.0,893.0,,
1669099895.726658,Mouse,1741.0,891.0,,
1669099895.736714,Mouse,1734.0,891.0,,
1669099895.755614,Mouse,1719.0,891.0,,
1669099895.766928,Mouse,1710.0,892.0,,
1669099895.786728,Mouse,1690.0,895.0,,
1669099895.805717,Mouse,1674.0,896.0,,
1669099895.816617,Mouse,1667.0,896.0,,
1669099895.826725,Mouse,1657.0,896.0,,
1669099895.846602,Mouse,1639.0,896.0,,
1669099895.857669,Mouse,1629.0,896.0,,
1669099895.867707,Mouse,1621.0,896.0,,
1669099895.877717,Mouse,1613.0,896.0,,
1669099895.897726,Mouse,1596.0,894.0,,
1669099895.917658,Mouse,1573.0,891.0,,
1669099895.937657,Mouse,1548.0,884.0,,
1669099895.957595,Mouse,1526.0,878.0,,
1669099895.977573,Mouse,1507.0,874.0,,
1669099895.987647,Mouse,1496.0,871.0,,
1669099895.997667,Mouse,1490.0,868.0,,
1669099896.007686,Mouse,1483.0,864.0,,
1669099896.017696,Mouse,1478.0,861.0,,
1669099896.028693,Mouse,1474.0,859.0,,
1669099896.048641,Mouse,1465.0,853.0,,
1669099896.068685,Mouse,1454.0,844.0,,
1669099896.078729,Mouse,1450.0,840.0,,
1669099896.097941,Mouse,1441.0,830.0,,
1669099896.108855,Mouse,1436.0,825.0,,
1669099896.128829,Mouse,1424.0,813.0,,
1669099896.148653,Mouse,1411.0,797.0,,
1669099896.158916,Mouse,1405.0,791.0,,
1669099896.177577,Mouse,1393.0,779.0,,
1669099896.187652,Mouse,1388.0,774.0,,
1669099896.198729,Mouse,1383.0,769.0,,
1669099896.218706,Mouse,1375.0,763.0,,
1669099896.2387,Mouse,1370.0,761.0,,
1669099896.258749,Mouse,1367.0,759.0,,
1669099896.278641,Mouse,1363.0,757.0,,
1669099896.288677,Mouse,1362.0,755.0,,
1669099896.307605,Mouse,1358.0,754.0,,
1669099896.317656,Mouse,1357.0,753.0,,
1669099896.328931,Mouse,1356.0,751.0,,
1669099896.348627,Mouse,1351.0,747.0,,
1669099896.358722,Mouse,1347.0,743.0,,
1669099896.369601,Mouse,1341.0,737.0,,
1669099896.379603,Mouse,1334.0,730.0,,
1669099896.389721,Mouse,1328.0,724.0,,
1669099896.409624,Mouse,1313.0,706.0,,
1669099896.419709,Mouse,1303.0,696.0,,
1669099896.429734,Mouse,1295.0,688.0,,
1669099896.449648,Mouse,1281.0,674.0,,
1669099896.459736,Mouse,1275.0,668.0,,
1669099896.478666,Mouse,1258.0,661.0,,
1669099896.489964,Mouse,1251.0,656.0,,
1669099896.509648,Mouse,1241.0,652.0,,
1669099896.519763,Mouse,1236.0,648.0,,
1669099896.529835,Mouse,1233.0,647.0,,
1669099896.540605,Mouse,1230.0,646.0,,
1669099896.55095,Mouse,1229.0,645.0,,
1669099896.569644,Mouse,1226.0,642.0,,
1669099896.580646,Mouse,1225.0,641.0,,
1669099896.590914,Mouse,1223.0,639.0,,
1669099896.609678,Mouse,1219.0,633.0,,
1669099896.620766,Mouse,1215.0,625.0,,
