Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668752698.971204,,Eye Tracker,113.0,985.0,Valid,Valid,Fixation
1668752698.987859,,Eye Tracker,112.0,990.0,Valid,Valid,Fixation
1668752699.004514,,Eye Tracker,106.0,989.0,Valid,Valid,Fixation
1668752699.021169,,Eye Tracker,106.0,991.0,Valid,Valid,Fixation
1668752699.037824,,Eye Tracker,109.0,995.0,Valid,Valid,Fixation
1668752699.054479,,Eye Tracker,105.0,992.0,Valid,Valid,Fixation
1668752699.071134,,Eye Tracker,107.0,991.0,Valid,Valid,Fixation
1668752699.087788,,Eye Tracker,110.0,991.0,Valid,Valid,Fixation
1668752699.104443,,Eye Tracker,106.0,990.0,Valid,Valid,Fixation
1668752699.121098,,Eye Tracker,108.0,988.0,Valid,Valid,Fixation
1668752699.137752,,Eye Tracker,104.0,987.0,Valid,Valid,Fixation
1668752699.154407,,Eye Tracker,102.0,988.0,Valid,Valid,Fixation
1668752699.171063,,Eye Tracker,109.0,988.0,Valid,Valid,Fixation
1668752699.187717,,Eye Tracker,111.0,989.0,Valid,Valid,Fixation
1668752699.204372,,Eye Tracker,114.0,988.0,Valid,Valid,Fixation
1668752699.221026,,Eye Tracker,115.0,988.0,Valid,Valid,Fixation
1668752699.23768,,Eye Tracker,115.0,989.0,Valid,Valid,Fixation
1668752699.254335,,Eye Tracker,112.0,990.0,Valid,Valid,Fixation
1668752699.27099,,Eye Tracker,108.0,988.0,Valid,Valid,Fixation
1668752699.287645,,Eye Tracker,108.0,982.0,Valid,Valid,Fixation
1668752699.304299,,Eye Tracker,111.0,984.0,Valid,Valid,Fixation
1668752699.320955,,Eye Tracker,109.0,988.0,Valid,Valid,Fixation
1668752699.33761,,Eye Tracker,107.0,991.0,Valid,Valid,Fixation
1668752699.354264,,Eye Tracker,108.0,990.0,Valid,Valid,Fixation
1668752699.370919,,Eye Tracker,106.0,986.0,Valid,Valid,Fixation
1668752699.387574,,Eye Tracker,111.0,987.0,Valid,Valid,Fixation
1668752699.404228,,Eye Tracker,113.0,984.0,Valid,Valid,Fixation
1668752699.420883,,Eye Tracker,114.0,984.0,Valid,Valid,Fixation
1668752699.437538,,Eye Tracker,117.0,985.0,Valid,Valid,Fixation
1668752699.454193,,Eye Tracker,112.0,982.0,Valid,Valid,Fixation
1668752699.470848,,Eye Tracker,109.0,987.0,Valid,Valid,Fixation
1668752699.487503,,Eye Tracker,115.0,990.0,Valid,Valid,Fixation
1668752699.504157,,Eye Tracker,115.0,986.0,Valid,Valid,Fixation
1668752699.520812,,Eye Tracker,113.0,989.0,Valid,Valid,Fixation
1668752699.537467,,Eye Tracker,115.0,990.0,Valid,Valid,Fixation
1668752699.554122,,Eye Tracker,115.0,989.0,Valid,Valid,Fixation
1668752699.570776,,Eye Tracker,116.0,989.0,Valid,Valid,Fixation
1668752699.587432,,Eye Tracker,119.0,986.0,Valid,Valid,Fixation
1668752699.604087,,Eye Tracker,139.0,984.0,Valid,Valid,Fixation
1668752699.620741,,Eye Tracker,148.0,986.0,Valid,Valid,Fixation
1668752699.637396,,Eye Tracker,148.0,988.0,Valid,Valid,Fixation
1668752699.654051,,Eye Tracker,154.0,988.0,Valid,Valid,Fixation
1668752699.670705,,Eye Tracker,154.0,991.0,Valid,Valid,Fixation
1668752699.68736,,Eye Tracker,153.0,992.0,Valid,Valid,Fixation
1668752699.704015,,Eye Tracker,149.0,986.0,Valid,Valid,Fixation
1668752699.72067,,Eye Tracker,149.0,987.0,Valid,Valid,Fixation
1668752699.737325,,Eye Tracker,151.0,994.0,Valid,Valid,Fixation
1668752699.75398,,Eye Tracker,151.0,991.0,Valid,Valid,Fixation
1668752699.770634,,Eye Tracker,153.0,989.0,Valid,Valid,Fixation
1668752699.787289,,Eye Tracker,156.0,987.0,Valid,Valid,Fixation
1668752699.803944,,Eye Tracker,152.0,987.0,Valid,Valid,Fixation
1668752699.820599,,Eye Tracker,148.0,987.0,Valid,Valid,Fixation
1668752699.837253,,Eye Tracker,154.0,986.0,Valid,Valid,Fixation
1668752699.853909,,Eye Tracker,160.0,986.0,Valid,Valid,Fixation
1668752699.870564,,Eye Tracker,154.0,986.0,Valid,Valid,Fixation
1668752699.887218,,Eye Tracker,150.0,988.0,Valid,Valid,Fixation
1668752699.903873,,Eye Tracker,155.0,988.0,Valid,Valid,Fixation
1668752699.920528,,Eye Tracker,157.0,990.0,Valid,Valid,Fixation
1668752699.937182,,Eye Tracker,160.0,986.0,Valid,Valid,Fixation
1668752699.953837,,Eye Tracker,163.0,983.0,Valid,Valid,Fixation
