Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-18 15:50:01.526233,,Eye Tracker,563.0,600.0,Valid,Valid,Fixation
2022-11-18 15:50:01.542888,,Eye Tracker,563.0,602.0,Valid,Valid,Fixation
2022-11-18 15:50:01.559543,,Eye Tracker,564.0,605.0,Valid,Valid,Fixation
2022-11-18 15:50:01.576197,,Eye Tracker,563.0,602.0,Valid,Valid,Fixation
2022-11-18 15:50:01.592852,,Eye Tracker,562.0,601.0,Valid,Valid,Fixation
2022-11-18 15:50:01.609508,,Eye Tracker,561.0,601.0,Valid,Valid,Fixation
2022-11-18 15:50:01.626162,,Eye Tracker,562.0,600.0,Valid,Valid,Fixation
2022-11-18 15:50:01.642817,,Eye Tracker,563.0,602.0,Valid,Valid,Fixation
2022-11-18 15:50:01.659472,,Eye Tracker,563.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:01.676126,,Eye Tracker,564.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:01.692781,,Eye Tracker,562.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:01.709436,,Eye Tracker,561.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:01.726090,,Eye Tracker,562.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:01.742746,,Eye Tracker,561.0,600.0,Valid,Valid,Fixation
2022-11-18 15:50:01.759401,,Eye Tracker,561.0,597.0,Valid,Valid,Fixation
2022-11-18 15:50:01.776055,,Eye Tracker,566.0,597.0,Valid,Valid,Fixation
2022-11-18 15:50:01.792710,,Eye Tracker,565.0,602.0,Valid,Valid,Fixation
2022-11-18 15:50:01.809364,,Eye Tracker,563.0,604.0,Valid,Valid,Fixation
2022-11-18 15:50:01.826019,,Eye Tracker,563.0,597.0,Valid,Valid,Fixation
2022-11-18 15:50:01.842673,,Eye Tracker,564.0,599.0,Valid,Valid,Fixation
2022-11-18 15:50:01.859328,,Eye Tracker,563.0,602.0,Valid,Valid,Fixation
2022-11-18 15:50:01.875984,,Eye Tracker,562.0,600.0,Valid,Valid,Fixation
2022-11-18 15:50:01.892638,,Eye Tracker,565.0,605.0,Valid,Valid,Fixation
2022-11-18 15:50:01.909293,,Eye Tracker,563.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:01.925948,,Eye Tracker,560.0,602.0,Valid,Valid,Fixation
2022-11-18 15:50:01.942602,,Eye Tracker,563.0,601.0,Valid,Valid,Fixation
2022-11-18 15:50:01.959257,,Eye Tracker,564.0,599.0,Valid,Valid,Fixation
2022-11-18 15:50:01.975912,,Eye Tracker,565.0,598.0,Valid,Valid,Fixation
2022-11-18 15:50:01.992566,,Eye Tracker,567.0,599.0,Valid,Valid,Fixation
2022-11-18 15:50:02.009221,,Eye Tracker,564.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:02.025877,,Eye Tracker,562.0,605.0,Valid,Valid,Fixation
2022-11-18 15:50:02.042531,,Eye Tracker,562.0,602.0,Valid,Valid,Fixation
2022-11-18 15:50:02.059186,,Eye Tracker,562.0,605.0,Valid,Valid,Fixation
2022-11-18 15:50:02.075841,,Eye Tracker,563.0,605.0,Valid,Valid,Fixation
2022-11-18 15:50:02.092496,,Eye Tracker,564.0,604.0,Valid,Valid,Fixation
2022-11-18 15:50:02.109150,,Eye Tracker,561.0,606.0,Valid,Valid,Fixation
2022-11-18 15:50:02.125805,,Eye Tracker,557.0,601.0,Valid,Valid,Fixation
2022-11-18 15:50:02.142460,,Eye Tracker,559.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:02.159114,,Eye Tracker,564.0,605.0,Valid,Valid,Fixation
2022-11-18 15:50:02.175769,,Eye Tracker,564.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:02.192424,,Eye Tracker,560.0,606.0,Valid,Valid,Fixation
2022-11-18 15:50:02.209078,,Eye Tracker,560.0,607.0,Valid,Valid,Fixation
2022-11-18 15:50:02.225733,,Eye Tracker,561.0,603.0,Valid,Valid,Fixation
2022-11-18 15:50:02.242388,,Eye Tracker,562.0,599.0,Valid,Valid,Fixation
2022-11-18 15:50:02.259042,,Eye Tracker,559.0,601.0,Valid,Valid,Fixation
2022-11-18 15:50:02.275697,,Eye Tracker,562.0,604.0,Valid,Valid,Fixation
2022-11-18 15:50:02.292353,,Eye Tracker,566.0,605.0,Valid,Valid,Fixation
2022-11-18 15:50:02.309007,,Eye Tracker,572.0,606.0,Valid,Valid,Fixation
2022-11-18 15:50:02.325662,,Eye Tracker,580.0,613.0,Valid,Valid,Fixation
2022-11-18 15:50:02.342317,,Eye Tracker,574.0,616.0,Valid,Valid,Fixation
2022-11-18 15:50:02.358972,,Eye Tracker,571.0,614.0,Valid,Valid,Fixation
2022-11-18 15:50:02.375626,,Eye Tracker,571.0,614.0,Valid,Valid,Fixation
2022-11-18 15:50:02.392281,,Eye Tracker,569.0,612.0,Valid,Valid,Fixation
2022-11-18 15:50:02.408936,,Eye Tracker,565.0,612.0,Valid,Valid,Fixation
2022-11-18 15:50:02.425591,,Eye Tracker,564.0,611.0,Valid,Valid,Fixation
2022-11-18 15:50:02.442245,,Eye Tracker,568.0,611.0,Valid,Valid,Fixation
2022-11-18 15:50:02.458900,,Eye Tracker,569.0,612.0,Valid,Valid,Fixation
2022-11-18 15:50:02.475554,,Eye Tracker,569.0,614.0,Valid,Valid,Fixation
2022-11-18 15:50:02.492209,,Eye Tracker,569.0,619.0,Valid,Valid,Fixation
2022-11-18 15:50:02.508864,,Eye Tracker,571.0,618.0,Valid,Valid,Fixation
2022-11-18 15:50:02.525518,,Eye Tracker,573.0,619.0,Valid,Valid,Fixation
2022-11-18 15:50:02.542173,,Eye Tracker,572.0,622.0,Valid,Valid,Fixation
2022-11-18 15:50:02.558829,,Eye Tracker,568.0,620.0,Valid,Valid,Fixation
2022-11-18 15:50:02.575483,,Eye Tracker,564.0,617.0,Valid,Valid,Fixation
2022-11-18 15:50:02.592138,,Eye Tracker,567.0,625.0,Valid,Valid,Fixation
2022-11-18 15:50:02.608793,,Eye Tracker,569.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:02.625448,,Eye Tracker,570.0,627.0,Valid,Valid,Fixation
2022-11-18 15:50:02.642102,,Eye Tracker,569.0,625.0,Valid,Valid,Fixation
2022-11-18 15:50:02.658757,,Eye Tracker,569.0,623.0,Valid,Valid,Fixation
2022-11-18 15:50:02.675412,,Eye Tracker,568.0,623.0,Valid,Valid,Fixation
2022-11-18 15:50:02.692067,,Eye Tracker,571.0,622.0,Valid,Valid,Fixation
2022-11-18 15:50:02.708722,,Eye Tracker,574.0,622.0,Valid,Valid,Fixation
2022-11-18 15:50:02.725377,,Eye Tracker,572.0,622.0,Valid,Valid,Fixation
2022-11-18 15:50:02.742031,,Eye Tracker,572.0,623.0,Valid,Valid,Fixation
2022-11-18 15:50:02.758685,,Eye Tracker,571.0,628.0,Valid,Valid,Fixation
2022-11-18 15:50:02.775340,,Eye Tracker,571.0,627.0,Valid,Valid,Fixation
2022-11-18 15:50:02.791994,,Eye Tracker,572.0,625.0,Valid,Valid,Fixation
2022-11-18 15:50:02.808649,,Eye Tracker,568.0,625.0,Valid,Valid,Fixation
2022-11-18 15:50:02.825305,,Eye Tracker,568.0,623.0,Valid,Valid,Fixation
2022-11-18 15:50:02.841959,,Eye Tracker,575.0,622.0,Valid,Valid,Fixation
2022-11-18 15:50:02.858614,,Eye Tracker,578.0,622.0,Valid,Valid,Fixation
2022-11-18 15:50:02.875269,,Eye Tracker,576.0,624.0,Valid,Valid,Fixation
2022-11-18 15:50:02.891924,,Eye Tracker,574.0,621.0,Valid,Valid,Fixation
2022-11-18 15:50:02.908578,,Eye Tracker,570.0,620.0,Valid,Valid,Fixation
2022-11-18 15:50:02.925233,,Eye Tracker,563.0,619.0,Valid,Valid,Fixation
2022-11-18 15:50:02.941888,,Eye Tracker,564.0,621.0,Valid,Valid,Fixation
2022-11-18 15:50:02.958543,,Eye Tracker,569.0,626.0,Valid,Valid,Fixation
2022-11-18 15:50:02.975198,,Eye Tracker,569.0,625.0,Valid,Valid,Fixation
2022-11-18 15:50:02.991853,,Eye Tracker,569.0,628.0,Valid,Valid,Fixation
2022-11-18 15:50:03.008507,,Eye Tracker,569.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:03.025162,,Eye Tracker,573.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:03.041817,,Eye Tracker,574.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:03.058471,,Eye Tracker,574.0,626.0,Valid,Valid,Fixation
2022-11-18 15:50:03.075125,,Eye Tracker,574.0,624.0,Valid,Valid,Fixation
2022-11-18 15:50:03.091781,,Eye Tracker,572.0,623.0,Valid,Valid,Fixation
2022-11-18 15:50:03.108435,,Eye Tracker,571.0,626.0,Valid,Valid,Fixation
2022-11-18 15:50:03.125090,,Eye Tracker,570.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:03.141745,,Eye Tracker,572.0,627.0,Valid,Valid,Fixation
2022-11-18 15:50:03.158400,,Eye Tracker,574.0,627.0,Valid,Valid,Fixation
2022-11-18 15:50:03.175054,,Eye Tracker,574.0,628.0,Valid,Valid,Fixation
2022-11-18 15:50:03.191709,,Eye Tracker,576.0,627.0,Valid,Valid,Fixation
2022-11-18 15:50:03.208364,,Eye Tracker,575.0,627.0,Valid,Valid,Fixation
2022-11-18 15:50:03.225019,,Eye Tracker,575.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:03.241674,,Eye Tracker,577.0,631.0,Valid,Valid,Fixation
2022-11-18 15:50:03.258329,,Eye Tracker,579.0,625.0,Valid,Valid,Fixation
2022-11-18 15:50:03.274983,,Eye Tracker,575.0,624.0,Valid,Valid,Fixation
2022-11-18 15:50:03.291638,,Eye Tracker,569.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:03.308293,,Eye Tracker,573.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:03.324947,,Eye Tracker,575.0,629.0,Valid,Valid,Fixation
2022-11-18 15:50:03.341602,,Eye Tracker,577.0,626.0,Valid,Valid,Fixation
2022-11-18 15:50:03.358257,,Eye Tracker,578.0,623.0,Valid,Valid,Fixation
2022-11-18 15:50:03.374911,,Eye Tracker,578.0,623.0,Valid,Valid,Fixation
2022-11-18 15:50:03.391566,,Eye Tracker,588.0,634.0,Valid,Valid,Fixation
2022-11-18 15:50:03.408221,,Eye Tracker,590.0,642.0,Valid,Valid,Fixation
2022-11-18 15:50:03.424876,,Eye Tracker,586.0,640.0,Valid,Valid,Fixation
2022-11-18 15:50:03.441530,,Eye Tracker,588.0,638.0,Valid,Valid,Fixation
2022-11-18 15:50:03.458185,,Eye Tracker,587.0,636.0,Valid,Valid,Fixation
2022-11-18 15:50:03.474840,,Eye Tracker,587.0,638.0,Valid,Valid,Fixation
2022-11-18 15:50:03.491495,,Eye Tracker,591.0,640.0,Valid,Valid,Fixation
2022-11-18 15:50:03.508150,,Eye Tracker,591.0,640.0,Valid,Valid,Fixation
2022-11-18 15:50:03.524805,,Eye Tracker,589.0,637.0,Valid,Valid,Fixation
2022-11-18 15:50:03.541459,,Eye Tracker,590.0,638.0,Valid,Valid,Fixation
2022-11-18 15:50:03.558114,,Eye Tracker,590.0,637.0,Valid,Valid,Fixation
2022-11-18 15:50:03.574769,,Eye Tracker,590.0,640.0,Valid,Valid,Fixation
