Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1668748625.674,MouseEvent,,1786.3333333333333,1019.0,,,Fixation
1668748625.684381,,Mouse,1786.6666666666667,1019.0,,,Fixation
1668748625.690753,,Eye Tracker,1787.0,1019.0,Valid,Valid,Fixation
1668748625.700449,,Mouse,1788.5,1018.0,,,Fixation
1668748625.707408,,Eye Tracker,1790.0,1017.0,Valid,Valid,Fixation
1668748625.71628,,Eye Tracker,1788.0,1017.0,Valid,Valid,Fixation
1668748625.732318,,Eye Tracker,1788.0,1020.0,Valid,Valid,Fixation
1668748625.739047,,Mouse,1789.0,1020.0,,,Fixation
1668748625.755703,,Eye Tracker,1790.0,1020.0,Valid,Valid,Fixation
1668748625.772357,,Mouse,1790.0,1018.3333333333334,,,Fixation
1668748625.789012,,Mouse,1790.0,1016.6666666666666,,,Fixation
1668748625.805667,,Eye Tracker,1790.0,1015.0,Valid,Valid,Fixation
1668748625.8223221,,Mouse,1790.0,1016.5,,,Fixation
1668748625.838976,,Eye Tracker,1790.0,1018.0,Valid,Valid,Fixation
1668748625.855631,,Mouse,1791.0,1019.0,,,Fixation
1668748625.889748,,Eye Tracker,1792.0,1020.0,Valid,Valid,Fixation
1668748625.906403,,Mouse,1790.0,1018.5,,,Fixation
1668748625.923058,,Eye Tracker,1788.0,1017.0,Valid,Valid,Fixation
1668748625.939713,,Mouse,1787.5,1015.5,,,Fixation
1668748625.956367,,Eye Tracker,1787.0,1014.0,Valid,Valid,Fixation
1668748625.973022,,Mouse,1785.5,1013.5,,,Fixation
1668748625.989677,,Eye Tracker,1784.0,1013.0,Valid,Valid,Fixation
1668748626.006331,,Mouse,1781.0,1011.5,,,Fixation
1668748626.022986,,Eye Tracker,1778.0,1010.0,Valid,Valid,Fixation
1668748626.039642,,Mouse,1780.3333333333333,1009.6666666666666,,,Fixation
1668748626.056296,,Mouse,1782.6666666666667,1009.3333333333334,,,Fixation
1668748626.072951,,Eye Tracker,1785.0,1009.0,Valid,Valid,Fixation
1668748626.089606,,Mouse,1786.5,1010.5,,,Fixation
1668748626.106261,,Eye Tracker,1788.0,1012.0,Valid,Valid,Fixation
1668748626.122915,,Mouse,1783.0,1012.0,,,Fixation
1668748626.13957,,Eye Tracker,1778.0,1012.0,Valid,Valid,Fixation
1668748626.156225,,Eye Tracker,1764.0,1006.0,Valid,Valid,Fixation
1668748626.16428,,Mouse,1764.5,1004.5,,,Fixation
1668748626.172879,,Eye Tracker,1765.0,1003.0,Valid,Valid,Fixation
1668748626.1803,,Mouse,1766.3333333333333,1003.3333333333334,,,Fixation
1668748626.1895351,,Mouse,1767.6666666666667,1003.6666666666666,,,Fixation
1668748626.196345,,Eye Tracker,1769.0,1004.0,Valid,Valid,Fixation
1668748626.20619,,Eye Tracker,1762.0,1002.0,Valid,Valid,Fixation
1668748626.212339,,Mouse,1758.6,1002.6,,,Fixation
1668748626.2228441,,Mouse,1755.2,1003.2,,,Fixation
1668748626.228318,MouseEvent,,1751.8,1003.8,,,Fixation
1668748626.239499,,Mouse,1748.4,1004.4,,,Fixation
1668748626.244283,,Eye Tracker,1745.0,1005.0,Valid,Valid,Fixation
1668748626.256154,,Mouse,1736.5,1003.5,,,Fixation
1668748626.260288,,Eye Tracker,1728.0,1002.0,Valid,Valid,Fixation
1668748626.272808,,Mouse,1557.5,993.5,,,Fixation
1668748626.276265,,Eye Tracker,1387.0,985.0,Valid,Valid,Saccade
1668748626.289463,,Mouse,1389.3333333333333,986.3333333333334,,,Saccade
1668748626.2923281,,Mouse,1391.6666666666667,987.6666666666666,,,Fixation
1668748626.306118,,Eye Tracker,1394.0,989.0,Valid,Valid,Fixation
1668748626.308316,,Mouse,1395.0,988.0,,,Fixation
1668748626.322773,,Eye Tracker,1396.0,987.0,Valid,Valid,Fixation
1668748626.324325,,Eye Tracker,1394.0,985.0,Valid,Valid,Fixation
1668748626.339428,,Mouse,1393.0,986.5,,,Fixation
1668748626.340321,,Eye Tracker,1392.0,988.0,Valid,Valid,Fixation
1668748626.356083,,Mouse,1392.0,986.6666666666666,,,Fixation
1668748626.356362,,Mouse,1392.0,985.3333333333334,,,Fixation
1668748626.372272,,Eye Tracker,1392.0,984.0,Valid,Valid,Fixation
1668748626.3727381,,Mouse,1391.5,984.0,,,Fixation
1668748626.3882701,,Eye Tracker,1391.0,984.0,Valid,Valid,Fixation
1668748626.3893921,,Mouse,1390.0,984.5,,,Fixation
1668748626.4043071,,Eye Tracker,1389.0,985.0,Valid,Valid,Fixation
1668748626.406047,,Mouse,1388.5,985.5,,,Fixation
1668748626.420279,,Eye Tracker,1388.0,986.0,Valid,Valid,Fixation
1668748626.422702,,Mouse,1389.0,987.0,,,Fixation
1668748626.436278,,Eye Tracker,1390.0,988.0,Valid,Valid,Fixation
1668748626.439356,,Mouse,1431.5,998.0,,,Saccade
1668748626.452311,,Eye Tracker,1473.0,1008.0,Valid,Valid,Saccade
1668748626.456011,,Mouse,1516.5,1011.5,,,Saccade
1668748626.46828,,Eye Tracker,1560.0,1015.0,Valid,Valid,Saccade
1668748626.472667,,Mouse,1562.5,1016.5,,,Saccade
1668748626.484273,,Eye Tracker,1565.0,1018.0,Valid,Valid,Fixation
1668748626.489321,,Mouse,1567.0,1019.5,,,Fixation
1668748626.500262,,Eye Tracker,1569.0,1021.0,Valid,Valid,Fixation
1668748626.505976,,Mouse,1570.0,1019.6666666666666,,,Fixation
1668748626.522631,,Mouse,1571.0,1018.3333333333334,,,Fixation
1668748626.539285,,Eye Tracker,1572.0,1017.0,Valid,Valid,Fixation
1668748626.55594,,Eye Tracker,1570.0,1019.0,Valid,Valid,Fixation
1668748626.55631,,Mouse,1568.0,1017.5,,,Fixation
1668748626.5725951,,Eye Tracker,1566.0,1016.0,Valid,Valid,Fixation
1668748626.5892491,,Mouse,1567.5,1014.5,,,Fixation
1668748626.605905,,Eye Tracker,1569.0,1013.0,Valid,Valid,Fixation
1668748626.620318,,Eye Tracker,1564.0,1013.0,Valid,Valid,Fixation
1668748626.62256,,Eye Tracker,1560.0,1022.0,Valid,Valid,Fixation
1668748626.636324,,Eye Tracker,1567.0,1020.0,Valid,Valid,Fixation
1668748626.639215,,Eye Tracker,1566.0,1017.0,Valid,Valid,Fixation
1668748626.652354,,Eye Tracker,1564.0,1022.0,Valid,Valid,Fixation
1668748626.655869,,Eye Tracker,1565.0,1020.0,Valid,Valid,Fixation
1668748626.668332,,Eye Tracker,1564.0,1019.0,Valid,Valid,Fixation
1668748626.672524,,Eye Tracker,1566.0,1016.0,Valid,Valid,Fixation
1668748626.684281,,Eye Tracker,1567.0,1018.0,Valid,Valid,Fixation
1668748626.689179,MouseEvent,,1565.6666666666667,1018.0,,,Fixation
1668748626.70029,,Mouse,1564.3333333333333,1018.0,,,Fixation
1668748626.705833,,Eye Tracker,1563.0,1018.0,Valid,Valid,Fixation
1668748626.716388,,Mouse,1562.0,1016.3333333333334,,,Fixation
1668748626.721226,,Mouse,1561.0,1014.6666666666666,,,Fixation
1668748626.722488,,Eye Tracker,1560.0,1013.0,Valid,Valid,Fixation
1668748626.7391431,,Mouse,1552.0,1015.5,,,Fixation
1668748626.755798,,Eye Tracker,1544.0,1018.0,Valid,Valid,Fixation
1668748626.772453,,Mouse,1609.5,1022.5,,,Saccade
1668748626.789108,,Eye Tracker,1675.0,1027.0,Valid,Valid,Saccade
1668748626.805762,,Mouse,1682.5,1027.0,,,Saccade
1668748626.812385,,Eye Tracker,1690.0,1027.0,Valid,Valid,Fixation
1668748626.822417,,Mouse,1694.5,1025.0,,,Fixation
1668748626.8283641,,Eye Tracker,1699.0,1023.0,Valid,Valid,Fixation
1668748626.839072,,Mouse,1697.0,1022.5,,,Fixation
1668748626.844374,,Eye Tracker,1695.0,1022.0,Valid,Valid,Fixation
1668748626.855726,,Mouse,1692.0,1024.0,,,Fixation
