Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-11-18 14:49:01.698991,,,,MouseEvent,"Down, Left"
2022-11-18 14:49:01.698991,Mouse,1588.0,691.0,,
2022-11-18 14:49:01.800236,Mouse,1588.0,691.0,,
2022-11-18 14:49:01.818979,Mouse,1588.0,693.0,,
2022-11-18 14:49:01.829018,Mouse,1589.0,694.0,,
2022-11-18 14:49:01.840269,Mouse,1590.0,697.0,,
2022-11-18 14:49:01.859176,Mouse,1593.0,703.0,,
2022-11-18 14:49:01.879931,Mouse,1596.0,712.0,,
2022-11-18 14:49:01.889993,Mouse,1598.0,716.0,,
2022-11-18 14:49:01.908998,Mouse,1598.0,725.0,,
2022-11-18 14:49:01.919935,Mouse,1598.0,727.0,,
2022-11-18 14:49:01.930049,Mouse,1598.0,730.0,,
2022-11-18 14:49:01.948965,Mouse,1598.0,732.0,,
2022-11-18 14:49:01.959996,Mouse,1598.0,733.0,,
2022-11-18 14:49:01.970218,Mouse,1598.0,734.0,,
2022-11-18 14:49:01.998983,Mouse,1598.0,735.0,,
2022-11-18 14:49:02.009928,Mouse,1597.0,736.0,,
2022-11-18 14:49:02.030108,Mouse,1597.0,736.0,,
2022-11-18 14:49:02.080086,Mouse,1596.0,736.0,,
2022-11-18 14:49:02.101122,Mouse,1595.0,736.0,,
2022-11-18 14:49:02.120229,Mouse,1594.0,736.0,,
2022-11-18 14:49:02.131205,Mouse,1593.0,736.0,,
2022-11-18 14:49:02.150972,Mouse,1588.0,736.0,,
2022-11-18 14:49:02.169973,Mouse,1582.0,734.0,,
2022-11-18 14:49:02.180956,Mouse,1575.0,730.0,,
2022-11-18 14:49:02.191253,Mouse,1569.0,727.0,,
2022-11-18 14:49:02.210960,Mouse,1542.0,712.0,,
2022-11-18 14:49:02.222009,Mouse,1525.0,704.0,,
2022-11-18 14:49:02.232235,Mouse,1506.0,692.0,,
2022-11-18 14:49:02.251129,Mouse,1467.0,666.0,,
2022-11-18 14:49:02.262231,Mouse,1449.0,654.0,,
2022-11-18 14:49:02.281964,Mouse,1415.0,634.0,,
2022-11-18 14:49:02.301982,Mouse,1394.0,625.0,,
2022-11-18 14:49:02.322085,Mouse,1385.0,623.0,,
2022-11-18 14:49:02.340904,Mouse,1382.0,623.0,,
2022-11-18 14:49:02.351980,Mouse,1381.0,623.0,,
2022-11-18 14:49:02.362267,Mouse,1380.0,623.0,,
2022-11-18 14:49:02.402056,Mouse,1379.0,623.0,,
2022-11-18 14:49:02.431996,Mouse,1379.0,623.0,,
2022-11-18 14:49:02.452006,Mouse,1378.0,623.0,,
2022-11-18 14:49:02.471995,Mouse,1377.0,623.0,,
2022-11-18 14:49:02.492255,Mouse,1375.0,623.0,,
2022-11-18 14:49:02.510939,Mouse,1372.0,623.0,,
2022-11-18 14:49:02.522110,Mouse,1370.0,623.0,,
2022-11-18 14:49:02.541933,Mouse,1363.0,621.0,,
2022-11-18 14:49:02.552036,Mouse,1356.0,620.0,,
