Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-18 14:57:51.525789,,Eye Tracker,1393.0,433.0,Valid,Valid,Fixation
2022-11-18 14:57:51.542445,,Eye Tracker,1415.0,410.0,Valid,Valid,Fixation
2022-11-18 14:57:51.559099,,Eye Tracker,1410.0,416.0,Valid,Valid,Fixation
2022-11-18 14:57:51.575754,,Eye Tracker,1353.0,450.0,Valid,Valid,Saccade
2022-11-18 14:57:51.592409,,Eye Tracker,1304.0,474.0,Valid,Valid,Saccade
2022-11-18 14:57:51.609063,,Eye Tracker,1302.0,473.0,Valid,Valid,Fixation
2022-11-18 14:57:51.625718,,Eye Tracker,1298.0,473.0,Valid,Valid,Fixation
2022-11-18 14:57:51.642373,,Eye Tracker,1298.0,470.0,Valid,Valid,Fixation
2022-11-18 14:57:51.659029,,Eye Tracker,1296.0,470.0,Valid,Valid,Fixation
2022-11-18 14:57:51.675683,,Eye Tracker,1298.0,467.0,Valid,Valid,Fixation
2022-11-18 14:57:51.692338,,Eye Tracker,1298.0,463.0,Valid,Valid,Fixation
2022-11-18 14:57:51.708993,,Eye Tracker,1291.0,466.0,Valid,Valid,Fixation
2022-11-18 14:57:51.725647,,Eye Tracker,1290.0,462.0,Valid,Valid,Fixation
2022-11-18 14:57:51.742302,,Eye Tracker,1298.0,463.0,Valid,Valid,Fixation
2022-11-18 14:57:51.758957,,Eye Tracker,1299.0,472.0,Valid,Valid,Fixation
2022-11-18 14:57:51.775611,,Eye Tracker,1296.0,469.0,Valid,Valid,Fixation
2022-11-18 14:57:51.792267,,Eye Tracker,1297.0,468.0,Valid,Valid,Fixation
2022-11-18 14:57:51.808922,,Eye Tracker,1289.0,471.0,Valid,Valid,Fixation
2022-11-18 14:57:51.825576,,Eye Tracker,1287.0,466.0,Valid,Valid,Fixation
2022-11-18 14:57:51.842231,,Eye Tracker,1291.0,466.0,Valid,Valid,Fixation
2022-11-18 14:57:51.858886,,Eye Tracker,1292.0,471.0,Valid,Valid,Fixation
2022-11-18 14:57:51.875540,,Eye Tracker,1289.0,471.0,Valid,Valid,Fixation
2022-11-18 14:57:51.892195,,Eye Tracker,1285.0,477.0,Valid,Valid,Fixation
2022-11-18 14:57:51.908851,,Eye Tracker,1290.0,478.0,Valid,Valid,Fixation
2022-11-18 14:57:51.925506,,Eye Tracker,1296.0,467.0,Valid,Valid,Fixation
2022-11-18 14:57:51.942160,,Eye Tracker,1292.0,464.0,Valid,Valid,Fixation
2022-11-18 14:57:51.958815,,Eye Tracker,1288.0,473.0,Valid,Valid,Fixation
2022-11-18 14:57:51.975470,,Eye Tracker,1289.0,479.0,Valid,Valid,Fixation
2022-11-18 14:57:51.992124,,Eye Tracker,1288.0,476.0,Valid,Valid,Fixation
2022-11-18 14:57:52.008779,,Eye Tracker,1288.0,476.0,Valid,Valid,Fixation
2022-11-18 14:57:52.025434,,Eye Tracker,1291.0,470.0,Valid,Valid,Fixation
2022-11-18 14:57:52.042089,,Eye Tracker,1280.0,487.0,Valid,Valid,Fixation
2022-11-18 14:57:52.058744,,Eye Tracker,1232.0,558.0,Valid,Valid,Saccade
2022-11-18 14:57:52.075399,,Eye Tracker,1194.0,617.0,Valid,Valid,Saccade
2022-11-18 14:57:52.092053,,Eye Tracker,1183.0,644.0,Valid,Valid,Saccade
2022-11-18 14:57:52.108708,,Eye Tracker,1182.0,645.0,Valid,Valid,Fixation
2022-11-18 14:57:52.125363,,Eye Tracker,1180.0,649.0,Valid,Valid,Fixation
2022-11-18 14:57:52.142017,,Eye Tracker,1179.0,649.0,Valid,Valid,Fixation
2022-11-18 14:57:52.158673,,Eye Tracker,1181.0,652.0,Valid,Valid,Fixation
2022-11-18 14:57:52.175328,,Eye Tracker,1180.0,653.0,Valid,Valid,Fixation
2022-11-18 14:57:52.191983,,Eye Tracker,1175.0,646.0,Valid,Valid,Fixation
2022-11-18 14:57:52.208637,,Eye Tracker,1172.0,650.0,Valid,Valid,Fixation
2022-11-18 14:57:52.225292,,Eye Tracker,1169.0,653.0,Valid,Valid,Fixation
2022-11-18 14:57:52.241947,,Eye Tracker,1167.0,652.0,Valid,Valid,Fixation
2022-11-18 14:57:52.258601,,Eye Tracker,1166.0,646.0,Valid,Valid,Fixation
2022-11-18 14:57:52.275256,,Eye Tracker,1171.0,646.0,Valid,Valid,Fixation
2022-11-18 14:57:52.291912,,Eye Tracker,1168.0,653.0,Valid,Valid,Fixation
2022-11-18 14:57:52.308566,,Eye Tracker,1164.0,653.0,Valid,Valid,Fixation
2022-11-18 14:57:52.325221,,Eye Tracker,1167.0,652.0,Valid,Valid,Fixation
2022-11-18 14:57:52.341876,,Eye Tracker,1170.0,650.0,Valid,Valid,Fixation
2022-11-18 14:57:52.358530,,Eye Tracker,1163.0,653.0,Valid,Valid,Fixation
2022-11-18 14:57:52.375185,,Eye Tracker,1158.0,655.0,Valid,Valid,Fixation
2022-11-18 14:57:52.391840,,Eye Tracker,1161.0,653.0,Valid,Valid,Fixation
2022-11-18 14:57:52.408495,,Eye Tracker,1160.0,656.0,Valid,Valid,Fixation
