Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669081361.1361392,MouseEvent,,1855.0,181.33333333333334,,,Fixation,,,MouseEvent,"Down, Left"
1669081361.1361392,,Mouse,1855.0,181.66666666666666,,,Fixation,1879.0,75.0,,
1669081361.1391442,,Eye Tracker,1855.0,182.0,Valid,Valid,Fixation,,,,
1669081361.1557992,,Eye Tracker,1857.0,182.0,Valid,Valid,Fixation,,,,
1669081361.172454,,Eye Tracker,1858.0,183.0,Valid,Valid,Fixation,,,,
1669081361.1891081,,Eye Tracker,1857.0,183.0,Valid,Valid,Fixation,,,,
1669081361.205763,,Eye Tracker,1857.0,182.0,Valid,Valid,Fixation,,,,
1669081361.222419,,Eye Tracker,1856.0,177.0,Valid,Valid,Fixation,,,,
1669081361.239073,,Eye Tracker,1855.0,182.0,Valid,Valid,Fixation,,,,
1669081361.255728,,Eye Tracker,1862.0,191.0,Valid,Valid,Fixation,,,,
1669081361.272383,,Eye Tracker,1859.0,185.0,Valid,Valid,Fixation,,,,
1669081361.289037,,Eye Tracker,1852.0,184.0,Valid,Valid,Fixation,,,,
1669081361.296752,,Mouse,1850.0,183.0,,,Fixation,1879.0,75.0,,
1669081361.305692,,Eye Tracker,1848.0,182.0,Valid,Valid,Fixation,,,,
1669081361.318015,,Mouse,1847.5,181.0,,,Fixation,1878.0,75.0,,
1669081361.3223472,,Eye Tracker,1847.0,180.0,Valid,Valid,Fixation,,,,
1669081361.337001,,Mouse,1847.0,180.0,,,Fixation,1876.0,75.0,,
1669081361.3390012,,Eye Tracker,1847.0,180.0,Valid,Valid,Fixation,,,,
1669081361.3556561,,Eye Tracker,1846.0,182.0,Valid,Valid,Fixation,,,,
1669081361.356807,,Mouse,1846.0,182.33333333333334,,,Fixation,1874.0,75.0,,
1669081361.367082,,Mouse,1846.0,182.66666666666666,,,Fixation,1874.0,75.0,,
1669081361.372311,,Eye Tracker,1846.0,183.0,Valid,Valid,Fixation,,,,
1669081361.3867671,,Mouse,1845.0,181.5,,,Fixation,1872.0,75.0,,
1669081361.3889651,,Eye Tracker,1844.0,180.0,Valid,Valid,Fixation,,,,
1669081361.397048,,Mouse,1845.5,178.5,,,Fixation,1871.0,75.0,,
1669081361.40562,,Eye Tracker,1847.0,177.0,Valid,Valid,Fixation,,,,
1669081361.407061,,Mouse,1848.5,179.0,,,Fixation,1871.0,75.0,,
1669081361.422275,,Eye Tracker,1850.0,181.0,Valid,Valid,Fixation,,,,
1669081361.43893,,Eye Tracker,1847.0,182.0,Valid,Valid,Fixation,,,,
1669081361.4468231,,Mouse,1847.5,183.5,,,Fixation,1870.0,75.0,,
1669081361.455585,,Eye Tracker,1848.0,185.0,Valid,Valid,Fixation,,,,
1669081361.466803,,Mouse,1846.5,185.5,,,Fixation,1869.0,75.0,,
1669081361.47224,,Eye Tracker,1845.0,186.0,Valid,Valid,Fixation,,,,
1669081361.4888952,,Eye Tracker,1842.0,181.0,Valid,Valid,Fixation,,,,
1669081361.505549,,Eye Tracker,1843.0,181.0,Valid,Valid,Fixation,,,,
1669081361.506761,,Mouse,1841.0,180.0,,,Fixation,1868.0,75.0,,
1669081361.5222042,,Eye Tracker,1839.0,179.0,Valid,Valid,Fixation,,,,
1669081361.5368211,,Mouse,1837.5,179.0,,,Fixation,1868.0,75.0,,
1669081361.5388591,,Eye Tracker,1836.0,179.0,Valid,Valid,Fixation,,,,
