Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-11-22 10:44:16.686355,,,,MouseEvent,"Down, Left"
2022-11-22 10:44:16.686355,Mouse,1877.0,71.0,,
2022-11-22 10:44:16.977487,Mouse,1877.0,71.0,,
2022-11-22 10:44:16.996500,Mouse,1876.0,71.0,,
2022-11-22 10:44:17.017292,Mouse,1875.0,71.0,,
2022-11-22 10:44:17.058430,Mouse,1874.0,71.0,,
2022-11-22 10:44:17.078289,Mouse,1873.0,71.0,,
2022-11-22 10:44:17.108319,Mouse,1872.0,71.0,,
2022-11-22 10:44:17.118321,Mouse,1869.0,71.0,,
2022-11-22 10:44:17.137349,Mouse,1869.0,71.0,,
2022-11-22 10:44:17.148284,Mouse,1868.0,71.0,,
2022-11-22 10:44:17.158597,Mouse,1867.0,71.0,,
2022-11-22 10:44:17.177292,Mouse,1865.0,71.0,,
2022-11-22 10:44:17.188412,Mouse,1864.0,71.0,,
2022-11-22 10:44:17.217323,Mouse,1861.0,71.0,,
2022-11-22 10:44:17.228600,Mouse,1860.0,71.0,,
2022-11-22 10:44:17.248592,Mouse,1857.0,72.0,,
2022-11-22 10:44:17.267318,Mouse,1856.0,72.0,,
2022-11-22 10:44:17.278285,Mouse,1855.0,72.0,,
2022-11-22 10:44:17.288332,Mouse,1855.0,73.0,,
2022-11-22 10:44:17.307292,Mouse,1853.0,73.0,,
2022-11-22 10:44:17.318551,Mouse,1852.0,74.0,,
2022-11-22 10:44:17.328603,Mouse,1851.0,74.0,,
2022-11-22 10:44:17.347314,Mouse,1849.0,75.0,,
2022-11-22 10:44:17.368338,Mouse,1848.0,76.0,,
2022-11-22 10:44:17.388570,Mouse,1845.0,76.0,,
2022-11-22 10:44:17.399284,Mouse,1843.0,77.0,,
2022-11-22 10:44:17.409333,Mouse,1841.0,77.0,,
2022-11-22 10:44:17.428587,Mouse,1838.0,78.0,,
2022-11-22 10:44:17.439290,Mouse,1837.0,79.0,,
2022-11-22 10:44:17.449325,Mouse,1834.0,80.0,,
2022-11-22 10:44:17.468245,Mouse,1831.0,81.0,,
2022-11-22 10:44:17.478323,Mouse,1830.0,82.0,,
2022-11-22 10:44:17.489353,Mouse,1826.0,83.0,,
2022-11-22 10:44:17.508257,Mouse,1823.0,84.0,,
2022-11-22 10:44:17.518267,Mouse,1821.0,84.0,,
2022-11-22 10:44:17.529288,Mouse,1820.0,85.0,,
2022-11-22 10:44:17.549327,Mouse,1818.0,86.0,,
2022-11-22 10:44:17.559327,Mouse,1817.0,86.0,,
2022-11-22 10:44:17.580595,Mouse,1816.0,86.0,,
2022-11-22 10:44:17.599483,Mouse,1815.0,87.0,,
2022-11-22 10:44:17.610507,Mouse,1815.0,87.0,,
2022-11-22 10:44:17.649572,Mouse,1814.0,87.0,,
2022-11-22 10:44:17.660454,Mouse,1813.0,87.0,,
2022-11-22 10:44:17.679307,Mouse,1812.0,87.0,,
2022-11-22 10:44:17.689566,Mouse,1812.0,87.0,,
2022-11-22 10:44:17.700306,Mouse,1811.0,87.0,,
2022-11-22 10:44:17.710315,Mouse,1811.0,87.0,,
2022-11-22 10:44:17.729262,Mouse,1810.0,87.0,,
2022-11-22 10:44:17.740277,Mouse,1810.0,87.0,,
2022-11-22 10:44:17.750358,Mouse,1807.0,87.0,,
2022-11-22 10:44:17.769324,Mouse,1806.0,87.0,,
2022-11-22 10:44:17.780368,Mouse,1804.0,87.0,,
2022-11-22 10:44:17.800320,Mouse,1802.0,87.0,,
2022-11-22 10:44:17.819460,Mouse,1799.0,87.0,,
2022-11-22 10:44:17.830312,Mouse,1797.0,87.0,,
2022-11-22 10:44:17.849401,Mouse,1793.0,87.0,,
2022-11-22 10:44:17.859573,Mouse,1791.0,87.0,,
2022-11-22 10:44:17.870329,Mouse,1789.0,87.0,,
