Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-11-22 10:07:25.206636,,Eye Tracker,1776.0,1010.0,Valid,Valid,Fixation
2022-11-22 10:07:25.223291,,Eye Tracker,1773.0,1009.0,Valid,Valid,Fixation
2022-11-22 10:07:25.239946,,Eye Tracker,1776.0,1011.0,Valid,Valid,Fixation
2022-11-22 10:07:25.256600,,Eye Tracker,1777.0,1012.0,Valid,Valid,Fixation
2022-11-22 10:07:25.273255,,Eye Tracker,1774.0,1009.0,Valid,Valid,Fixation
2022-11-22 10:07:25.289910,,Eye Tracker,1770.0,1006.0,Valid,Valid,Fixation
2022-11-22 10:07:25.306565,,Eye Tracker,1768.0,1007.0,Valid,Valid,Fixation
2022-11-22 10:07:25.323220,,Eye Tracker,1771.0,1012.0,Valid,Valid,Fixation
2022-11-22 10:07:25.339875,,Eye Tracker,1769.0,1013.0,Valid,Valid,Fixation
2022-11-22 10:07:25.356530,,Eye Tracker,1762.0,1007.0,Valid,Valid,Fixation
2022-11-22 10:07:25.373184,,Eye Tracker,1763.0,1008.0,Valid,Valid,Fixation
2022-11-22 10:07:25.389839,,Eye Tracker,1766.0,1012.0,Valid,Valid,Fixation
2022-11-22 10:07:25.406494,,Eye Tracker,1762.0,1008.0,Valid,Valid,Fixation
2022-11-22 10:07:25.423148,,Eye Tracker,1763.0,1005.0,Valid,Valid,Fixation
2022-11-22 10:07:25.439803,,Eye Tracker,1765.0,1007.0,Valid,Valid,Fixation
2022-11-22 10:07:25.456458,,Eye Tracker,1765.0,1007.0,Valid,Valid,Fixation
2022-11-22 10:07:25.473112,,Eye Tracker,1760.0,1004.0,Valid,Valid,Fixation
2022-11-22 10:07:25.489767,,Eye Tracker,1760.0,1005.0,Valid,Valid,Fixation
2022-11-22 10:07:25.506422,,Eye Tracker,1767.0,1009.0,Valid,Valid,Fixation
2022-11-22 10:07:25.523076,,Eye Tracker,1761.0,1005.0,Valid,Valid,Fixation
2022-11-22 10:07:25.539731,,Eye Tracker,1757.0,1002.0,Valid,Valid,Fixation
2022-11-22 10:07:25.556386,,Eye Tracker,1759.0,1003.0,Valid,Valid,Fixation
2022-11-22 10:07:25.573042,,Eye Tracker,1759.0,1007.0,Valid,Valid,Fixation
2022-11-22 10:07:25.589696,,Eye Tracker,1758.0,1005.0,Valid,Valid,Fixation
2022-11-22 10:07:25.606351,,Eye Tracker,1756.0,1000.0,Valid,Valid,Fixation
2022-11-22 10:07:25.623006,,Eye Tracker,1757.0,1006.0,Valid,Valid,Fixation
2022-11-22 10:07:25.639660,,Eye Tracker,1749.0,1007.0,Valid,Valid,Fixation
2022-11-22 10:07:25.656315,,Eye Tracker,1751.0,1005.0,Valid,Valid,Fixation
2022-11-22 10:07:25.672970,,Eye Tracker,1751.0,1004.0,Valid,Valid,Fixation
2022-11-22 10:07:25.689624,,Eye Tracker,1746.0,1002.0,Valid,Valid,Fixation
2022-11-22 10:07:25.706279,,Eye Tracker,1751.0,1000.0,Valid,Valid,Fixation
2022-11-22 10:07:25.722934,,Eye Tracker,1747.0,1002.0,Valid,Valid,Fixation
2022-11-22 10:07:25.739588,,Eye Tracker,1742.0,1005.0,Valid,Valid,Fixation
2022-11-22 10:07:25.756243,,Eye Tracker,1743.0,1002.0,Valid,Valid,Fixation
2022-11-22 10:07:25.772898,,Eye Tracker,1740.0,998.0,Valid,Valid,Fixation
2022-11-22 10:07:25.789552,,Eye Tracker,1738.0,995.0,Valid,Valid,Fixation
2022-11-22 10:07:25.806208,,Eye Tracker,1738.0,992.0,Valid,Valid,Fixation
2022-11-22 10:07:25.822863,,Eye Tracker,1735.0,991.0,Valid,Valid,Fixation
2022-11-22 10:07:25.839518,,Eye Tracker,1735.0,991.0,Valid,Valid,Fixation
2022-11-22 10:07:25.856172,,Eye Tracker,1738.0,994.0,Valid,Valid,Fixation
2022-11-22 10:07:25.872827,,Eye Tracker,1744.0,999.0,Valid,Valid,Fixation
2022-11-22 10:07:25.889482,,Eye Tracker,1740.0,1003.0,Valid,Valid,Fixation
2022-11-22 10:07:25.906136,,Eye Tracker,1736.0,1005.0,Valid,Valid,Fixation
2022-11-22 10:07:25.922791,,Eye Tracker,1737.0,1003.0,Valid,Valid,Fixation
2022-11-22 10:07:25.939446,,Eye Tracker,1737.0,999.0,Valid,Valid,Fixation
2022-11-22 10:07:25.956100,,Eye Tracker,1733.0,993.0,Valid,Valid,Fixation
2022-11-22 10:07:25.972755,,Eye Tracker,1732.0,992.0,Valid,Valid,Fixation
2022-11-22 10:07:25.989410,,Eye Tracker,1730.0,996.0,Valid,Valid,Fixation
2022-11-22 10:07:26.006064,,Eye Tracker,1721.0,999.0,Valid,Valid,Fixation
