Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669079590.056,MouseEvent,,1102.0,535.0,,,Saccade
1669079590.072974,,Mouse,1101.0,537.0,,,Saccade
1669079590.089628,,Eye Tracker,1100.0,539.0,Valid,Valid,Fixation
1669079590.120151,,Eye Tracker,1099.0,540.0,Valid,Valid,Fixation
1669079590.136806,,Mouse,1100.0,538.5,,,Fixation
1669079590.204847,,Eye Tracker,1101.0,537.0,Valid,Valid,Fixation
1669079590.221502,,Mouse,1102.0,539.0,,,Fixation
1669079590.238156,,Eye Tracker,1103.0,541.0,Valid,Valid,Fixation
1669079590.254811,,Mouse,1103.0,539.5,,,Fixation
1669079590.271467,,Eye Tracker,1103.0,538.0,Valid,Valid,Fixation
1669079590.275516,,Mouse,1102.0,536.0,,,Fixation
1669079590.286212,,Eye Tracker,1101.0,534.0,Valid,Valid,Fixation
1669079590.288121,,Mouse,1101.0,535.3333333333334,,,Fixation
1669079590.299541,,Mouse,1101.0,536.6666666666666,,,Fixation
1669079590.304776,,Eye Tracker,1101.0,538.0,Valid,Valid,Fixation
1669079590.315485,,Mouse,1100.5,537.0,,,Fixation
1669079590.321431,,Eye Tracker,1100.0,536.0,Valid,Valid,Fixation
1669079590.331448,,Mouse,1100.0,535.5,,,Fixation
1669079590.338085,,Eye Tracker,1100.0,535.0,Valid,Valid,Fixation
1669079590.347444,,Mouse,1100.3333333333333,535.3333333333334,,,Fixation
1669079590.35474,,Mouse,1100.6666666666667,535.6666666666666,,,Fixation
1669079590.363457,,Eye Tracker,1101.0,536.0,Valid,Valid,Fixation
1669079590.371395,,Mouse,1099.5,536.5,,,Fixation
1669079590.379446,,Eye Tracker,1098.0,537.0,Valid,Valid,Fixation
1669079590.388049,,Mouse,1097.5,536.5,,,Fixation
1669079590.39544,,Eye Tracker,1097.0,536.0,Valid,Valid,Fixation
1669079590.404704,,Mouse,1096.0,537.0,,,Fixation
1669079590.411472,,Eye Tracker,1095.0,538.0,Valid,Valid,Fixation
1669079590.421359,,Mouse,1095.0,539.5,,,Fixation
1669079590.427473,,Eye Tracker,1095.0,541.0,Valid,Valid,Fixation
1669079590.438013,,Mouse,1097.0,540.0,,,Fixation
1669079590.443511,,Eye Tracker,1099.0,539.0,Valid,Valid,Fixation
1669079590.454669,,Mouse,1099.5,537.0,,,Fixation
1669079590.471324,,Eye Tracker,1100.0,535.0,Valid,Valid,Fixation
1669079590.487979,,Mouse,1095.5,535.0,,,Fixation
1669079590.504633,,Eye Tracker,1091.0,535.0,Valid,Valid,Fixation
1669079590.521288,,Mouse,1065.0,539.0,,,Saccade
1669079590.537943,,Eye Tracker,1039.0,543.0,Valid,Valid,Saccade
1669079590.554597,,Mouse,1018.0,546.0,,,Saccade
1669079590.571252,,Eye Tracker,997.0,549.0,Valid,Valid,Saccade
1669079590.587907,,Eye Tracker,993.0,542.0,Valid,Valid,Fixation
1669079590.604561,,Mouse,993.0,542.3333333333334,,,Fixation
1669079590.621217,,Mouse,993.0,542.6666666666666,,,Fixation
1669079590.637872,,Eye Tracker,993.0,543.0,Valid,Valid,Fixation
1669079590.654526,,Mouse,994.5,545.5,,,Fixation
1669079590.671181,,Eye Tracker,996.0,548.0,Valid,Valid,Fixation
1669079590.687836,,Mouse,993.5,548.5,,,Fixation
1669079590.70449,,Eye Tracker,991.0,549.0,Valid,Valid,Fixation
1669079590.721145,,Mouse,987.5,547.5,,,Fixation
1669079590.7378,,Eye Tracker,984.0,546.0,Valid,Valid,Fixation
1669079590.754455,,Mouse,987.5,544.5,,,Fixation
1669079590.771109,,Eye Tracker,991.0,543.0,Valid,Valid,Fixation
1669079590.787499,,Mouse,991.5,544.0,,,Fixation
1669079590.787764,,Eye Tracker,992.0,545.0,Valid,Valid,Fixation
1669079590.803475,,Mouse,990.0,545.0,,,Fixation
1669079590.80442,,Eye Tracker,988.0,545.0,Valid,Valid,Fixation
1669079590.819483,,Mouse,988.3333333333334,544.3333333333334,,,Fixation
1669079590.821074,,Mouse,988.6666666666666,543.6666666666666,,,Fixation
1669079590.835447,,Eye Tracker,989.0,543.0,Valid,Valid,Fixation
1669079590.837729,,Mouse,988.0,544.5,,,Fixation
1669079590.8514569,,Eye Tracker,987.0,546.0,Valid,Valid,Fixation
1669079590.854384,,Mouse,986.5,547.5,,,Fixation
1669079590.867447,,Eye Tracker,986.0,549.0,Valid,Valid,Fixation
1669079590.871038,,Mouse,984.5,549.5,,,Fixation
1669079590.883447,,Eye Tracker,983.0,550.0,Valid,Valid,Fixation
1669079590.887693,,Mouse,981.5,547.5,,,Fixation
1669079590.899474,,Eye Tracker,980.0,545.0,Valid,Valid,Fixation
1669079590.904348,,Mouse,980.5,543.5,,,Fixation
1669079590.915495,,Eye Tracker,981.0,542.0,Valid,Valid,Fixation
1669079590.921002,,Eye Tracker,982.0,544.0,Valid,Valid,Fixation
1669079590.931496,,Mouse,981.0,544.5,,,Fixation
1669079590.9376569,,Eye Tracker,980.0,545.0,Valid,Valid,Fixation
1669079590.947518,,Mouse,980.6666666666666,544.3333333333334,,,Fixation
1669079590.954312,,Mouse,981.3333333333334,543.6666666666666,,,Fixation
1669079590.963512,,Eye Tracker,982.0,543.0,Valid,Valid,Fixation
1669079590.970966,,Mouse,985.0,542.0,,,Fixation
1669079590.979472,,Eye Tracker,988.0,541.0,Valid,Valid,Fixation
1669079590.987622,,Mouse,986.5,540.0,,,Fixation
1669079590.995471,,Eye Tracker,985.0,539.0,Valid,Valid,Fixation
1669079591.004277,,Mouse,983.6666666666666,539.0,,,Fixation
1669079591.0114639,,Mouse,982.3333333333334,539.0,,,Fixation
1669079591.020932,,Eye Tracker,981.0,539.0,Valid,Valid,Fixation
1669079591.027479,,Eye Tracker,980.0,540.0,Valid,Valid,Fixation
1669079591.037586,,Mouse,979.6666666666666,538.0,,,Fixation
1669079591.043465,,Mouse,979.3333333333334,536.0,,,Fixation
1669079591.049923,,Eye Tracker,979.0,534.0,Valid,Valid,Fixation
1669079591.054241,,Mouse,978.0,532.0,,,Fixation
1669079591.059505,,Eye Tracker,977.0,530.0,Valid,Valid,Fixation
1669079591.070896,,Eye Tracker,966.0,528.0,Valid,Valid,Fixation
1669079591.075482,,Mouse,955.5,517.0,,,Fixation
1669079591.08755,,Eye Tracker,945.0,506.0,Valid,Valid,Saccade
1669079591.091524,,Mouse,939.5,498.0,,,Saccade
1669079591.104205,,Eye Tracker,934.0,490.0,Valid,Valid,Fixation
1669079591.107527,,Mouse,932.5,491.0,,,Fixation
1669079591.12086,,Eye Tracker,931.0,492.0,Valid,Valid,Fixation
1669079591.123517,,Mouse,931.6666666666666,491.3333333333333,,,Fixation
1669079591.1375139,,Mouse,932.3333333333334,490.6666666666667,,,Fixation
1669079591.139535,,Eye Tracker,933.0,490.0,Valid,Valid,Fixation
1669079591.154169,,Mouse,933.0,488.5,,,Fixation
1669079591.155448,,Eye Tracker,933.0,487.0,Valid,Valid,Fixation
1669079591.170825,,Mouse,932.5,486.5,,,Fixation
1669079591.171516,,Eye Tracker,932.0,486.0,Valid,Valid,Fixation
1669079591.187469,,Mouse,931.5,486.5,,,Fixation
1669079591.187479,,Eye Tracker,931.0,487.0,Valid,Valid,Fixation
1669079591.203544,,Mouse,930.6666666666666,487.0,,,Fixation
1669079591.204134,,Mouse,930.3333333333334,487.0,,,Fixation
1669079591.219526,,Eye Tracker,930.0,487.0,Valid,Valid,Fixation
1669079591.220789,,Eye Tracker,931.0,484.0,Valid,Valid,Fixation
1669079591.235509,,Mouse,932.0,484.0,,,Fixation
1669079591.237443,,Eye Tracker,933.0,484.0,Valid,Valid,Fixation
1669079591.251507,,Mouse,926.0,482.0,,,Fixation
1669079591.254098,,Eye Tracker,919.0,480.0,Valid,Valid,Fixation
1669079591.267522,,Mouse,863.0,427.0,,,Saccade
1669079591.270753,,Eye Tracker,807.0,374.0,Valid,Valid,Saccade
1669079591.283473,,Mouse,784.0,346.0,,,Saccade
1669079591.287408,,Eye Tracker,761.0,318.0,Valid,Valid,Saccade
1669079591.299522,,Mouse,745.3333333333334,291.6666666666667,,,Saccade
1669079591.304062,,Mouse,729.6666666666666,265.3333333333333,,,Saccade
1669079591.31551,,Eye Tracker,714.0,239.0,Valid,Valid,Saccade
1669079591.320717,,Eye Tracker,706.0,241.0,Valid,Valid,Fixation
1669079591.331487,,Mouse,705.6666666666666,240.33333333333334,,,Fixation
1669079591.337373,,Mouse,705.3333333333334,239.66666666666666,,,Fixation
1669079591.347509,,Eye Tracker,705.0,239.0,Valid,Valid,Fixation
1669079591.354027,,Mouse,706.5,239.0,,,Fixation
1669079591.363495,,Eye Tracker,708.0,239.0,Valid,Valid,Fixation
1669079591.370682,,Eye Tracker,704.0,240.0,Valid,Valid,Fixation
