Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669079696.639685,MouseEvent,,1204.3333333333333,584.6666666666666,,,Fixation,,,MouseEvent,"Down, Left"
1669079696.639685,,Mouse,1204.6666666666667,584.3333333333334,,,Fixation,1800.0,897.0,,
1669079696.651934,,Eye Tracker,1205.0,584.0,Valid,Valid,Fixation,,,,
1669079696.6685889,,Eye Tracker,1206.0,582.0,Valid,Valid,Fixation,,,,
1669079696.685243,,Eye Tracker,1210.0,582.0,Valid,Valid,Fixation,,,,
1669079696.7018979,,Eye Tracker,1212.0,581.0,Valid,Valid,Fixation,,,,
1669079696.7185528,,Eye Tracker,1206.0,584.0,Valid,Valid,Fixation,,,,
1669079696.735208,,Eye Tracker,1207.0,591.0,Valid,Valid,Fixation,,,,
1669079696.7518618,,Eye Tracker,1206.0,589.0,Valid,Valid,Fixation,,,,
1669079696.768517,,Eye Tracker,1200.0,584.0,Valid,Valid,Fixation,,,,
1669079696.785172,,Eye Tracker,1206.0,593.0,Valid,Valid,Fixation,,,,
1669079696.8015618,,Mouse,1241.0,630.0,,,Saccade,1799.0,897.0,,
1669079696.801826,,Eye Tracker,1276.0,667.0,Valid,Valid,Saccade,,,,
1669079696.818482,,Eye Tracker,1330.0,734.0,Valid,Valid,Saccade,,,,
1669079696.821457,,Mouse,1366.0,772.3333333333334,,,Saccade,1793.0,894.0,,
1669079696.831497,,Mouse,1402.0,810.6666666666666,,,Saccade,1787.0,893.0,,
1669079696.835137,,Eye Tracker,1438.0,849.0,Valid,Valid,Saccade,,,,
1669079696.8504798,,Mouse,1436.0,844.0,,,Fixation,1772.0,889.0,,
1669079696.851791,,Eye Tracker,1434.0,839.0,Valid,Valid,Fixation,,,,
1669079696.8614888,,Mouse,1435.5,837.0,,,Fixation,1765.0,889.0,,
1669079696.8684459,,Eye Tracker,1437.0,835.0,Valid,Valid,Fixation,,,,
1669079696.871489,,Mouse,1438.0,836.5,,,Fixation,1758.0,889.0,,
1669079696.8851008,,Eye Tracker,1439.0,838.0,Valid,Valid,Fixation,,,,
1669079696.8904989,,Mouse,1438.6666666666667,837.6666666666666,,,Fixation,1744.0,885.0,,
1669079696.901507,,Mouse,1438.3333333333333,837.3333333333334,,,Fixation,1739.0,884.0,,
1669079696.9017549,,Eye Tracker,1438.0,837.0,Valid,Valid,Fixation,,,,
1669079696.9184098,,Eye Tracker,1438.0,839.0,Valid,Valid,Fixation,,,,
1669079696.921542,,Mouse,1436.5,838.5,,,Fixation,1728.0,880.0,,
1669079696.935065,,Eye Tracker,1435.0,838.0,Valid,Valid,Fixation,,,,
1669079696.942476,,Mouse,1435.5,837.0,,,Fixation,1722.0,878.0,,
1669079696.951719,,Eye Tracker,1436.0,836.0,Valid,Valid,Fixation,,,,
1669079696.952483,,Mouse,1437.5,834.5,,,Fixation,1720.0,878.0,,
1669079696.968374,,Eye Tracker,1439.0,833.0,Valid,Valid,Fixation,,,,
1669079696.9724588,,Mouse,1438.0,833.3333333333334,,,Fixation,1714.0,877.0,,
1669079696.982544,,Mouse,1437.0,833.6666666666666,,,Fixation,1712.0,877.0,,
1669079696.98503,,Eye Tracker,1436.0,834.0,Valid,Valid,Fixation,,,,
1669079697.001685,,Eye Tracker,1437.0,831.0,Valid,Valid,Fixation,,,,
1669079697.002526,,Mouse,1438.6666666666667,831.0,,,Fixation,1701.0,875.0,,
1669079697.012554,,Mouse,1440.3333333333333,831.0,,,Fixation,1694.0,874.0,,
1669079697.018339,,Eye Tracker,1442.0,831.0,Valid,Valid,Fixation,,,,
1669079697.032516,,Mouse,1440.5,832.5,,,Fixation,1677.0,872.0,,
1669079697.034994,,Eye Tracker,1439.0,834.0,Valid,Valid,Fixation,,,,
1669079697.0516489,,Eye Tracker,1411.0,800.0,Valid,Valid,Saccade,,,,
1669079697.0525079,,Mouse,1306.5,733.0,,,Saccade,1657.0,868.0,,
1669079697.0683029,,Eye Tracker,1202.0,666.0,Valid,Valid,Saccade,,,,
