Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
1669079771.667126,,,,MouseEvent,"Down, Left"
1669079771.667126,Mouse,1399.0,390.0,,
1669079771.74695,Mouse,1399.0,390.0,,
1669079771.766965,Mouse,1399.0,396.0,,
1669079771.777056,Mouse,1400.0,401.0,,
1669079771.796961,Mouse,1402.0,411.0,,
1669079771.81698,Mouse,1405.0,419.0,,
1669079771.836999,Mouse,1407.0,427.0,,
1669079771.857093,Mouse,1408.0,434.0,,
1669079771.876928,Mouse,1410.0,441.0,,
1669079771.896924,Mouse,1410.0,449.0,,
1669079771.906931,Mouse,1410.0,453.0,,
1669079771.917366,Mouse,1410.0,458.0,,
1669079771.937993,Mouse,1410.0,471.0,,
1669079771.958003,Mouse,1410.0,484.0,,
1669079771.976962,Mouse,1410.0,498.0,,
1669079771.988259,Mouse,1410.0,503.0,,
1669079772.007972,Mouse,1410.0,519.0,,
1669079772.028221,Mouse,1410.0,531.0,,
1669079772.048245,Mouse,1407.0,544.0,,
1669079772.06799,Mouse,1402.0,556.0,,
1669079772.088238,Mouse,1402.0,566.0,,
1669079772.108931,Mouse,1399.0,574.0,,
1669079772.119044,Mouse,1398.0,578.0,,
1669079772.138933,Mouse,1395.0,585.0,,
1669079772.148955,Mouse,1393.0,590.0,,
1669079772.159082,Mouse,1390.0,594.0,,
1669079772.179012,Mouse,1387.0,603.0,,
1669079772.19893,Mouse,1384.0,611.0,,
1669079772.208951,Mouse,1383.0,613.0,,
1669079772.21902,Mouse,1383.0,615.0,,
1669079772.238933,Mouse,1378.0,623.0,,
1669079772.249171,Mouse,1375.0,626.0,,
1669079772.259272,Mouse,1371.0,630.0,,
1669079772.278978,Mouse,1364.0,641.0,,
1669079772.289238,Mouse,1360.0,646.0,,
1669079772.309166,Mouse,1352.0,655.0,,
1669079772.32898,Mouse,1343.0,664.0,,
1669079772.349104,Mouse,1334.0,674.0,,
1669079772.368932,Mouse,1325.0,681.0,,
1669079772.37894,Mouse,1321.0,684.0,,
1669079772.389112,Mouse,1316.0,688.0,,
1669079772.408946,Mouse,1310.0,692.0,,
1669079772.419228,Mouse,1304.0,696.0,,
1669079772.43896,Mouse,1295.0,703.0,,
1669079772.449956,Mouse,1289.0,707.0,,
1669079772.459997,Mouse,1284.0,709.0,,
1669079772.479954,Mouse,1276.0,715.0,,
1669079772.499958,Mouse,1267.0,719.0,,
1669079772.510234,Mouse,1264.0,722.0,,
1669079772.528864,Mouse,1256.0,726.0,,
1669079772.539967,Mouse,1254.0,727.0,,
1669079772.550041,Mouse,1250.0,730.0,,
1669079772.568943,Mouse,1242.0,733.0,,
1669079772.580024,Mouse,1237.0,736.0,,
1669079772.599984,Mouse,1225.0,741.0,,
1669079772.621218,Mouse,1215.0,745.0,,
1669079772.640988,Mouse,1206.0,746.0,,
1669079772.651239,Mouse,1201.0,748.0,,
1669079772.670895,Mouse,1196.0,750.0,,
1669079772.680968,Mouse,1193.0,752.0,,
1669079772.690997,Mouse,1189.0,753.0,,
1669079772.711233,Mouse,1181.0,756.0,,
1669079772.730977,Mouse,1168.0,760.0,,
1669079772.751012,Mouse,1159.0,762.0,,
1669079772.770973,Mouse,1152.0,763.0,,
1669079772.800961,Mouse,1145.0,768.0,,
1669079772.810982,Mouse,1141.0,768.0,,
1669079772.82101,Mouse,1140.0,769.0,,
1669079772.841069,Mouse,1135.0,772.0,,
1669079772.851223,Mouse,1132.0,772.0,,
1669079772.870037,Mouse,1128.0,774.0,,
1669079772.881222,Mouse,1124.0,775.0,,
1669079772.900953,Mouse,1117.0,777.0,,
1669079772.921007,Mouse,1114.0,779.0,,
1669079772.940996,Mouse,1111.0,780.0,,
1669079772.951212,Mouse,1108.0,781.0,,
1669079772.96198,Mouse,1106.0,782.0,,
1669079772.972226,Mouse,1104.0,783.0,,
1669079772.991995,Mouse,1100.0,784.0,,
1669079773.01194,Mouse,1096.0,785.0,,
1669079773.021998,Mouse,1092.0,785.0,,
1669079773.041069,Mouse,1088.0,786.0,,
1669079773.051983,Mouse,1085.0,786.0,,
1669079773.071989,Mouse,1079.0,786.0,,
1669079773.092001,Mouse,1070.0,788.0,,
1669079773.111997,Mouse,1061.0,788.0,,
1669079773.132979,Mouse,1050.0,788.0,,
1669079773.152999,Mouse,1039.0,790.0,,
1669079773.172232,Mouse,1028.0,791.0,,
1669079773.183173,Mouse,1022.0,792.0,,
1669079773.203019,Mouse,1013.0,792.0,,
1669079773.222941,Mouse,1004.0,794.0,,
1669079773.232987,Mouse,1000.0,794.0,,
1669079773.24301,Mouse,997.0,794.0,,
1669079773.262931,Mouse,989.0,794.0,,
1669079773.27312,Mouse,986.0,794.0,,
