Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1669084803.579216,,Eye Tracker,1760.0,920.0,Valid,Valid,Fixation
1669084803.595871,,Eye Tracker,1758.0,923.0,Valid,Valid,Fixation
1669084803.612527,,Eye Tracker,1763.0,921.0,Valid,Valid,Fixation
1669084803.629181,,Eye Tracker,1764.0,917.0,Valid,Valid,Fixation
1669084803.645836,,Eye Tracker,1765.0,914.0,Valid,Valid,Fixation
1669084803.662491,,Eye Tracker,1763.0,911.0,Valid,Valid,Fixation
1669084803.679145,,Eye Tracker,1764.0,915.0,Valid,Valid,Fixation
1669084803.6958,,Eye Tracker,1763.0,915.0,Valid,Valid,Fixation
1669084803.712455,,Eye Tracker,1763.0,911.0,Valid,Valid,Fixation
1669084803.72911,,Eye Tracker,1765.0,909.0,Valid,Valid,Fixation
1669084803.745765,,Eye Tracker,1764.0,909.0,Valid,Valid,Fixation
1669084803.76242,,Eye Tracker,1764.0,910.0,Valid,Valid,Fixation
1669084803.779074,,Eye Tracker,1756.0,912.0,Valid,Valid,Fixation
1669084803.795729,,Eye Tracker,1753.0,912.0,Valid,Valid,Fixation
1669084803.812384,,Eye Tracker,1754.0,906.0,Valid,Valid,Fixation
1669084803.829038,,Eye Tracker,1753.0,907.0,Valid,Valid,Fixation
1669084803.845693,,Eye Tracker,1760.0,906.0,Valid,Valid,Fixation
1669084803.862349,,Eye Tracker,1760.0,903.0,Valid,Valid,Fixation
1669084803.879004,,Eye Tracker,1755.0,898.0,Valid,Valid,Fixation
1669084803.895658,,Eye Tracker,1755.0,903.0,Valid,Valid,Fixation
1669084803.912313,,Eye Tracker,1754.0,905.0,Valid,Valid,Fixation
1669084803.928968,,Eye Tracker,1752.0,902.0,Valid,Valid,Fixation
1669084803.945622,,Eye Tracker,1747.0,897.0,Valid,Valid,Fixation
1669084803.962277,,Eye Tracker,1747.0,894.0,Valid,Valid,Fixation
1669084803.978932,,Eye Tracker,1740.0,900.0,Valid,Valid,Fixation
1669084803.995587,,Eye Tracker,1737.0,900.0,Valid,Valid,Fixation
1669084804.012242,,Eye Tracker,1731.0,899.0,Valid,Valid,Fixation
1669084804.028897,,Eye Tracker,1704.0,870.0,Valid,Valid,Saccade
1669084804.045551,,Eye Tracker,1624.0,785.0,Valid,Valid,Saccade
1669084804.062206,,Eye Tracker,1615.0,778.0,Valid,Valid,Fixation
1669084804.078861,,Eye Tracker,1612.0,771.0,Valid,Valid,Fixation
1669084804.095515,,Eye Tracker,1608.0,768.0,Valid,Valid,Fixation
1669084804.11217,,Eye Tracker,1604.0,771.0,Valid,Valid,Fixation
1669084804.128826,,Eye Tracker,1605.0,772.0,Valid,Valid,Fixation
1669084804.145481,,Eye Tracker,1607.0,771.0,Valid,Valid,Fixation
1669084804.162135,,Eye Tracker,1602.0,767.0,Valid,Valid,Fixation
1669084804.17879,,Eye Tracker,1603.0,767.0,Valid,Valid,Fixation
1669084804.195445,,Eye Tracker,1607.0,765.0,Valid,Valid,Fixation
1669084804.212099,,Eye Tracker,1590.0,769.0,Valid,Valid,Fixation
1669084804.228754,,Eye Tracker,1585.0,768.0,Valid,Valid,Fixation
1669084804.245409,,Eye Tracker,1593.0,764.0,Valid,Valid,Fixation
1669084804.262064,,Eye Tracker,1595.0,765.0,Valid,Valid,Fixation
1669084804.278719,,Eye Tracker,1600.0,765.0,Valid,Valid,Fixation
1669084804.295374,,Eye Tracker,1600.0,767.0,Valid,Valid,Fixation
1669084804.312028,,Eye Tracker,1602.0,767.0,Valid,Valid,Fixation
1669084804.328683,,Eye Tracker,1595.0,764.0,Valid,Valid,Fixation
1669084804.345338,,Eye Tracker,1483.0,737.0,Valid,Valid,Saccade
1669084804.361992,,Eye Tracker,1358.0,688.0,Valid,Valid,Saccade
1669084804.378647,,Eye Tracker,1198.0,608.0,Valid,Valid,Saccade
1669084804.395303,,Eye Tracker,1180.0,605.0,Valid,Valid,Fixation
1669084804.411958,,Eye Tracker,1181.0,602.0,Valid,Valid,Fixation
