Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type,Mouse position X,Mouse position Y,Event,Event value
1669084914.174613,MouseEvent,,1766.3333333333333,929.6666666666666,,,Fixation,,,MouseEvent,"Down, Left"
1669084914.174613,,Mouse,1767.6666666666667,930.3333333333334,,,Fixation,1790.0,890.0,,
1669084914.186671,,Eye Tracker,1769.0,931.0,Valid,Valid,Fixation,,,,
1669084914.203326,,Eye Tracker,1763.0,929.0,Valid,Valid,Fixation,,,,
1669084914.219981,,Eye Tracker,1758.0,925.0,Valid,Valid,Fixation,,,,
1669084914.236636,,Eye Tracker,1760.0,923.0,Valid,Valid,Fixation,,,,
1669084914.24455,,Mouse,1761.0,925.0,,,Fixation,1790.0,890.0,,
1669084914.25329,,Eye Tracker,1762.0,927.0,Valid,Valid,Fixation,,,,
1669084914.269945,,Eye Tracker,1771.0,922.0,Valid,Valid,Fixation,,,,
1669084914.274868,,Mouse,1765.0,917.5,,,Fixation,1789.0,890.0,,
1669084914.286601,,Eye Tracker,1759.0,913.0,Valid,Valid,Fixation,,,,
1669084914.303255,,Eye Tracker,1758.0,918.0,Valid,Valid,Fixation,,,,
1669084914.313692,,Mouse,1759.5,920.0,,,Fixation,1788.0,889.0,,
1669084914.31991,,Eye Tracker,1761.0,922.0,Valid,Valid,Fixation,,,,
1669084914.324548,,Mouse,1758.5,922.0,,,Fixation,1787.0,889.0,,
1669084914.336565,,Eye Tracker,1756.0,922.0,Valid,Valid,Fixation,,,,
1669084914.344647,,Mouse,1757.5,923.0,,,Fixation,1786.0,888.0,,
1669084914.353219,,Eye Tracker,1759.0,924.0,Valid,Valid,Fixation,,,,
1669084914.365503,,Mouse,1760.0,926.0,,,Fixation,1785.0,888.0,,
1669084914.369874,,Eye Tracker,1761.0,928.0,Valid,Valid,Fixation,,,,
1669084914.385515,,Mouse,1754.5,927.5,,,Fixation,1785.0,888.0,,
1669084914.386529,,Eye Tracker,1748.0,927.0,Valid,Valid,Fixation,,,,
1669084914.403183,,Eye Tracker,1746.0,922.0,Valid,Valid,Fixation,,,,
1669084914.405503,,Mouse,1750.0,920.5,,,Fixation,1784.0,888.0,,
1669084914.419839,,Eye Tracker,1754.0,919.0,Valid,Valid,Fixation,,,,
1669084914.425536,,Mouse,1755.3333333333333,919.0,,,Fixation,1783.0,887.0,,
1669084914.435835,,Mouse,1756.6666666666667,919.0,,,Fixation,1782.0,887.0,,
1669084914.4364939,,Eye Tracker,1758.0,919.0,Valid,Valid,Fixation,,,,
