Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
2022-12-17 11:25:02.248680,,Eye Tracker,67.0,108.0,Valid,Valid,Fixation
2022-12-17 11:25:02.265335,,Eye Tracker,61.0,108.0,Valid,Valid,Fixation
2022-12-17 11:25:02.281990,,Eye Tracker,60.0,107.0,Valid,Valid,Fixation
2022-12-17 11:25:02.298645,,Eye Tracker,54.0,104.0,Valid,Valid,Fixation
2022-12-17 11:25:02.315300,,Eye Tracker,34.0,95.0,Valid,Valid,Fixation
2022-12-17 11:25:02.331955,,Eye Tracker,29.0,91.0,Valid,Valid,Fixation
2022-12-17 11:25:02.348609,,Eye Tracker,27.0,93.0,Valid,Valid,Fixation
2022-12-17 11:25:02.365264,,Eye Tracker,31.0,98.0,Valid,Valid,Fixation
2022-12-17 11:25:02.381919,,Eye Tracker,33.0,95.0,Valid,Valid,Fixation
2022-12-17 11:25:02.398573,,Eye Tracker,28.0,97.0,Valid,Valid,Fixation
2022-12-17 11:25:02.415228,,Eye Tracker,30.0,99.0,Valid,Valid,Fixation
2022-12-17 11:25:02.431883,,Eye Tracker,29.0,96.0,Valid,Valid,Fixation
2022-12-17 11:25:02.448538,,Eye Tracker,30.0,94.0,Valid,Valid,Fixation
2022-12-17 11:25:02.465192,,Eye Tracker,28.0,98.0,Valid,Valid,Fixation
2022-12-17 11:25:02.481847,,Eye Tracker,30.0,96.0,Valid,Valid,Fixation
2022-12-17 11:25:02.498502,,Eye Tracker,30.0,92.0,Valid,Valid,Fixation
2022-12-17 11:25:02.515156,,Eye Tracker,31.0,92.0,Valid,Valid,Fixation
2022-12-17 11:25:02.531811,,Eye Tracker,29.0,88.0,Valid,Valid,Fixation
2022-12-17 11:25:02.548467,,Eye Tracker,26.0,89.0,Valid,Valid,Fixation
2022-12-17 11:25:02.565121,,Eye Tracker,24.0,90.0,Valid,Valid,Fixation
2022-12-17 11:25:02.581776,,Eye Tracker,9.0,112.0,Valid,Valid,Saccade
2022-12-17 11:25:02.598431,,Eye Tracker,10.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.615085,,Eye Tracker,28.0,123.0,Valid,Valid,Fixation
2022-12-17 11:25:02.631740,,Eye Tracker,32.0,129.0,Valid,Valid,Fixation
2022-12-17 11:25:02.648395,,Eye Tracker,33.0,132.0,Valid,Valid,Fixation
2022-12-17 11:25:02.665049,,Eye Tracker,35.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.681705,,Eye Tracker,34.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.698360,,Eye Tracker,29.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.715014,,Eye Tracker,25.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.731669,,Eye Tracker,27.0,126.0,Valid,Valid,Fixation
2022-12-17 11:25:02.748324,,Eye Tracker,31.0,129.0,Valid,Valid,Fixation
2022-12-17 11:25:02.764979,,Eye Tracker,34.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.781633,,Eye Tracker,32.0,126.0,Valid,Valid,Fixation
2022-12-17 11:25:02.798288,,Eye Tracker,27.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.814943,,Eye Tracker,27.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.831597,,Eye Tracker,31.0,123.0,Valid,Valid,Fixation
2022-12-17 11:25:02.848252,,Eye Tracker,34.0,126.0,Valid,Valid,Fixation
2022-12-17 11:25:02.864907,,Eye Tracker,33.0,129.0,Valid,Valid,Fixation
2022-12-17 11:25:02.881561,,Eye Tracker,31.0,130.0,Valid,Valid,Fixation
2022-12-17 11:25:02.898216,,Eye Tracker,33.0,130.0,Valid,Valid,Fixation
2022-12-17 11:25:02.914872,,Eye Tracker,36.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:02.931526,,Eye Tracker,37.0,129.0,Valid,Valid,Fixation
2022-12-17 11:25:02.948181,,Eye Tracker,35.0,128.0,Valid,Valid,Fixation
2022-12-17 11:25:02.964836,,Eye Tracker,34.0,130.0,Valid,Valid,Fixation
2022-12-17 11:25:02.981491,,Eye Tracker,31.0,135.0,Valid,Valid,Fixation
2022-12-17 11:25:02.998145,,Eye Tracker,37.0,129.0,Valid,Valid,Fixation
2022-12-17 11:25:03.014801,,Eye Tracker,36.0,122.0,Valid,Valid,Fixation
2022-12-17 11:25:03.031456,,Eye Tracker,34.0,124.0,Valid,Valid,Fixation
2022-12-17 11:25:03.048110,,Eye Tracker,37.0,122.0,Valid,Valid,Fixation
2022-12-17 11:25:03.064765,,Eye Tracker,36.0,123.0,Valid,Valid,Fixation
2022-12-17 11:25:03.081420,,Eye Tracker,33.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:03.098074,,Eye Tracker,37.0,132.0,Valid,Valid,Fixation
2022-12-17 11:25:03.114729,,Eye Tracker,34.0,133.0,Valid,Valid,Fixation
2022-12-17 11:25:03.131384,,Eye Tracker,30.0,133.0,Valid,Valid,Fixation
2022-12-17 11:25:03.148038,,Eye Tracker,33.0,135.0,Valid,Valid,Fixation
2022-12-17 11:25:03.164693,,Eye Tracker,28.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:03.181348,,Eye Tracker,26.0,124.0,Valid,Valid,Fixation
2022-12-17 11:25:03.198002,,Eye Tracker,38.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:03.214657,,Eye Tracker,39.0,127.0,Valid,Valid,Fixation
2022-12-17 11:25:03.231312,,Eye Tracker,30.0,123.0,Valid,Valid,Fixation
2022-12-17 11:25:03.247967,,Eye Tracker,27.0,120.0,Valid,Valid,Fixation
2022-12-17 11:25:03.264622,,Eye Tracker,30.0,118.0,Valid,Valid,Fixation
2022-12-17 11:25:03.281277,,Eye Tracker,32.0,115.0,Valid,Valid,Fixation
2022-12-17 11:25:03.297932,,Eye Tracker,35.0,119.0,Valid,Valid,Fixation
2022-12-17 11:25:03.314586,,Eye Tracker,32.0,118.0,Valid,Valid,Fixation
2022-12-17 11:25:03.331241,,Eye Tracker,23.0,120.0,Valid,Valid,Fixation
2022-12-17 11:25:03.347896,,Eye Tracker,25.0,124.0,Valid,Valid,Fixation
2022-12-17 11:25:03.364550,,Eye Tracker,30.0,119.0,Valid,Valid,Fixation
2022-12-17 11:25:03.381205,,Eye Tracker,31.0,118.0,Valid,Valid,Fixation
