Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671239423.04692,,Eye Tracker,1443.0,93.0,Valid,Valid,Fixation
1671239423.063575,,Eye Tracker,1428.0,74.0,Valid,Valid,Fixation
1671239423.08023,,Eye Tracker,1432.0,92.0,Valid,Valid,Fixation
1671239423.096884,,Eye Tracker,1389.0,126.0,Valid,Valid,Saccade
1671239423.113539,,Eye Tracker,1102.0,226.0,Valid,Valid,Saccade
1671239423.130194,,Eye Tracker,1050.0,241.0,Valid,Valid,Saccade
1671239423.146849,,Eye Tracker,1043.0,239.0,Valid,Valid,Unclassified
1671239423.163503,,Eye Tracker,1036.0,240.0,Valid,Valid,Unclassified
1671239423.180158,,Eye Tracker,1050.0,251.0,Valid,Invalid,Unclassified
1671239423.196813,,Eye Tracker,1008.0,232.0,Valid,Invalid,Saccade
1671239423.213468,,Eye Tracker,995.0,229.0,Valid,Invalid,Unclassified
1671239423.230123,,Eye Tracker,995.0,229.0,Valid,Invalid,Unclassified
1671239423.246778,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671239423.263432,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671239423.280087,,Eye Tracker,,,Invalid,Invalid,EyesNotFound
1671239423.296742,,Eye Tracker,1078.0,283.0,Valid,Invalid,Fixation
1671239423.313396,,Eye Tracker,1043.0,274.0,Valid,Invalid,Fixation
1671239423.330051,,Eye Tracker,1049.0,269.0,Valid,Valid,Fixation
1671239423.346706,,Eye Tracker,1043.0,261.0,Valid,Valid,Fixation
1671239423.36336,,Eye Tracker,1039.0,270.0,Valid,Valid,Fixation
1671239423.380015,,Eye Tracker,1041.0,278.0,Valid,Valid,Fixation
1671239423.39667,,Eye Tracker,1043.0,286.0,Valid,Valid,Fixation
1671239423.413325,,Eye Tracker,1040.0,296.0,Valid,Valid,Fixation
1671239423.429979,,Eye Tracker,1039.0,300.0,Valid,Valid,Fixation
1671239423.446634,,Eye Tracker,1047.0,300.0,Valid,Valid,Fixation
1671239423.463289,,Eye Tracker,1044.0,305.0,Valid,Valid,Fixation
1671239423.479943,,Eye Tracker,1041.0,319.0,Valid,Valid,Fixation
1671239423.496598,,Eye Tracker,1041.0,319.0,Valid,Valid,Fixation
1671239423.513254,,Eye Tracker,1034.0,323.0,Valid,Valid,Fixation
1671239423.529908,,Eye Tracker,991.0,347.0,Valid,Valid,Saccade
1671239423.546563,,Eye Tracker,978.0,365.0,Valid,Valid,Unclassified
1671239423.563218,,Eye Tracker,571.0,531.0,Valid,Valid,Saccade
1671239423.579872,,Eye Tracker,552.0,520.0,Valid,Valid,Fixation
1671239423.596527,,Eye Tracker,546.0,515.0,Valid,Valid,Fixation
1671239423.613182,,Eye Tracker,550.0,522.0,Valid,Valid,Fixation
1671239423.629836,,Eye Tracker,550.0,530.0,Valid,Valid,Fixation
1671239423.646491,,Eye Tracker,554.0,537.0,Valid,Valid,Fixation
1671239423.663146,,Eye Tracker,551.0,535.0,Valid,Valid,Fixation
1671239423.679801,,Eye Tracker,552.0,534.0,Valid,Valid,Fixation
1671239423.696455,,Eye Tracker,551.0,526.0,Valid,Valid,Fixation
1671239423.71311,,Eye Tracker,553.0,523.0,Valid,Valid,Fixation
1671239423.729765,,Eye Tracker,554.0,534.0,Valid,Valid,Fixation
1671239423.746419,,Eye Tracker,556.0,538.0,Valid,Valid,Fixation
1671239423.763074,,Eye Tracker,557.0,538.0,Valid,Valid,Fixation
1671239423.779729,,Eye Tracker,555.0,532.0,Valid,Valid,Fixation
1671239423.796383,,Eye Tracker,554.0,535.0,Valid,Valid,Fixation
1671239423.813039,,Eye Tracker,551.0,546.0,Valid,Valid,Fixation
1671239423.829694,,Eye Tracker,549.0,545.0,Valid,Valid,Fixation
1671239423.846348,,Eye Tracker,548.0,541.0,Valid,Valid,Fixation
1671239423.863003,,Eye Tracker,552.0,543.0,Valid,Valid,Fixation
1671239423.879658,,Eye Tracker,552.0,549.0,Valid,Valid,Fixation
1671239423.896312,,Eye Tracker,545.0,553.0,Valid,Valid,Fixation
1671239423.912967,,Eye Tracker,554.0,545.0,Valid,Valid,Fixation
1671239423.929622,,Eye Tracker,556.0,539.0,Valid,Valid,Fixation
1671239423.946277,,Eye Tracker,554.0,544.0,Valid,Valid,Fixation
1671239423.962931,,Eye Tracker,557.0,549.0,Valid,Valid,Fixation
1671239423.979586,,Eye Tracker,552.0,550.0,Valid,Valid,Fixation
1671239423.996241,,Eye Tracker,547.0,553.0,Valid,Valid,Fixation
1671239424.012895,,Eye Tracker,546.0,550.0,Valid,Valid,Fixation
1671239424.02955,,Eye Tracker,549.0,550.0,Valid,Valid,Fixation
1671239424.046205,,Eye Tracker,545.0,557.0,Valid,Valid,Fixation
1671239424.062859,,Eye Tracker,541.0,559.0,Valid,Valid,Fixation
1671239424.079514,,Eye Tracker,545.0,560.0,Valid,Valid,Fixation
1671239424.096169,,Eye Tracker,547.0,563.0,Valid,Valid,Fixation
1671239424.112824,,Eye Tracker,551.0,565.0,Valid,Valid,Fixation
1671239424.129479,,Eye Tracker,549.0,565.0,Valid,Valid,Fixation
1671239424.146134,,Eye Tracker,550.0,566.0,Valid,Valid,Fixation
1671239424.162788,,Eye Tracker,549.0,571.0,Valid,Valid,Fixation
1671239424.179443,,Eye Tracker,550.0,574.0,Valid,Valid,Fixation
1671239424.196098,,Eye Tracker,548.0,576.0,Valid,Valid,Fixation
1671239424.212753,,Eye Tracker,495.0,596.0,Valid,Valid,Saccade
1671239424.229407,,Eye Tracker,355.0,678.0,Valid,Valid,Saccade
