Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671241489.372092,,Eye Tracker,1492.0,159.0,Valid,Valid,Fixation
1671241489.388746,,Eye Tracker,1495.0,154.0,Valid,Valid,Fixation
1671241489.405401,,Eye Tracker,1490.0,156.0,Valid,Valid,Fixation
1671241489.422056,,Eye Tracker,1489.0,163.0,Valid,Valid,Fixation
1671241489.43871,,Eye Tracker,1483.0,170.0,Valid,Valid,Fixation
1671241489.455365,,Eye Tracker,1480.0,164.0,Valid,Valid,Fixation
1671241489.47202,,Eye Tracker,1487.0,164.0,Valid,Valid,Fixation
1671241489.488675,,Eye Tracker,1482.0,165.0,Valid,Valid,Fixation
1671241489.50533,,Eye Tracker,1477.0,166.0,Valid,Valid,Fixation
1671241489.521985,,Eye Tracker,1425.0,190.0,Valid,Valid,Saccade
1671241489.538638,,Eye Tracker,1290.0,241.0,Valid,Invalid,Saccade
1671241489.555293,,Eye Tracker,685.0,479.0,Valid,Valid,Saccade
1671241489.571948,,Eye Tracker,654.0,490.0,Valid,Valid,Saccade
1671241489.588602,,Eye Tracker,612.0,500.0,Valid,Valid,Saccade
1671241489.605257,,Eye Tracker,608.0,496.0,Valid,Valid,Fixation
1671241489.621912,,Eye Tracker,606.0,486.0,Valid,Valid,Fixation
1671241489.638567,,Eye Tracker,603.0,485.0,Valid,Valid,Fixation
1671241489.655221,,Eye Tracker,615.0,476.0,Invalid,Valid,Fixation
1671241489.671876,,Eye Tracker,616.0,479.0,Invalid,Valid,Fixation
1671241489.688531,,Eye Tracker,619.0,476.0,Invalid,Valid,Fixation
1671241489.705185,,Eye Tracker,607.0,486.0,Valid,Valid,Fixation
1671241489.72184,,Eye Tracker,599.0,498.0,Valid,Valid,Fixation
1671241489.738495,,Eye Tracker,597.0,503.0,Valid,Valid,Fixation
1671241489.755149,,Eye Tracker,578.0,507.0,Valid,Invalid,Fixation
1671241489.771805,,Eye Tracker,601.0,494.0,Valid,Valid,Fixation
1671241489.78846,,Eye Tracker,543.0,478.0,Valid,Valid,Saccade
1671241489.805114,,Eye Tracker,483.0,457.0,Valid,Valid,Saccade
1671241489.821769,,Eye Tracker,171.0,202.0,Valid,Valid,Saccade
1671241489.838424,,Eye Tracker,180.0,202.0,Valid,Valid,Fixation
1671241489.855078,,Eye Tracker,185.0,203.0,Valid,Valid,Fixation
1671241489.871733,,Eye Tracker,184.0,205.0,Valid,Valid,Fixation
1671241489.888388,,Eye Tracker,183.0,204.0,Valid,Valid,Fixation
1671241489.905043,,Eye Tracker,184.0,197.0,Valid,Valid,Fixation
1671241489.921697,,Eye Tracker,183.0,200.0,Valid,Valid,Fixation
1671241489.938352,,Eye Tracker,187.0,203.0,Valid,Valid,Fixation
1671241489.955007,,Eye Tracker,183.0,200.0,Valid,Valid,Fixation
1671241489.971661,,Eye Tracker,177.0,199.0,Valid,Valid,Fixation
1671241489.988316,,Eye Tracker,234.0,252.0,Valid,Valid,Saccade
1671241490.004971,,Eye Tracker,278.0,303.0,Valid,Valid,Saccade
1671241490.021625,,Eye Tracker,765.0,803.0,Valid,Valid,Saccade
1671241490.03828,,Eye Tracker,781.0,810.0,Valid,Valid,Fixation
1671241490.054935,,Eye Tracker,787.0,800.0,Valid,Valid,Fixation
1671241490.07159,,Eye Tracker,783.0,801.0,Valid,Valid,Fixation
1671241490.088245,,Eye Tracker,780.0,806.0,Valid,Valid,Fixation
1671241490.104899,,Eye Tracker,775.0,800.0,Valid,Valid,Fixation
1671241490.121553,,Eye Tracker,773.0,800.0,Valid,Valid,Fixation
1671241490.138208,,Eye Tracker,775.0,798.0,Valid,Valid,Fixation
1671241490.154863,,Eye Tracker,774.0,797.0,Valid,Valid,Fixation
1671241490.171518,,Eye Tracker,770.0,801.0,Valid,Valid,Fixation
1671241490.188172,,Eye Tracker,767.0,798.0,Valid,Valid,Fixation
1671241490.204827,,Eye Tracker,779.0,793.0,Valid,Valid,Fixation
1671241490.221482,,Eye Tracker,802.0,802.0,Valid,Valid,Fixation
