Recording timestamp,Event,Sensor,Gaze point X,Gaze point Y,Validity left,Validity right,Eye movement type
1671241865.708949,,Eye Tracker,1791.0,113.0,Valid,Valid,Fixation
1671241865.725604,,Eye Tracker,1774.0,122.0,Valid,Valid,Fixation
1671241865.742258,,Eye Tracker,1779.0,111.0,Valid,Valid,Fixation
1671241865.758913,,Eye Tracker,1779.0,107.0,Valid,Valid,Fixation
1671241865.775569,,Eye Tracker,1775.0,117.0,Valid,Valid,Fixation
1671241865.792225,,Eye Tracker,1792.0,107.0,Valid,Valid,Fixation
1671241865.808879,,Eye Tracker,1786.0,117.0,Valid,Valid,Fixation
1671241865.825534,,Eye Tracker,1780.0,124.0,Valid,Valid,Fixation
1671241865.842189,,Eye Tracker,1792.0,114.0,Valid,Valid,Fixation
1671241865.858843,,Eye Tracker,1793.0,115.0,Valid,Valid,Fixation
1671241865.875498,,Eye Tracker,1789.0,121.0,Valid,Valid,Fixation
1671241865.892153,,Eye Tracker,1790.0,116.0,Valid,Valid,Fixation
1671241865.908807,,Eye Tracker,1786.0,121.0,Valid,Valid,Fixation
1671241865.925462,,Eye Tracker,1781.0,123.0,Valid,Valid,Fixation
1671241865.942117,,Eye Tracker,1781.0,121.0,Valid,Valid,Fixation
1671241865.958771,,Eye Tracker,1779.0,122.0,Valid,Valid,Fixation
1671241865.975427,,Eye Tracker,1782.0,119.0,Valid,Valid,Fixation
1671241865.992082,,Eye Tracker,1787.0,118.0,Valid,Valid,Fixation
1671241866.008736,,Eye Tracker,1790.0,107.0,Valid,Valid,Fixation
1671241866.025391,,Eye Tracker,1789.0,101.0,Valid,Valid,Fixation
1671241866.042046,,Eye Tracker,1789.0,96.0,Valid,Valid,Fixation
1671241866.058701,,Eye Tracker,1791.0,98.0,Valid,Valid,Fixation
1671241866.075355,,Eye Tracker,1784.0,106.0,Valid,Valid,Fixation
1671241866.09201,,Eye Tracker,1784.0,105.0,Valid,Valid,Fixation
1671241866.108665,,Eye Tracker,1784.0,102.0,Valid,Valid,Fixation
1671241866.125319,,Eye Tracker,1787.0,99.0,Valid,Valid,Fixation
1671241866.141974,,Eye Tracker,1789.0,103.0,Valid,Valid,Fixation
1671241866.15863,,Eye Tracker,1786.0,109.0,Valid,Valid,Fixation
1671241866.175284,,Eye Tracker,1787.0,107.0,Valid,Valid,Fixation
1671241866.191939,,Eye Tracker,1791.0,103.0,Valid,Valid,Fixation
1671241866.208594,,Eye Tracker,1797.0,97.0,Valid,Valid,Fixation
1671241866.225248,,Eye Tracker,1797.0,94.0,Valid,Valid,Fixation
1671241866.241903,,Eye Tracker,1792.0,94.0,Valid,Valid,Fixation
1671241866.258558,,Eye Tracker,1794.0,95.0,Valid,Valid,Fixation
1671241866.275212,,Eye Tracker,1791.0,97.0,Valid,Valid,Fixation
1671241866.291867,,Eye Tracker,1784.0,100.0,Valid,Valid,Fixation
1671241866.308522,,Eye Tracker,1779.0,94.0,Valid,Valid,Fixation
1671241866.325177,,Eye Tracker,1778.0,92.0,Valid,Valid,Fixation
1671241866.341832,,Eye Tracker,1783.0,91.0,Valid,Valid,Fixation
1671241866.358487,,Eye Tracker,1782.0,86.0,Valid,Valid,Fixation
1671241866.375142,,Eye Tracker,1776.0,86.0,Valid,Valid,Fixation
1671241866.391796,,Eye Tracker,1772.0,85.0,Valid,Valid,Fixation
1671241866.408451,,Eye Tracker,1776.0,92.0,Valid,Valid,Fixation
1671241866.425106,,Eye Tracker,1770.0,87.0,Valid,Valid,Fixation
1671241866.44176,,Eye Tracker,1749.0,86.0,Valid,Valid,Fixation
1671241866.458415,,Eye Tracker,1623.0,85.0,Valid,Valid,Saccade
1671241866.47507,,Eye Tracker,1571.0,108.0,Valid,Valid,Saccade
1671241866.491724,,Eye Tracker,1558.0,124.0,Valid,Valid,Fixation
1671241866.508379,,Eye Tracker,1557.0,125.0,Valid,Valid,Fixation
1671241866.525035,,Eye Tracker,1571.0,133.0,Valid,Valid,Fixation
1671241866.541689,,Eye Tracker,1566.0,122.0,Valid,Valid,Fixation
1671241866.558344,,Eye Tracker,1550.0,117.0,Valid,Valid,Fixation
1671241866.574999,,Eye Tracker,1552.0,126.0,Valid,Valid,Fixation
1671241866.591654,,Eye Tracker,1551.0,122.0,Valid,Valid,Fixation
1671241866.608308,,Eye Tracker,1553.0,114.0,Valid,Valid,Fixation
1671241866.624963,,Eye Tracker,1554.0,123.0,Valid,Valid,Fixation
1671241866.641618,,Eye Tracker,1556.0,120.0,Valid,Valid,Fixation
1671241866.658272,,Eye Tracker,1555.0,111.0,Valid,Valid,Fixation
1671241866.674927,,Eye Tracker,1553.0,111.0,Valid,Valid,Fixation
