Recording timestamp,Sensor,Mouse position X,Mouse position Y,Event,Event value
2022-12-17 10:54:27.908604,,,,MouseEvent,"Down, Left"
2022-12-17 10:54:27.908604,Mouse,1600.0,698.0,,
2022-12-17 10:54:28.148431,Mouse,1600.0,698.0,,
2022-12-17 10:54:28.229650,Mouse,1599.0,697.0,,
2022-12-17 10:54:28.259305,Mouse,1598.0,696.0,,
2022-12-17 10:54:28.289351,Mouse,1597.0,696.0,,
2022-12-17 10:54:28.310299,Mouse,1596.0,695.0,,
2022-12-17 10:54:28.329253,Mouse,1595.0,694.0,,
2022-12-17 10:54:28.400313,Mouse,1592.0,692.0,,
2022-12-17 10:54:28.420282,Mouse,1589.0,690.0,,
2022-12-17 10:54:28.430306,Mouse,1587.0,688.0,,
2022-12-17 10:54:28.441332,Mouse,1586.0,687.0,,
2022-12-17 10:54:28.500373,Mouse,1585.0,686.0,,
2022-12-17 10:54:28.521320,Mouse,1582.0,685.0,,
2022-12-17 10:54:28.540601,Mouse,1581.0,685.0,,
2022-12-17 10:54:28.550716,Mouse,1580.0,684.0,,
2022-12-17 10:54:28.561542,Mouse,1579.0,684.0,,
2022-12-17 10:54:28.620347,Mouse,1579.0,684.0,,
2022-12-17 10:54:28.640618,Mouse,1574.0,683.0,,
2022-12-17 10:54:28.651283,Mouse,1572.0,683.0,,
2022-12-17 10:54:28.670359,Mouse,1565.0,682.0,,
2022-12-17 10:54:28.691273,Mouse,1550.0,677.0,,
2022-12-17 10:54:28.710325,Mouse,1535.0,670.0,,
2022-12-17 10:54:28.720363,Mouse,1525.0,667.0,,
2022-12-17 10:54:28.731590,Mouse,1516.0,664.0,,
2022-12-17 10:54:28.751275,Mouse,1501.0,658.0,,
2022-12-17 10:54:28.771606,Mouse,1487.0,654.0,,
2022-12-17 10:54:28.782307,Mouse,1482.0,652.0,,
2022-12-17 10:54:28.801316,Mouse,1476.0,650.0,,
2022-12-17 10:54:28.822296,Mouse,1474.0,650.0,,
2022-12-17 10:54:28.891335,Mouse,1473.0,650.0,,
2022-12-17 10:54:28.902277,Mouse,1471.0,649.0,,
2022-12-17 10:54:28.912315,Mouse,1469.0,648.0,,
